Indicator 3: Internal and external organisations supplying/approached to supply data and data products since start of the project phase,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
The purpose of this indicator is to have an oversight of the types of organisations supplying data and to measure the extent of restricted data,,,,,,,,,,,,
List all organisations that have supplied data voluntarily or upon request/approach since the start of the project phase,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" below",,,,,,,,,,,,
Reporting date,Portal name,,,,,,,,,,,
,,,,,,,,,,,,
Organisation name,Organisation type [1],Country,Sea basin [2],Volume (in GigaBytes),Approached or volunteered?,"Data type supplied: data, data product, both?",Sub-theme(s) + description,"% of restricted data [3] 
(or #restricted/# not restricted)",Under what license was the data provided?,Was the data provided as a digital file or a web service?,Provided through Ingestion or directly? [4],If not supplied upon approaching: reason why? (reply from organisation)
Adriatic Atlas - SHAPE IPA project,Others,n.a.,Mediterranean Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
"Belgian Federal Government, FPS Economy (Offshore sand and gravel extraction, Control), BE",Government/Public administration,Belgium,North Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
"Biuletyn Informacji Publicznej (BIP), Ministerstwo Środowiska",Government/Public administration,Poland,Baltic Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
"Federal Maritime and Hydrographic Agency of Germany, BSH - CONTIS GeoSeaPortal (Sedimentgewinnung)",Government/Public administration,Germany,Baltic Sea / North Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
HELCOM - Map and Data service,Others,Finland,Baltic Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
IFREMER (Granulats marins),Academia/Research,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
Instituto Hidrográfico,Government/Public administration,Portugal,Atlantic Ocean,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
Rijkswaterstaat - Ministry of Infrastructure and Water Management - Wingebieden op de Noordzee,Government/Public administration,Netherlands,North Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
The Crown Estate,Government/Public administration,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
The Danish Environmental Protection Agency,Government/Public administration,Denmark,Baltic Sea / North Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
"BOE (Boletín Oficial del Estado), ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
ICES-Working Group on the Effects of Extraction of Marine Sediments on the Marine Ecosystem (WGEXT),Others,n.a.,Baltic Sea / North Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
"Landesportal Schleswig-Holstein, DE",Government/Public administration,Germany,Baltic Sea / North Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
"MITECO, División para la Protección del Mar",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
"MUMM-Management Unit of the North Sea Mathematical Models, The Royal Belgian Institute of Natural Sciences",Government/Public administration,Belgium,North Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
Plateforme ouverte des données publiques françaises: Données maillées représentant l'intensité de l'activité d'extraction de granulats à l'échelle métropolitaine (grille 1' par 1'),Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
Portuguese Environmental Agency,Government/Public administration,Portugal,Atlantic Ocean,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
"Regione Lazio, Direzione ambiente, Centro di Monitoraggio GIZC / ISPRA",Government/Public administration,Italy,Mediterranean Sea,n.a.,Approached,Data,Aggregate extraction,not restricted,Open data,Digital file,,
Joint Research Centre,Government/Public administration,n.a.,All,n.a.,Volunteered,Data,Algae,not restricted,Open data,Digital file,Ingestion,
CVO / FVST,Government/Public administration,Denmark,Baltic Sea / North Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
"Department of Agriculture, Food and the Marine, IR",Government/Public administration,Ireland,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
Environment and Resources Authority,Government/Public administration,Malta,Mediterranean Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
Fiskeridirektoratet,Government/Public administration,Norway,North Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
"JACUMAR (Ministerio de Agricultura, Alimentación y Pesca)",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
"Marine Scotland, UK",Government/Public administration,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
Ministry of Agriculture and Forestry,Government/Public administration,Finland,Baltic Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
"Ministry of Agriculture, Rural Development and Environment, Department of Fisheries and Marine Research",Government/Public administration,Cyprus,Mediterranean Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
Ministry of rural development and food,Government/Public administration,Greece,Mediterranean Sea,n.a.,Approached,Data,Aquaculture,not restricted,Open data,Digital file,,
