Indicator 6: Quality Control and Quality Assurance steps,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
The purpose of this indicator is to provide an overview of the technical work load in data acquisition,,,,
,,,,
Reporting date,Portal name,,,
,,,,
QA / QC steps,✔ [1],Short Description,By whom?,"Method, 
e.g. Automatic / Semi-automatic / Manual"
Metadata curation,✔,"When data are collated from multiple sources, INSPIRE-compliant metadata are compiled",Partner in charge of collecting the dataset,Manual
Data standards compliance checks,✔,Data collated from multiple sources are checked to verify whether data model consistency,GIS Coordinator,Manual
Geographic Location Control,✔,Geographic Location Control is performed to detect if there are any obvious errors.,GIS Coordinator,Manual
Error Detection thanks to thematic expertise,✔,"Data attributes are randomly checked for errors. If obvious errors are detected, original sources are contacted for correction",Partner in charge of collecting the dataset,Manual
Quality Index / Accuracy assessment,✔,Final quality control on attributes and geometries before publication.,GIS Coordinator,Manual
Data aggregation,✔,Data from multiple sources are aggregated according to a data model developed by the Human Activities team,Partner in charge of collecting the dataset,Manual
Other,,,,
Harmonisation,,,,
Language,✔,"When data collected from multiple sources are in different languages, they are translated into English",Partner in charge of collecting the dataset,Manual
Units,✔,"When data collected from multiple sources use different units, they are harmonised into a common unit",Partner in charge of collecting the dataset,Manual
Terminology,✔,"When data collected from multiple sources use different terminology, they are harmonised into a common terminology",Partner in charge of collecting the dataset,Manual
Coordinate Systems,✔,"When data collected from multiple sources use different coordinate systems, they are harmonised into WGS84",Partner in charge of collecting the dataset,Manual
Data format,✔,"When data collected from multiple sources use different formats, they are harmonised into a common format, depending on the dataset",Partner in charge of collecting the dataset,Manual
Metadata,,,,
Other,,,,
"[1] Flag the steps performed, and provide a Short Description of what is done, ",,,,
"Who performs the step?, and indicate whether the step is Automatic, Semi-automatic or Manual.",,,,
