Comments on the progress indicators in the excel template,Unnamed: 1
Progress indicator,Comment 
1 Status/Volume and coverage of all available acquired data,
1A) Volume and coverage of available data,"Generally speaking, volume and coverage increased for most data sets, due to updates and new sources. However, trends are not always revealing: in some cases, a new data set schema resulted in a lower number of records. In some other cases - e.g. oil & gas - the number of records decreased due to decreased activity"
What is your opinion on the data coverage within EMODnet for your thematic,"Coverage improved for most data sets. Some, such as aquaculture, remain critical and little progress was achieved. In two cases (schematic cables and submerged heritage) data had to be removed at the request of the data provider"
1B) Usage of data since the start of the project phase,"Overall, data download increased by nearly 30%. It is not possible to measure the increase in web service usage, due to a completely different calculation method that was introduced at the beginning of the current phase. Any comparison would be inconsistent. However, recent trends seem to indicate that users are slowly transitioning to web services as opposed to data downloads. In the quarterly reports, a decreasing trend can be observed for data downlods, whereas an upward trend can be observed for web service usage"
2 Status/Total number and the coverage of all built & external data products,
2A) Volume and coverage of available data products,Both products are well established with complete coverage. Data volume increases by definition as a result of regular updates
2B) Usage of data products since the start of the project phase,"Both products had a marked increase in number of data downloads. It is not possible to calculate web services requests, due to a new calculation method introduced at the onset of this phase, which would results in inconsistent comparisons"
3) Organisations supplying/ approached to supply data anad data products,Nothing to report
4) Online 'Web' interfaces to access or view data,Nothing to report
5.1) Daily number of page views of EMODnet Thematic entry page,"There seems to be a decrease in the number of page views. This might be consistent with the fact that, according the quarterly statistics, a number of users are using web services as opposed to data download"
"5.2) Total number of visitors, page views, unique page views and percentage of returning visitors, since the start of the contract","The number of visitors remained stable overall, though page views declined. The % of returning visitors shows the most marked decline. Again, this might be consistent with the fact that more and more users are using web services to consume human activities. To be more precise, it is possible that in the past users used to visit the EMODnet Human Activities thematic page and then access the map viewer or products catalogue from there, whereas now they have become accustomed to using webservices, thus bypassing the thematic page. However, it should be noted that there is no evidence of this trend, and thus this explanation may be plausible, but it remains unconfirmed. data"
