Theme,Sub-themes,Unnamed: 2,Unnamed: 3,Portal,Measurement unit,Redundancy,Reported Volume unit
Bathymetry,Bathymetry,,,Bathymetry,Number of CDIs = Number of datasets,No,Datasets
Geology,"Seabed Substrate, Sea-floor Geology, Coastal Behavior, Geological events and probabilities, Mineral Occurrences, Submerged Landscapes",,,Geology,"Count records (1 record = 1 data file), including the data needed to build data products.",No,Records
Seabed habitats,"• Habitats - seabed habitats (including coastal wetlands): broad-scale mapping, collection of classified maps, collection of models, composite products
• Habitats - essential fish habitats: collection of classified maps, collection of models
• Chemistry - dissolved gases
• Geology - seabed substrate
• Physics - optical properties, salinity, waves, currents, ice cover
• Bathymetry – depth to seabed",,,Seabed habitats,"Number of data records, meaning the total number of lines of all data sets",No,Records
Physics,"Temperature in the water column, Salinity in the water column, Sea surface currents, Water Optical properties, Sea Level, Atmospheric parameters, Water Conductivity/Biogeochemical, Waves, Winds, River, Underwater noise, Ice coverage",,,Physics,Recording-day-platform,"if one platform measures x parameters (=themes), then it is counted x times in the break down table. ",Platforms
Chemistry,"Acidity, Antifoulants, Chlorophyll, Dissolved gasses, Fertilizers, Hydrocarbons, Heavy metals, Organic Matter, Marine litter, Polychlorinated biphenyls, Pesticides and biocides, Radionuclides, Silicates",,,Chemistry,Number of CDIs = Number of datasets,"Yes, one CDI can cover several themes",Datasets
Biology,"Macroalgae, Angiosperms, Benthos, Birds, Fish, Mammals, Phytoplankton, Reptiles, Zooplankton",,,Biology,Occurrence records,Yes,Datasets (can contain records from different subthemes/ functional groups)
Human Activities,"Aggregate extraction, Algae production, Aquaculture, Cables, Cultural heritage, Desalination, Dredging, Environment, Fisheries, Main Ports, Maritime Spatial Planning (MSP), Military Areas, Nuclear power plants, Ocean energy facilities, Oil and Gas, Other forms of area management/designation, Pipelines, Shipping density, Waste disposal, Wind farms",,,Human Activities,"Number of geographic records (point, line or polygon objects). For geometries linking to a related table, also number of records from related tables. Temporal, automatically acquired, new records are counted",No,Geographic records (objects)+ Related records[1])
,,,,,"Number of cells for each data product (raster file, GeoTIFF/NetCDF format)",,Grid cells (only for Shipping density datasets)
,,,,[1] The human activities datasets are composed by objects and related tables that store records (relational databases). ,,,
,,,,Each year new records can be added/removed to each of these tables. So it is more accurate to report both the number of the objects and the number of new records. ,,,
