Indicator 1: Current status and coverage of total available thematic data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
The purpose of this sheet is to provide a status overview of the different sub-theme data available on the portal and the download frequency by users,,,,,,,,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" below",,,,,,,,,,,,,,,,,,,
1.A) Volume and coverage of available data,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Volume unit [1],,,,,,,,,,,,,,,,,
2025-03-03 00:00:00,Human Activities,records; related records,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-theme [2],,Total data volume per sub-theme: records ,"Total data volume per sub-theme (since start of project phase, i.e. since last final report)",Total data volume per sub-theme: related records ,"Total data volume per sub-theme :related records (since start of project phase, i.e. since last final report)",Trend in total data volume (%) records [3],Trend in total data volume (%) related records[3],Total data Volume in GigaBytes [4],,,,,,,,,,,
Aggregate extraction,"Aggregate Extraction, points",443,425,3485,3300,0.042352941176470586,0.05606060606060606,0.00261,,,,,,,,,,,
,"Aggregate Extraction, polygons",1102,1043,,,0.05656759348034516,,,,,,,,,,,,,
Cultural heritage,Ship Wrecks MACHU EU project,The provider shares data via WFS only,,,,,,,,,,,,,,,,,
,Ship Wrecks,7073,8481,,,-0.16601815823605706,,0.00264,,,,,,,,,,,
,Lighthouses,4202,4062,,,0.034465780403742,,0.000816,,,,,,,,,,,
,UNESCO World Heritage Convention sites,135,new data set,,,new data set,,0.000356,,,,,,,,,,,
,Worldwide wrecks location (UK Hydrographic Office),67391,new data set,,,new data set,,0.0402,,,,,,,,,,,
Dredging,Dredging,11681,5548,17421,10581,1.1054434030281182,0.6464417351857102,0.00747,,,,,,,,,,,
Environment,"Nationally designated areas, polygons",126511,115271,,,0.09750934753754197,,0.505,,,,,,,,,,,
,"Nationally designated areas, points",3961,new data set,,,new data set,,,,,,,,,,,,,
,"Natura 2000 sites, areas",27025,27025,,,0,,0.355469,,,,,,,,,,,
,Regional Seas Conventions MPAs,826,new data set,,,new data set,,0.00717,,,,,,,,,,,
,"World Database on Protected Areas (WDPA), points",5245,new data set,,,new data set,,0.359,,,,,,,,,,,
,"World Database on Protected Areas (WDPA), polygons",28430,21590,,,0.31681333950903195,,,,,,,,,,,,,
,"Emerald Network, areas",2576,new data set,,,new data set,,0.11,,,,,,,,,,,
,State of bathing waters,Coastal or transitional,,,,,,0.138,,,,,,,,,,,
,,15347,15208,419250,496336,0.009139926354550236,-0.15531011250443247,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,
,,22751,22500,587864,720000,0.011155555555555556,-0.18352222222222223,,,,,,,,,,,,
Fisheries,FAO fishery statistical areas,322,322,,,0,,0.00859375,,,,,,,,,,,
,ICES statistical areas,65,65,,,0,,0.021973,,,,,,,,,,,
,Fishery catches by FAO statistical area,137,137,1358906,91829,0,13.798222783652223,0.174,,,,,,,,,,,
,"Monthly first sales, EUMOFA",2322,2420,7656782,4854607,-0.04049586776859504,0.5772197419894134,1.05,,,,,,,,,,,
,Fishing intensity,187317,435035,1171976,872477,-0.5694208511958808,0.34327437857960724,0.38,,,,,,,,,,,
,Fishing effort,169,169,53844,46751,0,0.1517186798143355,0.015234,,,,,,,,,,,
,Fishing quotas by FMZs,552,new data set,7828,new data set,new data set,new data set,0.137,,,,,,,,,,,
Oil and gas,Wells,27267,27267,,,0,,0.00385742,,,,,,,,,,,
,Active Licences,1298,1434,,,-0.09483960948396095,,0.00097,,,,,,,,,,,
,Offshore installations,1617,1617,,,0,,0.00125,,,,,,,,,,,
Main ports traffic,Goods,2519,2440,391649,371272,0.03237704918032787,0.05488428968519037,0.626,,,,,,,,,,,
,Passengers,,,411056,364800,,0.12679824561403508,,,,,,,,,,,,
,Vessels,,,1649785,1458375,,0.13124882146224393,,,,,,,,,,,,
Algae production,"Macroalgae, microalgae and spirulina production sites",427,427,471,471,0,0,0.00063705,,,,,,,,,,,
Aquaculture,Shellfish production,7236,7236,6247,6247,0,0,0.00341797,,,,,,,,,,,
,Shellfish Licences,21529,new data set,23053,new data set,new data set,new data set,0.00616,,,,,,,,,,,
,Shellfish protected areas under the WFD,310,new data set,,,new data set,,0.00462,,,,,,,,,,,
,Finfish production,2023,2469,2828,5659,-0.1806399351964358,-0.5002650644990281,0.00162,,,,,,,,,,,
,Freshwater production,9071,9071,17996,17996,0,0,0.00046539,,,,,,,,,,,
Ocean energy,Projects,204,201,353,344,0.014925373134328358,0.02616279069767442,0.0008,,,,,,,,,,,
,Test sites,41,41,,,0,,,,,,,,,,,,,
Other forms of area management / designation,International conventions,8,8,,,0,,0.102539,,,,,,,,,,,
,"Maritime boundaries, lines",76192,76380,,,-0.002461377323906782,,0.0715,,,,,,,,,,,
,EEZ areas,75,75,,,0,,0.014648,,,,,,,,,,,
,Advisory councils,11,11,,,0,,0.306641,,,,,,,,,,,
,MSFD Reporting Units,20,20,,,0,,0.03125,,,,,,,,,,,
Pipelines,Pipelines (actual routes),3951,3951,,,0,,0.00838,,,,,,,,,,,
Cables,Telecomunicatiom cables  (actual routes),854,209,,,3.0861244019138754,,0.00119,,,,,,,,,,,
,Power cables  (actual routes),1186,1097,,,0.08113035551504102,,0.00909,,,,,,,,,,,
Waste disposal,"Dumped munitions, points",9298,1342,,,5.928464977645305,,0.00263,,,,,,,,,,,
,"Dumped munitions, polygons",278,167,,,0.6646706586826348,,,,,,,,,,,,,
,"Dredge spoil dumping, points",2271,1161,4173,1595,0.9560723514211886,1.6163009404388715,0.00146484,,,,,,,,,,,
,"Dredge spoil dumping, polygons",3200,1919,5063,2600,0.6675351745700886,0.9473076923076923,,,,,,,,,,,,
,UWW Treatment Plants,12774,12638,48609,40360,0.01076119639183415,0.20438553022794848,0.025,,,,,,,,,,,
,UWW Discharge Points,15149,14959,46379,37932,0.012701383782338392,0.22268796794263418,0.023,,,,,,,,,,,
,Waste at ports,122,59,363,276,1.0677966101694916,0.31521739130434784,0.00068,,,,,,,,,,,
Wind farms,Wind Farms points (centroid),672,437,,,0.5377574370709383,,0.00137,,,,,,,,,,,
,Wind Farms areas,642,137,,,3.6861313868613137,,,,,,,,,,,,,
Nuclear power plants,Nuclear Power plants sites,45,45,121,121,0,0,0.00069427,,,,,,,,,,,
Military zones,"Military zones, points",46,51,,,-0.09803921568627451,,0.00139,,,,,,,,,,,
,"Military zones, polygons",746,399,,,0.8696741854636592,,,,,,,,,,,,,
MSP,Spatial Plan areas,20,14,,,0.42857142857142855,,0.0897,,,,,,,,,,,
,"Supplementary regulation, polygons",20,14,,,0.42857142857142855,,,,,,,,,,,,,
,"Zoning element, polygons",3495,2784,,,0.25538793103448276,,,,,,,,,,,,,
,"Zoning element, lines",374,374,,,0,,,,,,,,,,,,,
,"Zoning elements, points",521,519,,,0.0038535645472061657,,,,,,,,,,,,,
Desalination,Desalination plants,955,955,3911,3911,0,0,0.00328125,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Volume unit,Sea-basins [5],,,,,,,,,,,,,,,,,,
"Indicate here unit of measurement: % area, or number of platforms/CDIs/ records or…?",,"Atlantic EEA (North East Atlantic Ocean, Macaronesia, Iceland Sea, Norwegian Sea, Celtic Seas, Bay of Biscay and Iberian coast, White Sea, Barents Sea)",,Arctic (not defined by EEA shapefile) [6],,Baltic Sea EEA,,Black Sea EEA,,"Med Sea EEA (Adriatic Sea, Ionian Sea and the Central Mediterranean Sea, Western Meditarranean Sea, Aegean-Levantine Sea)",,Greater North Sea EEA,,Caspian Sea (not defined by EEA shapefile),,Caribbean Sea (not defined by EEA shapefile),,Other Seas (Other regions not defined by EEA shapefiles),
Sub-theme [2],,Total area coverage (total %) or data density (number),Added this phase (% or number),Total area coverage (total %) or data density (number),Added this phase (% or number),Total area coverage (total %) or data density (number),Added this phase (% or number),Total area coverage (total %) or data density (number),Added this phase (% or number),Total area coverage (total %) or data density (number),Added this phase (% or number),Total area coverage (total %) or data density (number),Added this phase (% or number),Total area coverage (total %) or data density (number),Added this phase (% or number),Total area coverage (total %) or data density (number),Added this phase (% or number),Total area coverage (total %) or data density (number),Added this phase (% or number)
Aggregate extraction,Aggregate Extraction points,,,,,,,,,,,,,,,,,,
,Aggregate Extraction areas,,,,,,,,,,,,,,,,,,
Cultural heritage,Ship Wrecks MACHU EU project,,,,,,,,,,,,,,,,,,
,Ship Wrecks,,,,,,,,,,,,,,,,,,
,Lighthouses,,,,,,,,,,,,,,,,,,
,Submerged Prehistoric Archaeology and Landscapes,,,,,,,,,,,,,,,,,,
,Worldwide wrecks location (UK Hydrographic Office),,,,,,,,,,,,,,,,,,
Dredging,Dredging,,,,,,,,,,,,,,,,,,
Environment,Nationally designated areas (CDDA),1,,,,1,,1,,1,,1,,,,,,,
,"Natura 2000 sites, areas",1,,,,1,,1,,1,,1,,,,,,,
,Regional Sea Conventions MPAs,1,,,,1,,1,,1,,1,,,,,,,
,World Database on Protected Areas (WDPA),,,,,,,,,,,,,,,1,,,
,"Emerald Network, areas",1,,,,1,,1,,1,,1,,,,,,,
,State of bathing waters,1,,,,1,,1,,1,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fisheries,FAO fishery statistical areas,1,,,,1,,1,,1,,1,,,,,,,
,ICES statistical areas,1,,,,1,,,,,,1,,,,,,,
,Fishery catches by FAO statistical area,1,,,,1,,1,,1,,1,,,,,,,
,"Monthly first sales, EUMOFA",1,,,,1,,1,,1,,1,,,,,,,
,Fishing intensity,1,,,,1,,,,,,1,,,,,,,
,Fishing effort,1,,,,1,,1,,1,,1,,,,,,,
Oil and gas,Wells,,,,,,,,,,,,,,,,,,
,Active Licences,,,,,,,,,,,,,,,,,,
,Offshore installations,,,,,,,,,,,,,,,,,,
Main ports traffic,Goods,1,,,,1,,1,,1,,1,,,,,,,
,Passengers,,,,,,,,,,,,,,,,,,
,Vessels,,,,,,,,,,,,,,,,,,
Algae production,"Macroalgae, microalgae and spirulina production sites",,,,,,,,,,,,,,,,,,
Aquaculture,Shellfish production,,,,,,,,,,,,,,,,,,
,Finfish production,,,,,,,,,,,,,,,,,,
,Freshwater production,,,,,,,,,,,,,,,,,,
Ocean energy,Projects,,,,,,,,,,,,,,,,,,
,Test sites,,,,,,,,,,,,,,,,,,
Other forms of area management / designation,International conventions,1,,,,1,,1,,1,,1,,,,,,,
,"Maritime boundaries, lines",1,,,,1,,1,,1,,1,,,,,,,
,EEZ areas,1,,,,1,,1,,1,,1,,,,,,,
,Advisory councils,1,,,,1,,1,,1,,1,,,,,,,
,MSFD Reporting Units,1,,,,1,,1,,1,,1,,,,,,,
Pipelines,Pipelines (actual routes),,,,,,,,,,,,,,,,,,
Cables,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Telecomunicatiom cables  (actual routes),,,,,,,,,,,,,,,,,,
,Power cables  (actual routes),,,,,,,,,,,,,,,,,,
Waste disposal,Dumped munitions points,,,,,,,,,,,,,,,,,,
,Dumped munitions areas,,,,,,,,,,,,,,,,,,
,Dredge spoil dumping points,,,,,,,,,,,,,,,,,,
,Dredge spoil dumping areas,,,,,,,,,,,,,,,,,,
,UWW Treatment Plants,1,,,,1,,1,,1,,1,,,,,,,
,UWW Discharge Points,1,,,,1,,1,,1,,1,,,,,,,
,Waste at ports,,,,,,,,,,,,,,,,,,
Wind farms,Wind Farms points (centroid),,,,,,,,,,,,,,,,,,
,Wind Farms areas,,,,,,,,,,,,,,,,,,
Nuclear power plants,Nuclear Power plants sites,1,,,,1,,1,,1,,1,,,,,,,
Military zones,Military zones points,,,,,,,,,,,,,,,,,,
,Military zones areas,,,,,,,,,,,,,,,,,,
MSP,Spatial Plan areas,,,,,,,,,,,,,,,,,,
,"Supplementary regulation, areas",,,,,,,,,,,,,,,,,,
,"Zoning element, areas",,,,,,,,,,,,,,,,,,
,"Zoning element, lines",,,,,,,,,,,,,,,,,,
,"Zoning elements, points",,,,,,,,,,,,,,,,,,
Desalination,Desalination plants,1,,,,1,,1,,1,,1,,,,,,,
Please highlight newly added data within this reporting period.,,,,,,,,,,,,,,,,,,,
"[1] Indicate the volume unit of measurement: “records”, ""CDI"", “data sets”, or “platforms”. ",,,,,,,,,,,,,,,,,,,
[2] The list of sub-themes is provided in the first tab.,,,,,,,,,,,,,,,,,,,
[3] Trend is calculated from the figures at the end of the last project phase as compared with the figures at this stage.,,,,,,,,,,,,,,,,,,,
Explanation of trend value in the narrative.,,,,,,,,,,,,,,,,,,,
[4] Decimal definition 1 GB = 1000^3 bytes.,,,,,,,,,,,,,,,,,,,
[5] Total % sea-basin area covered by all data or number of CDIs/platforms/records in this area (left column) ; % area covered by data added in this phase or number of CDIs/platforms/records added this phase (right column).,,,,,,,,,,,,,,,,,,,
"Please feel free to record the areas as you did in the past, if you have problems with this lay-out. If you do that, please record this fact in the narrative.",,,,,,,,,,,,,,,,,,,
[6] Please note that the data that occur in the Arctic will also occur in the other areas.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.B) Usage of data since the start of the project phase,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Manual download unit [1],,,,,,,,,,,,,,,,,
2025-03-03 00:00:00,Human Activities,Datasets,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Trend on data,,,,,Web service Trends,,,,,,,,,,,,
