Indicator 5: Annual web traffic statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
The purpose of this indicator is to provide detail on the web traffic statistics,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" ",,,,,,,,,,,,
5.1) Daily number of page views of EMODnet Thematic entry page since start of contract,,,,,,,,,,,,
Explanation of the trends and statistics,,,,,,,,,,,,
5.1) Daily number of page views of EMODnet Thematic entry page,"There seems to be a decrease in the number of page views. This might be consistent with the fact that, according the quarterly statistics, a number of users are using web services as opposed to data download",,,,,,,,,,,
,,,,,,,,,,,,
Copy-paste screenshot below of the graph of the report sent to you by the Secretariat,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5.2) Total number of visitors, page views, unique page views and percentage of returning visitors, since start of contract",,,,,,,,,,,,
Explanation of the trends and statistics,,,,,,,,,,,,
"5.2) Total number of visitors, page views, unique page views and percentage of returning visitors, since the start of the contract","The number of visitors remained stable overall, though page views declined. The % of returning visitors shows the most marked decline. Again, this might be consistent with the fact that more and more users are using web services to consume human activities. To be more precise, it is possible that in the past users used to visit the EMODnet Human Activities thematic page and then access the map viewer or products catalogue from there, whereas now they have become accustomed to using webservices, thus bypassing the thematic page. However, it should be noted that there is no evidence of this trend, and thus this explanation may be plausible, but it remains unconfirmed. data",,,,,,,,,,,
,,,,,,,,,,,,
Page URL,Visitors to entry page (first month of contract),Visitors to entry page (month of reporting),Trend visitors (%)  [1],Page views (first month of ccontract),Page views (month of reporting),Trend page views (%) ,Unique page views (first month of contract),Unique page views (month of reporting),Trend unique page views (%),% of returning visitors (first month of contract),% of returning visitors (month of reporting),Trend % of returning visitors (%)
"https://emodnet.ec.europa.eu/
en/human-activities",485,481,-0.008316008316008316,836,654,-0.2782874617737003,649,564,-0.15070921985815602,0.4126,0.3347,-0.23274574245593077
,,,,,,,,,,,,
[1] Trend is calculated from the figures at the end of the last quarter as compared with the figures at this stage.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Definitions (from Europa Analytics),,,,,,,,,,,,
Visitors,"The number of unique visitors. Every visitor is counted once, even if they visit the website many times during the day.",,,,,,,,,,,
Page views,The number of times a page was visited.,,,,,,,,,,,
Unique page views,"The number of times a page was uniquely visited. If a visitor views a page several times during one session, it will be counted only once.",,,,,,,,,,,
% of returning visitors,The percentage of returning visitors.,,,,,,,,,,,
