column,dtype,non_null,null
Indicator 2: Current status and coverage of total number of data products,object,34,27
Unnamed: 1,object,36,25
Unnamed: 2,object,30,31
Unnamed: 3,object,11,50
Unnamed: 4,object,26,35
Unnamed: 5,object,29,32
Unnamed: 6,object,26,35
Unnamed: 7,object,10,51
Unnamed: 8,str,5,56
Unnamed: 9,object,7,54
Unnamed: 10,str,4,57
Unnamed: 11,object,7,54
Unnamed: 12,object,4,57
Unnamed: 13,object,7,54
Unnamed: 14,str,4,57
Unnamed: 15,object,7,54
Unnamed: 16,str,4,57
Unnamed: 17,object,4,57
Unnamed: 18,str,1,60
