Indicator 5: Quarterly web traffic statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
The purpose of this indicator is to provide detail on the web traffic statistics,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" ",,,,,,,,,,,,
5.1) Daily number of page views of EMODnet Thematic entry page,,,,,,,,,,,,
Explanation of the trends and statistics,,,,,,,,,,,,
5.1) Daily number of page views of EMODnet Thematic entry page,Stable trend with a peak on the occasion of the EU Maritime Day,,,,,,,,,,,
,,,,,,,,,,,,
Copy-paste screenshot below of the graph of the report sent to you by the Secretariat (previous Q),,,,,,,,Copy-paste screenshot below of the graph of the report sent to you by the Secretariat (current Q),,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5.2) Quarterly total number of visitors, page views, unique page views and percentage of returning visitors",,,,,,,,,,,,
Explanation of the trends and statistics,,,,,,,,,,,,
"5.2) Quarterly total number of visitors, page views, unique page views and percentage of returning visitors","All indicators on an upward trend, probably due to a considerable increase in traffic during the EU Maritime Day",,,,,,,,,,,
,,,,,,,,,,,,
Page URL,Visitors (previous Q),Visitors (current Q),Trend visitors (%)  [1],Page views (previous Q),Page views (current Q),Trend page views (%) ,Unique page views (previous Q),Unique page views (current Q),Trend unique page views (%),% of returning visitors (previous Q),% of returning visitors (current Q),Trend % of returning visitors (%)
emodnet.ec.europa.eu/en/human-activities,1237,1408,0.13823767178658045,1826,2298,0.25848849945235486,1544,1807,0.17033678756476683,0.3298,0.3494,0.059429957550030346
,,,,,,,,,,,,
[1] Trend is calculated from the figures at the end of the last quarter as compared with the figures at this stage.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Definitions (from Europa Analytics),,,,,,,,,,,,
Visitors,"The number of unique visitors. Every visitor is counted once, even if they visit the website many times during the day.",,,,,,,,,,,
Page views,The number of times a page was visited.,,,,,,,,,,,
Unique page views,"The number of times a page was uniquely visited. If a visitor views a page several times during one session, it will be counted only once.",,,,,,,,,,,
% of returning visitors,The percentage of returning visitors.,,,,,,,,,,,
