Indicator 1: Current status and coverage of total available thematic data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
The purpose of this sheet is to provide a status overview of the different sub-theme data available on the portal and the download frequency by users,,,,,,,,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" below",,,,,,,,,,,,,,,,,,,
1.A) Volume and coverage of available data,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Volume unit [1],,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,Human Activities,Records; related records,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-theme [2],,Total data volume per sub-theme: records ,Total data volume per sub-theme (previous quarter),Total data volume per sub-theme: related records ,Total data volume per sub-theme (previous quarter),Trend in total data volume (%) records [3],Trend in total data volume (%) related records[3],Total data Volume in GigaBytes [4],,,,,,,,,,,
Aggregate extraction,"Aggregate Extraction, points",443,443,3485,3485,0,0,0.00261,,,,,,,,,,,
,"Aggregate Extraction, polygons",1102,1102,,,0,,,,,,,,,,,,,
Cultural heritage,Ship Wrecks MACHU EU project,The provider shares data via WFS only,,,,,,,,,,,,,,,,,
,Ship Wrecks,7073,7073,,,0,,0.00264,,,,,,,,,,,
,Lighthouses,4202,4202,,,0,,0.000816,,,,,,,,,,,
,Submerged Prehistoric Archaeology and Landscapes,The provider shares data via WFS only,,,,,,,,,,,,,,,,,
,UNESCO World Heritage Convention sites,135,135,,,0,,0.000356,,,,,,,,,,,
,Worldwide wrecks location (UK Hydrographic Office),67391,67391,,,,,0.0402,,,,,,,,,,,
Dredging,Dredging,11681,11681,17421,17421,0,0,0.00747,,,,,,,,,,,
Environment,"Nationally designated areas, polygons",126511,126511,,,0,,0.505,,,,,,,,,,,
,"Nationally designated areas, points",3961,3961,,,0,,,,,,,,,,,,,
,"Natura 2000 sites, areas",27025,27025,,,0,,0.355469,,,,,,,,,,,
,Regional Seas Conventions MPAs,826,826,,,0,,0.00717,,,,,,,,,,,
,"World Database on Protected Areas (WDPA), points",5245,5245,,,0,,0.359,,,,,,,,,,,
,"World Database on Protected Areas (WDPA), polygons",28430,28430,,,0,,,,,,,,,,,,,
,"Emerald Network, areas",2576,2576,,,0,,0.11,,,,,,,,,,,
,State of bathing waters,Coastal or transtitional,,,,,,0.14,,,,,,,,,,,
,,15392,15347,421241,419250,0.0029321691535805043,0.004748956469886703,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,
,,22797,22751,672630,587864,0.00202188914772977,0.14419321475715471,,,,,,,,,,,,
Fisheries,FAO fishery statistical areas,322,322,,,0,,0.00859375,,,,,,,,,,,
,ICES statistical areas,65,65,,,0,,0.021973,,,,,,,,,,,
,Fishery catches by FAO statistical area,137,137,1358906,1358906,0,0,0.174,,,,,,,,,,,
,"Monthly first sales, EUMOFA",2322,2322,7656782,7656782,0,0,1.05,,,,,,,,,,,
,Fishing intensity,187317,187317,1171976,1171976,0,0,0.38,,,,,,,,,,,
,Fishing effort,169,169,53844,53844,0,0,0.015234,,,,,,,,,,,
,Fishing quotas by FMZs,557,552,7837,7828,0.009057971014492754,0.0011497189575881452,0.137,,,,,,,,,,,
Oil and gas,Wells,28506,27267,,,0.04543954230388381,,0.00415,,,,,,,,,,,
,Active Licences,1303,1298,,,0.003852080123266564,,0.00097,,,,,,,,,,,
,Offshore installations,1617,1617,,,0,,0.00125,,,,,,,,,,,
Main ports traffic,Goods,2519,2519,391649,391649,0,0,0.626,,,,,,,,,,,
,Passengers,,,411056,411056,,0,,,,,,,,,,,,
,Vessels,,,1649785,1649785,,0,,,,,,,,,,,,
Algae production,"Macroalgae, microalgae and spirulina production sites",427,427,471,471,0,0,0.00063705,,,,,,,,,,,
Aquaculture,Shellfish production,7236,7236,6247,6247,0,0,0.00341797,,,,,,,,,,,
,Shellfish Licences,21529,21529,23053,23053,0,0,0.00616,,,,,,,,,,,
,Shellfish protected areas under the WFD,310,310,,,0,,0.00462,,,,,,,,,,,
,Finfish production,2023,2023,2828,2828,0,0,0.00162,,,,,,,,,,,
,Freshwater production,9071,9071,17996,17996,0,0,0.00046539,,,,,,,,,,,
Ocean energy,Projects,204,204,353,353,0,0,0.0008,,,,,,,,,,,
,Test sites,41,41,,,0,,,,,,,,,,,,,
Other forms of area management / designation,International conventions,8,8,,,0,,0.102539,,,,,,,,,,,
,"Maritime boundaries, lines",76192,76192,,,0,,0.0715,,,,,,,,,,,
,EEZ areas,75,75,,,0,,0.014648,,,,,,,,,,,
,Advisory councils,11,11,,,0,,0.306641,,,,,,,,,,,
,MSFD Reporting Units,20,20,,,0,,0.03125,,,,,,,,,,,
Pipelines,Pipelines (actual routes),3951,3951,,,0,,0.00838,,,,,,,,,,,
Cables,Telecomunicatiom cables  (actual routes),854,854,,,0,,0.00119,,,,,,,,,,,
,Power cables  (actual routes),1186,1186,,,0,,0.00909,,,,,,,,,,,
Waste disposal,"Dumped munitions, points",9298,9298,,,0,,0.00263,,,,,,,,,,,
,"Dumped munitions, polygons",278,278,,,0,,,,,,,,,,,,,
,"Dredge spoil dumping, points",2271,2271,4173,4173,0,0,0.00146484,,,,,,,,,,,
,"Dredge spoil dumping, polygons",3200,3200,5063,5063,0,0,,,,,,,,,,,,
,UWW Treatment Plants,12774,12774,48609,48609,0,0,0.025,,,,,,,,,,,
,UWW Discharge Points,15149,15149,46379,46379,0,0,0.023,,,,,,,,,,,
,Waste at ports,122,122,363,363,0,0,0.00068,,,,,,,,,,,
Wind farms,Wind Farms points (centroid),672,672,,,0,,0.00137,,,,,,,,,,,
,Wind Farms areas,642,642,,,0,,,,,,,,,,,,,
Nuclear power plants,Nuclear Power plants sites,45,45,121,121,0,0,0.00069427,,,,,,,,,,,
Military zones,"Military zones, points",46,46,,,0,,0.00139,,,,,,,,,,,
,"Military zones, polygons",746,746,,,0,,,,,,,,,,,,,
MSP,Spatial Plan areas,20,20,,,0,,0.0897,,,,,,,,,,,
,"Supplementary regulation, polygons",20,20,,,0,,,,,,,,,,,,,
,"Zoning element, polygons",3495,3495,,,0,,,,,,,,,,,,,
,"Zoning element, lines",374,374,,,0,,,,,,,,,,,,,
,"Zoning elements, points",521,521,,,0,,,,,,,,,,,,,
Desalination,Desalination plants,955,955,3911,3911,0,0,0.00328125,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Volume unit,Sea-basins [5],,,,,,,,,,,,,,,,,,
"Indicate here unit of measurement: % area, or number of platforms/CDIs/ records or…?",,"Atlantic EEA (North East Atlantic Ocean, Macaronesia, Iceland Sea, Norwegian Sea, Celtic Seas, Bay of Biscay and Iberian coast, White Sea, Barents Sea)",,Arctic (not defined by EEA shapefile) [6],,Baltic Sea EEA,,Black Sea EEA,,"Med Sea EEA (Adriatic Sea, Ionian Sea and the Central Mediterranean Sea, Western Meditarranean Sea, Aegean-Levantine Sea)",,Greater North Sea EEA,,Caspian Sea (not defined by EEA shapefile),,Caribbean Sea (not defined by EEA shapefile),,Other Seas (Other regions not defined by EEA shapefiles),
Sub-theme [2],,Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number)
Aggregate extraction,Aggregate Extraction points,,,,,,,,,,,,,,,,,,
,Aggregate Extraction areas,,,,,,,,,,,,,,,,,,
Cultural heritage,Ship Wrecks MACHU EU project,,,,,,,,,,,,,,,,,,
,Ship Wrecks,,,,,,,,,,,,,,,,,,
,Lighthouses,,,,,,,,,,,,,,,,,,
,Submerged Prehistoric Archaeology and Landscapes,,,,,,,,,,,,,,,,,,
,Worldwide wrecks location (UK Hydrographic Office),,,,,,,,,,,,,,,,,,
Dredging,Dredging,,,,,,,,,,,,,,,,,,
Environment,Nationally designated areas (CDDA),1,,,,1,,1,,1,,1,,,,,,,
,"Natura 2000 sites, areas",1,,,,1,,1,,1,,1,,,,,,,
,Regional Sea Conventions MPAs,1,,,,1,,1,,1,,1,,,,,,,
,World Database on Protected Areas (WDPA),,,,,,,,,,,,,,,1,,,
,"Emerald Network, areas",1,,,,1,,1,,1,,1,,,,,,,
,State of bathing waters,1,,,,1,,1,,1,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fisheries,FAO fishery statistical areas,1,,,,1,,1,,1,,1,,,,,,,
,ICES statistical areas,1,,,,1,,,,,,1,,,,,,,
,Fishery catches by FAO statistical area,1,,,,1,,1,,1,,1,,,,,,,
,"Monthly first sales, EUMOFA",1,,,,1,,1,,1,,1,,,,,,,
,Fishing intensity,1,,,,1,,,,,,1,,,,,,,
,Fishing effort,1,,,,1,,1,,1,,1,,,,,,,
Oil and gas,Wells,,,,,,,,,,,,,,,,,,
,Active Licences,,,,,,,,,,,,,,,,,,
,Offshore installations,,,,,,,,,,,,,,,,,,
Main ports traffic,Goods,1,,,,1,,1,,1,,1,,,,,,,
,Passengers,,,,,,,,,,,,,,,,,,
,Vessels,,,,,,,,,,,,,,,,,,
Algae production,"Macroalgae, microalgae and spirulina production sites",,,,,,,,,,,,,,,,,,
Aquaculture,Shellfish production,,,,,,,,,,,,,,,,,,
,Finfish production,,,,,,,,,,,,,,,,,,
,Freshwater production,,,,,,,,,,,,,,,,,,
Ocean energy,Projects,,,,,,,,,,,,,,,,,,
,Test sites,,,,,,,,,,,,,,,,,,
Other forms of area management / designation,International conventions,1,,,,1,,1,,1,,1,,,,,,,
,"Maritime boundaries, lines",1,,,,1,,1,,1,,1,,,,,,,
,EEZ areas,1,,,,1,,1,,1,,1,,,,,,,
,Advisory councils,1,,,,1,,1,,1,,1,,,,,,,
,MSFD Reporting Units,1,,,,1,,1,,1,,1,,,,,,,
Pipelines,Pipelines (actual routes),,,,,,,,,,,,,,,,,,
Cables,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Telecomunicatiom cables  (actual routes),,,,,,,,,,,,,,,,,,
,Power cables  (actual routes),,,,,,,,,,,,,,,,,,
Waste disposal,Dumped munitions points,,,,,,,,,,,,,,,,,,
,Dumped munitions areas,,,,,,,,,,,,,,,,,,
,Dredge spoil dumping points,,,,,,,,,,,,,,,,,,
,Dredge spoil dumping areas,,,,,,,,,,,,,,,,,,
,UWW Treatment Plants,1,,,,1,,1,,1,,1,,,,,,,
,UWW Discharge Points,1,,,,1,,1,,1,,1,,,,,,,
,Waste at ports,,,,,,,,,,,,,,,,,,
Wind farms,Wind Farms points (centroid),,,,,,,,,,,,,,,,,,
,Wind Farms areas,,,,,,,,,,,,,,,,,,
Nuclear power plants,Nuclear Power plants sites,1,,,,1,,1,,1,,1,,,,,,,
Military zones,Military zones points,,,,,,,,,,,,,,,,,,
,Military zones areas,,,,,,,,,,,,,,,,,,
MSP,Spatial Plan areas,,,,,,,,,,,,,,,,,,
,"Supplementary regulation, areas",,,,,,,,,,,,,,,,,,
,"Zoning element, areas",,,,,,,,,,,,,,,,,,
,"Zoning element, lines",,,,,,,,,,,,,,,,,,
,"Zoning elements, points",,,,,,,,,,,,,,,,,,
Desalination,Desalination plants,1,,,,1,,1,,1,,1,,,,,,,
Please highlight newly added data within this reporting period.,,,,,,,,,,,,,,,,,,,
"[1] Indicate the volume unit of measurement: “records”, ""CDI"", “data sets”, or “platforms”. ",,,,,,,,,,,,,,,,,,,
[2] The list of sub-themes is provided in the first tab.,,,,,,,,,,,,,,,,,,,
[3] Trend is calculated from the figures at the end of the last quarter as compared with the figures at this stage.,,,,,,,,,,,,,,,,,,,
Explanation of trend value in the narrative.,,,,,,,,,,,,,,,,,,,
[4] Decimal definition 1 GB = 1000^3 bytes.,,,,,,,,,,,,,,,,,,,
[5] Total % sea-basin area covered by all data or number of CDIs/platforms/records in this area (left column) ; % area covered by data added in this phase or number of CDIs/platforms/records added this phase (right column).,,,,,,,,,,,,,,,,,,,
"Please feel free to record the areas as you did in the past, if you have problems with this lay-out. If you do that, please record this fact in the narrative.",,,,,,,,,,,,,,,,,,,
[6] Please note that the data that occur in the Arctic will also occur in the other areas.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.B) Usage of data in this quarter,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Manual download unit [1],,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,Human Activities,Datasets,,,,,,,,,,,,,,,,,
,,Trend on data,,,,,Web service Trends,,,,,,,,,,,,
Name of sub-theme/ interface,Breakdown of sub-theme,Unit and Total Volume available for download [2],Total Volume downloaded in GigaBytes [3],"Number of manual downloads 
(this quarter)","Number of manual downloads
(previous quarter)",Trend number of downloads (%) [4],Number of Map visualisations (this quarter),Number of Map visualisations (previous quarter),Trend number of map visualisations (%) [4],Number of WMS requests (this quarter),"Number of WMS requests 
(previous quarter)",Trend number of WMS requests (%) [4],"Number of WFS requests 
(this quarter)","Number of WFS requests 
(previous quarter)",Trend number of WFS requests (%) [4],,,,
Aggregate Extraction,Aggregate Extraction points/areas,1,0.08916,58,97,-0.4020618556701031,n.a.,n.a.,n.a.,87340,105922,-0.17543097751175393,2943,3822,-0.22998430141287285,,,,
