Indicator 2: Current status and coverage of total number of data products,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
The purpose of this sheet is to provide a status overview of the different sub-theme data products available on the portal and the download frequency by users,,,,,,,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" below",,,,,,,,,,,,,,,,,,
2.A) Volume and coverage of available data products,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Total number of built data products in portal [1],Total number of external data products in portal [1],,,,,,,,,,,,,,,
2025-07-01 00:00:00,Human Activities,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sub-theme [2],"Name of the data product 
(description in the narrative)",Date product was built/ updated,Is the product built internally or externally?,Total number of products per sub-theme,Total number of products per sub-theme (previous quarter),Trend in total number of products (%) [3],Total data product Volume in GigaBytes [4],,,,,,,,,,,
Vessel density,Vessel density Map Grid Feature dataset,2024-03-01 00:00:00,Internally,20969020,20969020,0,10.08,,,,,,,,,,,
,Other,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Fishing,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Service,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Dredging or underwater ops,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Sailing,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Pleasure Craft,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,High speed craft,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Tug and towing,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Passenger,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Cargo,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Tanker,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Military and Law Enforcement,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,Unknown,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
,All,2024-03-01 00:00:00,,91,91,0,,,,,,,,,,,,
Route density,Cargo,2025-05-01 00:00:00,Externally,108,101,0.06930693069306931,3.11,,,,,,,,,,,
,Fishing,2025-05-01 00:00:00,,108,101,0.06930693069306931,,,,,,,,,,,,
,Passenger,2025-05-01 00:00:00,,108,101,0.06930693069306931,,,,,,,,,,,,
,Tanker,2025-05-01 00:00:00,,108,101,0.06930693069306931,,,,,,,,,,,,
,Other,2025-05-01 00:00:00,,108,101,0.06930693069306931,,,,,,,,,,,,
,All,2025-05-01 00:00:00,,108,101,0.06930693069306931,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Volume unit,Sea-basins [5],,,,,,,,,,,,,,,,,
"Indicate here unit of measurement: % area, or number of platforms/CDIs/ records or…?","Atlantic EEA (North East Atlantic Ocean, Macaronesia, Iceland Sea, Norwegian Sea, Celtic Seas, Bay of Biscay and Iberian coast, White Sea, Barents Sea)",,Arctic (not defined by EEA shapefile) [6],,Baltic Sea EEA,,Black Sea EEA,,"Med Sea EEA (Adriatic Sea, Ionian Sea and the Central Mediterranean Sea, Western Meditarranean Sea, Aegean-Levantine Sea)",,Greater North Sea EEA,,Caspian Sea (not defined by EEA shapefile),,Caribbean Sea (not defined by EEA shapefile),,Other Seas (Other regions not defined by EEA shapefiles),
Sub-theme [2],Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number),Total area coverage (total %) or data density (number),Added this quarter (% or number)
Vessel density,1,,,,1,,1,,1,,1,,0,,0,,0,
Route density,1,,,,1,,1,,1,,1,,0,,0,,0,
[1] Total number of (external) data products.,,,,,,,,,,,,,,,,,,
[2] The list of sub-themes is provided in the first tab.,,,,,,,,,,,,,,,,,,
[3] Trend is calculated from the figures at the end of the last quarter as compared with the figures at this stage.,,,,,,,,,,,,,,,,,,
Explanation of trend value in the narrative.,,,,,,,,,,,,,,,,,,
[4] Decimal definition 1 GB = 1000^3 bytes,,,,,,,,,,,,,,,,,,
[5] Product Density: How much products available per sea-basin. Calculate total % area covered by all products or total number of products per sea-bason; indicate % area covered by products added in this quarter or number of products added in this quarter.,,,,,,,,,,,,,,,,,,
"Please feel free to record the areas as you did in the past, if you have problems with this lay-out. If you do that, please record this fact in the narrative.",,,,,,,,,,,,,,,,,,
[6] Please note that the data that occur in the Arctic will also occur in the other areas.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2.B) Usage of data products in this quarter,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Manual download unit [1],,,,,,,,,,,,,,,,
2025-07-01 00:00:00,Human Activities,Datasets,,,,,,,,,,,,,,,,
,,,Trend on data products,,,,,Web service Trends,,,,,,,,,,
Name of sub-theme/ interface,Breakdown of sub-theme,Is it: a Data product or an External product?,Unit and Total Volume available for download [2],Total Volume downloaded in GigaBytes [3],"Number of manual downloads 
(this quarter)","Number of manual downloads
(previous quarter)",Trend # of manual downloads (%) [4],Number of Map visualisations (this quarter),Number of Map visualisations (previous quarter),Trend # of map visualisations (%) [4],Number of WMS requests (this quarter),"Number of WMS requests 
(previous quarter)",Trend # of WMS requests (%) [4],"Number of WFS requests 
(this quarter)","Number of WFS requests 
(previous quarter)",Trend # of WFS requests (%) [4],,
Vessel density,n.a.,Internal,29,685.26991,2004,1739,0.15238642898217367,n.a.,n.a.,n.a.,1644076,1066381,0.5417341456758888,n.a.,n.a.,n.a.,,
Route density,n.a.,External,18,291.1135200000001,2366,1540,0.5363636363636364,n.a.,n.a.,n.a.,383123,208816,0.8347396751206804,n.a.,n.a.,n.a.,,
"[1] Define unit of manual download (e.g. datasets, requests, records, …); additional explanation can be provided in the narrative.",,,,,,,,,,,,,,,,,,
[2] Indicate the unit and total volume of downloadable items in relation to the unit in which they are downloadable (e.g. the total volume or number of CDIs/records/datasets/... available for download) – clearly specify the unit.,,,,,,,,,,,,,,,,,,
[3] Decimal definition 1 GB = 1000^3 bytes.,,,,,,,,,,,,,,,,,,
[4] Trend compares the result with previous period.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Explanation of the trends and statistics,,,,,,,,,,,,,,,,,,
2A) Volume and coverage of available data products,"Increase in volume of route density, due to monthly updates",,,,,,,,,,,,,,,,,
2B) Usage of data products in this quarter,Increase in both number of downloads and web service requests. Most likely a regression to the mean after a decrease in the previous quarter,,,,,,,,,,,,,,,,,
