column,dtype,non_null,null
Unnamed: 0,object,652,0
Unnamed: 1,object,652,0
Unnamed: 2,object,652,0
Unnamed: 3,object,652,0
Unnamed: 4,object,652,0
Unnamed: 5,object,652,0
Unnamed: 6,object,652,0
Unnamed: 7,object,652,0
For anthrophony studies,object,645,7
Unnamed: 9,object,645,7
Unnamed: 10,object,645,7
Unnamed: 11,object,645,7
Unnamed: 12,object,645,7
Unnamed: 13,object,645,7
Unnamed: 14,object,645,7
Unnamed: 15,object,645,7
For bio- or geo-phony studies,object,8,644
Unnamed: 17,object,8,644
Unnamed: 18,object,8,644
