Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,For anthrophony studies,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,For bio- or geo-phony studies,Unnamed: 17,Unnamed: 18
First author,Title,Journal,Year,Anthrophony,Biophony,Geophony,Multiple entries for multiple effect categories or taxonomic groups,Species assessed (Latin name),Taxonomic group,Taxonomic sub-group (panel A),Noise source (panel B),Effect category (panel C),Effect sub-category (panel D),Statistical outcome,Mitigation approach considered?,Ecosystem,Effect on soundscape description,Statistical outcome
Amano,Long-term effectiveness of pingers on a small population of finless porpoises in Japan,ENDANGERED SPECIES RESEARCH,2017,YES,NO,NO,NO,Neophocaena phocaenoide,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Anderson,"Sound, stress, and seahorses: The consequences of a noisy environment to animal health",AQUACULTURE,2011,YES,NO,NO,YES,Hippocampus erectus,Fish,Fish,Other,Behavioural,Behavioural state change,Significant effect,NO,,,
Anderson,"Sound, stress, and seahorses: The consequences of a noisy environment to animal health",AQUACULTURE,2011,YES,NO,NO,YES,Hippocampus erectus,Fish,Fish,Other,Physical,Growth or body condition,Significant effect,NO,,,
Anderson,"Sound, stress, and seahorses: The consequences of a noisy environment to animal health",AQUACULTURE,2011,YES,NO,NO,YES,Hippocampus erectus,Fish,Fish,Other,Physiological,Physiological response,Significant effect,NO,,,
Anderwald,"Displacement responses of a mysticete, an odontocete, and a phocid seal to construction-related vessel traffic",ENDANGERED SPECIES RESEARCH,2013,YES,NO,NO,YES,Balaenoptera acutorostrata,Mammal,Mysticete,Infrastructure,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Anderwald,"Displacement responses of a mysticete, an odontocete, and a phocid seal to construction-related vessel traffic",ENDANGERED SPECIES RESEARCH,2013,YES,NO,NO,YES,Tursiops sp,Mammal,Odontocete,Infrastructure,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Anderwald,"Displacement responses of a mysticete, an odontocete, and a phocid seal to construction-related vessel traffic",ENDANGERED SPECIES RESEARCH,2013,YES,NO,NO,YES,Halichoerus grypus,Mammal,Pinnipeds & sirenians,Infrastructure,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Ando-Mizobata,Does boat noise affect dugong (Dugong dugon) vocalization?,MAMMAL STUDY,2014,YES,NO,NO,NO,Dugong dugon,Mammal,Pinnipeds & sirenians,Vessel,Behavioural,Vocalisation,Significant effect,NO,,,
André,Low frequency sounds induce acoustic trauma in cephalopods,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2011,YES,NO,NO,NO,Multiple,Invert,Invertebrate,Synthetic,Physical,Altered hearing ability,No statistical test,NO,,,
Andriguetto,Evaluating the impact of seismic prospecting on artisanal shrimp fisheries,CONTINENTAL SHELF RESEARCH,2005,YES,NO,NO,NO,Multiple,Invert,Invertebrate,Seismic,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Antunes,High thresholds for avoidance of sonar by free-ranging long-finned pilot whales (Globicephala melas),MARINE POLLUTION BULLETIN,2014,YES,NO,NO,NO,Globicephala melas,Mammal,Odontocete,Sonar,Behavioural,Vocalisation,Significant effect,NO,,,
Arcangeli,The short term impact of dolphin watching on the behaviour of bottlenose dolphins (Tursiops truncatus) in Western Australia,JOURNAL OF MARINE ANIMALS AND THEIR ECOLOGY,2009,YES,NO,NO,NO,Tursiops truncatus,Mammal,Odontocete,Vessel,Behavioural,Multiple behavioural impacts,Significant effect,NO,,,
Arias,Impact of whale-watching on Southern Right Whale (Eubalaena australis) in Patagonia: Assessing the effects from its beginnings in the context of population growth,TOURISM MANAGEMENT PERSPECTIVES,2018,YES,NO,NO,NO,Eubalaena australis,Mammal,Mysticete,Vessel,Behavioural,Evasion or startle,No statistical test,NO,,,
Au,Movement and speed of dolphin schools responding to an approaching ship,FISHERY BULLETIN,1982,YES,NO,NO,NO,Multiple,Mammal,Odontocete,Vessel,Behavioural,Multiple behavioural impacts,No statistical test,NO,,,
Ayadi,Do pingers reduce interactions between bottlenose dolphins and trammel nets around the Kerkennah Islands (Central Mediterranean Sea) ?,CAHIERS DE BIOLOGIE MARINE,2008,YES,NO,NO,YES,Multiple,Fish,Fish,ADD,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Ayadi,Do pingers reduce interactions between bottlenose dolphins and trammel nets around the Kerkennah Islands (Central Mediterranean Sea) ?,CAHIERS DE BIOLOGIE MARINE,2008,YES,NO,NO,YES,Tursiops truncatus,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Azzara,Mixed-methods analytic approach for determining potential impacts of vessel noise on sperm whale click behavior,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2013,YES,NO,NO,NO,Physeter macrocephalus,Mammal,Odontocete,Vessel,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Bakhchina,Spectral analysis of heart rate variability in the beluga (Delphinapterus leucas) during exposure to acoustic noise,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,2015,YES,NO,NO,NO,Delphinapterus leucas,Mammal,Odontocete,Synthetic,Physiological,Physiological response,Significant effect,NO,,,
Balcomb,A mass stranding of cetaceans caused by naval sonar in the Bahamas,BAHAMAS JOURNAL OF SCIENCE,2001,YES,NO,NO,NO,Multiple,Mammal,Odontocete,Sonar,Mortality,Observed mortality,No statistical test,NO,,,
Banner,Effects of noise on eggs and larvae of two estuarine fishes,TRANS. AM. FISH. SOC,1973,YES,NO,NO,YES,Multiple,Fish,Fish,Other,Demographic,Egg/larval development,No significant effect,NO,,,
