Figure panel,Division category,Group,Non-significant,No statistical test,Significant,Total,Total with statistical test,Percentage with a statistical test that reported a significant effect
A,Taxa,Mammal,25,49,258,332,283,91.16607773851591
A,Taxa,Fish,26,11,116,153,142,81.69014084507043
A,Taxa,Invertebrate,14,7,61,82,75,81.33333333333333
A,Taxa,Bird,0,0,2,2,2,100.0
A,Taxa,Reptile,1,2,1,4,2,50.0
A,Taxa sub-group,Cetacean,21,42,229,292,250,91.60000000000001
A,Taxa sub-group,Odontocete,10,35,166,211,176,94.31818181818183
A,Taxa sub-group,Mysticete,11,7,63,81,74,85.13513513513513
A,Taxa sub-group,Pinnipeds and sirenians,4,7,29,40,33,87.87878787878788
B,Noise source,Infrastructure,9,3,42,54,51,82.35294117647058
B,Noise source,Seismic,20,15,58,93,78,74.35897435897436
B,Noise source,Sonar,6,10,54,70,60,90.0
B,Noise source,Synthetic,7,17,71,95,78,91.02564102564102
B,Noise source,Vessel,9,17,167,193,176,94.88636363636364
B,Noise source,Other,13,6,23,42,36,63.888888888888886
B,Noise source,Multiple,2,1,23,26,25,92.0
C,Effect category,Behavioural,21,38,263,322,284,92.6056338028169
C,Effect category,Presence/Absence,12,9,66,87,78,84.61538461538461
C,Effect category,Physical,11,11,41,63,52,78.84615384615384
C,Effect category,Physiological,5,1,52,58,57,91.22807017543859
C,Effect category,Mortality,11,9,6,26,17,35.294117647058826
C,Effect category,Demographic,6,1,11,18,17,64.70588235294117
D,Effect sub-category,Multiple behavioural impacts,0,4,53,57,53,100.0
D,Effect sub-category,Compromised anti-predator response,0,0,13,13,13,100.0
D,Effect sub-category,Sensory processing and cognition,0,5,8,13,8,100.0
D,Effect sub-category,Vocalisation,3,2,46,51,49,93.87755102040816
D,Effect sub-category,Behavioural state change,10,11,104,125,114,91.22807017543859
D,Effect sub-category,Evasion or startle,8,16,38,62,46,82.6086956521739
D,Effect sub-category,Presence/Absence,12,9,66,87,78,84.61538461538461
D,Effect sub-category,Altered hearing ability,3,10,29,42,32,90.625
D,Effect sub-category,Growth or body condition,5,0,9,14,14,64.28571428571429
D,Effect sub-category,Barotrauma,3,1,3,7,6,50.0
D,Effect sub-category,Physiological change,5,1,52,58,57,91.22807017543859
D,Effect sub-category,Mortality,11,9,6,26,17,35.294117647058826
D,Effect sub-category,Fecundity change,1,1,3,5,4,75.0
D,Effect sub-category,Egg/larval development,5,0,8,13,13,61.53846153846154
,Harmful effects of noise,All noise pollution studies,66,69,438,573,504,86.90476190476191
,Beneficial uses of noise,ADDs and music combined,16,3,52,71,68,76.47058823529412
,Beneficial uses of noise,ADD effects on mammals,6,3,43,52,49,87.75510204081633
,Beneficial uses of noise,ADD effects on fishes,9,0,4,13,13,30.76923076923077
,Beneficial uses of noise,Music,1,0,5,6,6,83.33333333333334
,Fitness,Sum of mortality and demographic categories,17,10,17,44,34,50.0
,Evasive action and displacement,Sum of presence/absence and evasion or startle sub-categories,20,25,104,149,124,83.87096774193549
,Bio- and geo-phony,Human-altered natural soundscapes reduce settlement,0,0,7,7,7,100.0
