"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Integration of Sustainable Governance in Improving the Economy of Coastal Communities Based on Blue Economy in Southwest Papua Province","https://scispace.com/paper/integration-of-sustainable-governance-in-improving-the-48w7x4omxi3q","2025","Journal Article","KnE Social Sciences","Rahman Rahman
Muh. Akmal Ibrahim
Muhammad Musa'ad","10.18502/kss.v10i18.19550","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses qualitative case study of Southwest Papua coastal communities to link blue‑economy concepts with social‑science analysis, identifies data and coordination gaps, informs policy, and shows cross‑sector collaboration.","To reduce the overexploitation of natural resources and the environment, it is necessary to pay attention to improving the economy of coastal communities based on the blue economy. This research aims to analyze the principle of integration in sustainable governance in improving the economy of coastal communities based on the blue economy in Southwest Papua Province. This research used a qualitative approach. Data collection methods included observation, in-depth interviews, and documentation. Data sources consisted of primary and secondary data, while data analysis was conducted using interactive methods. The informants in this research are stakeholders who are directly involved in improving the economy of coastal communities in Southwest Papua Province. The results show that integration in sustainable governance is realized through collaboration between local governments, traditional institutions, academics, and indigenous peoples in coastal area management. The transdisciplinary approach has begun to be applied by integrating knowledge, local cultural values, and blue economy-based policies. Blue economy-based programs such as sustainable fisheries, ecotourism, and mariculture have been implemented. However, integration still faces problems such as the lack of integrated data, weak coordination between sectors, and limited capacity of indigenous peoples. Nevertheless, the support of the special autonomy policy and the commitment of the local government is one of the key factors in improving the economy of coastal communities based on the blue economy. "
"Strategies for addressing conflicts arising from blue growth initiatives: insights from three case studies in South Africa","https://scispace.com/paper/strategies-for-addressing-conflicts-arising-from-blue-growth-328dtdxrjy","2023","Journal Article","Maritime studies","Merle Sowman
Philile Mbatha
Johanna von Holdt","10.1007/s40152-023-00341-1","https://link.springer.com/content/pdf/10.1007/s40152-023-00341-1.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses South African blue‑growth case studies to expose conflict drivers, gaps, and governance challenges; applies qualitative social‑science analysis; offers policy insights; limited explicit interdisciplinary work.","Abstract South Africa has vigorously embraced the concept of the ‘blue economy’ and is aggressively pursuing a blue growth strategy to expand the ocean economy, create jobs, and alleviate poverty. However, many of these ‘blue initiatives’ are leading to conflicts amongst various stakeholders with different histories, relationships with resources and areas, worldviews, and values. Investment in the ocean economy is being prioritized by government and planning, environmental assessment, and decision-making processes are being fast-tracked. Consequently, historical inequities as well as environmental and social justice considerations are not being given due consideration. Communities are not being effectively consulted. This has resulted in tensions and conflicts amongst proponents of these projects and local communities living in areas affected by these initiatives. We examine the drivers of conflict and then explore the strategies that local communities and their social partners have employed in these case studies to challenge contentious developments, defend coastal and marine areas, and make their voices heard. The cases involve conflicts over air quality in an expanding marine industrial zone at Saldanha Bay, prospecting and mining applications in the vicinity of the Olifants Estuary in the Western Cape, and the expansion of the Richard’s Bay Port, mining activities, and conservation initiatives in KwaZulu-Natal. The barriers and potential opportunities to opening up deliberative spaces, shifting values and views, and co-producing knowledge, in contexts that are characterised by structural inequality, poverty, and power asymmetries, are discussed. "
"Putting coastal communities at the center of a sustainable blue economy: A review of risks, opportunities, and strategies","https://scispace.com/paper/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db","2023","Journal Article","Frontiers in political science","Louisa Evans
P.M. Buchan
Matt Fortnam
M B Honig
Louise Heaps","10.3389/fpos.2022.1032204","https://scispace.com/pdf/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses community‑centered review to link social‑science theory with blue‑economy goals, outlines gaps and biases, discusses governance, and cites interdisciplinary work; limited empirical case detail.","New approaches to ocean governance for coastal communities are needed. With few exceptions, the status quo does not meet the diverse development aspirations of coastal communities or ensure healthy oceans for current and future generations. The blue economy is expected to grow to USD2.5–3 trillion by 2030, and there is particular interest in its potential to alleviate poverty in Least Developed Countries and Small Island Developing States, and to support a blue recovery from the COVID-19 pandemic. This paper presents a selective, thematic review of the blue economy literature to examine: (i) the opportunities and risks for coastal communities, (ii) the barriers and enablers that shape community engagement, and (iii) the strategies employed by communities and supporting organizations, which can be strengthened to deliver a ‘sustainable' blue economy and improve social justice for coastal communities. Our review finds that under business-as-usual and blue growth, industrial fisheries, large-scale aquaculture, land reclamation, mining, and oil and gas raise red flags for communities and marine ecosystems. Whereas, if managed sustainably, small-scale fisheries, coastal aquaculture, seaweed farming and eco-tourism are the most likely to deliver benefits to communities. Yet, these are also the sectors most vulnerable to negative and cumulative impacts from other sectors. Based on our evaluation of enablers, barriers and strategies, the paper argues that putting coastal communities at the center of a clear vision for an inclusive Sustainable Blue Economy and co-developing a shared and accessible language for communities, practitioners and policy-makers is essential for a more equitable ocean economy, alongside mainstreaming social justice principles and integrated governance that can bridge different scales of action and opportunity."
"Securing a Just Space for Small-Scale Fisheries in the Blue Economy","https://scispace.com/paper/securing-a-just-space-for-small-scale-fisheries-in-the-blue-3ohirqrq1r","2019","Journal Article","Frontiers in Marine Science","Philippa J. Cohen
Philippa J. Cohen
Edward H. Allison
Edward H. Allison
Neil L. Andrew
Joshua E. Cinner
Louisa Evans
Louisa Evans
Michael Fabinyi
Len R. Garces
Stephen J. Hall
Christina C. Hicks
Christina C. Hicks
Christina C. Hicks
Terry P. Hughes
Svein Jentoft
David J. Mills
David J. Mills
Rosalie Masu
Emmanuel K. Mbaru
Blake D. Ratner","10.3389/FMARS.2019.00171","https://scispace.com/pdf/securing-a-just-space-for-small-scale-fisheries-in-the-blue-3ohirqrq1r.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses social‑science insights to critique blue‑economy policies for small‑scale fisheries, identifies gaps in research and governance, presents community case evidence, and calls for interdisciplinary solutions.","The vast developmental opportunities offered by the world's coasts and oceans have attracted the attention of governments, private enterprises, philanthropic organizations, and international conservation organizations. High-profile dialogue and policy decisions on the future of the ocean are informed largely by economic and ecological research. Key insights from the social sciences raise concerns for food and nutrition security, livelihoods and social justice, but these have yet to gain traction with investors and the policy discourse on transforming ocean governance. The largest group of ocean-users - women and men who service, fish and trade from small-scale fisheries (SSF) - argue that they have been marginalized from the dialogue between international environmental and economic actors that is determining strategies for the future of the ocean. Blue Economy or Blue Growth initiatives see the ocean as the new economic frontier and imply an alignment with social objectives and SSF concerns. Deeper analysis reveals fundamental differences in ideologies, priorities and approaches. We argue that SSF are being subtly and overtly squeezed for geographic, political and economic space by larger scale economic and environmental conservation interests, jeopardizing the substantial benefits SSF provide through the livelihoods of millions of women and men, for the food security of around four billion consumers globally, and in the developing world, as a key source of micro-nutrients and protein for over a billion low-income consumers. Here, we bring insights from social science and SSF to explore how ocean governance might better account for social dimensions of fisheries."
"(In)justice and the blue economy","https://scispace.com/paper/in-justice-and-the-blue-economy-2odpodt2","2022","Journal Article","The Geographical Journal","Celine Germond-Duret
C. Patrick Heidkamp
John P. Morrissey","10.1111/geoj.12483","https://scispace.com/pdf/in-justice-and-the-blue-economy-2odpodt2.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses justice‑centered frameworks to link social‑science theory with blue‑economy case studies across coastal communities; identifies gaps like sea‑blindness; proposes transdisciplinary methods; offers policy‑relevant governance models; demonstrates collaboration between social and natural sciences.","While the ocean space has long been ignored by social sciences, the past 15 years have witnessed an increased interest in the marine environment by scholars in Human Geography. The academic literature on the blue economy, almost non-existent a few years ago, is now burgeoning. The academic debate has offered some critical assessment of blue economy initiatives, but more needs to be done to address the true place of environmental protection within a blue economy, and to put people at the centre of concerns and analyses. Of particular concern, is the ambiguity of the blue economy concept and the confusion over its social and environmental sustainability, which can ultimately result in harmful practices. An important question is then how should social scientists in general and geographers, specifically, engage with these debates, and in particular how should the potential human and social costs of the blue economy be investigated and addressed while assuring justice and fairness? The papers presented here share the vision that environmental sustainability, justice and equality should be at the heart of the blue economy; not just conceptually, but practically too. The papers pursue efforts to identify blue economy risks and the mechanisms through which they occur; assess the place of inclusion and participation in a sustainable blue economy; define what blue economy policies should include to drive just and sustainable practices; and identify where the dominant understandings of the blue economy and its priorities are coming from. In other words, they put considerations of justice and broader cultural structures at the centre of their concerns and analysis. They also highlight the need to bypass geographical boundaries and gain insights from other disciplines and methodologies to grasp such an encompassing concept, and foster not just a blue economy with social justice, but a blue economy for social justice. "
"Assessing knowledge gaps and management needs to cope with barriers for environmental, economic, and social sustainability of marine recreational fisheries: the …","https://scispace.com/paper/pQA6rTe0HzUJ","","","","P Pita
J Alós
M Antelo
I Artetxe","","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.00023/pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses marine recreational fisheries to illustrate blue‑economy sustainability, identifies clear research gaps, discusses governance, applies mixed social‑science methods, includes community case insights, and hints at cross‑disciplinary work.",""
"Inquiry into the Potential of Stakeholder-Driven Sustainable Blue Economy Strategies to Bolster Resilience in Marine and Coastal Ecosystem Services","https://scispace.com/paper/inquiry-into-the-potential-of-stakeholder-driven-sustainable-r0xd4v8uja5o","2025","Journal Article","","Alice Guittard
Susa Niiranen
Anastasiya Laznya
Phoebe Koundouri","10.5194/oos2025-319","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses stakeholder co‑production to design blue‑economy pathways, applies a qualitative framework, and presents Black Sea coastal case data; articulates gaps and policy relevance, with modest interdisciplinary links.","The Ocean, with its distinctive habitats and bountiful resources serves as a crucial asset for coastal communities. However, it faces mounting threats from various anthropogenic stressors, including pollution, eutrophication, overfishing, invasive species, biodiversity decline. Concurrently, national strategies are being implemented to boot the Blue Economy, which relies heavily on the proper functioning of marine ecosystem services which depend on the good environmental status of marine biodiversity. This underscores the pressing need to prioritize actions aimed at nurturing healthy, resilient, and productive marine ecosystems. In response to these challenges, the BRIDGE-BS project engaged local stakeholders at the science-policy-society interface, including public and private representatives of blue economy sectors, academia and NGOs, from the coastal Black Sea regions in a collaborative effort to develop transformative pathways for fostering a sustainable blue economy. Employing a goal-oriented, interactive system-wide approach, the project facilitated the co-production of knowledge and co-design of interventions geared towards catalyzing transformative change within unsustainable maritime systems (i.e. fishery, coastal tourism, shipping and ports). The objective was to support the well-being of local communities socially and economically, while ensuring a good environmental status of marine ecosystems. The outcome is a comprehensive portfolio of short, mid, and long term actions intended to achieve sustainable objectives formulated through a future vision collaboratively developed with local stakeholders. Those actions range from ambitious environmental management measures to innovative solutions, including technological, social and institutional innovations. Furthermore, this research endeavors to evaluate the stakeholder-driven approach's efficacy in delivering sustainable outcomes by assessing its capacity to support the resilience of key ocean ecosystem services and mitigate the tendency to prioritize economic development over environmental conservation. To accomplish this, a qualitative framework was devised to address fundamental inquiries such as: the specific components of the system affected by proposed actions and their impacts on ecosystems; the ecosystem services (ES) to which these actions pertain and whether priority ES (i.e. provisioning of food, delivery of cultural recreational services; regulating and maintaining habitats functioning), deemed less resilient, are targeted; the identification of potentially lost or overlooked ES, and elucidation of any latent ecosystem services. Through such analysis, this research aims to explore the potential of stakeholder engagement co-production processes in nurturing resilient marine and coastal ecosystems while safeguarding against the undue prioritization of economic interests over environmental sustainability. "
"Challenging the blue economy: voices from artisanal fishing communities in Latin America and the Caribbean","https://scispace.com/paper/challenging-the-blue-economy-voices-from-artisanal-fishing-3enkppmx0l","2023","Journal Article","Development","Leopoldo Cavaleri Gerhardinger
Elyse Mills
Beatriz Mesquita
Vivienne Solis Rivera
Henrique Calori Kefalás
André Carlo Colonese","10.1057/s41301-023-00366-3","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses artisanal fishers’ voices to critique blue‑economy narratives, identifies literature gaps, applies qualitative social‑science methods, presents Caribbean case studies, offers policy recommendations, and references limited natural‑science co‑authorship.",""
"Fiscal reforms for sustainable marine fisheries governance: Delivering the SDGs and ensuring no one is left behind","https://scispace.com/paper/fiscal-reforms-for-sustainable-marine-fisheries-governance-2wqamm4lyv","2017","Journal Article","Marine Policy","Essam Yassin Mohammed
Dave Steinbach
Paul Steele","10.1016/J.MARPOL.2017.05.017","https://www.academia.edu/download/93733733/j.marpol.2017.05.01720221106-1-1ckx504.pdf","- **Relevance Score:** 99/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses fiscal reform analysis to link blue‑economy goals with community empowerment; highlights institutional gaps; discusses governance frameworks; includes coastal stakeholder insights; offers policy recommendations; blends economics, sociology, and marine policy.",""
"A bibliometric analysis of the marine fishing landscape in Africa and its implications for sustainable coastal communities' resilience and governance to the increasing …","https://scispace.com/paper/08fLvIju8YIJ","","","","LA Etta
B Matovu
I Lukambagire","","https://link.springer.com/content/pdf/10.1007/s44218-024-00059-5.pdf","- **Relevance Score:** 98/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses bibliometric and network analysis to map African fisheries, identifies literature gaps, applies quantitative social‑science methods, includes coastal community cases, informs governance, shows cross‑disciplinary links.",""
