"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"The EU Adopts an Integrated Maritime Policy and Action Plan: Is the U.S. Far Behind or Ahead?","https://scispace.com/paper/the-eu-adopts-an-integrated-maritime-policy-and-action-plan-67eu1jph7e","2010","Journal Article","Sustainable Development Law and Policy","Joan M. Bondareff","","https://scispace.com/pdf/the-eu-adopts-an-integrated-maritime-policy-and-action-plan-67eu1jph7e.pdf","- **Relevance Score:** 79/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes EU maritime policy, fisheries and shipping, and labor exclusion; offers policy ideas and pilot examples, but lacks interdisciplinary methods, quantitative data, and stakeholder analysis.",""
"Economy in colours: Blue Economy in the EU and the position of Croatia1","https://scispace.com/paper/LX0FbUAbhvoJ","","","","P Jakovac
M Pečarić
T Kusanović","","https://www.efri.uniri.hr/upload/Zbornik%20radova%20EDT/Dealing_with_uncertainty_27_06_2024.pdf#page=174","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses EU Blue Economy policy as core lens; analyses fisheries, tourism, aquaculture within that framework; mentions equity and social justice but without deep analysis; provides Croatia case study; offers some policy suggestions; blends economic and policy perspectives; lacks quantitative impact data; touches on stakeholder roles.",""
"The Future of Fisheries Co-Management in the Context of the Sustainable Blue Economy and the Green Deal: There Is No Green without Blue","https://scispace.com/paper/the-future-of-fisheries-co-management-in-the-context-of-the-1avw08i9","2023","Journal Article","Sustainability","Stella Kyvelou
Dimitrios G. Ierapetritis
Michalis Chiotinis","10.3390/su15107784","https://scispace.com/pdf/the-future-of-fisheries-co-management-in-the-context-of-the-1avw08i9.pdf","- **Relevance Score:** 73/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses EU Sustainable Blue Economy Strategy as core framework; analyses fisheries, tourism, ports, offshore energy within that context; mentions fishers' representation and community involvement but lacks deep justice analysis; provides Greek FLAGs examples and vague policy suggestions; does not employ interdisciplinary methods, quantitative impact metrics, or detailed stakeholder mapping.","Appropriate governance structures are extremely important for fishery-dependent communities in developing integrated territorial development strategies and an adaptive capacity for change, including a climate one. This paper assesses to what extent fishery co-management schemes (e.g., fishery LAGs, being regional/local governance instruments in fishing communities) are strengthening sustainability. The latter includes improving energy efficiency, promoting renewable energy sources (RES), coping with the climate crisis, minimizing environmental impacts, and promoting a sustainable blue economy. For detecting the policy aspects of aligning climate neutrality and a sustainable blue economy, the research lens focuses on the Greek Fisheries Local Action Groups (FLAGs), given that these are mostly located in coastal/marine and insular territories with significant blue growth potential. To map and assess their capacity and efficiency in pursuing Green Deal objectives, a co-development process with FLAG managers was put in place. The results and findings of this process reveal the scarcity of sustainability and blue-economy-related strategies. The key conclusion is that a transition to a post-carbon blue economy on a local level requires an understanding of the evolutionary dynamics of fishery co-management schemes. The latter, being multi-sectoral structures, may boost dialogue and cooperation to harmonize local development strategies and EU policies. Maritime spatial planning (MSP), as an evolutionary governance process itself, can be a driver for making FLAGs evolve and strengthen commonization, blue justice, and equity for fishers."
"Taking account of Land-Sea Interactions in Marine Spatial Planning","https://scispace.com/paper/taking-account-of-land-sea-interactions-in-marine-spatial-2yp8ni6piq","2019","Book Chapter","","Sue Kidd
Hannah Jones
Stephen Jay","10.1007/978-3-319-98696-8_11","https://scispace.com/pdf/taking-account-of-land-sea-interactions-in-marine-spatial-2yp8ni6piq.pdf","- **Relevance Score:** 65/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses EU Blue Growth context and value‑chain analysis to link offshore wind and short‑sea shipping to marine spatial planning; touches on employment impacts and policy guidance, but lacks deep justice framing, specific case studies, and detailed quantitative or stakeholder analyses.","This chapter reflects on marine/maritime spatial planning (MSP) from a Land-Sea Interaction (LSI) perspective. It raises questions about the role and limitations of MSP in addressing sustainable development of the world’s oceans as many of the issues it is concerned with are inextricably connected to activity on the land. The chapter starts by identifying LSI considerations in some of the key documents that are guiding the establishment of MSP. It then sets out a framework for considering LSI and explores the different dimensions with particular reference to examples from European experience. It ends with an exploration of how LSI matters might inform future directions for MSP and may be heralding a new era of Territorial Spatial Planning (TSP), which spans both land and sea."
"The EU Blue Economy Report 2020","https://scispace.com/paper/the-eu-blue-economy-report-2020-4uvjd8tllp","2020","","","Addamo, Anna, M.
Angel Calvo Santos
Natacha Carvalho
Jordi Guillen
Davide Magagna
Pena Castellot, Miguel, A.
Stefano Sarris
Yasmin Schinasi Romeu
Burke, Javier, Villar
Rita Araujo
Ciscar, Juan, Carlos
Helena Cavaco Viegas
Franca Contini
Jacques Delsalle
Vanda Dores
Mathieu Doussineau
Jean-Noël Druon
Philip Easthill
Michael Elliott
Cornelia Kreiß","","","- **Relevance Score:** 64/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses EU Blue Economy framework as core; analyses multiple sectors with data; lacks justice or labor focus; offers policy guidance and quantitative sector stats; includes member‑state snapshots and mentions stakeholder groups, but social‑justice analysis is absent.","In its third edition, the EU Blue Economy Report continues to analyse the scope and size of the Blue Economy in the European Union. It aims at providing support to policymakers and stakeholders in the quest for a sustainable development of oceans, coastal resources and, most notably, to the development and implemen-tation of polices and initiatives under the European Green Deal in line with the new approach for a sustainable Blue Economy. For the purposes of the Report, the Blue Economy includes all those activities that are marine-based or marine-related. Therefore, the Report examines not only established sectors (i.e. those that traditionally contribute to the Blue Economy) but also emerging (those for which reliable data are still developing) and innovative sectors, which bring new opportunities for investment and hold huge potential for the future development of coastal communities. Analyses are provided for the EU as a whole and by sector and industry for each Member State. The European Green Deal and the European Strategy for data will necessitate reliable, accurate and centralised data for its initiatives. This Report intends to serve as a useful input to assessing the potential of oceans and coasts for shifting to more sustainable economy and to supporting the development of policies in line with the strategic approach for a sustainable blue economy at all levels of governance. The third edition of the Report seeks to include new elements, which have an impact on the Blue Economy, including challenges like climate change, new sectors such as Submarine cables), enablers such as Maritime Spatial Planning, new areas of analysis such as Ecosystem Services or potential solutions like Multi-purpose platforms. The Blue Economy established sectors include the follow-ing seven sectors: Marine living resources, Marine non-living resources, Marine Renewable energy, Port activities, Shipbuilding and repair, Maritime transport and Coastal tourism. The analysis of these sectors is based on the data collected by the European Commission through Member States and the European Statistical System. Fisheries and aquaculture data were collected under the EU Data Collection Framework (DCF). Analyses for all other established sectors are based on Eurostat data from Structural Business Statistics (SBS), PRODCOM, National Accounts and tour-ism statistics..."
"Shaping Blue Growth: Social Sciences at the Nexus Between Marine Renewables and Energy Policy","https://scispace.com/paper/shaping-blue-growth-social-sciences-at-the-nexus-between-4yh72fvtsr","2018","Book Chapter","Springer International Publishing","Sandy Kerr
Laura Watts
Ruth Brennan
Rhys Howell
Marcello Graziano
Anne Marie O’Hagan
Dan van der Horst
Stephanie Weir
Glen Wright
Brian Wynne","10.1007/978-3-319-99097-2_3","https://scispace.com/pdf/shaping-blue-growth-social-sciences-at-the-nexus-between-4yh72fvtsr.pdf","- **Relevance Score:** 63/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses EU Blue Growth as core lens; focuses on offshore renewables only; discusses community engagement and cultural integration; offers qualitative recommendations; blends social science with marine tech; highlights developers, locals, policymakers; lacks multi‑sector analysis, case studies, quantitative metrics.","The development of the Marine Renewable Energy (MRE) industry is part of the EC Blue Growth Strategy. It brings together a range of relationships across people, sea, and energy, from developers to local communities and policymakers. This calls for diverse approaches, moving beyond an oppositional mindset to one that can establish an inclusive community around MRE development. Ownership of the marine environment is a legal issue, but MRE devices operate within a cultural and emotional sense of place. Early, sustained community engagement and advocacy is crucial to developing an industry whose impacts are likely to be felt before its social benefits materialise. Crucially, local communities could be supported by Social Sciences and Humanities (SSH) research in creating new mythologies and imaginaries through which MRE technologies become an integral part of their culture, as well as part of their biophysical environment. A complex physical, political, and legal environment provides the context for these new marine energy technologies, and its development provides opportunities for SSH research to address issues around the sea and to integrate into the design of new marine energy seascapes."
"Something old, something new: historical perspectives provide lessons for blue growth agendas","https://scispace.com/paper/something-old-something-new-historical-perspectives-provide-3d064flxfs","2020","Journal Article","Fish and Fisheries","Bryony A. Caswell
Bryony A. Caswell
Emily S. Klein
Heidi K. Alleway
Johnathan E. Ball
Julián Botero
Massimiliano Cardinale
Margit Eero
Georg H. Engelhard
Georg H. Engelhard
Tomaso Fortibuoni
Ana Judith Giraldo
Jonas Hentati-Sundberg
Peter Jones
John N. Kittinger
John N. Kittinger
Gesche Krause
Dmitry Lajus
Julia Lajus
Sally C. Y. Lau
Ann Katrien Lescrauwaet
Brian R. MacKenzie
Matthew McKenzie
Henn Ojaveer
Henn Ojaveer
John M. Pandolfi
Saša Raicevich
Bayden D. Russell
Andreas Sundelöf
Robert Thorpe
Philine S. E. zu Ermgassen
Ruth H. Thurstan","10.1111/FAF.12460","https://scispace.com/pdf/something-old-something-new-historical-perspectives-provide-3d064flxfs.pdf","- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses EU EC blue growth definition, cites tourism, energy, fisheries, but lacks deep policy analysis, justice focus, case studies, or robust quantitative and stakeholder work.","The concept of “blue growth,” which aims to promote the growth of ocean economies while holistically managing marine socioecological systems, is emerging within national and international marine policy. The concept is often promoted as being novel; however, we show that historical analogies exist that can provide insights for contemporary planning and implementation of blue growth. Using a case-study approach based on expert knowledge, we identified 20 historical fisheries or aquaculture examples from 13 countries, spanning the last 40–800years, that we contend embody blue growth concepts. This is the first time, to our knowledge, that blue growth has been investigated across such broad spatial and temporal scales. The past societies managed to balance exploitation with equitable access, ecological integrity and/or economic growth for varying periods of time. Four main trajectories existed that led to the success or failure of blue growth. Success was linked to equitable rather than open access, innovation and management that was responsive, holistic and based on scientific knowledge and monitoring. The inability to achieve or maintain blue growth resulted from failures to address limits to industry growth and/or anticipate the impacts of adverse extrinsic events and drivers (e.g. changes in international markets, war), the prioritization of short-term gains over long-term sustainability, and loss of supporting systems. Fourteen cross-cutting lessons and 10 recommendations were derived that can improve understanding and implementation of blue growth. Despite the contemporary literature broadly supporting our findings, these recommendations are not adequately addressed by agendas seeking to realize blue growth."
"A call for a blue degrowth: unravelling the European Union's fisheries and maritime policies","https://scispace.com/paper/a-call-for-a-blue-degrowth-unravelling-the-european-union-s-3tgmpkxdee","2018","Journal Article","Marine Policy","Maria Hadjimichael","10.1016/J.MARPOL.2018.05.007","https://www.academia.edu/download/57680073/Hadjimichael_BlueDegrowth.pdf","- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses EU Blue Growth critique as central lens; focuses on fisheries and aquaculture, lacking multiple listed sectors; touches on justice and offers policy ideas; blends policy, economics, and marine science; minimal quantitative data and case detail.",""
"Marine Economics, Employment and Employability: Profiles, Professional Figures and Skills in the Reform of the Italian Code of Recreational Shipping (Code of Yachting)","https://scispace.com/paper/marine-economics-employment-and-employability-profiles-4k1jrcbl9k","2019","Journal Article","","Roberta Caragnano
Giuseppe Danese","10.30958/AJL.5-2-7","https://scispace.com/pdf/marine-economics-employment-and-employability-profiles-4k1jrcbl9k.pdf","- **Relevance Score:** 59/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses EU blue growth policy context to frame Italian recreational shipping reform; analyses tourism and shipping sectors; examines employment, skills, and labor regimes; offers concrete Italian case study and actionable policy suggestions; blends legal, economic, and social perspectives but lacks quantitative impact data and detailed stakeholder mapping.",""
"Reply on RC3","https://scispace.com/paper/reply-on-rc3-3ujfzc93jc","2024","Peer Review","","Kate Larkin","10.5194/sp-2023-37-ec3","https://scispace.compdf/reply-on-rc3-3ujfzc93jc.pdf","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Mentions EU Arctic policy and Sustainable Blue Economy, lists tourism, fisheries, ports, offshore energy; briefly notes vulnerable groups but lacks deep justice analysis, case studies, recommendations, quantitative or stakeholder work.","<strong class=""journal-contentHeaderColor"">Abstract.</strong> Sea-level rise (SLR) will affect Europe&rsquo;s coasts over the coming decades and beyond giving rise to challenges for governing coastal and marine areas. Progress is being made in adapting to and addressing these challenges at both national and sub-national levels across all major European sea basins. This chapter assesses progress in coastal adaptation governance in Europe by, first, characterizing the socio-economic and political contexts in European sea basins, and then reviewing coastal adaptation relevant policy frameworks in place at regional and national levels within each of these sea basins. Regional frameworks reviewed consist in Regional Sea Conventions and are assessed for their legal status and their inclusion of SLR information. National coastal policy frameworks reviewed include national adaptation plans focusing on coastal areas and marine spatial planning instruments for all European member states, as well as public financing arrangements for coastal adaptation, focusing on flood risk reduction measures. Key national policies for coastal adaptation are assessed for which coastal hazards they address, the extent to which they incorporate sea-level rise information, and their inclusion of SLR specific adaptation measures. Finally, the chapter presents governance challenges that arise due to the complexity of adaptation to SLR, i.e., time horizon and uncertainty, cross-scale and cross-domain coordination, and equity and social vulnerability, and discusses examples illustrating how each of these challenges are being addressed in different European sea basins. The chapter finds that for across all basins, regional policy frameworks generally do not include specific provisions for SLR or coastal adaptation, while at the national level, significant progress on SLR governance is being made. For all basins except for the Black Sea, all countries have reported observed and future SLR hazards, and have adopted adaptation strategies. The inclusion of adaptation measures specific to SLR is less advanced, as most sea basins have at least one country that does not include specific SLR adaptation measures in either their adaptation strategies or marine spatial plans. Regarding SLR governance challenges, key examples for how these are being addressed include approaches for incorporating flexibility into coastal planning, e.g., Dynamic Adaptation Pathways in the Netherlands, or dike crest widening in Germany, as well as, co-development of nature-based adaptation solutions in Italy. Examples for addressing equity and social vulnerability challenges include the emerging issue of climate ligation illustrated through several court cases on liability of major carbon emitters for SLR-related damages. "
