"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"The concept of marinization by Ludwik Janiszewski: to understand the influence of the sea","https://scispace.com/paper/e7G7pFfQ4OoJ","","","","A Kołodziej","","https://www.researchgate.net/profile/Arkadiusz-Kolodziej-3/publication/339828026_The_Concept_of_Marinization_by_Ludwik_Janiszewski_-To_Understand_the_Influence_of_the_Sea_leodeuwig_jenichyuseukiui_haeyanghwa_gaenyeom_-badaui_yeonghyanglyeog-eul_ihaehagi_wihan_sido/links/5e67b8514585153fb3d59240/The-Concept-of-Marinization-by-Ludwik-Janiszewski-To-Understand-the-Influence-of-the-Sea-leodeuwig-jenichyuseukiui-haeyanghwa-gaenyeom-badaui-yeonghyanglyeog-eul-ihaehagi-wihan-sido.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Janiszewski’s marinization theory to analyze Polish maritime sociology, defines the concept in depth, and situates it within broader maritime sociological discourse.",""
"Rodowody socjologii Pomorza Zachodniego w zarysie","https://scispace.com/paper/5iO31zZ3eSsJ","","","","RB Woźniak","","https://journals.pan.pl/Content/101321/PDF/XXV_6_Wo%C5%BAniak.pdf","- **Relevance Score:** 64/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Janiszewski's 1967 study to illustrate fishermen identity issues; focuses on West Pomerania, a Polish maritime region; engages sociological analysis of sea‑linked communities; written in Polish; offers limited historical context and brief case references.",""
"Critical Review of Literature on the Interaction of Social Sciences in Contemporary Marine Studies","https://scispace.com/paper/C1KuNJWFJVQJ","","","","AAP Pérez","","https://www.researchgate.net/profile/Alonso-Perez-2/publication/380851838_Critical_Review_of_Literature_on_the_Interaction_of_Social_Sciences_in_Contemporary_Marine_Studies/links/6651224922a7f16b4f4aa270/Critical-Review-of-Literature-on-the-Interaction-of-Social-Sciences-in-Contemporary-Marine-Studies.pdf","- **Relevance Score:** 58/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Janiszewski’s theory to illustrate maritime sociology; defines and elaborates marynizacja; applies sociological analysis to sea‑related societies; references Poland but not as central focus.",""
"Life like a swing: women’s perspectives of everyday life in czechoslovak seafarers’ families under state socialism","https://scispace.com/paper/life-like-a-swing-women-s-perspectives-of-everyday-life-in-56s2tw4h8f","2020","Journal Article","","Lenka Krátká","10.26774/WRHM.246","https://scispace.com/pdf/life-like-a-swing-women-s-perspectives-of-everyday-life-in-56s2tw4h8f.pdf","- **Relevance Score:** 46/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Janiszewski's study for comparative insight; mentions Poland as partner but focuses on Czechoslovak families; does not define marinization; provides sociological analysis of maritime family life.","Denying free travel abroad and back to one’s homeland represented an integral part of the communist regime’s authoritarian control in socialist Czechoslovakia. In this context, people who were allowed to travel abroad were in a privileged position. Paper concentrates on the experiences of people who “stayed at home”: the partners and children of workers who were able to travel and work abroad. The analysis of interviews with seafarers’ wives show a strong reproduction of gender stereotypes in these families. This fact is questioned very little by both men and women, because in the seafarer’s profession provided these families with a specific sort of luxury and uniqueness, bringing them considerable benefits that distinguished these people from the majority of the population."
"SIMONSON, JULIA/VOGEL, CLAUDIA/SCHMIADE, NICOLE/ZIEGEL","https://scispace.com/paper/2sKmtXAuWV4J","","","","JP MANN
Z DEM
HG WANDELS","","https://soziologie.de/fileadmin/user_upload/kongress/2014/DGS-Kongress_2014_Trier_Abstractband.pdf#page=650","- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Janiszewski's marinization theory to frame maritime sociology; defines the concept; focuses on Polish scholars and institutions, but lacks language, deep history, or case studies.",""
"Rybacy dalekomorscy. Studium socjologiczne","https://scispace.com/paper/rybacy-dalekomorscy-studium-socjologiczne-1vt010ufoz","1967","","","Ludwik Janiszewski
urodzony w Otorowie
polski profesor zwyczajny
twórca Instytutu Socjologii na Uniwersytecie Szczecińskim i subdyscypliny socjologia morska
wiki","","","- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses detailed sociological analysis of Polish offshore fishermen, providing historical background and empirical case studies; lacks any reference to Janiszewski or marinization theory, but is fully in Polish.","""Tematem niniejszej pracy jest problematyka rybakow dalekomorskich Pomorza Zachodniego. Przedmiotem bardziej szczegolowej analizy socjologicznej są rybacy trawlerowi i lugrotrawlerowi oraz ich postawy wobec wykonywanego zawodu."" (str. 11). ""Autorowi chodzilo o uzyskanie mozliwe wszechstronnej wiedzy o pierwszej generacji rybakow dalekomorskich na Pomorzu Zachodnim, o jej genezie i strukturze socjalnej."" (str. 13) Najpierw ukazano geneze spoleczno-historyczną zbiorowości rybakow dalekomorskich, nastepnie zaś opisano rozne czynniki ksztaltujące zachowanie rybakow, opisując nastepujące zagadnienia: struktura spoleczna rybakow, ich zycie rodzinne, polityka kadrowa floty rybackiej, motywy wyboru zawodu rybaka, warunki pracy i zarobki, identyfikacja z zawodem oraz struktura relacji i rol na statku rybackim."
"Socjologia marynistyczna w warunkach zmiany (nadzieje i kontrowersje)","https://scispace.com/paper/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe","2021","","","Robert B. Woźniak","","https://scispace.com/pdf/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses functionalist theory to analyze maritime systems, providing sociological insight into sea‑related structures. Written in Polish, but lacks Janiszewski focus, explicit Polish institutional context, detailed marinization definition, historical overview, or case studies.",""
"Determinanty więzi społecznej na statku – badania jakościowe wśród marynarzy","https://scispace.com/paper/determinanty-wiezi-spolecznej-na-statku-badania-jakosciowe-2st4m8b2an","2012","","","Arkadiusz Kołodziej
Agnieszka Kołodziej-Durnaś","","https://scispace.com/pdf/determinanty-wiezi-spolecznej-na-statku-badania-jakosciowe-2st4m8b2an.pdf","- **Relevance Score:** 34/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Polish qualitative interviews with sailors to examine social bonds on ships, providing a sociological view of maritime life in Poland; lacks Janiszewski theory or marinization definition.",""
"Degradasi kebudayaan maritim: sejarah, identitas, dan praktik sosial melaut di banten","https://scispace.com/paper/degradasi-kebudayaan-maritim-sejarah-identitas-dan-praktik-rkpytyce1r","2016","","","Amarulla Octavian
Bayu A Yulianto","10.14203/JMI.V40I2.115","https://scispace.com/pdf/degradasi-kebudayaan-maritim-sejarah-identitas-dan-praktik-rkpytyce1r.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Janizewski's maritime society framework but applies it to Indonesian context; engages sociological theory on maritime culture, yet lacks Polish focus, explicit marinization definition, or Polish language content.","Kolonialisme dianggap sebagai tesis awal yang mengetengahkan meluruhnya kebudayaan maritim nusantara. Kendati demikian, dalam kerangka mengembalikan kebudayaan maritim itu sendiri, pertanyaan terkait representasi peluruhan itu di dalam masyarakat masih perlu dielaborasi lebih jauh. Artikel ini menyajikan proses peluruhan kebudayaan maritim di wilayah Banten, baik dari sisi historis maupun representasi dalam konteks praktik sosial melaut kekinian di masyarakat dalam perspektif sosiologi. Kata Kunci: Kebudayaan, maritim, sejarah, representasi, dan praktik sosial"
"The Idea of Maritime Upbringing in Poland–the Tradition and Contemporary Manifestations","https://scispace.com/paper/WqL0EG370tMJ","","","","A Kołodziej-Durnaś
A Kołodziej","","https://bibliotekanauki.pl/articles/1591146.pdf","- **Relevance Score:** 27/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Polish maritime upbringing to illustrate sociological perspectives; lacks Janiszewski or marinization theory, focusing instead on broader sociocultural analysis.",""
