"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"The Other Car Workers: Work, Organisation and Technology in the Maritime Car Carrier Industry","https://scispace.com/paper/the-other-car-workers-work-organisation-and-technology-in-djhlcfu0ypnk","","","","E. Kahveci
T. Nichols","10.1177/030981680909800115","","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses detailed ethnographic description of car carrier seafarers' work conditions and ship management structures, but does not engage Michael Poole's theories at all.","About 60 million vehicles are produced each year, of which eight million are shipped by deep-sea and millions more by short-sea routes. This makes the maritime car carrier sector an integral part of car manufacturing's supply chain. Yet the sector has been entirely neglected by social scientists. Switching attention from the frequently researched car assembly-line worker, this book documents the dramatic new developments that have taken place in the industry both in production systems, technology, organisational infrastructure and not least, in terms of working life. It examines the maritime car carrier sector with respect to changes in cost structure and dynamics; in ownership, freight, labour and other markets; in technological innovation and ship design; and in relation to car manufacturers, ship management companies and crewing agents. Alongside a political economy of the industry, chapter and verse is provided on the work and lives of the seafarers who make up its global labour force, many of them from low-wage countries. It is seen that in terms of their work-life balance and in other respects they endure conditions that have no land-based equivalents."
"Lives in Peril: Profit or Safety in the Global Maritime Industry?","https://scispace.com/paper/lives-in-peril-profit-or-safety-in-the-global-maritime-3bd3gpjlue","2013","Book","","David Walters
Nicholas J. Bailey","","","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses vulnerability framing to examine seafarers' labor conditions and employment structures, but does not engage Michael Poole's theories or link his concepts to the analysis.","Lives in Peril demonstrates how and why seafarers are a vulnerable group of workers. It argues they are made so by the organisation and structure of their employment; the prioritisation of profit over safety by the actors that engage and control their labour; the limits of enforcement of the regulatory framework that is in place to protect them; and by their weakness as collective actors in relation to capital. The consequences of this vulnerability are seen in data on their occupationally-related morbidity and mortality - evidence that probably only represents a partial picture of the actual extent of the physical, mental and emotional harm resulting from work at sea. This volume's central argument is that this situation is likely to remain broadly unchanged as long as global maritime governance and regulation remains in thrall to the neo-liberal economic and political arguments that drive globalisation, and fails to enforce regulatory standards more robustly."
"The social structure of crews of British dry cargo merchant ships: A study of the organization and environment of an occupation","https://scispace.com/paper/the-social-structure-of-crews-of-british-dry-cargo-merchant-1p2vtaqawh","1974","Book","","Peter H. Fricke","","","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive interviews to examine seafarers' job satisfaction and shipboard organizational variables, but makes no reference to Michael Poole or his theoretical framework.","This study, undertaken from 1967 to 1969, was of the crews of 28 British merchant ships. All told, 824 seafarers were interviewed, and basic sociographic data were obtained which were then applied to an analysis of the effects of the organization and social environment of seafaring as an occupation. The theoretical basis for the study was taken from the work of Burns and Stalker (1961) and Lawrence and Lorsch (1967, 1969). The concern was with the analysis of the organizational variables of shipboard life in relation to the attitudes and expectations of the seafarers. To isolate the organizational variables, matched pairs of shipping companies were chosen by size, type of trading pattern, and ownership. Bach company had also been ranked by seafarers in terms of preference as an employer, and each pair had a company that was preferred and one that was not. Six companies took part in the study. It was found that the preferred company in each pair was relatively organismic in comparison with the other company, and that companies with moderately certain market environments were less bureaucratic than companies with very certain or very uncertain market environments. The conclusion reached was that where there was a high level of integration of organizational subsystems, seafarers had a high level of perceived job satisfaction. The major factor in this integration was the ability to innovate within the work role of the individual seafarer and thus to create a sense of self-determination of the operation of the ship by the members of the shipboard community."
"The Filipino seafarer : a life between sacrifice and shopping","https://scispace.com/paper/the-filipino-seafarer-a-life-between-sacrifice-and-shopping-1j3tf2smwo","2012","Journal Article","Anthropology In Action","Gunnar M. Lamvik","10.3167/AIA.2012.190104","https://scispace.com/pdf/the-filipino-seafarer-a-life-between-sacrifice-and-shopping-1j3tf2smwo.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses ethnographic insight to explore Filipino seafarers' identities, hierarchy, and shipboard social world, but does not reference Michael Poole or link his framework.","This thesis is about the seaman and his family. A returning theme in every part of this work, is how the Filipino overseas seafarer is interwoven with his family. Both in the sense that the family ..."
"The Other Car Workers: Work, Organisation and Technology in the Maritime Car Carrier Industry","https://scispace.com/paper/the-other-car-workers-work-organisation-and-technology-in-1bwl3reifl","2006","Book","","Erol Kahveci
Theo Nichols","","","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive sociological description of seafarers' lives and shipboard organisational structures, but does not engage Michael Poole's theories at all.","About 60 million vehicles are produced each year, of which eight million are shipped by deep-sea and millions more by short-sea routes. This makes the maritime car carrier sector an integral part of car manufacturing's supply chain. Yet the sector has been entirely neglected by social scientists. Switching attention from the frequently researched car assembly-line worker, this book documents the dramatic new developments that have taken place in the industry both in production systems, technology, organisational infrastructure and not least, in terms of working life. It examines the maritime car carrier sector with respect to changes in cost structure and dynamics; in ownership, freight, labour and other markets; in technological innovation and ship design; and in relation to car manufacturers, ship management companies and crewing agents. Alongside a political economy of the industry, chapter and verse is provided on the work and lives of the seafarers who make up its global labour force, many of them from low-wage countries. It is seen that in terms of their work-life balance and in other respects they endure conditions that have no land-based equivalents."
"Maritime Skills and the (Not So) Changing Qualification Landscape in Global Shipping","https://scispace.com/paper/maritime-skills-and-the-not-so-changing-qualification-n84vuwl7zjpc","2024","Journal Article","Public anthropologist","Camilla Mevik","10.1163/25891715-bja10065","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses ethnographic insights to examine seafarers' labor, identities, and on‑board relations; lacks any reference to Michael Poole, and only loosely addresses organizational structures.","Abstract This article examines transformations of labour through an exploration of the shipping sector and the emerging responses and adaptations of seafarers to processes aimed at standardising skills in an increasingly automated workplace. Focusing on on-board occupational relations, I investigate how maritime industries use labour and highlight the underlying dynamics behind how the popular image of the global transport system – which gives the impression of it being equivalent to a factory assembly line – is enabled and reinforced. The article argues that this image is not only connected to how the industry and its regulations are formally and institutionally produced – through logics of efficiency, large-scale infrastructure, and automation – but also enacted by the types of everyday labour seafarers undertake, whose skills, experiences, personalities, and social competencies, which shape their extractive practices in many ways, are deeply racialised and culturally biased. "
"Maritime Labour","https://scispace.com/paper/maritime-labour-8j1llwcsrmx3","","","","Frank Broeze","10.5949/liverpool/9780973007336.003.0008","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses containerisation impact to examine seafarers' livelihoods and social consequences; lacks any reference to Michael Poole; touches on organizational changes like flags of convenience and multi‑skilling but without deep structural analysis.","This chapter examines the social impact that containerisation - and the drastic topographical and economic changes to the shipping industry - had upon the livliehoods of maritime labourers. It explores the challenges and consequences of new technologies faced by labourers and maritime communities within the shipping industrythe drastic shifts in skillsets necessary for maritime labourers in order to keep up with technological development; and the reduction of labour force within the shipping industry. The chapter is divided into sections as follows: Seafarers; Flags of Convenience; Training; Down-sizing and Multi-skilling; Safety and Accidents at Sea; Port Workers; Decimation of the Work Force; Social Consequences of Containerism; Industrial Conflicts and Port Workers’ Unions; The International Transport Workers’ Federation; and Resugent Militancy and Political Protest. It concludes by suggesting the only way forward is to approach modernisation, globalisation, and privatisation with a humane outlook."
"Merchant Marine Deck Officer Agency Through Performative Acts","https://scispace.com/paper/merchant-marine-deck-officer-agency-through-performative-3fd9cce3v3","2016","Dissertation","","Donald Clark","","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses ethnographic interviews and performativity theory to examine deck officers' identity and agency, offering a strong sociological view of seafarer labor but lacks any reference to Michael Poole and only loosely touches on organizational structures.","I bring together ethnographic interviews with deck officers, studies in actor-network theory, explicit and tacit knowledge theory, and performativity theory in this work. I prove that bridge technologies produce what are called mimeomorphic (repeatable with some variation) actions that contain no deck officer collective tacit knowledge. I argue that deck officer bridge watch situated actions are mostly polimorphic (actions can vary depending on social context), and these actions are in fact performatives (in an Austin sense) derived from a more oral than literate performance production process. These performatives constantly build the mariner’s identity within the maritime deck officer community and their successful performatives give deck officers agency in the form of an oppositional view to deskilling. These same performative acts are the value of the mariner’s experiential technological knowledge within the ship’s bridge technology framework"
"The Lifestyle of Merchant Seamen: a Sociological Analysis of Occupationally Induced Marginality.","https://scispace.com/paper/the-lifestyle-of-merchant-seamen-a-sociological-analysis-of-2ioyx4gf","2022","Dissertation","","","10.31390/gradschool_disstheses.3848","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses survey and interviews to examine seamen's marginality and labor experiences; mentions officers/crew but lacks Poole framework; no explicit organizational analysis or Poole integration.","Marginality is a theme which pervades the social existence of merchant seamen. Work takes place in a setting without long term personal commitments to job, to place, or to co-workers. On the beach, social relations tend toward the transitory, and where long term relations are established, the seaman is forced to partial participation. This research explores the influence of this occupation on social marginality and social integration of its members. Data were collected using a survey instrument from a sample of 251 seamen, both officers and crew. Factors determining variance in levels of alienation are examined, as well as the effects of life as a merchant seaman on family organization and community participation. Supplementary qualitative data from participant observation and depth interview are also used. A typology of the lifestyle adaptations and social identities of merchant seamen are developed. Implications of industry changes for the occupational lifestyle are discussed. "
"Sailing on a Neoliberal Sea: Multinational Seafarers on Container Ships","https://scispace.com/paper/sailing-on-a-neoliberal-sea-multinational-seafarers-on-509o3toa4s","2011","","","Andrew Wu Liang","","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses neoliberal framing to examine seafarers' isolation and labor conditions; lacks any reference to Michael Poole; touches on shipboard hierarchies but without detailed organizational analysis.","Containerization has revolutionized not only shipping, including its operation, organization and productivity, but also the economic geography of production, trade and consumption since the late 1950s. After the economic crises in the 1970s, the incessant neoliberal quest by shipping businesses has also “containerized” seafarers, the vanguard transport workers at the core of economic globalization. Working at sea for their livelihood at home is a moral dilemma that entraps seafarers in the second-best choice, leaving them with virtually no alternatives. Restricted contact with home, denial of shore leave, lowered manning scales and single-person tasking have all exacerbated the sense of isolation at sea. Subject to constant loading, unloading and reloading of their bodies, seafarers of different nationalities are drifting in the market until they leave the industry or until they are finally scrapped. The exigencies of the neoliberal system, as manifested in industrial discipline and allied networks of control, enforce relative harmony among nationalities on board. This research on seafarers challenges the logic of area studies in social sciences and, at the same time, permits rethinking of the vastly facilitated mobility of our times."
