"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Trade Union Regime Formation Under the Conditions of Globalization in the Transport Sector: Attempts at Transnational Trade Union Regulation of Flag-of-Convenience Shipping","https://scispace.com/paper/trade-union-regime-formation-under-the-conditions-of-58glz31ohe","1998","Journal Article","International Review of Social History","Sigrid Koch-Baumgarten","10.1017/S0020859098000212","https://scispace.com/pdf/trade-union-regime-formation-under-the-conditions-of-58glz31ohe.pdf","- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses ITF's transnational bargaining to examine seafarer labor conditions, union governance, and historical regulation of flag‑of‑convenience shipping; offers policy insights but lacks Poole framework references.","The article deals with an outstanding example of transnational trade union cooperation in the transport industry. It analyses the attempts of trade unions organized in the International Transportworkers' Federation (ITF) to establish a system of multinational industrial relations and collective bargaining in the flags-of-convenience shipping, which integrated national trade unions and their politics in international problematic interdependencies. Although based on egoistic national special interests and without formal restrictions on national sovereignty the cooperation leads to an international regime. It regulates the rights to organize and represent crews on ships of convenience in industrial relations, it lays down minimum standards for working conditions and incomes, and procedures for the multinational decision-making process and management of conflicts. The trade unions succeeded in regulating about 29 per cent of flags-of-convenience shipping and in establishing a multinational control of national collective bargaining, which is integrated in a system of international governance in the trade union sphere of activities. It is based on an imbalance of power between trade union organizations of industrialized and developing countries within the ITF and on specific conditions in transport industry, and therefore not transferable to other industries."
"The Role of Organised Labour in Preventing a ‘Race to the Bottom’ for Filipino Seafarers in the Global Labour Market","https://scispace.com/paper/the-role-of-organised-labour-in-preventing-a-race-to-the-31z7bau7du","2011","Journal Article","African and Asian Studies","Shaun Ruggunan","10.1163/156921011X587022","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses empirical study of Filipino seafarers to show unions preventing wage/condition decline; offers policy insights, but lacks Poole framework reference.","The aim of this article is to demonstrate how organised labour at both the national and global level can influence the nature of global labour markets. This aim is achieved through an empirical investigation of the restructuring of the global labour market for Filipino seafarers, and the influence of the Associated Marine Officers and Seamen’s Union of the Philippines (AMOSUP) and the International Transport Workers’ Federation (ITF) in this restructuring process. The article concludes that despite the global attack on labour unions, organised labour continues to be a powerful agent in preventing ‘a race to the bottom’ for Filipino seafarers working conditions and wages."
"Union Organising in the Context of Regional Labour Market Decline: The Case of Nautilus International","https://scispace.com/paper/union-organising-in-the-context-of-regional-labour-market-4z9495h5xi","2021","Book Chapter","","Victor Gekara","10.1007/978-3-030-49825-2_13","https://scispace.com/pdf/union-organising-in-the-context-of-regional-labour-market-4z9495h5xi.pdf","- **Relevance Score:** 39/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Nautilus International merger to illustrate union organising amid seafarer labour decline; provides historical market shift, detailed case study, and policy‑relevant insights, but does not engage Poole’s framework or comparative theory.","Over the past few decades the impact of globalisation on society and industry at the national level has been immense and has been studied and extensively documented in the literature. Some of the major benefits and losses accruing from economic globalisation, particularly since the late 1970s have been debated by dominant political economy commentators (see e.g. Harvey 2005; Held et al. 1999; Strange 1996; Scholte 2000; Stiglitz 2002; Giddens 2002; Chomsky 2017). An important aspect of the globalising process has been the extensive restructuring of production and distribution patterns in search of cheaper resources, through aggressive outsourcing and offshoring. The result for many national economies, particularly advanced industrial states, has been a drastic decline in traditional industries affecting both labour and capital (Dunning 1993; Beck 2005; Perraton 2019). This chapter examines the decline in the seafaring labour markets of the so-called Traditional Maritime Countries (TMN), and the implications for union organising focusing on the UK and its seafaring labour. It examines the creation of Nautilus International (NI) Union via a merger of unions for maritime professionals across different countries in Europe initially beginning with Great Britain, the Netherlands and later Switzerland. This was a uniquely strategic response to declining membership and weakening organising capacity. Some of the key challenges associated with unions trying to organise and represent their members in the context of industrial and labour market decline are explored."
"The social structure of crews of British dry cargo merchant ships: A study of the organization and environment of an occupation","https://scispace.com/paper/the-social-structure-of-crews-of-british-dry-cargo-merchant-1p2vtaqawh","1974","Book","","Peter H. Fricke","","","- **Relevance Score:** 38/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive 1967‑69 seafarer interviews to analyze shipboard organization and job satisfaction, offering strong historical and methodological insight but no reference to Poole’s framework.","This study, undertaken from 1967 to 1969, was of the crews of 28 British merchant ships. All told, 824 seafarers were interviewed, and basic sociographic data were obtained which were then applied to an analysis of the effects of the organization and social environment of seafaring as an occupation. The theoretical basis for the study was taken from the work of Burns and Stalker (1961) and Lawrence and Lorsch (1967, 1969). The concern was with the analysis of the organizational variables of shipboard life in relation to the attitudes and expectations of the seafarers. To isolate the organizational variables, matched pairs of shipping companies were chosen by size, type of trading pattern, and ownership. Bach company had also been ranked by seafarers in terms of preference as an employer, and each pair had a company that was preferred and one that was not. Six companies took part in the study. It was found that the preferred company in each pair was relatively organismic in comparison with the other company, and that companies with moderately certain market environments were less bureaucratic than companies with very certain or very uncertain market environments. The conclusion reached was that where there was a high level of integration of organizational subsystems, seafarers had a high level of perceived job satisfaction. The major factor in this integration was the ability to innovate within the work role of the individual seafarer and thus to create a sense of self-determination of the operation of the ship by the members of the shipboard community."
"Labour Market, Work Mentality and Syndicalism: Dock Labour in the United States and Hamburg, 1900–1950s","https://scispace.com/paper/labour-market-work-mentality-and-syndicalism-dock-labour-in-4aa01p4oj5","1997","Journal Article","International Review of Social History","Klaus Weinhauer","10.1017/S0020859000114890","https://scispace.com/pdf/labour-market-work-mentality-and-syndicalism-dock-labour-in-4aa01p4oj5.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses detailed dockworker case studies (San Francisco, Hamburg) to illustrate labour‑market dynamics and syndicalist organization; provides rich historical context but does not engage Poole’s framework or policy analysis.","This international comparison firstly examines labour market organization, casual labour and work mentality in North American seaports and in Hamburg. By contrast to British ports, these ports finally dispensed with casual labour between the world economic crisis and the Second World War, and labour markets there were centralized. Secondly, the industrial militancy of mobile dockworkers without permanent jobs is examined through a consideration of syndicalist organizations (1919–1921), and interpreted as an interplay of experiences with power in the network of labour market, workplace and docklands. The study refers repeatedly to the decisive dividing line between regularly and irregularly employed dockworkers. National differences in trade union representation and dispute behaviour are analysed by reference to dockworkers' direct actions."
"The social isolation of seafarers: causes, effects, and remedies.","https://scispace.com/paper/the-social-isolation-of-seafarers-causes-effects-and-epxmt9ha5b","2003","Journal Article","International Maritime Health","Helen Sampson
Michelle Thomas","","","- **Relevance Score:** 35/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses qualitative participant observation to detail seafarer isolation, offering concrete policy steps for companies; lacks Poole framework reference, limited port/industry breadth, modest methodological breadth.","The human element is increasingly acknowledged as an important factor contributing to accidents at sea. What is infrequently considered however, is the extent to which social isolation, and its effects on seafarers, contributes to both marine incidents and to the problems of seafarer retention currently experienced throughout the industry as a whole. This paper draws on the findings of several related studies undertaken at the Seafarers International Research Centre (1999-2002) along with a number of published studies on seafarer health. In doing so it considers both the causes and potential effects of social isolation on seafarers. These areas have not traditionally been subject to systematic scrutiny and analysis. As such they are substantially under-researched and are often under-emphasised by policy makers and practitioners in the maritime sector. Using participant observation and detailed qualitative studies the paper explores these issues in an effort to bring them on to the accident prevention agenda and to highlight the need for further detailed research in this area. In drawing to a conclusion the paper highlights a number of steps that could be taken by shipping companies to militate against social isolation and to encourage better mental health amongst modern day seafarers."
"Supply Nets: The Logistics of Seafarer Abandonment","https://scispace.com/paper/supply-nets-the-logistics-of-seafarer-abandonment-18wowmyr0k","2024","Journal Article","Antipode","Jacob Bolton","10.1111/anti.13038","","- **Relevance Score:** 34/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses supply‑net concept to map seafarer abandonment, centering labour within maritime logistics; offers new theoretical framing but lacks Poole framework linkage.","Abstract This paper studies the infrastructural and organisational forms that facilitate labour exploitation within maritime logistics. My entry point is the rising wave of seafarer abandonments, which I approach not as isolated incidents of mismanagement but as an intensification of the flexibilising tendencies underpinning contemporary capitalism. I trace the recent history of these dynamics, examining their effect on shipping labour. I then investigate some of the specific legal and economic mechanics of shipping, focusing on debt, insurance, and bordering. Using supply chain mapping software, I study supply systems in a way that centres labour rather than the commodities being moved. I close by claiming that abandonments are not an accident, but an inevitable endpoint of a system designed to precaritise labour while protecting shipowners’ profits. Against this, I sketch out a new way of conceiving of supply chains—as supply nets, matrices of interconnected lines, prone to becoming tangled. "
"Sociological aspects of seafarers' life and work and management styles in shipping","https://scispace.com/paper/sociological-aspects-of-seafarers-life-and-work-and-jsffk1oose","2016","","","Andrija Nenadić
Dražen Jašić
Aleksandra Krajnović","","https://scispace.com/pdf/sociological-aspects-of-seafarers-life-and-work-and-jsffk1oose.pdf","- **Relevance Score:** 34/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Poole framework? No. Explores seafarers' labour conditions, isolation, and coping mechanisms. Mentions multinational crews, shipping companies, and Apostleship of the Sea. Discusses piracy impacts and informal policy suggestions. Provides limited historical backdrop and illustrative anecdotes, but lacks methodological detail or theoretical comparison.","As this paper’s authors have learned from experience, contacts with seafarers and their participation in the internet forums, it appears that seafarers reluctantly take comments on the specific ways of their life and work which are made by people who do not come from their walk of life. Their attitude gave an impulse to this research. The results have been produced through surveying the seafarers and analysing their statements posted on online discussion sites where they share their experience. The research sample consists of the seafarers attending additional training programs at the Faculty of Maritime Studies in Split, the so-called Special education and training programme for seafarers [1]."
"Militancy and Pragmatism: An International Perspective on Maritime Labour, 1870–1914 *","https://scispace.com/paper/militancy-and-pragmatism-an-international-perspective-on-3qrjrmmzd3","1991","Journal Article","International Review of Social History","Frank Broeze","10.1017/S0020859000110491","https://scispace.com/pdf/militancy-and-pragmatism-an-international-perspective-on-3qrjrmmzd3.pdf","- **Relevance Score:** 34/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive 1870‑1914 maritime labour history to examine seafarer militancy and union pragmatism; discusses shipping firms and unions, offers historical insight, but lacks Poole framework, policy focus, comparative theory, or detailed methodology.","The militancy of maritime workers led worldwide to strikes of great magnitude, visibility and impact. In many countries these strikes had vast repercussions for the industrial and political development of the labour movement. As this comparative overview of maritime labour and unionism in some ten countries shows, however, after the first wave of strikes two conflicting tendencies arose which became a permanent feature of the maritime scene. The men themselves never lost their potential for militant action and adherence to radical ideologies. By contrast, many union leaders became increasingly pragmatic and even accommodationist. This article investigates the causes of this dichotomy and assesses the resulting tensions and conflicts. In many ports these led to break-away moves, spontaneous action and the replacement of moderate by radical leaders. In others the pragmatic tendency survived in power. This included a strong interest in alliances with adjacent unions and international unions."
"Crews of convenience from the South West Pacific: the 'German' sailors of Kiribati","https://scispace.com/paper/crews-of-convenience-from-the-south-west-pacific-the-german-5cmc7cm53r","2001","Journal Article","New Zealand journal of industrial relations","Richard Morris
Thomas Klikauer","","","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Kiribati-German seafarer case to illustrate labour dynamics, historical recruitment, and policy angles; lacks Poole framework reference, offers rich historical and case detail.","Discusses the employment of Kiribati seafarers on German owned and flagged shipping. Examines the origins of the German shipping industry sponsored training and recruitment programmes on the Kiribati atolls. Assesses the implications of the creation of a manorial 'internal' labour market for German container shipping in the South West Pacific. Looks at the impact of labour participation in the international shipping industry on the former fisherfolk of Kiribati. Relates the experience of the Kiribati seafarers to the general 'flag of convenience' and 'crews of convenience' phenomenon, arguably the central issue in the current industrial and social study of global merchant shipping."
