CTRY,MCA,UNLocode,Country/Port Name,Label using special characters,Nat. Stat. Group,Statistical Port,National Code,2024 list: modifications compared to 2023 list,TEN-T network,Port on an island (X: Island; O: Outer region),Sea ,Sea code,NUTS 3 code,2023 list: modifications compared to 2022 list,2022 list: modifications compared to 2021 list,2021 list: modifications compared to 2020 list,2020 list: modifications compared to 2019 list,2019 list: modifications compared to 2018 list,2018 list: modifications compared to 2017 list,2017 list: modifications compared to 2016 list,2016 list: modifications compared to 2015 list,2015 list: modifications compared to 2014 list,2014 list: modifications compared to 2013 list,2013 list: modifications compared to 2012 list,2012 list: modifications compared to 2011 list,2011 list: modifications compared to 2010 list,2010 list: modifications compared to 2009 list,2009 list: modifications compared to 2008 list,2008 list: modifications compared to 2007 list,2007 list: modifications compared to 2006 list,2006 list: modifications compared to 2005 list,2005 list: modifications compared to 2004 Excel list,2004 Excel list: modifications compared to 2004 official list,2004 official list: modifications compared to 2000 official list,2000 official list: modifications compared to 1998 official list,previous changes (partial coverage) and other comments,Coordinates from 2009 list or provided by country,Coordinates UNECE,Coordinates Antwerpen (March 2009),Coordinates GISCO     Longitude    (SIF January 2009),Coordinates GISCO     Latitude    (SIF January 2009),Label in Comm Dec 2008/861,Label in UNECE
AE,AE00,AE888,UNITED ARAB EMIRATES,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.UNITED ARAB EMIRATES
AG,AG00,AG888,ANTIGUA AND BARBUDA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ANTIGUA AND BARBUDA
AI,AI00,AI888,ANGUILLA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ANGUILLA
AL,AL00,AL888,ALBANIA,,,,,,,,Mediterranean sea,6,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ALBANIA
AO,AO00,AO888,ANGOLA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ANGOLA
AQ,AQ00,AQ888,ANTARCTICA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ANTARCTICA
AR,AR00,AR888,ARGENTINA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.ARGENTINA
AS,AS00,AS888,AMERICAN SAMOA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.AMERICAN SAMOA
AT,AT00,AT888,.AUSTRIA,,,,,,,,Others - No sea,X,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,Transcoded into IT888,,,,,,,.AUSTRIA
AU,AU00,AU888,AUSTRALIA,,,,,,,,Non Short Sea Shipping,,,,,,,,,,,,,,,,,,,,,,2004: New entry,,,,,,,,,,.AUSTRALIA
