From EU Taxonomy compass,NACE,NACE sector,TAC NACE 2021,TAC rationale,"TAC is country dependent (0 = no, 1 = yes)",TEC NACE 2021,TEC rationale,"TEC is country dependent (0 = no, 1 = yes)"
1.0,A.02,Forestry and logging,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,n.a.,"This NACE sector is exposed to transition risk because it includes Logging (A02.20). However, it is not possible to estimate the exposure of this NACE sector to transition risk based on information available at this stage.",0
0.0,B.05,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,"Revenues in this NACE sector depend entirely from extraction, manufacturing or sale of fossil fuel. ",0
0.0,B.06,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,"Revenues in this NACE sector depend entirely from extraction, manufacturing or sale of fossil fuel. ",0
0.0,B.08.92,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,"Revenues in this NACE sector depend entirely from extraction, manufacturing or sale of fossil fuel. ",0
0.0,B.09.1,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,"Revenues in this NACE sector depend entirely from extraction, manufacturing or sale of fossil fuel. ",0
1.0,C.16 ,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.16.23,Manufacture of other builders' carpentry and joinery,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.17 ,Manufacture of paper and paper products,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
0.0,C.19,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,"Revenues in this NACE sector depend entirely from extraction, manufacturing or sale of fossil fuel. ",0
1.0,C.20.11,Manufacture of industrial gases,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
