NACE_code,C.20.16,C.29.1,C.30.2,D.35.11,D.35.21,D.35.3,E.38.11,E.38.21,F.42.13 ,F.43.22,H.49.10,H.49.20,H.49.31,H.49.32,H.49.39,H.49.41,H.52.21,H.53.1,H.53.2,N.77.11,N.77.12
NACE description,Manufacture of plastics in primary forms,Manufacture of motor vehicles,Manufacture of railway locomotives and rolling stock,Production of electricity,Manufacture of gas,Steam and air conditioning supply,Collection of non-hazardous waste,Treatment and disposal of non-hazardous waste,Construction of bridges and tunnels,"Plumbing, heat and air-conditioning installation","Passenger rail transport, interurban",Freight rail transport,Urban and suburban passenger land transport,Taxi operation,Other passenger land transport n.e.c.,Freight transport by road,Service activities incidental to land transportation,Postal activities under universal service obligation,Other postal and courier activities,Renting and leasing of cars and light motor vehicles,Renting and leasing of trucks
TAC_proxy,"Proxy: % ratio of recycled plastic, computed as [% ratio of recycled packaging plastic] * [EU total % of packaging plastic over plastic]; where: 
% recycled packaging plastic is taken from ""Packaging waste by waste management operations"", see EUSTAT filecode [ENV_WASPAC__custom_3768868]; and
EU total % of packaging plastic over plastic = 0.399 (“Plastic Recycling Factsheet” file: euric_-_plastic_recycling_fact_sheet.pdf).
NOTE: the above computation valid under assumption that total plastic waste equal total plastic produced. 
Alternative proxy: % of plastic manufactured in trhe country that is recycled. This proxy is not available.
","Proxy: % new electric vehicles out of total new vehicles (& of sales). 
Source: Eustat ROAD_EQR_CARBUA, IEA_EV
Where data for % car sales is not available, % of car usage is used as proxy","Proxy: share [Electrified  length of lines in km] / [Total  length of lines in km] in %. This variable is the same used for the study TAC EU2020.
Datasource: https://ec.europa.eu/eurostat/databrowser/view/RAIL_IF_LINE_NA__custom_1160037/default/table?lang=en
Desired proxy: % of electric locomotives out of total. Some data exist at EU level with limited coverage. However, global data could not be found. Hence we opted for a proxy that could be used for comparison. 
Caveats: some countries could be importing electric locomotives so that manufacturing TAC would be much worse than the proxy computed here.  
",Proxy: [Total gross electricity production from renewable sources] / [Gross electricity production in Gwh] in %. Datasource:https://ec.europa.eu/eurostat/databrowser/view/NRG_BAL_PEH__custom_1160933/default/table?lang=en,"Proxy used: % ratio of biogas manufacturing out of total gas manufacturing (bio + natural), see note file
Sources: production biogas from IEA Bioenergy Task 37, A perspective on the state of the biogas industry from selected member countries, https://www.ieabioenergy.com/wp-content/uploads/2022/03/IEA_T37_CountryReportSummary_2021.pdf 
https://www.europeanbiogas.eu/mapping-the-state-of-play-of-biomethane-in-europe/#:~:text=The%20study%20shows%20that%20the,and%20France%20(1%2C207%20GWh).
production of natural gas: ""https://en.wikipedia.org/wiki/List_of_countries_by_natural_gas_consumption
 ""Natural gas – consumption"". www.cia.gov.
 ""BP's Statistical Review of World Energy June, 2018"" (PDF)""","Proxy: % of Renewable energy sources in heating and cooling out of total. 
Datasource: Eurostat https://ec.europa.eu/eurostat/databrowser/view/nrg_ind_ren/default/table?lang=en
Variable: ""Renewable energy sources in heating and cooling"" in %, last available year. ","Proxy: ratio (%) [recycled (excluding composting) municipal waste] / [municipal waste generated] 
Source: Eurostat ENV_WASMUN.","Proxy: ratio (%) [recycled (excluding composting) municipal waste] / [municipal waste generated] 
Source: Eurostat ENV_WASMUN.","Proxy: % ratio [total length of electrified railways]/total length of roads and railways]. 
roads and railways: include State, Provincial and Communal + Motorways + e-roads. 
Data source for railways: https://ec.europa.eu/eurostat/databrowser/view/RAIL_IF_TRACKS__custom_3199076/default/table?lang=en
Data source for roads: https://ec.europa.eu/eurostat/databrowser/view/ROAD_IF_ROADSC__custom_3199074/default/table?lang=en
See calculation details in note file.","Proxy: % ratio of Renewable energy sources in heating and cooling out of total. 
Datasource: EUSTAT file code [NRG_IND_REN], 
URL: https://ec.europa.eu/eurostat/databrowser/view/nrg_ind_ren/default/table?lang=en","Proxy: % ratio [length of electrified railways in Km]/total length in Km]. 
Data sources. For railways:  International Union of Railways www.uic.org
Alternative sources for EU: Eustat filecodes:
[RAIL_IF_LINE_NA]
","Proxy: % ratio [length of electrified railways in Km]/total length in Km]. 
Data sources. For railways:  International Union of Railways www.uic.org
Alternative sources for EU: Eustat filecodes:
[RAIL_IF_LINE_NA]
","Proxy: % ratio: [electric bus stock]/[bus stock]       
Datasource: Eurostat filecode [ROAD_EQS_BUSMOT]","Proxy: % ratio [stock of passenger cars electric] / [stock passenger cars] 
Source: Eustat file code [ROAD_EQS_CARPDA].","Proxy: % ratio: [electric bus stock]/[bus stock]       
Datasource: Eurostat filecode [ROAD_EQS_BUSMOT]","Proxy: % ratio: [electric lorry stock]/[lorry stock]       
Datasource: Eurostat ROAD_EQS_BUSMOT","Proxy: % ratio [total length of electrified railways]/[total length of roads and railways]. 
Notes: roads and railways: include State, Provincial and Communal + Motorways + e-roads. 
Data sources. For railways:  International Union of Railways www.uic.org
For roads: CIA Factbook.
Alternative sources for EU: Eustat filecodes:
[RAIL_IF_LINE_NA]
[ROAD_IF_ROADSC]","Proxy: % ratio: [electric lorrry stock]/[lorry stock]       
Datasource: Eurostat ROAD_EQS_LORMOT","Proxy: % ratio: [electric lorrry stock]/[lorry stock]       
Datasource: Eurostat ROAD_EQS_LORMOT","Proxy: % ratio [stock of passenger cars electric] / [stock passenger cars] 
Source: Eustat file code [ROAD_EQS_CARPDA].","Proxy: % ratio: [electric lorrry stock]/[lorry stock]       
Datasource: Eurostat ROAD_EQS_LORMOT"
Austria,0.1009,0.1987,0.7081,0.782,0.006410402906963457,0.34995,0.4077,0.4077,N.A.,0.34995,0.708103294746216,0.7081032947462155,0.0172,0.0149,0.0172,0.0103,N.A.,0.0103,0.0103,0.0149,0.0103
Belgium,0.1784,0.18,N.A.,0.218,0,0.08447,0.3175,0.3175,N.A.,0.08447,N.A.,N.A.,0.0054,0.0069,0.0054,N.A.,N.A.,N.A.,N.A.,0.0069,N.A.
Bulgaria,0.2019,0.02,0.7119,0.18,0,0.37178,0.6422,0.6422,0.13145093062605753,0.37178,0.7119106699751862,0.7119106699751862,0.0214,0.0012,0.0214,N.A.,0.13145093062605753,N.A.,N.A.,0.0012,N.A.
Croatia,0.1361,0.01,0.3707,0.662,0,0.36928,0.2646,0.2646,0.049614614310857556,0.36928,0.37065341994650364,0.37065341994650364,0.0012,0.0017,0.0012,N.A.,0.049614614310857556,N.A.,N.A.,0.0017,N.A.
Cyprus,0.2015,0.0085,N.A.,0.1,0,0.37117,0.1406,0.1406,N.A.,0.37117,N.A.,N.A.,0.0004,0.0006,0.0004,6.223992602340222e-05,N.A.,6.223992602340222e-05,6.223992602340222e-05,0.0006,6.223992602340222e-05
Czech Republic,0.1668,0.0219,0.3379,0.129,0,0.23535,0.3053,0.3053,0.04651647612642905,0.23535,0.3379000209161263,0.3379000209161263,0.0053,0.0015,0.0053,N.A.,0.04651647612642905,N.A.,N.A.,0.0015,N.A.
Denmark,0.0914,0.1555,0.3575,0.782,0.030860795767662295,0.51073,0.117,0.117,N.A.,0.51073,0.3574926542605289,0.3574926542605289,0.0262,0.0239,0.0262,N.A.,N.A.,N.A.,N.A.,0.0239,N.A.
Estonia,0.1632,0.01,0.1183,0.281,0,0.58834,0.2709,0.2709,0.0022208632398854162,0.58834,0.11825192802056556,0.11825192802056556,0.00019896538002387584,0.003,0.00019896538002387584,0.0005,0.0022208632398854162,0.0005,0.0005,0.003,0.0005
