NACE_code,C.20.16,Unnamed: 2,C.29.1,Unnamed: 4,C.30.2,Unnamed: 6,D.35.11,Unnamed: 8,D.35.21,Unnamed: 10,D.35.3,Unnamed: 12,E.38.11,Unnamed: 14,E.38.21,Unnamed: 16,F.42.13 ,Unnamed: 18,F.43.22,Unnamed: 20,H.49.10,Unnamed: 22,H.49.20,Unnamed: 24,H.49.31,Unnamed: 26,H.49.32,Unnamed: 28,H.49.39,Unnamed: 30,H.49.41,Unnamed: 32,H.52.21,Unnamed: 34,H.53.1,Unnamed: 36,H.53.2,Unnamed: 38,N.77.11,Unnamed: 40,N.77.12,Unnamed: 42
NACE description,Manufacture of plastics in primary forms,,Manufacture of motor vehicles,,Manufacture of railway locomotives and rolling stock,,Production of electricity,,Manufacture of gas,,Steam and air conditioning supply,,Collection of non-hazardous waste,,Treatment and disposal of non-hazardous waste,,Construction of bridges and tunnels,,"Plumbing, heat and air-conditioning installation",,"Passenger rail transport, interurban",,Freight rail transport,,Urban and suburban passenger land transport,,Taxi operation,,Other passenger land transport n.e.c.,,Freight transport by road,,Service activities incidental to land transportation,,Postal activities under universal service obligation,,Other postal and courier activities,,Renting and leasing of cars and light motor vehicles,,Renting and leasing of trucks,
TAC_proxy,Proxy: % of plastic recycled / total plastic used (assumption: plastic used = plastic produced),Source. See notes on C.20.16,"Proxy used: % of sales of battery electric vehicle out of total (hybrid plug-in cars do not qualify and are not taken into account). 
Source IEA for countries where available otherwise as indicated. 
","Source. Note: since the share of production could not be found, where available the share of electric cars by usage has been used here. Share of production could differ.
A global institutional source could not be found. Sources are listed in the source table. ","Proxy: ratio [Electrified  length of lines in km] / [Total  length of lines in km] in %. 
Sources: International Union of Railways www.uic.org",Source: International Union of Railways www.uic.org,Proxy: [Total gross electricity production from renewable sources] / [Gross electricity production in Gwh] in %. ,"Source: IRENA 2020, see folder/file: electricity/IRENA/ELECGEN_20230215-143903","Proxy: share biogas over total biogas + natural gas. 
See note file for calculations and sources. ",Source: IEA + CIA. Estimates are obtained as ratio of biogas production over total production of bio and natural gas. See file biogas/biomethane_TAC_2022.11.03,"Proxy: ratio of heating and cooling from renewable sources out of total in %.
Assumptions: heating is mostly from fossil and cooling from electricity; heating and cooling have equal weight in terms of energy demand. 
Calculation: TAC =  0.5 * 0 + 0.5 TAC(D.35.11) .",Source,"Proxy: % recycled out of municipal waste.
Source OECD and WB.",Source,"Proxy: % recycled out of municipal waste.
Source OECD and WB.",Source,"Proxy: ratio [total length of electrified railways]/[total length of roads and railways]. 
Data for road length and railways (electrified) length was obtained from sources indicated. For input data and computation sheet see folder roads_railways.  
Sources: Railways: International Union of Railways https://uic.org/ ; roadways: CIA
",Source: International Union of Railways + CIA,Proxy: ratio of heatpumps installed out of total heat and cooling units ,Source,"Proxy: ratio [total length of electrified railways]/[total length of railways]. 
Data for road length and railways (electrified) length was obtained from sources indicated. For input data and computation sheet see folder roads_railways.  
Sources: Railways: International Union of Railways https://uic.org/ ; roadways: CIA
","Source: IRENA 2020, see folder/file: electricity/IRENA/ELECGEN_20230215-143903","Proxy: ratio [Electrified  length of lines in km] / [Total  length of lines in km] in %. 
Sources: International Union of Railways www.uic.org",Source,"Proxy: % electric buses stock over total bus stock.
","Source: IEA where available, or local sources as indicated.","Proxy used: % of stock battery electric cars out of total stock (hybrid plug-in cars do not qualify and are not taken into account). 

",Source: IEA where available,"Proxy used: % of stock battery electric cars out of total stock (hybrid plug-in cars do not qualify and are not taken into account). 

",Source: IEA where available,"Proxy used: % electric truck (IEA categories) stock out of total stock. 
","Source: IEA 2021 at country level where available
https://www.iea.org/reports/trucks-and-buses : ""the total stock of electric trucks now stands at 66 000, representing 0.3% of new registrations in 2021, but just 0.1% of the fleet"" ",Proxy: ratio [total length of electrified railways]/total length of roads and railways]. ,Source: International Union of Railways + CIA,"Proxy used: % of stock of battery electric vans out of total stock of vans (using IEA categories, lorry = van)",Source: IEA EV 2021,"Proxy used: % of stock of battery electric vans out of total stock of vans (using IEA categories, lorry = van)",Source: IEA EV 2021,"Proxy used: % of stock battery electric cars out of total stock (hybrid plug-in cars do not qualify and are not taken into account). 

",Source: IEA where available,"Proxy used: % electric truck (IEA categories) stock out of total stock. 
","Source: IEA 2021 at country level where available
https://www.iea.org/reports/trucks-and-buses : ""the total stock of electric trucks now stands at 66 000, representing 0.3% of new registrations in 2021, but just 0.1% of the fleet"" "
Australia,0.16,https://www.theguardian.com/environment/2021/nov/19/drowning-in-waste-australia-recycled-just-16-of-plastic-packaging-last-year,0.028,"IEA, 2021",0.1023,International Union of Railways www.uic.org,0.226,IRENA 2020,0.0011,Estimate obtained as ratio of biogas production over total consumption of bio and natural gas. See file biomethane_TAC_2022.11.03,0.113,See formula,0.224,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.224,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.0037,International Union of Railways + CIA,N.A.,,0.1023,International Union of Railways www.uic.org,0.1023,International Union of Railways www.uic.org,N.A.,,0.0039,IEA 2021,0.0039,IEA 2021,N.A.,,0.0037,International Union of Railways + CIA,N.A.,IEA 2021 ,N.A.,IEA 2021 ,0.0039,IEA 2021,N.A.,
Brazil,0.04,"https://agenciabrasil.ebc.com.br/en/geral/noticia/2022-06/recycling-rate-brazil-only-4-says-abrelpe#:~:text=According%20to%20the%20survey%2C%20dry,and%20multilayer%20packaging%20(1.4%25).",0.0047,"IEA, 2021",0.3027,International Union of Railways www.uic.org,0.8417,IRENA 2020,0.045,As above,0.42085,See formula,0.016,"World Bank ""What A Waste Global Database"" https://datacatalog.worldbank.org/search/dataset/0039597",0.016,"World Bank ""What A Waste Global Database"" https://datacatalog.worldbank.org/search/dataset/0039597",0.0044,International Union of Railways + CIA,N.A.,,0.3027,International Union of Railways www.uic.org,0.3027,International Union of Railways www.uic.org,N.A.,,0.00033,IEA 2021,0.00033,IEA 2021,N.A.,,0.0044,International Union of Railways + CIA,N.A.,IEA 2021 ,N.A.,IEA 2021 ,0.00033,IEA 2021,N.A.,
Canada,0.09,"https://www.canada.ca/en/environment-climate-change/services/managing-reducing-waste/reduce-plastic-waste.html#:~:text=Canadians%20throw%20away%20over%203,energy%20facilities%20or%20the%20environment.",0.066,"IEA, 2021",0.00263265306122449,International Union of Railways www.uic.org,0.6707,IRENA 2020,0.1415,As above,0.33535,See formula,0.196,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.196,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.0001,International Union of Railways + CIA,N.A.,,0.00263265306122449,International Union of Railways www.uic.org,0.00263265306122449,International Union of Railways www.uic.org,0.0046,IEA 2021,0.012,IEA 2021,0.012,IEA 2021,1e-05,IEA 2021,0.0001,International Union of Railways + CIA,0.0022,IEA 2021 ,0.0022,IEA 2021 ,0.012,IEA 2021,1e-05,IEA 2021
Chile,N.A.,,0.0019,"IEA, 2021",0,International Union of Railways www.uic.org,0.4816,IRENA 2020,N.A.,As above,0.2408,See formula,0.004,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.004,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",N.A.,,N.A.,,0,International Union of Railways www.uic.org,0,International Union of Railways www.uic.org,N.A.,,0.00026,IEA 2021,0.00026,IEA 2021,N.A.,,N.A.,0,N.A.,IEA 2021 ,N.A.,IEA 2021 ,0.00026,IEA 2021,N.A.,
China,0.13,"https://ipen.org/sites/default/files/documents/ipen-china-2021-epa_v1_2.pdf
https://www.oecd.org/newsroom/plastic-pollution-is-growing-relentlessly-as-waste-management-and-recycling-fall-short.htm",0.16,"IEA, 2021",0.6667,International Union of Railways www.uic.org,0.2806,IRENA 2020,0.04627293073455627,As above,0.1403,See formula,0.03,"World Bank ""What A Waste Global Database"" https://datacatalog.worldbank.org/search/dataset/0039597",0.03,"World Bank ""What A Waste Global Database"" https://datacatalog.worldbank.org/search/dataset/0039597",0.0187,International Union of Railways + CIA,N.A.,,0.6667,International Union of Railways www.uic.org,0.6667,International Union of Railways www.uic.org,0.12,"IEA 2021 
https://transition-china.org/mobilityposts/e-bus-development-in-china-from-fleet-electrification-to-refined-management/",0.03,IEA 2021,0.03,IEA 2021,0.0017,IEA 2021,0.0187,International Union of Railways + CIA,0.025,IEA 2021 ,0.025,IEA 2021 ,0.03,IEA 2021,0.0017,IEA 2021
India,0.13,,0.0038,"IEA, 2021",0.8236,International Union of Railways www.uic.org,0.1888,IRENA 2020,0.0018418839850324086,As above,0.0944,See formula,0.23,"World Bank ""What A Waste Global Database"" https://datacatalog.worldbank.org/search/dataset/0039597",0.23,"World Bank ""What A Waste Global Database"" https://datacatalog.worldbank.org/search/dataset/0039597",0.009,International Union of Railways + CIA,N.A.,,0.8236,International Union of Railways www.uic.org,0.8236,International Union of Railways www.uic.org,N.A.,"IEA 2021
https://www.orfonline.org/wp-content/uploads/2022/03/ORF_PolicyReport_Electric-Buses.pdf",0.0038,IEA 2021,0.0038,IEA 2021,N.A.,,0.009,International Union of Railways + CIA,N.A.,IEA 2021 ,N.A.,IEA 2021 ,0.0038,IEA 2021,N.A.,
Israel,N.A.,,0.05,https://en.globes.co.il/en/article-electric-vehicle-sales-soar-in-israel-1001414100,0.0754,International Union of Railways www.uic.org,0.0624,IRENA 2020,N.A.,As above,0.0312,See formula,0.072,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.072,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.0053,International Union of Railways + CIA,N.A.,,0.0754,International Union of Railways www.uic.org,0.0754,International Union of Railways www.uic.org,N.A.,,N.A.,,N.A.,,N.A.,,0.0053,International Union of Railways + CIA,N.A.,IEA 2021 ,N.A.,IEA 2021 ,N.A.,,N.A.,
Japan,0.12,https://www.oecd.org/newsroom/plastic-pollution-is-growing-relentlessly-as-waste-management-and-recycling-fall-short.htm,0.01,"IEA, 2021",0.7519,International Union of Railways www.uic.org,0.203,IRENA 2020,N.A.,As above,0.1015,See formula,0.194,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.194,"OECD Dataset: Municipal waste, Generation and Treatment. Variable selected =  % Material recovery (Recycling, excluding composting)",0.0542,International Union of Railways + CIA,N.A.,,0.7519,International Union of Railways www.uic.org,0.7519,International Union of Railways www.uic.org,0.00032,IEA 2021,0.0053,IEA 2021,0.0053,IEA 2021,N.A.,,0.0542,International Union of Railways + CIA,0.0011,IEA 2021 ,0.0011,IEA 2021 ,0.0053,IEA 2021,N.A.,
