column,dtype,non_null,null
NACE_code,object,17,0
C.20.16,object,17,0
Unnamed: 2,object,11,6
C.29.1,object,17,0
Unnamed: 4,object,16,1
C.30.2,object,17,0
Unnamed: 6,object,16,1
D.35.11,object,17,0
Unnamed: 8,object,16,1
D.35.21,object,17,0
Unnamed: 10,object,16,1
D.35.3,object,17,0
Unnamed: 12,object,16,1
E.38.11,object,17,0
Unnamed: 14,object,16,1
E.38.21,object,17,0
Unnamed: 16,object,16,1
F.42.13,object,17,0
Unnamed: 18,object,14,3
F.43.22,object,17,0
Unnamed: 20,object,1,16
H.49.10,object,17,0
Unnamed: 22,object,16,1
H.49.20,object,17,0
Unnamed: 24,object,16,1
H.49.31,object,17,0
Unnamed: 26,object,10,7
H.49.32,object,17,0
Unnamed: 28,object,14,3
H.49.39,object,17,0
Unnamed: 30,object,14,3
H.49.41,object,17,0
Unnamed: 32,object,6,11
H.52.21,object,17,0
Unnamed: 34,object,16,1
H.53.1,object,17,0
Unnamed: 36,object,16,1
H.53.2,object,17,0
Unnamed: 38,object,16,1
N.77.11,object,17,0
Unnamed: 40,object,14,3
N.77.12,object,17,0
Unnamed: 42,object,6,11
