NACE_code,C.20.16,C.29.1,C.30.2,D.35.11,D.35.21,D.35.3,E.38.11,E.38.21,F.42.13 ,F.43.22,H.49.10,H.49.20,H.49.31,H.49.32,H.49.39,H.49.41,H.52.21,H.53.1,H.53.2,N.77.11,N.77.12
NACE description,Manufacture of plastics in primary forms,Manufacture of motor vehicles,Manufacture of railway locomotives and rolling stock,Production of electricity,Manufacture of gas,Steam and air conditioning supply,Collection of non-hazardous waste,Treatment and disposal of non-hazardous waste,Construction of bridges and tunnels,"Plumbing, heat and air-conditioning installation","Passenger rail transport, interurban",Freight rail transport,Urban and suburban passenger land transport,Taxi operation,Other passenger land transport n.e.c.,Freight transport by road,Service activities incidental to land transportation,Service activities incidental to land transportation,Other postal and courier activities,Renting and leasing of cars and light motor vehicles,Renting and leasing of trucks
TEC_proxy,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,"Proxy: ratio [Gross electricity production from fossil fuels in Gwh]/[Gross electricity production Total in Gwh]. Datasource:https://ec.europa.eu/eurostat/databrowser/view/NRG_BAL_PEH__custom_2421912/default/table?lang=en
Variable chosen = fossil energy",Proxy: 1-TAC.,"Proxy: % of fossil sources in heating and cooling. 
Datasource: Eurostat filecode [TEN00125], Final energy consumption in households by type of fuel.
Note: computation: % (Natural gas + Primary solid biofuels +Gas oil and diesel oil (excluding biofuel portion) + Solid fossil fuels + Liquefied petroleum gases	+ Other kerosene) out of total.",Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.,Proxy: 1-TAC.
Austria,0.8991,0.8013,0.29190000000000005,0.2182,0.9935895970930365,0.3555,0.5923,0.5923,N.A.,0.65005,0.291896705253784,0.2918967052537845,0.9828,0.9851,0.9828,0.9897,N.A.,0.9897,0.9897,0.9851,0.9897
Belgium,0.8216,0.8200000000000001,N.A.,0.3146,1,0.711,0.6825,0.6825,N.A.,0.91553,N.A.,N.A.,0.9946,0.9931,0.9946,N.A.,N.A.,N.A.,N.A.,0.9931,N.A.
Bulgaria,0.7981,0.98,0.2881,0.4462,1,0.09091760083450695,0.3578,0.3578,0.8685490693739425,0.62822,0.28808933002481385,0.28808933002481385,0.9786,0.9988,0.9786,N.A.,0.8685490693739425,N.A.,N.A.,0.9988,N.A.
Croatia,0.8639,0.99,0.6293,0.3375,1,0.2605128443843887,0.7354,0.7354,0.9503853856891424,0.63072,0.6293465800534963,0.6293465800534963,0.9988,0.9983,0.9988,N.A.,0.9503853856891424,N.A.,N.A.,0.9983,N.A.
Cyprus,0.7985,0.9915,N.A.,0.8999,1,0.30127876255511077,0.8593999999999999,0.8593999999999999,N.A.,0.62883,N.A.,N.A.,0.9996,0.9994,0.9996,0.9999377600739766,N.A.,0.9999377600739766,0.9999377600739766,0.9994,0.9999377600739766
Czech Republic,0.8331999999999999,0.9781,0.6621,0.5229,1,0.3551389945120713,0.6947,0.6947,0.9534835238735709,0.76465,0.6620999790838737,0.6620999790838737,0.9947,0.9985,0.9947,N.A.,0.9534835238735709,N.A.,N.A.,0.9985,N.A.
Denmark,0.9086,0.8445,0.6425000000000001,0.2123,0.9691392042323377,0.17404347374558893,0.883,0.883,N.A.,0.48927,0.6425073457394711,0.6425073457394711,0.9738,0.9761,0.9738,N.A.,N.A.,N.A.,N.A.,0.9761,N.A.
Estonia,0.8368,0.99,0.8817,0.7187,1,0.0672133160573495,0.7291000000000001,0.7291000000000001,0.9977791367601145,0.41166,0.8817480719794344,0.8817480719794344,0.9998010346199762,0.997,0.9998010346199762,0.9995,0.9977791367601145,0.9995,0.9995,0.997,0.9995
Finland,0.8324,0.8824,0.4376,0.1845,1,0.04710908301659061,0.7537,0.7537,0.9581434847222903,0.42378000000000005,0.4376160729360121,0.4376160729360121,0.9856,0.9935,0.9856,0.9987,0.9581434847222903,0.9987,0.9987,0.9935,0.9987
France,0.9146,0.8662,0.4154,0.0936,0.9972597672172251,0.38959376445175586,0.7415,0.7415,0.9669688487475541,0.91,0.41538405559800606,0.41538405559800606,0.9843,0.9896,0.9843,0.9907,0.9669688487475541,0.9907,0.9907,0.9896,0.9907
Germany,0.8157,0.8143,N.A.,0.4692,0.9689176754446281,0.6034498023046898,0.5201,0.5201,0.8576955916660504,0.85193,N.A.,N.A.,0.984,0.9873,0.984,0.9877,0.8576955916660504,0.9877,0.9877,0.9873,0.9877
Greece,0.85,0.99,0.6794,0.6679,1,0.40317456321844697,0.8397,0.8397,N.A.,0.68059,0.6793859649122806,0.6793859649122806,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Hungary,0.9002,0.9543,0.28190000000000004,0.3861,1,0.530020856616294,0.7452,0.7452,0.9757619763300877,0.8280000000000001,0.2819320676740281,0.2819320676740281,0.9948,0.9953,0.9948,0.998,0.9757619763300877,0.998,0.998,0.9953,0.998
