NACE_code,C.20.16,Unnamed: 2,C.29.1,Unnamed: 4,C.30.2,Unnamed: 6,D.35.11,Unnamed: 8,D.35.21,Unnamed: 10,D.35.3,Unnamed: 12,E.38.11,Unnamed: 14,E.38.21,Unnamed: 16,F.42.13,Unnamed: 18,F.43.22,Unnamed: 20,H.49.10,Unnamed: 22,H.49.20,Unnamed: 24,H.49.31,Unnamed: 26,H.49.32,Unnamed: 28,H.49.39,Unnamed: 30,H.49.41,Unnamed: 32,H.52.21,Unnamed: 34,H.53.1,Unnamed: 36,H.53.2,Unnamed: 38,N.77.11,Unnamed: 40,N.77.12,Unnamed: 42
NACE description,Manufacture of plastics in primary forms,,Manufacture of motor vehicles,,Manufacture of railway locomotives and rolling stock,,Production of electricity,,Manufacture of gas,,Steam and air conditioning supply,,Collection of non-hazardous waste,,Treatment and disposal of non-hazardous waste,,Construction of bridges and tunnels,,"Plumbing, heat and air-conditioning installation",,"Passenger rail transport, interurban",,Freight rail transport,,Urban and suburban passenger land transport,,Taxi operation,,Other passenger land transport n.e.c.,,Freight transport by road,,Service activities incidental to land transportation,,Postal activities under universal service obligation,,Other postal and courier activities,,Renting and leasing of cars and light motor vehicles,,Renting and leasing of trucks,
TEC_proxy,1-TAC,Source: see corresponding TAC,1-TAC,Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,Proxy: [Total gross electricity production from fossil] / [Gross electricity production in Gwh] in %. ,"Source: IRENA 2020, see folder/file: electricity/IRENA/ELECGEN_20230215-143903",1 -TAC,Source: see corresponding TAC,"Proxy: % production of heating and cooling from fossil sources out of total.
Assumptions: heating is mostly from fossil and cooling from electricity; heating and cooling have equal weight in terms of energy demand. 
Calculation: TEC = 0.5 * 1 + 0.5 TEC(D.35.11).
Exceptions: data is available for Norway (see references in TEC_EU)
",Source: see corresponding TAC,1-TAC,Source: see corresponding TAC,1-TAC,Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC,"1-TAC
",Source: see corresponding TAC
Australia,0.84,,0.972,,0.8976999999999999,,0.774,IRENA 2020,0.9989,,0.887,,0.776,,0.776,,0.9963,,N.A.,,0.8976999999999999,,0.8976999999999999,,N.A.,,0.9961,,0.9961,,N.A.,,0.9963,,N.A.,,N.A.,,0.9961,,N.A.,
Brazil,0.96,,0.9953,,0.6973,,0.1245,IRENA 2020,0.955,,0.56225,,0.984,,0.984,,0.9956,,N.A.,,0.6973,,0.6973,,N.A.,,0.99967,,0.99967,,N.A.,,0.9956,,N.A.,,N.A.,,0.99967,,N.A.,
Canada,0.91,,0.9339999999999999,,0.9973673469387755,,0.178,IRENA 2020,0.8585,,0.589,,0.804,,0.804,,0.9999,,N.A.,,0.9973673469387755,,0.9973673469387755,,0.9954,,0.988,,0.988,,0.99999,,0.9999,,0.9978,,0.9978,,0.988,,0.99999,
Chile,N.A.,,0.9981,,1,,0.5184,IRENA 2020,N.A.,,0.7592,,0.996,,0.996,,N.A.,,N.A.,,1,,1,,N.A.,,0.99974,,0.99974,,N.A.,,N.A.,,N.A.,,N.A.,,0.99974,,N.A.,
China,0.87,,0.84,,0.33330000000000004,,0.6676,IRENA 2020,0.9537270692654437,,0.8338,,0.97,,0.97,,0.9813,,N.A.,,0.33330000000000004,,0.33330000000000004,,0.88,,0.97,,0.97,,0.9983,,0.9813,,0.975,,0.975,,0.97,,0.9983,
India,0.87,,0.9962,,0.1764,,0.7823,IRENA 2020,0.9981581160149676,,0.89115,,0.77,,0.77,,0.991,,N.A.,,0.1764,,0.1764,,N.A.,,0.9962,,0.9962,,N.A.,,0.991,,N.A.,,N.A.,,0.9962,,N.A.,
Israel,N.A.,,0.95,,0.9246,,0.9339,IRENA 2020,N.A.,,0.96695,,0.928,,0.928,,0.9947,,N.A.,,0.9246,,0.9246,,N.A.,,N.A.,,N.A.,,N.A.,,0.9947,,N.A.,,N.A.,,N.A.,,N.A.,
Japan,0.88,,0.99,,0.2481,,0.7248,IRENA 2020,N.A.,,0.8624,,0.806,,0.806,,0.9458,,N.A.,,0.2481,,0.2481,,0.99968,,0.9947,,0.9947,,N.A.,,0.9458,,0.9989,,0.9989,,0.9947,,N.A.,
