ListName,Value,Alias_PL,Notes
SENSES,Vision,Wzrok,
SENSES,Hearing,Słuch,
SENSES,Smell,Węch,
SENSES,Touch,Dotyk,
SENSES,Taste,Smak,
SENSES,Proprioception,Propriocepcja,
SENSES,Kinesthesia,Kinestezja,
SENSES,Deep feeling,Czucie głębokie,
SENSES,Thermoception,Termorecepcja,
SENSES,Nociception,Nocycepcja,
SENSES,Interoception,Interocepcja,
SENSES,Affective state,Emocje,
SENSES,Embodiment,Ucieleśnienie,
BINARY,seen/unseen,,
BINARY,heard/unheard,,
BINARY,sniffed/unsmelled,,
BINARY,tactile/non-tactile,,
BINARY,tasted/untasted,,
BINARY,embodied/disembodied,,
BINARY,active/inactive,,
BINARY,immersed/un-immersed,,
BINARY,warm/cold,,
BINARY,safe/threat,,
BINARY,settled/unsettled,,
BINARY,positive/negative,,
BINARY,enacted/suppressed,,
PERFORMANCE,Economy,Gospodarka,"Economic aspects, costs, benefits, jobs"
PERFORMANCE,Technology (Infrastructure),Technologia (Infrastruktura),"Technical systems, equipment, innovation"
PERFORMANCE,Politics,Polityka,"Power, governance, regulation, policy"
PERFORMANCE,Culture,Kultura,"Values, identity, heritage, meaning"
PERFORMANCE,Environment,Środowisko,"Ecological, natural systems, sustainability"
PERFORMANCE,Health & Safety,Zdrowie i Bezpieczeństwo,"Human health, occupational safety"
PERFORMANCE,Social Justice,Sprawiedliwość Społeczna,"Equity, fairness, participation"
SUBSYSTEM,Economy,Ekonomia,payment/non-payment
SUBSYSTEM,Law,Prawo,legal/illegal
SUBSYSTEM,Science,Nauka,true/false
SUBSYSTEM,Politics,Polityka,power/opposition
SUBSYSTEM,Culture,Kultura,recognition/exclusion
SUBSYSTEM,Education,Edukacja,learning/ignorance
SUBSYSTEM,Health,Zdrowie,wellness/illness
SUBSYSTEM,Media,Media,information/misinformation
EMOTION,calm,spokój,"Peaceful, tranquil state"
EMOTION,pride,duma,Positive achievement feeling
EMOTION,anxiety,niepokój,"Worry, concern, unease"
EMOTION,anger,złość,"Frustration, indignation"
EMOTION,curiosity,ciekawość,"Interest, wonder, exploration"
EMOTION,fear,strach,"Threat perception, alarm"
EMOTION,hope,nadzieja,"Optimism, positive expectation"
EMOTION,frustration,frustracja,"Blocked goals, impediments"
EMOTION,excitement,podniecenie,"Anticipation, energy, enthusiasm"
EMOTION,sadness,smutek,"Loss, disappointment, melancholy"
EMOTION,confusion,zmieszanie,"Uncertainty, lack of clarity"
EMOTION,empowerment,wzmocnienie,"Agency, capability, influence"
EMOTION,alienation,wyobcowanie,"Disconnection, estrangement"
EMOTION,solidarity,solidarność,"Unity, mutual support"
EMOTION,resignation,rezygnacja,"Giving up, acceptance of limits"
EMOTION,calm,spokój,
EMOTION,pride,duma,
EMOTION,anxiety,niepokój,
EMOTION,anger,złość,
EMOTION,curiosity,ciekawość,
SCALE,Local,,
SCALE,Regional,,
SCALE,National,,
SCALE,European,,
SCALE,Global,,
SCALE,Planetary,,
CONFLICT,Economic vs Environmental,"Jobs vs nature, costs vs benefits",
CONFLICT,Local vs Regional,Community impact vs broader benefits,
CONFLICT,Present vs Future,Immediate disruption vs long-term gains,
CONFLICT,Human vs More-than-Human,Anthropocentric vs ecological concerns,
CONFLICT,Participation vs Expertise,Community voice vs technical knowledge,
CONFLICT,Individual vs Collective,Personal impact vs common good,
CONFLICT,Certainty vs Uncertainty,Known risks vs unknown consequences,
CONFLICT,Visible vs Invisible,Obvious impacts vs hidden effects,
STAKEHOLDER,HAROPA Port,,
STAKEHOLDER,Le Havre Seine Métropole,,
STAKEHOLDER,Normandy Region,,
STAKEHOLDER,ENGIE H2 consortium,,
STAKEHOLDER,TotalEnergies / Yara / Petro-chem cluster,,
STAKEHOLDER,Terminal operators (TNMSC etc.),,
STAKEHOLDER,CGT Dockers’ Union,,
STAKEHOLDER,Transition Le Havre / NGOs,,
STAKEHOLDER,Residents (near-port),,
STAKEHOLDER,Université Le Havre / Labs,,
STAKEHOLDER,Tourists / Visitors,,
ROLE,MC/WG member,,
ROLE,Port professional,,
ROLE,Local resident,,
ROLE,Researcher/Student,,
ROLE,Visitor/Tourist,,
ROLE,NGO/Activist,,
