CTRY,MCA,UNLocode,Country/Port Name,Label using special characters,Nat. Stat. Group,National Code,Port on Island,2024 list: modifications compared to 2023 list,2021 list: modifications compared to 2020 list,2020 list: modifications compared to 2019 list,2019 list: modifications compared to 2018 list,2018 list: modifications compared to 2017 list,2017 list: modifications compared to 2016 list,2015 list: modifications compared to 2014 list,2012 list: modifications compared to 2011 list,2011 list: modifications compared to 2010 list,2010 list: modifications compared to 2009 list,previous changes (partial coverage) and other comments,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
DE,DE09,DEABF,Abbenfleth,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEABH,Abbehausen,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEACM,Achim,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,W - Not a port according to UNECE,,,,,,,,,,,,,,
DE,DE09,DEAML,Amelsburen,Amelsbüren,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEASC,Aschaffenburg,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEASS,Assel,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEATL,Altenlingen,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE03,DEAUR,Aurich,,DE88I,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEAWR,Achterwehr,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBAM,Bamberg,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBAS,Basbeck,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBBG,Brandenburg,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBCO,Bockholdt,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBCT,Borschutz,Borschütz,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBCW,Brachwitz,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBDF,Bendorf/Rhein,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBEK,Bernkastel-Kues,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBES,Bad Essen,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBEV,Beverungen,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBFH,Bad Friedrichshall,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBFL,Borsfleth,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBGX,Burg,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,W - Not a port according to UNECE,,,,,,,,,,,,,,
DE,DE09,DEBHM,Bergheim,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,W - Not a port according to UNECE,,,,,,,,,,,,,,
DE,DE09,DEBIN,Bingen,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBIW,Bindow,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBKW,Beeskow,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBMV,Bremervorde,Bremervörde,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBNK,Brink,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBOC,Bockhorst,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBOK,Bokel,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBON,Bonn,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBOT,Bottrop,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBOY,Bad Oeynhausen,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBRA,Bramel,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBRD,Briedern,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,W - Not a port according to UNECE,,,,,,,,,,,,,,
DE,DE09,DEBRG,Burg/Dithmarschen,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE03,DEBRM,Bramsche,,DE88I,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBRN,Bornsen,Börnsen,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBRO,Brohl-Lutzing,Brohl-Lützing,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE03,DEBRU,Bruhl,Brühl,DE88I,,,,,2020: Correction of MCA code and statistical port (previously DE09),,,,,,,2010: New entry as non-statistical port,W - Not a port according to UNECE,,,,,,,,,,,,,,
DE,DE09,DEBSH,Breisach,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE03,DEKPE,Kampe,,DE88I,,,,,2020: Correction of MCA code and statistical port (previously DE09),,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBTA,Bortfeld,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEBUD,Budenheim,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,W - Not a port according to UNECE,,,,,,,,,,,,,,
DE,DE09,DEBUT,Butjadingen,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE01,DEBUX,Buxtehude,,DE88N,,,2024: Correction of MCA code and statistical port (previously DE09),,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEDAN,Dangast,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEDAT,Datteln,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEDEG,Deggendorf,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEDIT,Ditzum,,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
DE,DE09,DEDNT,Dorenthe,Dörenthe,DE09DE888,,,,,,,,,,,,2010: New entry as non-statistical port,,,,,,,,,,,,,,,
