DOI,Title,Abstract,Open access,Authors,Publication date,Citations,Journal,ISSNs,Quartile by SCImago,Quartile by WOS,Impact factor,Publisher,Volume,Issue,Pages
10.5040/9780755640409,Fighting for Water,,NO,Bieler A.,2021-04-26 07:32:42,28,,,,,,,,,
10.1080/17409292.2021.1865056,An Ecocritical Metaphorology,,NO,Wampole C.,2021-01-01 07:32:42,2,Contemporary French and Francophone Studies,"17409292,17409306",2.0,0.0,0.2,Taylor & Francis,25.0,1.0,52-59
10.1080/00207659.2020.1802556,"Be Water, My Friend: Hong Kong’s 2019 Anti-Extradition Protests","<p>The 2019 wave of protests in Hong Kong, while reproducing the patterns of earlier social movements against perceived political pressure from the Chinese mainland, spiraled into an unprecedented esc...</p>",NO,Holbig H.,2020-07-03 07:32:42,41,International Journal of Sociology,"00207659,15579336,27103773",2.0,3.0,1.1,Taylor & Francis,50.0,4.0,325-337
10.3390/w11091744,"Making Sense of “Day Zero”: Slow Catastrophes, Anthropocene Futures, and the Story of Cape Town’s Water Crisis","<p>What form do the current and future catastrophes of the Anthropocene take? Adapting a concept from Rod Nixon, this communication makes a case for the notion of slow catastrophes, whose unfolding in space and time is uneven and entangled. Taking the events of Cape Town’s Day Zero drought as a case study, this paper examines the politics and poetics of water in the Anthropocene, and the implications of Anthropogenic climate change for urban life. It argues that rather than being understood as an inert resource, fresh drinking water is a complex object constructed at the intersection between natural systems, cultural imaginaries, and social, political and economic interests. The extraordinary events of Day Zero raised the specter of Mad Max-style water wars. They also led to the development of new forms of solidarity, with water acting as a social leveler. The paper argues that the events in Cape Town open a window onto the future, to the extent that it describes something about what happens when the added stresses of climate change are mapped onto already-contested social and political situations.</p>",YES,Shepherd,2019-08-21 07:32:42,30,Water (Switzerland),20734441,1.0,2.0,3.0,MDPI,11.0,9.0,1744
10.3390/w11010099,Spatio-Temporality and Tribal Water Quality Governance in the United States,"<p>Hydrosocial spatio-temporalities—aspects of water belonging to space, time, or space-time—are central to water governance, providing a framework upon which overall hydrosocial relations are constructed, and are fundamental to the establishment of values and central to socio-cultural-political relationships. Moreover, spatio-temporal conceptions may differ among diverse governing entities and across scales, creating “variability” through ontological pluralism, as well as power asymmetries embedded in cultural bias. This paper explores spatio-temporal conceptions related to water quality governance, an aspect of water governance often biased toward technical and scientific space-time conceptions. We offer examples of different aspects of spatio-temporality in water quality issues among Tribes in the United States, highlighting several themes, including spatiotemporal cycles, technological mediation, and interrelationship and fluidity. Finally, we suggest that because water is part of a dynamic network of space-times, water quality may be best governed through more holistic practices that recognize tribal sovereignty and hydrosocial variability.</p>",YES,"Cavazos Cohn T., Berry K., Powys Whyte K., Norman E.",2019-01-09 07:32:42,16,Water (Switzerland),20734441,1.0,2.0,3.0,MDPI,11.0,1.0,99
10.1177/0957926518802914,"‘The tide, change, nobody can stop it’: Metaphor for social action","<p>Based on critical approaches to discourse and metaphor, as well as on cognitive models of metaphorical creativity and recontextualization, this article analyses the origin and evolution of the marea (‘tide’) metaphor as a tool for social action within recent Spanish protest movements (2011–2016). From an initial image metaphor representing different protest groups, to the use of the expression to identify a number of grassroots political parties, among other new meanings, the metaphor has proved to be an important tool in the legitimation of recent social action and change in Spanish society since the eruption of the 15M movement in 2011. By tracking its development, the study explains not only how the source domain marea activates highly positive meanings and emotions within the targets social protest, political parties, change and so on, but also how this ideological, socio-culturally conditioned, cognitively situated metaphor is becoming entrenched in the community within a very specific socio-historical and cultural context.</p>",NO,"Romano M., Porto M.D.",2018-10-15 07:32:42,7,Discourse and Society,"09579265,14603624",1.0,1.0,2.7,SAGE,29.0,6.0,655-673
10.26522/ssj.v12i1.1745,"Theorizing Power, Difference and the Politics of Social Change: Problems and Possibilities in Assemblage Thinking (Introductory Essay)",<p>N/A</p>,YES,"Conway J.M., Osterweil M., Thorburn E.",2018-07-12 07:32:42,11,Studies in Social Justice,19114788,2.0,2.0,1.4,University of Windsor,12.0,1.0,1-18
10.1080/10455752.2016.1213013,"Flint, Environmental Racism, and Racial Capitalism","<p>In this essay, I argue that the recent poisoning in Flint, Michigan, is a powerful example of both environmental racism and the everyday functioning of racial capitalism. As a journal devoted to le...</p>",NO,Pulido L.,2016-07-02 07:32:42,390,"Capitalism, Nature, Socialism","15483290,10455752",1.0,0.0,,Taylor & Francis,27.0,3.0,1-16
10.5040/9781474275415,Bodies of Water,"<p>This book is available as open access through the Bloomsbury Open Access programme and is available onwww.bloomsburycollections.com.</p><p>Water is the element that, more than any other, ties human beings in to the world around them – from the oceans that surround us to the water that makes up most of our bodies. Exploring the cultural and philosophical implications of this fact, Bodies of Water develops an innovative new mode of posthuman feminist phenomenology that understands our bodies as being fundamentally part of the natural world and not separate from or privileged to it.</p><p>Building on the works by Luce Irigaray, Maurice Merleau-Ponty and Gilles Deleuze, Astrida Neimanis’s book is a landmark study that brings a new feminist perspective to bear on ideas of embodiment and ecological ethics in the posthuman critical moment.</p>",NO,Neimanis A.,2016-01-01 07:32:42,77,,,,,,,,,
10.7551/mitpress/9780262029032.001.0001,Liquid Power,,NO,Swyngedouw E.,2015-09-23 07:32:42,209,,,,,,,,,
