column,dtype,non_null,null
Informazioni cronologiche,datetime64[us],32,0
Discipline / Sector,str,32,0
Term 1 and description,str,32,0
Term 2 and description,str,32,0
Term 3 and description,str,32,0
Term 4 and description,str,32,0
Term 5 and description,str,32,0
Add more terms and their descriptions,str,14,18
"Would you be willing to volunteer as a subgroup leader for the next phase (world café
discussion)?",str,32,0
"Any comments or suggestions regarding the glossary or the process?
",str,12,20
