column,dtype,non_null,null
Term,str,3,0
Synonyms,float64,0,3
Status,str,3,0
Version,str,3,0
Last_updated,str,3,0
Primary_definition_neutral_<=50w,str,3,0
Contestation_note_<=50w,str,3,0
Related_terms,float64,0,3
SKOS_URI,float64,0,3
SKOS_broader,float64,0,3
SKOS_narrower,float64,0,3
SKOS_closeMatch,float64,0,3
Perspective_Regulation_<=40w,str,3,0
Perspective_SocioTechnical_<=40w,str,3,0
Perspective_Justice_<=40w,str,3,0
Perspective_Ops_Engineering_<=40w,str,3,0
Perspective_Community_<=40w,str,3,0
Perspective_OceanActor_<=40w,str,3,0
PCT_layer,str,3,0
Energy_vector,str,3,0
Infrastructure_nodes,str,1,2
Primary_actors_roles,str,3,0
Instruments,str,3,0
Performance_metrics,str,3,0
Sensory_cues,str,3,0
Example_city_port,str,3,0
Use_case_or_scene,str,3,0
Indicator_name,str,3,0
Unit,str,3,0
Method_reference,str,3,0
Frequency,str,3,0
Data_owner,str,3,0
Baseline_year,int64,3,0
Target_2030,str,3,0
Target_2040,str,3,0
Thresholds_or_limits,str,2,1
Evidence_type,str,3,0
Citation_1_APA,str,3,0
Citation_1_URL_DOI,str,3,0
Citation_2_APA,float64,0,3
Citation_2_URL_DOI,float64,0,3
Evidence_quality,str,3,0
WG3_steward,str,3,0
Review_cycle_months,int64,3,0
WG3_status,str,3,0
Decision_log_link,float64,0,3
Language,str,3,0
Notes_internal,float64,0,3
