column,description
Term,Preferred label
Synonyms,Common variants
Status,draft|candidate|core
Version,"SemVer e.g., 1.0.0"
Last_updated,ISO date
Primary_definition_neutral_<=50w,"Neutral, minimal definition"
Contestation_note_<=50w,What is contested and by whom
Related_terms,Comma-separated
SKOS_URI,Canonical URI if available
SKOS_broader,Broader term
SKOS_narrower,Narrower term
SKOS_closeMatch,Close match
Perspective_Regulation_<=40w,Policy/regulatory angle
Perspective_SocioTechnical_<=40w,MLP/transition studies view
Perspective_Justice_<=40w,Energy/Environmental justice view
Perspective_Ops_Engineering_<=40w,Port ops and engineering view
Perspective_Community_<=40w,NGO/resident/community view
Perspective_OceanActor_<=40w,Ocean-as-actor/hydrofeminist view
PCT_layer,Select from PCT layers
Energy_vector,Select from energy vectors
Infrastructure_nodes,Free text or list
Primary_actors_roles,Select from Roles lookup
Instruments,Select instruments used
Performance_metrics,Select metrics
Sensory_cues,Select cues
Example_city_port,"E.g., Le Havre—Quai Roger Meunier"
Use_case_or_scene,Short vignette
Indicator_name,If countable
Unit,Unit of measure
Method_reference,Method or standard
Frequency,Data collection frequency
Data_owner,Custodian org
Baseline_year,Year baseline
Target_2030,Quant target 2030
Target_2040,Quant target 2040
Thresholds_or_limits,Legal/voluntary thresholds
Evidence_type,peer-reviewed|policy|standard|grey
Citation_1_APA,APA reference
Citation_1_URL_DOI,URL/DOI
Citation_2_APA,Second reference
Citation_2_URL_DOI,URL/DOI
Evidence_quality,high|medium|low
WG3_steward,Responsible editor
Review_cycle_months,"e.g., 12"
WG3_status,draft|in_review|approved
Decision_log_link,SharePoint/Pad link
Language,en
Notes_internal,Internal coordination notes
