column,dtype,non_null,null
Term,object,3,0
Synonyms,float64,0,3
Status,object,3,0
Version,object,3,0
Last_updated,object,3,0
Primary_definition_neutral_<=50w,object,3,0
Contestation_note_<=50w,object,3,0
Related_terms,float64,0,3
SKOS_URI,float64,0,3
SKOS_broader,float64,0,3
SKOS_narrower,float64,0,3
SKOS_closeMatch,float64,0,3
Perspective_Regulation_<=40w,object,3,0
Perspective_SocioTechnical_<=40w,object,3,0
Perspective_Justice_<=40w,object,3,0
Perspective_Ops_Engineering_<=40w,object,3,0
Perspective_Community_<=40w,object,3,0
Perspective_OceanActor_<=40w,object,3,0
PCT_layer,object,3,0
Energy_vector,object,3,0
Infrastructure_nodes,object,1,2
Primary_actors_roles,object,3,0
Instruments,object,3,0
Performance_metrics,object,3,0
Sensory_cues,object,3,0
Example_city_port,object,3,0
Use_case_or_scene,object,3,0
Indicator_name,object,3,0
Unit,object,3,0
Method_reference,object,3,0
Frequency,object,3,0
Data_owner,object,3,0
Baseline_year,int64,3,0
Target_2030,object,3,0
Target_2040,object,3,0
Thresholds_or_limits,object,2,1
Evidence_type,object,3,0
Citation_1_APA,object,3,0
Citation_1_URL_DOI,object,3,0
Citation_2_APA,float64,0,3
Citation_2_URL_DOI,float64,0,3
Evidence_quality,object,3,0
WG3_steward,object,3,0
Review_cycle_months,int64,3,0
WG3_status,object,3,0
Decision_log_link,float64,0,3
Language,object,3,0
Notes_internal,float64,0,3
