"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"« Artisan, ça veut tout et rien dire » - Quelle lutte des classes dans la pêche bretonne ?","https://scispace.com/papers/artisan-ca-veut-tout-et-rien-dire-quelle-lutte-des-classes-3zi75oiz53","2021","Journal Article","","Fabien Clouette","10.4000/VERTIGO.29804","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 87/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Breton fisheries case to map class‑based labor hierarchies; shows power contestation between large armaments and subordinate crews; focuses on fisheries sector; touches on subalternity but limited participation analysis.","La filiere peche bretonne est souvent consideree comme homogene alors qu’elle recele de rapports de force, reflets d’une diversite de tailles d’entreprises, d’interets economiques ou politiques et de sensibilites ecologiques. Nous avancons dans cet article l’hypothese d’une lutte de classe originale au secteur, opposant non seulement les gros armements, concentrant actuellement les capitaux et les droits de peche, a leurs ouvriers matelots exploites sur les ponts hauturiers, mais aussi aux petits artisans qu’ils concurrencent sur zone de peche. Matelots et artisans ont en commun la subalternite vis-a-vis de ces armements industriels, ainsi que la recherche d’une capacite d’action qui s’exprime souvent de maniere infra-politique. L’article montre comment s’organisent ces rapports de force : une naturalisation des rapports de pouvoir s’opere et il convient d’en analyser les effets."
"Racial capitalism and the sea: Development and change in Black maritime labour, and what it means for fisheries and a blue economy","https://scispace.com/papers/racial-capitalism-and-the-sea-development-and-change-in-1z2efq9o","2022","Journal Article","Fish and Fisheries","Timothy Clark","10.1111/faf.12639","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 80/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses a racial capitalist lens to expose hierarchical exploitation of Black fishery workers, critiques market‑driven blue‑economy narratives, and highlights institutional racism, while offering limited discussion of participatory governance.","The ‘Blue Economy’ is often framed as a revolutionary and transformative approach to marine and fishery development. However, scholars increasingly critique the Blue Economy in hopes that equity-related concerns can become more prevalent. While these efforts are important, historical materialist perspectives can more deeply challenge the assumptions and limits of economistic thinking. In that vein, Racial Capitalism posits that capitalist markets promote, solidify and rely on racial hierarchy to secure differential value accumulation. This study applies a Racial Capitalist analysis to illustrate how the expansion of capitalist social relations corresponded the re-solidification of white supremacy to (re)produce systemic inequality in Black maritime labour, and specifically fisheries labour, on the U.S. eastern seaboard. In this case, which occurred across several states and in a critically important marine-fishery system, the expansion of market relations corresponded with labour exploitation, naturalization of hierarchy and inequitable distribution of socioeconomic harm for Black workers. I identify three lessons from this case that Blue Economy and fisheries scholars should heed; specifically, be wary of market utopianism, technological innovation is not inherently progressive, and systemic exploitation still matters."
"Securing a Just Space for Small-Scale Fisheries in the Blue Economy","https://scispace.com/papers/securing-a-just-space-for-small-scale-fisheries-in-the-blue-3ohirqrq1r","2019","Journal Article","Frontiers in Marine Science","Philippa J. Cohen
Philippa J. Cohen
Edward H. Allison
Edward H. Allison
Neil L. Andrew
Joshua E. Cinner
Louisa Evans
Louisa Evans
Michael Fabinyi
Len R. Garces
Stephen J. Hall
Christina C. Hicks
Christina C. Hicks
Christina C. Hicks
Terry P. Hughes
Svein Jentoft
David J. Mills
David J. Mills
Rosalie Masu
Emmanuel K. Mbaru
Blake D. Ratner","10.3389/FMARS.2019.00171","https://scispace.com/pdf/securing-a-just-space-for-small-scale-fisheries-in-the-blue-3ohirqrq1r.pdf","Yes","318","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 77/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses small‑scale fisheries to illustrate labor hierarchies, power struggles, and equity concerns within the Blue Economy, directly linking sectoral dynamics to institutional legitimacy and participation.","The vast developmental opportunities offered by the world's coasts and oceans have attracted the attention of governments, private enterprises, philanthropic organizations, and international conservation organizations. High-profile dialogue and policy decisions on the future of the ocean are informed largely by economic and ecological research. Key insights from the social sciences raise concerns for food and nutrition security, livelihoods and social justice, but these have yet to gain traction with investors and the policy discourse on transforming ocean governance. The largest group of ocean-users - women and men who service, fish and trade from small-scale fisheries (SSF) - argue that they have been marginalized from the dialogue between international environmental and economic actors that is determining strategies for the future of the ocean. Blue Economy or Blue Growth initiatives see the ocean as the new economic frontier and imply an alignment with social objectives and SSF concerns. Deeper analysis reveals fundamental differences in ideologies, priorities and approaches. We argue that SSF are being subtly and overtly squeezed for geographic, political and economic space by larger scale economic and environmental conservation interests, jeopardizing the substantial benefits SSF provide through the livelihoods of millions of women and men, for the food security of around four billion consumers globally, and in the developing world, as a key source of micro-nutrients and protein for over a billion low-income consumers. Here, we bring insights from social science and SSF to explore how ocean governance might better account for social dimensions of fisheries."
"Fisheries as social struggle: a reinvigorated social science research agenda","https://www.sciencedirect.com/science/article/pii/S0308597X17309028","2018","Journal Article","Marine Policy","Maarten Bavinck
Maarten Bavinck
Svein Jentoft
Joeri Scholtens","10.1016/J.MARPOL.2018.04.026","https://pure.uva.nl/ws/files/29284211/1_s2.0_S0308597X17309028_main.pdf","Yes","173","Dsr3RN7QCEoJ","","","","","","","","","Google Scholar","- **Relevance Score:** 75/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses fisheries as a case to analyse labour hierarchies, power contests, and justice claims; directly links these to blue‑economy debates and sectoral context.",""
"Major trends in work at sea: outline of a political economy of maritime labour","https://scispace.com/papers/major-trends-in-work-at-sea-outline-of-a-political-economy-2abxejk60h","2023","Book Chapter","","Jörn Boewe","10.4337/9781839106583.00063","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Analyzes labour hierarchies and wage decline across shipping, ports, fisheries, offshore wind; details corporate/state power via flags of convenience; notes union actions; covers multiple blue‑economy sectors.","Work conditions and economic trends in the maritime sector often only refer to seafarers on board merchant ships and dockworkers. This conventional view is no longer appropriate in the face of recent and long-term trends in the maritime economy. To understand what the political economy of maritime labour is, we must first take an integrated, overall view to define the field, including industries like fishery, off-shore-wind-energy or ship-building and ship wrecking, just to mention some. The article discusses what a meaningful description of the maritime-industrial-logistic complex could be and outlines some of its key structural features and trends. How many employees work ""around shipping,"" in which fields of activity and under which working conditions? How does the recruitment of maritime personnel work today? It provides an overview of the major global players among shipping companies, crewing agencies, port operators and shipyards. The long-term trends in the global labour market for seafarers, the global downward spiral in wages and working conditions triggered by the system of ""flags of convenience"" are portrayed, but also the partially successful efforts of the International Transport Workers' Federation and national trade unions to stop and maybe reverse the ""race to the bottom""."
"Reconversion or Exclusion? The Effects of Blue Economy Policies on Semi-industrial and Artisanal Fishing in Puntarenas, Costa Rica","https://scispace.com/papers/reconversion-or-exclusion-the-effects-of-blue-economy-7ctgl8ho3zhc","2024","Journal Article","Latin American Perspectives","Alexa Obando Campos
Sara Latorre","10.1177/0094582x241285386","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses Costa Rica's Blue Economy agenda to show salaried vs artisanal fisher hierarchies; analyzes state and corporate policy legitimacy; touches on equity and community impacts; focuses on fisheries and tourism sectors.","Although trawling stopped definitively in 2019 in Costa Rica, there is an ongoing debate regarding the broader policies derived from the Blue Economy. These have focused on the productive conversion of the fleet (salaried fishers) toward more profitable activities related to tuna fishing, aquaculture, and tourism. This paper takes a political economy approach to oceans and livelihoods, analyzing how the Blue Economy agenda has been implemented in Costa Rica, and what effects this is having on semi-industrial and artisanal fisherpeople in Puntarenas communities. We seek to contribute to critical studies of marine-coastal development and its social consequences in relation to environmental (in)justices in Central America, an underexplored topic in the region. A pesar de que la pesquería de arrastre tuvo su cierre definitivo en el 2019 en Costa Rica, el debate sigue presente y relacionado con las políticas más amplias derivadas de la economía azul. Éstas se han venido centrando en la reconversión productiva de la flota -los pescadores asalariados - hacia actividades más rentables, relacionadas con la pesca de atún, la acuicultura y el turismo. Este artículo a través de los enfoques de economía política de los océanos y medios de vida, analiza cómo la agenda de economía azul se materializa en Costa Rica a través de estas políticas, y qué efectos está teniendo en los pescadores semi-industriales y artesanales de comunidades de Puntarenas. Con ello, se busca contribuir a los estudios críticos de desarrollo marino-costero y a las consecuencias sociales en términos de (in)justicias ambientales en Centroamérica, un ámbito poco explorado en la región."
"Industrial and small-scale fisheries relations in Ghana: A political ecology perspective on blue economy exclusion","https://scispace.com/papers/industrial-and-small-scale-fisheries-relations-in-ghana-a-217x7gzph0","2023","Journal Article","Sonraku shakai kenkyu janaru","R.K. Ayilu
Michael Fabinyi
Kate Barclay
Mary Ama Bawa","10.1016/j.jrurstud.2023.103085","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses Ghanaian fisheries conflict to show hierarchical labor divides, examines regulatory and corporate power legitimacy, highlights exclusion justice issues, and focuses on the fisheries sector within the blue economy.","The fisheries sector in Ghana is a significant source of livelihood for many communities along the coast. However, the sector faces several challenges, including the power dynamics between the industrial bottom trawl industry and small-scale fishers. The concept of resource scarcity has frequently been used to characterise conflicts between industrial vessels and small-scale canoes in Ghana. This paper seeks to build on this dominant narrative that resource scarcity is the key driver of conflicts, arguing that exclusion, and resistance to exclusion can also explain contemporary conflicts in marine fisheries, and that indeed apparent resource scarcity can be caused by exclusion. A political ecology lens reveals that fisheries conflict in Ghana is entwined with established and emerging socio-political domains of exclusion, namely, regulation, legitimisation, force, and the market. We explain how contradictory regulations and ambiguous boundary delimitations, combined with a long period of weak enforcement, have helped industrial trawlers exploit fisheries in ways that exclude small-scale fishers. Additionally, with foreign-aid diplomacy legitimising the expansion of foreign-owned industrial trawlers, the infiltration of illegal catch into the small-scale value chain harms local businesses. We conclude that conflict serves as both a tool and a symptom of exclusion through its connection to regulatory, jurisdictional, and political contexts, as well as market dynamics."
"From Sea Slaves to Slime Lines: Commodification and Unequal Ecological Exchange in Global Marine Fisheries","https://scispace.com/papers/from-sea-slaves-to-slime-lines-commodification-and-unequal-2ourmk5pgx","2019","Book Chapter","","Brett Clark
Stefano B. Longo
Rebecca Clausen
Daniel Auerbach","10.1007/978-3-319-89740-0_8","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses Thai fisheries case to expose slave and migrant labor hierarchies, linking exploitation to global market forces; touches on capital power but lacks deep institutional legitimacy analysis; highlights injustice without detailing worker participation; clearly focuses on fisheries sector.","Socioecological transformations of marine systems are intimately connected to the structure of the global capitalist economy, including its relationships of unequal exchange and the international division of labor. We highlight how unequal economic and ecological exchange are intertwined in fishing production in Southeast Asia, in particular Thailand, where capital receives more value in labor power and ecological wealth and services for less. In order to suppress production costs, slave labor is used to harvest fish, and child and migrant labor is employed in processing plants. These operations supply fish for the global market, with the largest shares flowing to Europe and the United States. As seafood production shifts with the ongoing growth of aquaculture, the depletion of target fish, and the expansion in the production of fishmeal and fish oil, the relationships that connect slave labor, slime lines, environmental degradation, and the depletion of marine systems become more embedded within a system predicated on the constant accumulation of capital that creates global social and ecological inequalities."
"Maritime Security and the Governance of 'Sustainable'Fisheries: Aligning Stakeholders Around Ecological Protection","https://link.springer.com/chapter/10.1007/978-3-031-59903-3_4","","","","S Edwards
A Malik","","","No","1","E_LytEf5VFYJ","","","","","","","","","Google Scholar","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses fisheries governance to examine power dynamics and legitimacy, foregrounds social‑justice for fishery workers, and aligns stakeholders around ecological protection; only touches labor stratification without detailed hierarchy analysis.",""
"Promoting gender equity and equality through the small-scale fisheries guidelines: experiences from multiple case studies","https://link.springer.com/chapter/10.1007/978-3-319-55074-9_35","2017","Book Chapter","","Danika Kleiber
Katia Frangoudes
Hunter T. Snyder
A. Choudhury
Steven M. Cole
Kumi Soejima
Cristina Pita
Anna Santos
Cynthia McDougall
Hajnalka Petrics
Marilyn Porter","10.1007/978-3-319-55074-9_35","http://ndl.ethernet.edu.et/bitstream/123456789/16308/1/194.pdf.pdf#page=733","No","102","hWhNFlFW_7QJ","","","","","","","","","SciSpace","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses gender‑equity case studies in small‑scale fisheries to illustrate social‑justice and participation; analyses power dynamics and legitimacy in fisheries governance; addresses fisheries sector directly; touches on labor equity but not detailed stratification.","Gender equity and equality is the fourth guiding principle of the Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries (SSF Guidelines), and sits within its wider human rights framework. The SSF Guidelines contain acknowledgement of the roles of women in the small-scale fisheries value chain, the need for gender equity and equality in access to human well-being resources, and the need for equal gender participation in fisheries governance. While the inclusion of gender in the SSF Guidelines is unprecedented and encouraging, effective implementation is the critical next step. Part of the implementation process will include the creation of culturally and regionally-specific information that allows local agencies to recognize and prioritize gender needs. To provide an example of the diverse and interacting issues related to the implementation of the gender equity and equality principle, we use case studies and expertise from seven countries and regions. We examine the context-specific issues that should be considered in the implementation process and focus on the many barriers to gender equity and equality in small-scale fisheries. We conclude by outlining the many gender approaches that could be used to implement the SSF Guidelines, and suggest a gender transformative approach. Such an approach focuses on illuminating root causes of gender injustice and inequality, and requires on-going examination of power relationships as well as capacity development for women and marginalized groups."
