ListName,Value,Alias_PL,Notes
SENSES,Vision,Wzrok,"Observable visual qualities and layout; indicators: visibility of port operations, skyline prominence, light pollution levels (lux)."
SENSES,Hearing,Słuch,"Soundscape metrics; indicators: dB(A) at receptors, tonal/impulse events, ship horn frequency, shore-power noise reduction."
SENSES,Smell,Węch,"Odour notes and intensity; indicators: hedonic tone scale, odour units (ouE/m³), frequency of sulphur/fuel smells vs sea breeze."
SENSES,Touch,Dotyk,"Haptic contact with materials and air; indicators: surface roughness, humidity %, wind chill affecting comfort in waterfront spaces."
SENSES,Taste,Smak,"Salinity or airborne particulates sensed orally; indicators: PM2.5/PM10 exceedances, aerosol salinity near waterfront."
SENSES,Proprioception,Propriocepcja,"Body awareness in motion; indicators: balance disturbances from quayside vibrations, crowd flow comfort."
SENSES,Kinesthesia,Kinestezja,"Movement experience along routes; indicators: walking speed, stop-start frequency on promenades, crossing delays."
SENSES,Deep feeling,Czucie głębokie,"Pressure and load sensations; indicators: seating pressure relief points, barrier-free gradients for embodied navigation."
SENSES,Thermoception,Termorecepcja,"Thermal comfort; indicators: WBGT index, heat/cold stress on exposed quays, shading and windbreak presence."
SENSES,Nociception,Nocycepcja,"Pain/irritation triggers; indicators: reported irritation from fumes/noise, accident micro-injuries in public realm."
SENSES,Interoception,Interocepcja,"Internal bodily states; indicators: self-reports of seasickness, stress markers during ferry/terminal use."
SENSES,Affective state,Emocje,"Momentary affect in place; indicators: valence/arousal scores, on-site micro-surveys during transitions."
SENSES,Embodiment,Ucieleśnienie,"Degree of bodily engagement with water/port; indicators: immersion activities, tactile installations, access to water."
BINARY,seen/unseen,widzialne/niewidzialne,"Whether phenomena are visible; indicators: line-of-sight mapping, hidden infrastructures (pipes, data)."
BINARY,heard/unheard,słyszane/niesłyszane,"Audibility in context; indicators: sound masking, low-frequency propagation indoors/outdoors."
BINARY,sniffed/unsmelled,wyczuwalne zapachowo/niewyczuwalne zapachowo,"Detectable odours vs neutral air; indicators: odour complaints, wind direction logs."
BINARY,tactile/non-tactile,dotykalne/niedotykalne,"Presence of touchable elements; indicators: handrails, water touchpoints, interactive street furniture."
