Programme,Project ID (2021-2027 only),Project acronym,Organisation in English,Organisation in language 2,Organisation in language 3,Organisation in language 4,Lead partner,Type of Organisation,Participant Identification Code,Partner’s ID if not PIC,Street,Postal code,Town,Country,Country code,NUTS1 code (or equivalent),NUTS1 (or equivalent),NUTS2 code (or equivalent),NUTS2 (or equivalent),NUTS3 code (or equivalent),NUTS3 (or equivalent),Latitude,Longitude,Department,Website,Legal Status,Partner's programme co-financing (%) (2021-2027 only),Partner's programme co-financing (EUR) (2021-2027 only),Partner contribution to project budget (EUR) (2021-2027 only),Partner's total eligible budget / expenditure,GBER schemes / de minimis
2021 - 2027 Interreg VI-B Baltic Sea Region,#S021,3I solutions for PS,AR-GO lab Oy,,,,No,SME,,3096104-8,Kukkolinnankatu 5,55120,Imatra,Finland,FI,FI1,Manner-Suomi,FI1C,Etelä-Suomi,FI1C5,Etelä-Karjala,61.18720130000001,28.7745956,management and developent,http://www.ar-go.fi,private,80%,96320.0,24080.0,120400.0,"GBER,Aid for costs incurred by undertakings participating in European Territorial Cooperation projects (Art. 20)"
2021 - 2027 Interreg VI-B Baltic Sea Region,#S021,3I solutions for PS,Mazovia Development Agency Plc (ARMSA),Agencja Rozwoju Mazowsza S.A.,,,No,Sectoral agency,90311038.0,5213374690,9 Świętojerska  Street,00- 236 ,Warsaw,Poland,PL,PL9,Makroregion województwo mazowieckie,PL91,Warszawski stołeczny,PL911,Miasto Warszawa,52.2504275,21.0063459,Urban Policy and Innovativeness Department,http://www.armsa.pl,private,80%,60480.0,15120.0,75600.0,"GBER,Aid for costs incurred by undertakings participating in European Territorial Cooperation projects (Art. 20)"
2021 - 2027 Interreg VI-B Baltic Sea Region,#S021,3I solutions for PS,Kaunas Science and Technology Park,Kauno mokslo ir technologijų parkas,,,No,Business support organisation,932475648.0,303562022,K. Petrausko g. 26,LT-44156,Kaunas,Lithuania,LT,LT0,Lietuva,LT02,Vidurio ir vakarų Lietuvos regionas,LT022,Kauno apskritis,54.90578739999999,23.9312954,,https://kaunomtp.lt/,private,80%,59360.0,14840.0,74200.0,"GBER,Aid for costs incurred by undertakings participating in European Territorial Cooperation projects (Art. 20)"
2021 - 2027 Interreg VI-B Baltic Sea Region,#S021,3I solutions for PS,Lappeenranta-Lahti University of Technology,LAPPEENRANNAN-LAHDEN TEKNILLINENYLIOPISTO LUT,,,Yes,Higher education and research organisations,999591209.0,0245904-2,Yliopistonkatu 34,53850 ,Lappeenranta,Finland,FI,FI1,Manner-Suomi,FI1C,Etelä-Suomi,FI1C5,Etelä-Karjala,61.0652698,28.0923366,IEM Industrial Engineering and management,https://www.lut.fi,private,80%,117600.0,29400.0,147000.0,"GBER,Aid for costs incurred by undertakings participating in European Territorial Cooperation projects (Art. 20)"
2021 - 2027 Interreg VI-B Baltic Sea Region,#S021,3I solutions for PS,Smiltene Municipality,Smiltenes novada pašvaldība,,,No,Local public authority,917800421.0,90009067337,Darza street 3,LV4729,Smiltene,Latvia,LV,LV0,Latvija,LV00,Latvija,LV00C,Vidzeme,57.4240574,25.9079011,Development and Planning Department,https://smiltenesnovads.lv/,private,80%,64960.0,16240.0,81200.0,
2021 - 2027 Interreg VI-B Baltic Sea Region,#C038,APRIORA,"Centre for Economic Development, Transport and the Environment in South Ostrobothnia",Etelä-Pohjanmaan ELY-keskus,,,No,Regional public authority,,2296962-1,Alvar Aallon katu 8,60101,Seinäjoki,Finland,FI,FI1,Manner-Suomi,FI19,Länsi-Suomi,FI199,Etelä-Pohjanmaa,62.7875539,22.8389763,Department of waters,http://www.ely-keskus.fi/ely-etela-pohjanmaa,private,80%,124694.4,31173.6,155868.0,
2021 - 2027 Interreg VI-B Baltic Sea Region,#C038,APRIORA,Kristianstad University,Högskolan Kristianstad,,,No,Higher education and research organisations,,202100-3195,Elmetorpsvägen 15,SE-29188,Kristianstad,Sweden,SE,SE2,Södra Sverige,SE22,Sydsverige,SE224,Skåne län,56.0473686,14.1460582,Department of Environmental Science and Bioscience,http://www.hkr.se,private,80%,173937.64,43484.42,217422.06,"GBER,Aid for costs incurred by undertakings participating in European Territorial Cooperation projects (Art. 20)"
2021 - 2027 Interreg VI-B Baltic Sea Region,#C038,APRIORA,Latvian Institute of Aquatic Ecology,Latvijas Hidroekoloģijas institūts,,,No,Higher education and research organisations,975548401.0,90002129621,Voleru iela 4,LV-1007,Riga,Latvia,LV,LV0,Latvija,LV00,Latvija,LV00A,Rīga,56.99149999999999,24.08495,,http://www.pg.edu.pl,private,80%,174736.0,43684.0,218420.0,"GBER,Aid for costs incurred by undertakings participating in European Territorial Cooperation projects (Art. 20)"
2021 - 2027 Interreg VI-B Baltic Sea Region,#C038,APRIORA,"Latvian Environment, Geology and Meteorology Centre","Latvijas Vides, ģeoloģijas un meteoroloģijas centrs","Latvijas vides, ģeoloģijas un meteoroloģijas centrs",,No,SME,986071446.0,50103237791,165 Maskavas iela,LV-1019,Riga,Latvia,LV,LV0,Latvija,LV00,Latvija,LV00A,Rīga,56.9360392,24.1564389,Information Analysis Department Inland Waters Division,http://www.meteo.lv,private,80%,187079.68,46769.92,233849.6,"GBER,Aid for costs incurred by undertakings participating in European Territorial Cooperation projects (Art. 20)"
2021 - 2027 Interreg VI-B Baltic Sea Region,#C038,APRIORA,Finnish Medicines Agency Fimea,Lääkealan turvallisuus- ja kehittämiskeskus Fimea,,,No,Sectoral agency,,0921536-6,PO BOX 55,FI-00034 FIMEA,Kuopio,Finland,FI,FI1,Manner-Suomi,FI1D,Pohjois- ja Itä-Suomi,FI1DB,Pohjois-Savo,62.8965859,27.6785574,,http://www.fimea.fi,private,80%,22538.88,5634.72,28173.6,
