DOI,Title,Abstract,Open access,Authors,Publication date,Citations,Journal,ISSNs,Quartile by SCImago,Quartile by WOS,Impact factor,Publisher,Volume,Issue,Pages
10.1177/03058298231175523,A People’s Sea: Palestine and Popular Thalassopolitics in the Mediterranean Sea,"<p> This article draws on fieldwork, interviews, and archival research on the maritime campaign of the International Palestine Solidarity Movement to challenge the embargo on Gaza. I make three main arguments: first, in addressing the Mediterranean Sea as a platform for international solidarity, the Ships to Gaza inadvertently contrived a novel and largely understudied instance of popular politics at sea, which I coin ‘popular thalassopolitics’. I theorize this emergence in its own right and not solely within state-centric analyses or as a mere expansion of the terrestrial plane. This article urges us to read the sea through the lens of internationalist solidarity and the popular politics it invokes. Second, the popular thalassopolitics of the Ships charts and navigates an ‘insurgent terrain’, creatively assembling the well-established activist practice of solidarity vis-à-vis a decades-long indigenous struggle in Palestine with an emerging perception of the sea as a common and shared but dissimilar space for action. Thirdly, I argue that this history of the popular thalassopolitics of the Ships allows us to reread the scholarship on refugee rescue boats and civil activism at sea. This reading inadvertently challenges a Eurocentric bias in the emerging politicization of the sea as a humanitarianism space in which western saviors come to the aid of agentless refugees. </p><p> La mer des peuples : La Palestine et la thalassopolitique populaire en mer Méditerranée </p>",NO,Kosmatopoulos N.,2023-07-01 07:30:28,3,Millennium: Journal of International Studies,"03058298,14779021",1.0,2.0,1.8,SAGE,51.0,3.0,739-757
10.4000/aam.6955,Life on board ship and cultural intimacy. Notes from the Central Mediterranean,,YES,Iozzelli J.,2023-06-24 07:30:28,2,Archivio antropologico mediterraneo,20383215,3.0,0.0,,OpenEdition,25.0,1.0,
10.1111/anti.12946,"Waves, Floods, Currents: The Politics and Poetics of Water in Social Movement Analysis",,NO,Matthews J.,2023-04-19 07:30:28,4,Antipode,"00664812,14678330",1.0,1.0,2.7,Wiley,,,
10.1177/25148486221111786,Making global oceans governance in/visible with Smart Earth: The case of Global Fishing Watch,"<p> The number and variety of technologies used for environmental surveillance is expanding rapidly, making constant data collection and near ‘real time’ analyses possible. ‘Smart Earth’ describes networked infrastructures comprised of devices and equipment and signals to the human dimensions inherent to developing, deploying and putting technology and large datasets to use. In this paper, we situate Smart Earth in terms of technological products and human practices and consider the relationship between Smart Earth and global environmental governance. Specifically, we review emerging literature and present a case study of an organization founded by environmental non-profit, SkyTruth, tech industry behemoth, Google and marine conservation NGO, Oceana. Called ‘Global Fishing Watch’ (GFW), this organization builds geospatial datasets, hosts an online mapping platform where anyone with internet access can surveil various types of ocean-going vessels and shares data and map products with scientists and practitioners. Two critical points emerge through the case. First, we show that GFW expands its surveillance capacity by pursuing ‘data sharing’ partnerships with sovereign states, many in the Global South. Second, the maps and datasets produced by GFW link vessels to a ‘flag state’ while the firms, subsidiaries and financiers that may own and/or operate these vessels remain obscure – and hence so too does the political economy of oceans fisheries. GFW maps and datasets offer new approaches to tracking fishing and are advancing fisheries science. At the same time, they rely on and are only legible through hegemonic geopolitical and political–economic orders deeply implicated in industrial (over)fishing. The norms and domains of global environmental governance are expanding, but Smart Earth ‘solutions’ risk leaving the structural drivers of environmental change unaddressed. </p>",NO,"Drakopulos L., Silver J.J., Nost E., Gray N., Hawkins R.",2022-07-14 07:30:28,26,Environment and Planning E Nature and Space,"25148486,25148494",1.0,1.0,3.2,SAGE,6.0,2.0,251484862211117
10.4324/9781315111643-23,Solidarities,,NO,Featherstone D.,2022-06-06 07:30:28,3,,,,,,,,,236-246
10.4324/9781315111643-22,Protest,,NO,Griffin P.,2022-06-06 07:30:28,3,,,,,,,,,223-235
10.1016/j.polgeo.2021.102528,Blue governmentality: Elemental activism with conservation technologies on plundered seas,"<p>For the Sea Shepherd Conservation Society, the atmosphere and ocean are channels for movement that are to be used and overcome in direct actions to protect marine environments. To accomplish these missions, they deploy a fleet of ships, helicopters, and drones that intervene to stop violations of conservation laws. In this way, oceanic elements—waves, winds, icebergs, and storms—mediate conservation and conservation technologies. The elements and the technologies that Sea Shepherd exploit both inhibit and make conservation possible. This paper argues that the drone is an exteriorization of the human body whose liberatory potentials are mediated by the atmosphere and ocean. Through ethnographic, textual, and videographic analysis, this article explores blue governmentality —how the azure sky and cyan ocean and the technologies that flow through these elements at once afford and constrain the control of biopower. Understanding blue governmentality means appreciating how the elements mediate movement, communication, and life itself. It requires comprehending how technologies emerge from the body, extend political intentionality, work across the elements, and network with other technologies. This article challenges conservation geography to see governmentality not as a totalizing force but one that is tempered by elemental mediations, technological affordances, and human fallibility.</p>",NO,Fish A.,2022-03-01 07:30:28,29,Political Geography,"09626298,18735096",1.0,1.0,4.9,Elsevier,93.0,,102528
10.1177/03091325221074698,Maritime borders: A reconsideration of state power and territorialities over the ocean,"<p> While borders traverse both land and sea, current research has mostly concentrated on issues concerning terrestrial borders. Simultaneously, a new body of scholarship has shown how the seemingly boundless oceans are in actuality subject to a variety of bordering forces. As such, we review current research on maritime borders in geography and other related disciplines in three categories: oceanic resource extraction and environmental conservation, volume geography and wet ontology, and concepts of ocean frontiers and voluminous states. Conclusively, we propose land-ocean inter-bordering, multiple materialities, and mobile state power as three future issues to respond to the rapid-changing maritime borders. </p>",NO,"Hung P., Lien Y.",2022-02-23 07:30:28,25,Progress in Human Geography,"03091325,14770288",1.0,1.0,6.1,SAGE,46.0,3.0,870-889
10.4324/9781003083429-2,(Un)Contentious solidarity at sea,,NO,Heller C.,2021-09-02 07:30:28,1,,,,,,,,,19-43
10.1353/tae.2021.0007,Turbulent Waters in Three Parts,"<p>While scientific accounts of ocean dynamics draw public attention to the turbulence of earthly matter, the science alone tells a truncated story. The ocean's turbulent materiality is more than material: practices of scientific knowledge and historically embedded meanings and metaphors also constitute how we know, understand, and attempt to govern ocean and land alike. Indeed, planetary ocean science is always located within a history and politics, embedded within Western epistemic structures and tied to extraction and colonialism. Additionally, as ocean ecologies and human food systems are recognized as ever more fragile and as the ocean increasingly is understood as up for grabs as a site of investment, extraction, and production, there is much at stake in how and where we locate the turbulence of marine systems. In this essay, we invite turbulence into our writing practices by bringing together three perspectives on the complex relationship between metaphor and materiality with regard to oceanic worlds. Each co-author writes on the ocean from a different perspective: the lines and laws of the ocean (Steinberg); the governance and epistemic cultures of ocean life (Johnson); and practices of marine historical knowledge production (Lehman). Throughout this essay we experiment with bringing those perspectives together to consider how turbulence matters differently when read through different lineages of theory and ocean scholarship: How do legal infrastructures, scientific apparatuses, human histories, and marine lifeforms tell different stories of the ocean and its processes? We further consider how thinking across our different projects might bring to light not only the turbulence of ocean matter, but also practices of knowledge production and meaning as we envision various futures of and with the ocean.</p>",NO,"Lehman J., Steinberg P., Johnson E.R.",2021-02-12 07:30:28,26,Theory & Event,1092311X,1.0,0.0,,Project MUSE,24.0,1.0,192-219
