"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The local socio-economic impacts of offshore wind farms","https://scispace.com/paper/the-local-socio-economic-impacts-of-offshore-wind-farms-37gvdxk1","2022","Journal Article","Environmental Impact Assessment Review","John Glasson
Bridget Durning
Kellie Welch
Tokunbo Olorundami","10.1016/j.eiar.2022.106783","https://radar.brookes.ac.uk/radar/file/25bc5b71-e5ae-40d9-86e2-5b2fd47b70bb/1/Socio-economic%20impacts%20of%20offshore%20wind%20farms%20-%202022%20-%20Glasson%20Durning%20Welch%20Olorundami.pdf","… The offshore wind farm (OWF) industry is of growing importance, particularly in Europe. … significant for the regeneration of declining coastal communities. Drawing on findings from …",""
"Development of an interdisciplinary conceptual framework to understand marine energy transitions in North Sea coastal communities","https://scispace.com/paper/development-of-an-interdisciplinary-conceptual-framework-to-6b4uh8z588sr","2025","Journal Article","","Kate Gormley
Daryl Burdon
David Atkinson
A. J. Bevan
Harland Jen
Jaeger Sofie
Sandy Kerr
Daniel J. Lee
Amy McCarron
Scott J. McGrane
Lauren McWhinnie
Tavis Potts
Daria Shapovalova
Jack Sheehy
Antonia Thomas
Karen Alexander","10.2139/ssrn.5467975","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5467975","… cultural sustainability and … offshore wind sector [26]. Each ‘transition’ phase has reconfigured infrastructure, economic dependence, and the social dynamics of coastal communities, with …",""
"Offshore Wind Policy in Portugal Balancing Green Growth and Legal Equity","https://scispace.com/paper/EVtDcfZuOjcJ","","","","RS Vaz
S Neave
PC Branco","","https://lamintang.org/journal/index.php/ijlapp/article/download/913/611","… , EU directives, and recent regulatory practices, while integrating cases of contestation from coastal communities … Furthermore, the distributive effects of offshore wind are not just local. …",""
"Harnessing offshore wind for sustainable economic growth in Nordic countries: Legal innovations, economic opportunities, SDG and policy integration","https://scispace.com/paper/_pKbSHRUfJAJ","","","","J Butt
F Kousar","","https://www.dj.univ-danubius.ro/index.php/AUDOE/article/download/2802/2830","… , and international collaborations, such as between India and the EU, … on marine ecosystems, coastal communities, and indigenous … of offshore wind initiatives with broader sustainability …",""
"Supporting Equitable Energy Transitions in Inequitable Communities: Offshore Wind in Nova Scotia, Canada","https://scispace.com/paper/gYwubm2JIJgJ","","","","MN Tighsazzadeh
AM Cisneros-Montemayor","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=6146205","… Yet, these projects are hosted by local coastal communities, whose priorities, including … ,” which include social equity, environmental sustainability, and economic viability dimensions …",""
"D4. 2: Recommendations for MARINEWIND stakeholders","https://scispace.com/paper/wtoTRtZs6D0J","","","","L Parodos
D Tsogas
G Spyridopoulos","","https://www.marinewindproject.eu/wp-content/uploads/2025/12/D4.2-Recommendations-for-MARINEWIND-stakeholders.pdf","… of Floating Offshore Wind Technologies (FOWTs) across Europe, … a significant concern among coastal communities, often leading … Aligning with EU sustainability standards, projects that …",""
"Quiet power: How security interests shape offshore wind and marine spatial planning in Sweden","https://scispace.com/paper/GifHLtCiGE0J","","","","K Barquet
F Sjölander","","","… of offshore wind. Empirically, it draws on qualitative analysis of 15 policy documents and 10 interviews with EU, … landscape: while EU institutions increasingly treat offshore wind as a …",""
"Public Perception and Acceptance of Floating Offshore Wind Energy in Sardinia","https://scispace.com/paper/public-perception-and-acceptance-of-floating-offshore-wind-kr3rct46du97","2025","Journal Article","","Giampaolo Mereu
Gioia Mura
Marcello Scano
Cristina Sechi
Desirè Tendas
Emilio Ghiani","10.1109/iccep65222.2025.11143627","","… (EU) and its member States have been committed to reduce climate-changing emissions, believed to be responsible for climate change, through the adoption of EU … coastal communities …","The deployment of offshore wind energy is a key strategy for achieving the European Union’s decarbonization goals. Sardinia, due to its geographical location and wind potential, has recently emerged as a site of interest for large-scale floating offshore wind projects. However, the success of such initiatives depends not only on technical and environmental feasibility but also on their social acceptability. This study investigates public perceptions of offshore wind development in Sardinia combining stakeholder and local resident surveys. The results reveal a complex landscape of opinions conditioned mainly by concerns about the visual impact on landscape, environmental risks, e.g. related to future turbine disposal and site restoration, lack of transparent information, and perceived exclusion from decision-making processes, seen as imposition rather than co-participation. Some communities see the projects as economic opportunities, while others express skepticism and resistance, especially in areas where tourism and fishing are locally important industries. The study highlights the need for early and meaningful community participation, better communication strategies, and context-sensitive planning to improve social acceptance."
"A multi-criteria analysis framework for conflict resolution in the case of offshore wind farm sitting: A study of England and the Netherlands offshore space","https://scispace.com/paper/a-multi-criteria-analysis-framework-for-conflict-resolution-wvmk886l","2022","Journal Article","Frontiers in Marine Science","Laura Florentina Gusatu
Christian Zuidema
André Faaij","10.3389/fmars.2022.959375","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2022.959375/pdf","… Growing EU energy ambitions in the North Sea region are urging for an accelerated … , with offshore wind farms (OWF) playing an essential role. However, implementing the current EU …","Growing EU energy ambitions in the North Sea region are urging for an accelerated deployment of large-scale renewable energy (RE) infrastructure, with offshore wind farms (OWF) playing an essential role. However, implementing the current EU targets is limited by the competing spatial claims between existing sea uses and OWFs and uncertainties related to potential risks of interaction, creating important barriers to a swift roll-out of RE infrastructure. In tackling this issue, we are proposing a transparent and spatially explicit multi-criteria analysis tool to quantify and qualify the main risks and opportunities resulting from the interaction between OWFs and four other seas user groups (shipping, marine protected areas, fisheries and military activities). The multi-criteria analysis framework is accounting for sectoral activity specific risks of interaction with OWFs, classified through the respective available conflict resolution options, which allows for the quantification of the average conflict score (ACS) between the selected activities and OWFs. Using the resulting ACS and the geo-location of areas of interaction, we map areas of high and low conflict with OWFs and indicate management options for solving, minimizing or compensating the conflicts. Our results indicate that conflict resolution strategies in marine mammal’s habitats present the highest potential for unlocking medium value OWF sites both for the Dutch case (15.8 – 28 GWs) and English case (15.94-28.3 GWs), followed by pelagic fisheries in the Dutch case (15-26.9 GWs) and passenger/cargo routes in the English case (10.9-19.4 GWs). The strategic planning of increasingly larger and more complex OWF projects will require a better understanding not only of the level of conflict with the other sea users in relation to the valuable OWF sites, but also potential management options to solve, minimize or compensate those conflicts. As an example, accessing 6.8-12.3 GWs in high value OWF sites in the Dutch EEZ will require the relocating of military flying areas with forbidden access, while technical solutions such as “fill-in-the-gap” or relocation of lower airspace radars could unlock 10.25-18.16 GWs in the English EEZ. By avoiding high risk areas and prioritizing areas of low conflict, the bottlenecks, negative effects and inefficiencies related to space management options can be minimized, while synergies and positive effects of OWF deployment can be timely captured."
"How do fixed and floating offshore wind parks contribute towards the SDGs? An integrated quantitative and qualitative assessment of SDG impacts","https://scispace.com/paper/LLLo7hqwuUMJ","","","","N Luttikhuis
FR Aponte
K Wiebe","","https://iopscience.iop.org/article/10.1088/1742-6596/3131/1/012045/pdf","… where wind farms will be built (Europe and Asia), we found … job creation in coastal communities. Aquaculture operations … on global, aggregated sustainability impacts of offshore wind …",""
