"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A sea change in the environmental humanities","https://scispace.com/paper/a-sea-change-in-the-environmental-humanities-5bf8hg2oyy","2020","Journal Article","","Cecilia Åsberg","10.46863/ECOCENE.41","https://ecocene.kapadokya.edu.tr/index.php/ecocene/article/download/12/12","… And yet, taking on board more-than-human and nonhuman forces does not throw overboard … The oceanic turn I explore here, draws on the appeal of these overlapping oeuvres of …","As we are living through a transformative response to a viral pandemic, this think piece suggests a reimagining of the environmental humanities in the open-ended inventories of feminist posthumanities and the low trophic registers of the oceanic. Sea farming of low trophic species such as seaweeds and bivalves is still underexplored option for the mitigation of climate change and diminishing species diversity in the warming oceans of the world. The affordances of low trophic mariculture for coastal life and for contributing to society’s transition into climate aware practices of eating, socializing and thinking is here considered, and showcased as an example of the practical uses of feminist environmental posthumanities."
"The Routledge handbook of ocean space","https://scispace.com/paper/the-routledge-handbook-of-ocean-space-1fbo4lsa","2022","Book","","Kimberley Peters
John F. Anderson
Andrew Davies
Philip E. Steinberg","10.4324/9781315111643","","… This book is placed and situated within this ‘oceanic turn’ (or ‘turns’, acknowledging multiple … that span land and sea in the form of ocean governance (see Bueger, and Germond, this …",""
"The space between: how we understood, valued, and governed the ocean through the process of marine science and emerging technologies","https://scispace.com/paper/iHhfScayXsEJ","","","","S Newton","","https://ir.library.oregonstate.edu/downloads/jw827j12r","… thinkers and writers generally have had “more to say about the land than the sea,” further separating the ocean from the concept of nature and supporting the need for an oceanic turn.…",""
"Anthropology of and from the Ocean","https://scispace.com/paper/anthropology-of-and-from-the-ocean-4f4nc38az0","2024","Journal Article","Annual Review of Anthropology","Jatin Dua","10.1146/annurev-anthro-041422-012504","https://www.annualreviews.org/content/journals/10.1146/annurev-anthro-041422-012504?crawler=true&mimetype=application/pdf","… While there is no distinct oceanic turn in anthropology in contrast with a number of other disciplines, the anthropology of and from the ocean holds the possibility to reenergize …","The ocean has a key, though often unremarked role, in shaping everyday life, from impacting weather patterns and food supplies to facilitating, and contesting, systems of capitalism, including contemporary logistics, empires, mobility, and migration. Beginning with early debates on maritime anthropology, this review traces the shift from maritime anthropology to an anthropology of and from the ocean. It notes the ways that the ocean appears and disappears as metaphor or material space of encounter and engagement within the past, present, and possible futures of anthropology. It shows how absence and presence as well as metaphor and materiality are the modes through which oceans are imagined and inhabited. While there is no distinct oceanic turn in anthropology in contrast with a number of other disciplines, the anthropology of and from the ocean holds the possibility to reenergize anthropology's interdisciplinary encounters, including with history and geography, as well as modes of engaging scale and specificity. "
"Corals, Geo-Sociality, and Anthropocene Dwelling","https://scispace.com/paper/60RgXqXCqroJ","","","","J Westgate","","https://exchanges.warwick.ac.uk/index.php/exchanges/article/download/979/1044","… Corals, I argue, offer novel insight into more-than-human … with multi-disciplinary more-than-human investigation of the ways in … An ‘oceanic turn’ emerged post WWII as global interests in …",""
"Submarine futures of the Anthropocene","https://scispace.com/paper/submarine-futures-of-the-anthropocene-2krgi3hdr8","2017","Journal Article","Comparative Literature","Elizabeth DeLoughrey","10.1215/00104124-3794589","https://www.academia.edu/download/53436613/Comparative_Literature-2017-Deloughrey-32-44.pdf","… The oceanic turn of the twentieth century issued from geopolitics as well as new … Yet Walcott’s poetics have long engaged living matter as a site for more-than-human history, depicting …",""
"Development Studies: Across Disciplines, Knowledge Hierarchies and Oceanic Spaces","https://scispace.com/paper/IWWVa_YiTLUJ","","","","H Alff
AK Hornidge","","","… Finally, we engage specifically with the'oceanic turn'as a promising way of making sense of … -society interface increasing the visibility of the'more-thanhuman'in analysing change. …",""
"Mining the seas: Speculative fictions and futures","https://scispace.com/paper/BvdkVk5f8cwJ","","","","E DeLoughrey","","https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.4324/9781003205173-7&type=chapterpdf","… a dynamic relation to nonhuman matter (water) and more-than-human species as we see in more scholarship today.The oceanic turn in scholarship after the 1990s was not just driven …",""
"Uncanny waters","https://scispace.com/paper/uncanny-waters-20yjtvze","2022","Journal Article","Feminist Review","Caroline Emily Rae","10.1177/01417789211066012","https://journals.sagepub.com/doi/pdf/10.1177/01417789211066012","In this article, I argue for the notion of what I term ‘uncanny water’ as a conceptual tool for reading contemporary oceanic fictions. The uncanny’s affective capacity to destabilise …","In this article, I argue for the notion of what I term ‘uncanny water’ as a conceptual tool for reading contemporary oceanic fictions. The uncanny’s affective capacity to destabilise epistemological and ontological certainties makes it a particularly potent literary tool for challenging the nature/culture binary. I argue that fictions which actively defamiliarise the ocean can be used to redress the anthropocentric privilege found in hitherto narratives of the oceanic that were predicated upon mastery and control, and that uncanny moments of displacement and uncertainty can illuminate human/oceanic interconnections and foster a sense of responsibility and compassion towards the oceans. I identify resonances between the uncanny’s continuing referentiality and the notion that feminist transcorporeality interrelates the subject into networks of materiality which extend across time and space in unknowable ways. Both transcorporeality and the uncanny work against the conceit of the individual through the dissolution of boundaries, and, crucially, both require a suspension of assumptions of the self as whole, discrete and impermeable. To demonstrate this, I read the uncanny waters of contemporary fictions from the Northern Atlantic Littoral (Atlantic Canada and the westernmost parts of the UK). The littoral position of these spaces makes them ideally placed to negotiate the borders between habitable and unhabitable spaces, and the limitations of knowledge that run alongside this. I assert that iterations of uncanny water offer a transoceanic dialogue which shifts constructions of subjectivity away from national and terrestrial boundaries to one more akin to the fluid and relational dialectics of transcorporeality."
"“I felt as someone special today”. Advancing marine citizen science throught participatory and critical geography explorations","https://scispace.com/paper/i-felt-as-someone-special-today-advancing-marine-citizen-0jf2v7v11g28","2025","Journal Article","Local Environment","Chiara Certomà","10.1080/13549839.2025.2513888","","The United Nations’ Decade of Ocean Science for Sustainable Development calls for knowledge production and governance plans capable of delivering “the science we need for the …",""
