"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The concept of marinization by Ludwik Janiszewski: to understand the influence of the sea","https://scispace.com/paper/e7G7pFfQ4OoJ","","","","A Kołodziej","","https://www.researchgate.net/profile/Arkadiusz-Kolodziej-3/publication/339828026_The_Concept_of_Marinization_by_Ludwik_Janiszewski_-To_Understand_the_Influence_of_the_Sea_leodeuwig_jenichyuseukiui_haeyanghwa_gaenyeom_-badaui_yeonghyanglyeog-eul_ihaehagi_wihan_sido/links/5e67b8514585153fb3d59240/The-Concept-of-Marinization-by-Ludwik-Janiszewski-To-Understand-the-Influence-of-the-Sea-leodeuwig-jenichyuseukiui-haeyanghwa-gaenyeom-badaui-yeonghyanglyeog-eul-ihaehagi-wihan-sido.pdf","… For example, the professional activity of Ludwik Janiszewski, the sociologist whose concept we intend to present, was inseparably connected with the development of sociology in …",""
"Maritime sociology in the making","https://scispace.com/paper/maritime-sociology-in-the-making-2b3fq6zl","2022","Book Chapter","","A Kołodziej
A Kołodziej-Durnaś","10.1163/9789004503410_002","https://www.researchgate.net/profile/Agnieszka-Kolodziej-Durnas/publication/361276774_Maritime_Sociology_in_the_Making/links/62a858bba3fe3e3df8776c09/Maritime-Sociology-in-the-Making.pdf","… Ludwik Janiszewski began working on a marine theory. In his view, marinisation processes were supposed to show similarities or parallels to the processes of urbanisation and …",""
"Socjologia marynistyczna w warunkach zmiany (nadzieje i kontrowersje)","https://scispace.com/paper/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe","2021","","","Robert B. Woźniak","","https://bibliotekanauki.pl/articles/1790769.pdf","The purpose of this article is to present theoretical and methodological formulations of maritime sociology. The system transition, that is still not accomplished, inclines to formulate new …",""
"Rodowody socjologii Pomorza Zachodniego w zarysie","https://scispace.com/paper/5iO31zZ3eSsJ","","","","RB Woźniak","","https://journals.pan.pl/Content/101321/PDF/XXV_6_Wo%C5%BAniak.pdf","… Badania, których celem było poznanie problemów identyfikacji rybaków z wykonywanym zawodem, prowadził Ludwik Janiszewski, które ogłosił drukiem w 1967 roku w Poznaniu. …",""
"The Idea of Maritime Upbringing in Poland–the Tradition and Contemporary Manifestations","https://scispace.com/paper/WqL0EG370tMJ","","","","A Kołodziej-Durnaś
A Kołodziej","","https://bibliotekanauki.pl/articles/1591146.pdf","Maritime upbringing is the category used by maritime sociologists at least for half a century. At first the authors take an attempt to reconstruct the idea of maritime upbringing which …",""
"Family, taboo and communism in Poland, 1956-1989","https://scispace.com/paper/family-taboo-and-communism-in-poland-1956-1989-1nexbkx971","2021","Book","","Barbara Klich-Kluczewska","","https://library.oapen.org/bitstream/handle/20.500.12657/58137/9783631845967.pdf?sequence=1","The book answers fundamental questions about the processes of social negotiation of mentality shifts in communist Poland. Taking divorce, single motherhood, domestic violence and …",""
"SIMONSON, JULIA/VOGEL, CLAUDIA/SCHMIADE, NICOLE/ZIEGEL","https://scispace.com/paper/2sKmtXAuWV4J","","","","JP MANN
Z DEM
HG WANDELS","","https://soziologie.de/fileadmin/user_upload/kongress/2014/DGS-Kongress_2014_Trier_Abstractband.pdf#page=650","… major academic centres of maritime sociology (socjologia morska). The term for a new sociological sub-discipline was coined by Aleksander Matejko and Ludwik Janiszewski. Between …",""
"Critical Review of Literature on the Interaction of Social Sciences in Contemporary Marine Studies","https://scispace.com/paper/C1KuNJWFJVQJ","","","","AAP Pérez","","https://www.researchgate.net/profile/Alonso-Perez-2/publication/380851838_Critical_Review_of_Literature_on_the_Interaction_of_Social_Sciences_in_Contemporary_Marine_Studies/links/6651224922a7f16b4f4aa270/Critical-Review-of-Literature-on-the-Interaction-of-Social-Sciences-in-Contemporary-Marine-Studies.pdf","… There, interest in maritime sociology has been present since the institutionalization of sociology after World War II, with Ludwik Janiszewski as its main proponent. From a theoretical …",""
"Na drodze do „czerwonego uniwersytetu”. Powstanie Uniwersytetu Szczecińskiego w świetle opinii szczecińskiej prasy podziemnej (1984–1985)","https://scispace.com/paper/ux4K2nwl-x8J","","","","T Ślepowroński","","https://bibliotekanauki.pl/articles/30146956.pdf","… Mechanizmy nomenklaturowej polityki kadrowej na WSP/US opisał po latach wybitny szczeciński socjolog Ludwik Janiszewski, pokazując uzależnienie dyrektorów instytutów oraz ich …",""
"Wolność na Syberii? Przypadek „konarszczyków”","https://scispace.com/paper/T6W8eG7wLfMJ","","","","JAN TRYNKOWSKI","","https://przegladhistoryczny.uw.edu.pl/wp-content/uploads/sites/213/2024/03/jan_trynkowski.pdf","… Nie tylko on jednak wypełniał swój czas aktywnością literacką — Jan Ludwik Janiszewski pisał komedie i powieści (trudno ocenić ich wartość, bowiem się nie zachowały), natomiast …",""
