"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Navigating blue justice: Policy gaps and conflicts in coastal development from small-scale fisher perspectives","https://scispace.com/paper/navigating-blue-justice-policy-gaps-and-conflicts-in-coastal-yliun5evk3tu","","","","Jose Amorim Reis-Filho
Vanessa Hatje
Francisco Barros","10.1016/j.oneear.2024.07.014","https://www.cell.com/one-earth/pdfExtended/S2590-3322(24)00368-3","… The rise of the blue economy has led to increased utilization and regulation of coastal zones… a stronger emphasis on social justice and inclusion in coastal governance, particularly for …","It is urgent to acknowledge the challenges of achieving sustainable coastal development in the context of blue economy expansion. Thus, blue justice emerges, emphasizing the importance of adopting inclusive approaches to guide decision-making. Small-scale fishers (SSFs) end up facing challenges in this process, such as ocean grabbing, pollution, and exclusion from debate spheres. Here, we address the knowledge gap by investigating SSFs’ perspectives and conflicts related to coastal development to inform equitable and inclusive policy formation. Our findings highlight the multiple impacts on different fishing communities, including marine traffic, blast fishing, industries, and ports, emphasizing contextual conflicts associated with different levels of coastal development. This enables the assessment of equity and justice within the domains of blue economy and blue growth. Our study showcases the pivotal role of interdisciplinary research in addressing diverse pressures from coastal development and including local communities for an effective advance in understanding blue justice issues."
"A Social Justice Legitimacy to Protect Coastal Residents","https://scispace.com/paper/a-social-justice-legitimacy-to-protect-coastal-residents-3owpqy5m60","2023","Journal Article","Journal of Human Rights, Culture and Legal System","Aditia Syaprillah
Yahya Ahmad Zein
Tove H.Malloy","10.53955/jhcls.v3i3.159","https://www.academia.edu/download/119056733/pdf.pdf","… This research aimed to establish the legitimacy of protecting coastal residents from a social justice … The results of this study show how important it is to prioritize social equity for coastal …","This research aimed to establish the legitimacy of protecting coastal residents from a social justice perspective. This was normative legal research conducted following cases, statutes, facts, and comparisons. The results of this study show how important it is to prioritize social equity for coastal protection. As natural calamities become more frequent, property protection becomes more difficult. Countries endowed with substantial financial and human resources can effectively tackle the challenges associated with climate change mitigation through the development and establishment of state-of-the-art scientific and technological infrastructure. In multicultural social justice, all individuals are valued. Priorities for environmental and social justice are prevalent in developing nations afflicted by coastal ecological degradation and widening income gaps. Developed nations like Germany have implemented and enforced coastal protection policies to uphold environmental justice principles. Second, the community-led governance initiatives generated genuine participation through mutual aid. Environmental law advances the cause of social justice. Environmental justice, which emphasizes the distribution of resources and the preservation of vulnerable groups, has emerged as the essence of justice in the ecological age."
"Navigating a just and inclusive path towards sustainable oceans","https://scispace.com/paper/navigating-a-just-and-inclusive-path-towards-sustainable-28t8ccx8mb","2018","Journal Article","Marine Policy","Nathan J. Bennett
Nathan J. Bennett
Nathan J. Bennett","10.1016/J.MARPOL.2018.06.001","https://pressbooks.bccampus.ca/oceanleaders/wp-content/uploads/sites/1915/2023/05/Bennett-2018-Sustainable-Oceans.pdf","… Proactive attention to inclusive decision-making and social justice is needed across key … planning, the blue economy, climate adaptation and global ocean governance for both ethical …",""
"Interactive learning and governance transformation for securing blue justice for small-scale fisheries","https://scispace.com/paper/interactive-learning-and-governance-transformation-for-dj95er2n","2022","Journal Article","Administration & Society","Svein Jentoft
Ratana Chuenpagdee","10.1177/00953997211073947","https://journals.sagepub.com/doi/pdf/10.1177/00953997211073947","… is essential for the governance system to bring justice for … the weakest stakeholders in the Blue Economy/Growth. Noting … of social justice principles for small-scale fisheries governance, …","In the “Future We Want,” states and non-state actors are invited to contribute to achieving sustainable development goals through various means and mechanisms. This includes securing justice for the most marginalized and disadvantaged sectors like small-scale fisheries, whose rights and access to resources are threatened by Blue Economy/Growth initiatives. While strong and just institutions are imperative to securing sustainable small-scale fisheries, they are not sufficient conditions for obtaining justice. As illustrated in this paper, justice must be secured in the daily interactions between small-scale fisheries actors and other stakeholders, including governments, by means of interactive learning and involving governance transformation."
"Forging connections, pursuing social justice: a tribute to Maarten Bavinck's conceptual and institution-building contributions to maritime studies","https://scispace.com/paper/forging-connections-pursuing-social-justice-a-tribute-to-kbf0hg4wj7","2021","Journal Article","Maritime Studies","Joeri Scholtens
Derek Johnson
Svein Jentoft
Mirjam A. F. Ros-Tonen
Ratana Chuenpagdee
Joyeeta Gupta
Marloes Kraan
Ajit Menon
Dik Roth","10.1007/S40152-021-00243-0","https://link.springer.com/content/pdf/10.1007/s40152-021-00243-0.pdf","… the Centre for Maritime Research (MARE) as a institutional anchor in maritime studies, this … academic domains: legal pluralism, interactive governance, the study of fisheries conflicts, …","This paper is written in recognition of the contributions that Maarten Bavinck has made to the field of maritime studies and for the inspiration that he has been for many. It is hard to separate Maarten’s academic and institution-building contributions from his personal qualities, particularly his interest in human relationships. Maarten’s aptitude for building bridges between people, ideas, and institutions has allowed him to connect people in larger knowledge generation and action projects and forge new conceptual bridges. In addition to reflecting shortly on Maarten's key role in establishing the Centre for Maritime Research (MARE) as a institutional anchor in maritime studies, this paper reviews on some of his important and original contributions to four academic domains: legal pluralism, interactive governance, the study of fisheries conflicts, and the environment-development interface. Common threads across these domains include his long-term commitment to meticulous fieldwork in South Asia that grounds his work so firmly, his focus on achieving a more socially just use of marine and coastal resources, and his pragmatic approach that has led to original connections across distinct conceptual and institutional fields."
"Theorizing social sustainability and justice in marine spatial planning: Democracy, diversity, and equity","https://scispace.com/paper/theorizing-social-sustainability-and-justice-in-marine-45huxfaypc","2020","Journal Article","Sustainability","Fred Saunders
Michael Gilek
Anda Ikauniece
Ralph Voma Tafon
Kira Gee
Jacek Zaucha","10.3390/SU12062560","https://www.mdpi.com/2071-1050/12/6/2560/pdf","… also lays out how social justice and other social imperatives … embedded in the current “Blue Economy” push. Our starting … , which may discourage participation, diminish the legitimacy of …","This article elaborates a conceptual framework to examine social sustainability in marine spatial planning (MSP). Based on a critical literature review of key texts on social sustainability in MSP and the broader sustainable development literature we show the need to elaborate a cogent and comprehensive approach for the analysis and pursuit of social sustainability linked to the sea. We then theorize social sustainability by developing a conceptual framework through integrating three dimensions: Recognition, Representation and Distribution. While these three social sustainability/justice features clearly overlap and are interdependent in practice, the conceptual thinking underpinning each of them is distinctive and when taken together they contribute towards conceiving social sustainability as a pillar of sustainability. Our approach can support an analysis/evaluation of MSP in that, first, its broad scope and adaptability makes it suitable to examine the wide range of claims, demands, and concerns that are likely to be encountered across different practical MSP settings. Second, it acknowledges the opportunities and challenges of assessing, implementing, and achieving social justice within a broader sustainability framework."
"Maritime Security and the Governance of 'Sustainable'Fisheries: Aligning Stakeholders Around Ecological Protection","https://scispace.com/paper/E_LytEf5VFYJ","","","","S Edwards
A Malik","","","… Another dimension of the Blue Justice community in fisheries governance is ensuring social justice for those working in the fishery sector—something which has been marred by …",""
"EFFECTIVE STAKEHOLDER ENGAGEMENT IN COASTAL TRANSITIONS","https://scispace.com/paper/effective-stakeholder-engagement-in-coastal-transitions-348ielo9","2022","Book Chapter","","M Kelly
S Axon","10.4324/9781003280248-5","","… climate change will exacerbate the problems that many coastal communities, towns, and cities already face including shoreline erosion, coastal flooding, and water pollution (Jurjonas …","Emerging literature on coastal transitions in the face of the climate crisis establishes a need for identifying appropriate stakeholder engagement processes for long-term coastal transition management. To date, many coastal transition engagement efforts have relied on a top down—decide, announce, and defend—“DAD” model which has been largely ineffective in providing meaningful opportunities for stakeholder engagement. Consequently, in this chapter, we present a “MOM” model for stakeholder engagement that is appropriate for coastal transition contexts. The MOM model is comprised of three stages. First, M—maximise stakeholder capacity to participate; second, O—organise stakeholders into established systems and subsystems; and third, M—manage stakeholders adaptively through transition cycles. In this chapter, we present the theoretical foundations of the MOM model and describe practical ways in which this model can be applied. "
"Ideals, realities and paradoxes of stakeholder participation in EU fisheries governance","https://scispace.com/paper/ideals-realities-and-paradoxes-of-stakeholder-participation-50zwcafk9h","2016","Journal Article","Environmental Sociology","Sebastian Linke
Svein Jentoft","10.1080/23251042.2016.1155792","https://www.researchgate.net/profile/Sebastian_Linke/publication/299997474_Ideals_realities_and_paradoxes_of_stakeholder_participation_in_EU_fisheries_governance/links/570aaa8a08aed09e91714528/Ideals-realities-and-paradoxes-of-stakeholder-participation-in-EU-fisheries-governance.pdf","… He specializes in social and institutional aspects of fisheries and coastal governance with a research focus on small-scale fisheries, community development, co-management, …","A participatory turn towards more democratic policy-making and decision-making that involves stakeholders has occurred in EU environmental governance since roughly 2000. Despite ubiquitous emphases in favour of ‘good governance principles’, we still know little about their effects in concrete settings where stakeholders are involved in policy and management. Two recent reforms of the EU’s Common Fisheries Policy introduced stakeholder participation via so-called Advisory Councils (ACs). This involved establishing a system for stakeholder representation in these organisations. This paper shows how democratic ideals that emphasise including stakeholders in environmental governance such as fisheries become constrained – or even reversed – by the realities of stakeholder representation procedures. Our theoretical discussion refers to tensions between democratic ideals and the effective organisation of stakeholder participation through representation, emphasising constraints on participation and what may be lo..."
"Driving Blue Economy for Sustainable Development: A case of stakeholder collaboration platform development","https://scispace.com/paper/driving-blue-economy-for-sustainable-development-a-case-of-1awsoge5","2023","Journal Article","IOP conference series","Nurhadi Siswanto
Sitta Rosdaniah","10.1088/1755-1315/1198/1/012013","https://iopscience.iop.org/article/10.1088/1755-1315/1198/1/012013/pdf","… a pilot project of innovative stakeholder engagement platform called BluEconNet. This platform … concept comprising of national and global governance coordination. BE also involves a …","Blue economy (BE) has become one of global actual issues with a multifaceted concept to generate new growth sources from ocean while ensuring environmental sustainability. Indonesia has initiated BE programs since 2012 in Bali and West Nusa Tenggara, featuring an integrated upstream and downstream marine development. However, the targeted outcome of this effort has not yet achieved, due to a number of challenges, including coordination difficulties among stakeholders. An innovation to promote multi-stakeholder collaboration is needed to capture the benefit from the ocean economy. This paper enriches the literature on the BE coordination model by introducing a pilot project of innovative stakeholder engagement platform called BluEconNet. This platform is a digital medium for increasing the involvement of multiple stakeholders to build a participative BE. The platform is designed based on the result of an exploratory approach through literatures review, Focus Group Discussion with representative of stakeholders, combined with semi-structured interviews with representative from institutions. The involvement of stakeholders in the platform is expected to encourage multiple connections and support innovative solutions to provide policymakers with comprehensive information on the ocean economy in order to accelerate the BE development in Indonesia."
