"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"An Ocean of Troubles: Advancing Marine Sociology","https://scispace.com/paper/an-ocean-of-troubles-advancing-marine-sociology-4kt5d85ljn","2016","Journal Article","Social Problems","Stefano B. Longo
Brett Clark","10.1093/SOCPRO/SPW023","","We advance marine sociology to analyze the human dimensions of ocean systems. Human societies are fundamentally linked to marine systems and are transforming oceanic conditions in dramatic ways, resulting in socio-ecological problems. Despite the great and important possibilities in this realm, these relationships are seldom studied within sociology. This article highlights the ecological foundations of human societies, emphasizing interactions with marine systems, and presents marine sociology as a valuable expansion of environmental sociological studies. This approach seeks to better integrate sociological and ecological sciences. We propose that social metabolic analysis serves as one useful theoretical framework for examining the socio-ecological interrelationships. The analysis focuses on the dynamics of ocean systems, social processes that are changing marine ecosystems, and the perennial interactions within and between these systems. We provide brief analyses of climate change, ocean acidification, and pollution, revealing how the modern socioeconomic order has created ecological rifts in marine ecosystems, and how these concerns reciprocally affect social life.","In this article, the authors propose that social metabolic analysis serves as one useful theoretical framework for examining the socio-ecological interrelationships of ocean systems, and provide brief analyses of climate change, ocean acidification, and pollution."
"Blue Legalities: The Life and Laws of the Sea","https://scispace.com/paper/blue-legalities-the-life-and-laws-of-the-sea-24ajf2xo9y","2019","Book","","Irus Braverman
Elizabeth R. Johnson","10.1215/9781478007289","","Blue Legalities is inspired by the emerging “blue turn” in social sciences and the humanities about oceans and their inhabitants. But as important and comprehensive as this “blue turn” has been, it has yet to substantively and creatively take up questions of ocean law and governance. Specifically, increasing concerns around warming temperatures, increased pollution, sea level rise, ocean acidification, bio-harvesting, and deep-sea and sand mining are driving regulatory changes and raising questions about the nature of territory, sovereignty, and long-established claims in international law. The rapid technological and ecological transformations that have taken place over the last few decades are now altering the ways that the seas are governed, suggesting an urgent need for more critical attention to the laws of the seas, in their broadest and most pluralistic articulations. Blue Legalities offers such an intensified analysis, focusing on the ways in which our political frameworks and legal infrastructures have been made, contested, and are currently being remade in the oceans.","Blue Legalities as discussed by the authors is inspired by the emerging ""blue turn"" in social sciences and the humanities about oceans and their inhabitants, focusing on the ways in which our political frameworks and legal infrastructures have been made, contested, and are currently being remade in the oceans."
"Blue paradigms: understanding the intellectual revolution in global ocean politics","https://scispace.com/paper/blue-paradigms-understanding-the-intellectual-revolution-in-5ji2d9cf","2023","Journal Article","International Affairs","Christian Bueger
Felix Mallin","10.1093/ia/iiad124","","
 The oceans have received extraordinary international attention in global policy and research. New insecurities and uncertainties, ranging from intensifying interstate disputes to persistent piracy and overfishing as well as to pollution, deoxygenation and climate change imply that the oceans are increasingly seen as being in crisis. This revolution in thinking about and addressing the oceans is driven by new ideas of why the oceans need political attention and care. In this article we demonstrate how four key new ‘blue paradigms’—maritime security, blue economy, ocean health and blue justice—have evolved and turned the oceans into a new area of priority. Each of these paradigms drives global ocean politics in different directions, which implies risks of fragmentation and conflicts. We work out the key differences between paradigms, investigating their underlying problematization, priorities and communities of practices involved. This provides a new map for navigating the complexity of global ocean politics useful for policy-makers and scholars. Thinking through paradigms also establishes a new analytical framework that allows for identifying conflicting priorities, tensions between ocean communities of practice, and ideas of how these can be managed. We conclude with a call for creative thinking of how synergies between the blue paradigms can be achieved in strategy, planning and research.","In this article , the authors demonstrate how four key new ""blue paradigms"" (maritime security, blue economy, ocean health and blue justice) have evolved and turned the oceans into a new area of priority."
"Anthropology of and from the Ocean","https://scispace.com/paper/anthropology-of-and-from-the-ocean-4f4nc38az0","2024","Journal Article","Annual Review of Anthropology","Jatin Dua","10.1146/annurev-anthro-041422-012504","","The ocean has a key, though often unremarked role, in shaping everyday life, from impacting weather patterns and food supplies to facilitating, and contesting, systems of capitalism, including contemporary logistics, empires, mobility, and migration. Beginning with early debates on maritime anthropology, this review traces the shift from maritime anthropology to an anthropology of and from the ocean. It notes the ways that the ocean appears and disappears as metaphor or material space of encounter and engagement within the past, present, and possible futures of anthropology. It shows how absence and presence as well as metaphor and materiality are the modes through which oceans are imagined and inhabited. While there is no distinct oceanic turn in anthropology in contrast with a number of other disciplines, the anthropology of and from the ocean holds the possibility to reenergize anthropology's interdisciplinary encounters, including with history and geography, as well as modes of engaging scale and specificity. ","This review explores the ocean's understated impact on everyday life, tracing the shift from maritime anthropology to an anthropology of and from the ocean, highlighting its role in shaping capitalism, mobility, and migration, and reimagining anthropology's interdisciplinary encounters."
"Southern blue criminology: rethinking ocean harmscapes in a global context","https://scispace.com/paper/southern-blue-criminology-rethinking-ocean-harmscapes-in-a-2o1573e6cz76","2024","Journal Article","Frontiers in conservation science","Annette Hübschle
Julie Berg","10.3389/fcosc.2024.1422829","","This paper introduces southern blue criminology, a novel theoretical framework that extends traditional criminological analysis to encompass the environmental harms affecting the world’s oceans, particularly from a Global South perspective. This approach critiques crime-centric analysis and expands upon the concept of “harmscapes” – areas significantly impacted by ecological damage – by integrating socio-economic and cultural contexts often overlooked by prevailing enforcement paradigms developed in the Global North. Through a critical review of existing criminological theories and maritime enforcement practices, this study highlights the inadequacies of current approaches that fail to account for the transnational and complex nature of oceanic harms. Southern blue criminology is proposed through four integrative perspectives: shifting from a crime-centric view to embracing a broader conception of ocean harmscapes; moving beyond state-centric responses to foster whole-of-society involvement including non-state actors; transcending Western-centric governance models in favor of context-dependent strategies that respect local knowledge and practices; and expanding the analytical frame from human-centric approaches to include human–nonhuman assemblages, recognizing the ocean as an active participant in ecological and social interactions. The framework aims to foster more effective and sustainable management of marine environments, proposing a shift from a punitive focus to a more comprehensive, preventive, and restorative approach. The implications of this research are significant, suggesting a transformative shift in policies to better address the intricate web of factors contributing to maritime environmental crimes and to enhance global ecological justice. ","This paper introduces ""Southern blue criminology,"" a framework that critiques traditional criminology and expands the concept of ""harmscapes"" to address oceanic environmental harms from a Global South perspective, proposing a shift to preventive and restorative approaches."
"Introduction: Maritime Im/Mobilities","https://scispace.com/paper/introduction-maritime-im-mobilities-3om93wj5","2023","Book Chapter","","Hilary Dugan","10.1007/978-3-030-91275-8_1","https://scispace.com/pdf/introduction-maritime-im-mobilities-3om93wj5.pdf","Abstract In a time of refugee boats and rising seas, maritime mobilities and immobilities have regained critical status for the development of viable futures—social, economic, environmental, political, as well as imaginative. This introduction describes advances in maritime studies, alongside “blue cultural studies” or “oceanic humanities,” and covers a selection of recent critical perspectives in the maritime humanities that have extended, but also criticized, earlier assumptions in the field: Eurocentric, anthropocentric, and class-, race-, and gender-based. The focus is on some of the ways in which maritime studies has been informed by mobility studies, an interdisciplinary field within the humanities. Taking up cultural geography’s revision of the field to acknowledge the centrality of movement in history and society and to move beyond logistics-centered transportation studies, mobility studies investigates the production of mobilities and immobilities historically, socially, politically, and culturally. The present volume sets out to explore how oceanic im/mobilities have been framed and articulated in the literary and cultural imagination. ","In a time of refugee boats and rising seas, maritime mobilities and immobilities have regained critical status for the development of viable future, social, economic, environmental, political, as well as imaginative as discussed by the authors ."
"Toward a Critical Ocean Studies for the Anthropocene","https://scispace.com/paper/toward-a-critical-ocean-studies-for-the-anthropocene-1q9a4l0f62","2019","Journal Article","English Language Notes","Elizabeth DeLoughrey","10.1215/00138282-7309655","","Abstract:Recently, scholars have called for a \""critical ocean studies\"" for the twenty-first century and have fathomed the oceanic depths in relationship to submarine immersions, multispecies others, feminist and Indigenous epistemologies, wet ontologies, and the acidification of an Anthropocene ocean. In this scholarly turn to the ocean, the concepts of fluidity, flow, routes, and mobility have been emphasized over other, less poetic terms such as blue water navies, mobile offshore bases, high-seas exclusion zones, sea lanes of communication (SLOCs), and maritime \""choke points.\"" Yet this strategic military grammar is equally vital for a twenty-first-century critical ocean studies for the Anthropocene. Perhaps because it does not lend itself to an easy poetics, the militarization of the seas is overlooked and underrepresented in both scholarship and literature emerging from what is increasingly called the blue or oceanic humanities. This essay turns to the relationship between global climate change and the US military, particularly the Navy, and examines Indigenous challenges to the militarism of the Pacific in the poetry of Craig Santos Perez.","In this paper, the relationship between global climate change and the US military, particularly the Navy, and examines Indigenous challenges to the militarism of the Pacific in the poetry of Craig Santos Perez."
"Oceanic Travels: Future Voyages for Moving Deep and Wide within the ''New Mobilities Paradigm''","https://scispace.com/paper/oceanic-travels-future-voyages-for-moving-deep-and-wide-3bu166m68v","2019","Journal Article","","Kimberley Peters
Rachael Squire","10.3167/TRANS.2019.090207","","The seas and oceans, ships and boats, alongside other maritime activities and practices, have become a focus of work within the “new mobilities paradigm.” However, water worlds much like the space they occupy in the relation to the land remain situated in the margins of such work, despite an oceanic (re)turn in disciplines such as human geography, sociology, anthropology, and politics. Drawing from this recognition, this article seeks to make two contributions. First, following earlier, agenda-setting work, it makes a renewed call for mobilities scholarship to centralize work on oceans, ships, and other forms seagoing travel and life. Second, in doing so, it suggests such work needs to voyage more deeply and widely in the future, exploring mobilities beyond surficial connections and flows across our oceans, and making more expansive the subjects and objects and scales of investigation, under the remit of the “new mobilities paradigm.”","The seas and oceans, ships and boats, alongside other maritime activities and practices, have become a focus of work within the new mobilities paradigm as mentioned in this paper, however, water worlds like the space they occupy in the relation to the land remain situated in the margins of such work, despite an oceanic (re)turn in disciplines such as human geography, sociology, anthropology, and politics."
"Social Construction of the Ocean, Sea Power, and Maritime Transformation","https://scispace.com/paper/social-construction-of-the-ocean-sea-power-and-maritime-nun3tuqv8p","2023","Journal Article","Journal of Political & Military Sociology","Kuang‐hao Hou","10.5744/jpms.2023.1002","","This review article elucidates concepts related to sea power, the social construction of the ocean, and maritime transformation. It begins with Mahan’s and Mackinder’s classic understanding of sea power, arguably the source of all traditional perspectives on the subject. Although this article accepts Till’s definition of sea power, it maintains that conventional wisdom does not offer a clear distinction between sea power as “a means of social power” and sea power as “states with powerful navies.” Furthermore, this article discusses Lambert’s conception of seapower identity, contending that his perspectives on seapower-state establishment are not based on relationships between the state, military, and the oceans. Lambert’s analysis of seapower states focuses on the activities that people engage in on land for seapower identity. His account suggests that maritime transformation could only occur in cases in which sea states transform into seapower states. However, this article claims that Steinberg’s concepts and theory of the social construction of the ocean provide a useful approach to examining the maritime transformation required for a transition from tellurocracy to thalassocracy. ","This review article reexamines sea power, social construction of the ocean, and maritime transformation, critiquing conventional wisdom and Lambert's seapower identity concept, instead advocating for Steinberg's social construction approach to understanding maritime transformation and thalassocracy."
"Overdetermined by Territory? Governing the Ocean in Time, Matter, and Rhythm","https://scispace.com/paper/overdetermined-by-territory-governing-the-ocean-in-time-8xosue66sgvz","2025","Journal Article","","Christopher McAteer","10.1007/978-3-031-71322-4_2","","Abstract This chapter asks whether thinking about space goes far enough in comprehending the ocean, arguing that scholars must engage more with materiality and temporality to discover new forms of ocean governance. Noting the important scholarly work that has moved beyond a planar, or areal, conceptualisation of the ocean, the chapter draws on recent scholarship to critically assess volumetric theorisations that do not sufficiently account for the fluidity of matter within the ocean. It contends that scholars must think through the complex materiality of the ocean by conceptualising the highly mobile stuff within it as being an inherent part of ocean space itself. It then argues that to think about the materiality of the ocean and how it moves and flows, one must engage with temporality, helping one to move beyond both two-dimensional thinking and three-dimensional volumetrics towards an understanding of the ocean as processual and something that happens in time. Surveying recent literature on relational approaches to space, the chapter argues that the future of ocean governance must be multiple, complex, and messy, rather than overdetermined by a political logic of territory that reifies state borders as a byproduct of its legal mechanisms. ","This chapter critiques traditional ocean governance, arguing that scholars must consider materiality and temporality to move beyond volumetric and territorial thinking, embracing a processual understanding of the ocean as complex, multiple, and messy."
