"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Mainstreaming Equity and Justice in the Ocean","https://scispace.com/paper/mainstreaming-equity-and-justice-in-the-ocean-17m79isz","2022","Journal Article","Frontiers in Marine Science","Nathan J. Bennett","10.3389/fmars.2022.873572","","Equity and justice considerations have risen to the surface in policy deliberations, management decisions, and program design related to marine conservation, fisheries management, and blue economy development. These topics have been brought to the forefront by academic documentation of social justice and distributional issues across these different marine policy realms (Kittinger et al., 2017; Cohen et al., 2019; Martin et al., 2019; Armstrong, 2020; Bennett et al., 2021a) and coinciding civil society efforts to raise the profile of the social injustices facing small-scale fishers, coastal communities, different genders, and diverse racial and ethnic groups (Isaacs, 2019; Johnson, 2020; Gustavsson et al., 2021). Academic and civil society groups and individuals have coined a number of catch phrases to refer to the relationship between equity, justice, and the oceans including blue justice, marine justice, ocean justice and ocean equity (Martin et al., 2019; Armstrong, 2020; Österblom et al., 2020; Bennett et al., 2021a). Small-scale fisheries organizations, for example, coined the now popular term ‘blue justice’ to refer to the effects of blue growth and industrial fisheries on the rights, resources and livelihoods of small-scale fishers and coastal communities (Cohen et al., 2019; Isaacs, 2019; Bennett et al., 2021a; Jentoft et al., 2022). Scholars also recently proposed ‘marine justice’ as an academic concept, a paradigm, and a movement that merges concerns for the marine environment and environmental justice (Widener, 2018; Martin et al., 2019). The idea of ‘ocean equity’ emerged in a 2020 report of the High Level Panel on the Sustainable Ocean Economy titled ‘Towards Ocean Equity’ that highlighted the need for the burgeoning ocean economy to be inclusive and account for equity in the distribution of benefits (Bennett et al., 2019b; Österblom et al., 2020). Marine biologist and conservationist Ayana Elizabeth Johnson uses the phrase ‘ocean justice’ to underscore the importance of paying attention to climate justice and racial justice issues in ocean conservation (Johnson, 2020). While somewhat different in their history and formulation, the proponents behind each of these catch phrases share a common concern for the need to urgently address emergent equity and justice issues in ocean governance and management. This growing interest in equity and justice in the oceans is positive progress from just a few years ago when these topics were still peripheral in ocean policy deliberations and insufficiently considered in programs and funding focused on oceans and sustainability (Bennett, 2018). Globally, many ocean-focused conservation and development government agencies, non-governmental organizations, and funders have become quite interested in how to embed and operationalize equity and justice in their work (Österblom et al.,","In this article , Österblom et al. highlighted the need for the burgeoning ocean economy to be inclusive and account for equity in the distribution of benefits in ocean governance and management."
"Shaping Blue Growth: Social Sciences at the Nexus Between Marine Renewables and Energy Policy","https://scispace.com/paper/shaping-blue-growth-social-sciences-at-the-nexus-between-4yh72fvtsr","2018","Book Chapter","Springer International Publishing","Sandy Kerr
Laura Watts
Ruth Brennan
Rhys Howell
Marcello Graziano
Anne Marie O’Hagan
Dan van der Horst
Stephanie Weir
Glen Wright
Brian Wynne","10.1007/978-3-319-99097-2_3","https://scispace.com/pdf/shaping-blue-growth-social-sciences-at-the-nexus-between-4yh72fvtsr.pdf","The development of the Marine Renewable Energy (MRE) industry is part of the EC Blue Growth Strategy. It brings together a range of relationships across people, sea, and energy, from developers to local communities and policymakers. This calls for diverse approaches, moving beyond an oppositional mindset to one that can establish an inclusive community around MRE development. Ownership of the marine environment is a legal issue, but MRE devices operate within a cultural and emotional sense of place. Early, sustained community engagement and advocacy is crucial to developing an industry whose impacts are likely to be felt before its social benefits materialise. Crucially, local communities could be supported by Social Sciences and Humanities (SSH) research in creating new mythologies and imaginaries through which MRE technologies become an integral part of their culture, as well as part of their biophysical environment. A complex physical, political, and legal environment provides the context for these new marine energy technologies, and its development provides opportunities for SSH research to address issues around the sea and to integrate into the design of new marine energy seascapes.","The development of the Marine Renewable Energy (MRE) industry is part of the EC Blue Growth Strategy as mentioned in this paper, which brings together a range of relationships across people, sea, and energy, from developers to local communities and policymakers."
"Problematic blue growth: a thematic synthesis of social sustainability problems related to growth in the marine and coastal tourism","https://scispace.com/paper/problematic-blue-growth-a-thematic-synthesis-of-social-3e5c0lndj9","2020","Journal Article","Sustainability Science","Neva Lepoša","10.1007/S11625-020-00796-9","https://link.springer.com/content/pdf/10.1007/s11625-020-00796-9.pdf","Marine and coastal tourism constitutes one of the largest and fastest-growing segments in tourism. Growth in marine tourism is now furthered through the ‘blue growth’ imperative, which this article problematises. The paper argues that there are already existing sustainability issues related to the marine tourism sector. These problems could be exacerbated if growth is additionally boosted. Since the social sustainability consequences of the growth of marine tourism are less known in the sustainability science literature, this paper thematically synthesises these types of sustainability problems in particular, as presented in the tourism studies, and brings them closer to sustainability science readers. The cases of cruise tourism, ecotourism, and tourism in marine protected areas, and community-based tourism studies are examined, wherein the latter represents a critical case for social sustainability matters. The paper reports several social and environmental injustices, produced through structural forces, and a manipulated access to natural resources, health services, and healthy environments. Social sustainability issues are most obvious in cruise tourism; however, also tourism in marine protected areas, ecotourism, and community-based tourism are not unproblematic. Thus, blue growth initiatives should be carefully examined and questioned.",""
"A Blue Economy: equitable, sustainable, and viable development in the world’s oceans","https://scispace.com/paper/a-blue-economy-equitable-sustainable-and-viable-development-2v863w9fz0","2019","Book Chapter","","Andrés M. Cisneros-Montemayor","10.1016/B978-0-12-817945-1.00034-4","","The concept of the Blue Economy is increasingly in use but under different, sometimes contradictory, definitions. This chapter argues for a Blue Economy as a framework for ocean and coastal development that explicitly focuses on social equity concerns in addition to environmental sustainability and economic viability. Many marine industries are already well-established across the world, so a Blue Economy entails deep transformations of large sectors as well as innovation and planning for emerging ones. The Blue Economy approach should not be seen as a slight improvement on business-as-usual but as an opportunity for a fundamental shift towards ambitious social and environmental goals.","In this article, the authors argue for a Blue Economy as a framework for ocean and coastal development that explicitly focuses on social equity concerns in addition to environmental sustainability and economic viability, and argue that the Blue Economy approach should not be seen as a slight improvement on business-as-usual but as an opportunity for a fundamental shift towards ambitious social and environmental goals."
"Exploring Sustainable Strategies for Oceanic Development: A Blue Growth Perspective","https://scispace.com/paper/exploring-sustainable-strategies-for-oceanic-development-a-563nl0fspb6t","2024","Journal Article","Environmental research & technology","Veysi Başhan
Afşın Yusuf Çetinkaya","10.35208/ert.1478089","","The European Union is leading the Blue Growth initiative as a strategic approach to increasing economic prosperity in Europe's seas despite today's challenges. Drawing on the EU's Green Growth initiative, Blue Growth extends sustainability principles to marine areas, solidifying commitments to the sustainable management of marine ecosystems and the promotion of technological innovations. This initiative focuses on sectors such as energy, aquaculture, tourism and biotechnology in coastal and offshore environments. Blue Growth has increased in importance following major events such as Rio+20 and has had a significant impact on ocean and marine resource management practices. In this study, we conduct a comprehensive bibliometric analysis to trace the trajectory of global research on blue growth across science, policy, and the blue economy over the 17-year period since the term's inception in 2007. We analyze blue growth using bibliometric techniques. Examining the blue growth literature, identifying key contributors, collaborations, research trends and gaps. Our analysis covers publication outputs, institutional affiliations, author collaborations, research themes, and alignment with the Sustainable Development Goals (SDGs). Our findings reveal a significant increase in blue growth publications, especially after 2013, highlighting its increasing importance. Environmental Science and Ecology are emerging as primary research areas reflecting a focus on sustainability. We observe intense collaborations between countries and institutions, with significant contributions from the UK, USA, Germany, Italy and Spain. Blue growth research is aligned with several Sustainable Development Goals, particularly SDG 14 (Life Below Water) and SDG 15 (Life on Land), highlighting marine conservation and land-sea ecosystem connectivity. Keyword analysis underlines the interdisciplinary nature of blue growth research, highlighting key themes such as the blue economy, aquaculture and sustainable development. Institutional analysis identifies the University of Exeter and CNR as key contributors, while country-level analysis highlights global collaboration networks. Citation analysis reveals the intellectual structure of blue growth research, with marine biology, oceanography, sustainability science, and climate change among the prominent themes. ","This study conducts a 17-year bibliometric analysis of global blue growth research, revealing increased publications, collaborations, and alignment with SDGs 14 and 15, highlighting the importance of sustainability, marine conservation, and land-sea ecosystem connectivity in the blue economy."
"Mapping flows of blue economy finance: ambitious narratives, opaque actions, and social equity risks","https://scispace.com/paper/mapping-flows-of-blue-economy-finance-ambitious-narratives-46nms6uky9","2024","Journal Article","One earth","Marleen S. Schutter
Andrés Cisneros-Montemayor
Michelle Voyer
Edward Hugh Allison
Calvin Domarchuk-White
D. Benzaken
Essam Yassin Mohammed","10.1016/j.oneear.2024.02.009","","<h2>Summary</h2> The blue economy provides a sustainability framework for ocean governance, but it is unclear whether narratives are matched by binding financial commitments and disbursements. Amid attention being paid to ""funding gaps"" in the Sustainable Development Goals, a lack of transparency in financial flows means that the blue economy concept risks being co-opted to facilitate further exploitation of ocean spaces and resources without contributing to environmental sustainability or social equity. Here, we analyze blue-economy-labeled money flows disbursed between 2017 and 2021 to identify sources and recipients and potential social equity impacts on the ground. Financing is predominantly disbursed to Europe and Central Asia and skewed toward business development and renewable energy. Our analysis reveals widespread occurrence of ""red flags"" for social equity outcomes. Although constrained to money flows that actively employ blue economy language, our findings show disconnects between finance and narratives of equity, inclusion, and sustainability. We offer a baseline for critical examination of blue finance flows in delivering equity and environmental sustainability. ","This study analyzes blue economy finance flows (2017-2021) and finds a disconnect between ambitious narratives and opaque actions, with predominantly European and Central Asian recipients, and widespread social equity risks despite renewable energy investments."
"Co-creating a just and inclusive blue economy: an analysis of ocean justice in academic literature, policy and legislation.","https://scispace.com/paper/co-creating-a-just-and-inclusive-blue-economy-an-analysis-of-bf5azmusq2ho","2025","Journal Article","","Celine Germond‐Duret
Senia Febrica","10.5194/oos2025-348","","The blue economy concept that gained popularity after the 2012 UN Conference on Sustainable Development (Rio+20) has since been advocated by public and private actors as well as environmental non-governmental organisations. Defined as “the sustainable pursuit of economic activities resulting from the exploitation of coastal and marine resources” (Germond-Duret and Germond, 2022) the blue economy concept has raised both hope and concerns: hope that environmental protection will be at the heart of (economic) activities at sea; and concerns that it will facilitate further unsustainable exploitation of coastal and marine resources. It can be seen as being part of a wider “blue acceleration” process, “a race among diverse and often competing interests for ocean food, material, and space” (Jouffray et al., 2020).The academic literature as well as policy and legal documents on the blue economy, almost non-existent a few years ago, is now burgeoning. However, it remains an ambiguous and contested concept, and further work is needed to address the place of environmental protection within the blue economy, the role of communities in this process, and the potential human and social costs of additional economic activities at sea. As research on the blue economy expands and as stakeholders further exploit coastal and marine resources, it is critical to deepen our understanding of how the blue economy can be just and fair.Deploying corpus linguistic analysis this paper will examine the existing academic literature as well as policy and legal documents on the blue economy published by governments, civil society, regional and international organisations to investigate:(1) to what extent traditionally overlooked stakeholders, such as coastal communities, are represented in the academic literature, policy and legal documents related to blue economy?(2) are the economic, social and cultural justice implications of blue economy activities addressed?(3) what checks and balances mechanisms are put in place to support inclusive participation of Indigenous Peoples, local communities, small-scale fishers, women, children and young people at the heart of the process?UN databases such as the Food and Agriculture Organization of the UN’s SSF-LEX, the UN Division for Ocean Affairs and the Law of the Sea’s Maritime Zones and Maritime Delimitation database, and the International Seabed Authority’s national legislation database will be used to collate various governments’ documents related to the blue economy.The findings from the paper will identify trade-offs and inequities that surface as blue economies rapidly develop and provide pathways to integrate transdisciplinary action research approaches, processes, and innovation that are needed to unlock the potential of science to develop sustainable blue economies (Heidkamp et al., 2021). Transdisciplinary research implies working with ocean experts from varied disciplines, different knowledge holders and stakeholders in the co-design of solutions (Febrica, 2021). ","This study examines the representation of traditionally overlooked stakeholders in blue economy literature, policy, and legislation, and identifies trade-offs and inequities in blue economy development, aiming to co-create a just and inclusive blue economy through transdisciplinary action research."
"Navigating Blue Justice: Policy Gaps and Conflicts in Coastal Development from Small-Scale Fisher Perspectives","https://scispace.com/paper/navigating-blue-justice-policy-gaps-and-conflicts-in-coastal-yliun5evk3tu","","","","Jose Amorim Reis-Filho
Vanessa Hatje
Francisco Barros","10.1016/j.oneear.2024.07.014","","It is urgent to acknowledge the challenges of achieving sustainable coastal development in the context of blue economy expansion. Thus, blue justice emerges, emphasizing the importance of adopting inclusive approaches to guide decision-making. Small-scale fishers (SSFs) end up facing challenges in this process, such as ocean grabbing, pollution, and exclusion from debate spheres. Here, we address the knowledge gap by investigating SSFs’ perspectives and conflicts related to coastal development to inform equitable and inclusive policy formation. Our findings highlight the multiple impacts on different fishing communities, including marine traffic, blast fishing, industries, and ports, emphasizing contextual conflicts associated with different levels of coastal development. This enables the assessment of equity and justice within the domains of blue economy and blue growth. Our study showcases the pivotal role of interdisciplinary research in addressing diverse pressures from coastal development and including local communities for an effective advance in understanding blue justice issues.","This study investigates small-scale fishers' perspectives on coastal development, highlighting policy gaps and conflicts related to blue economy expansion, ocean grabbing, and exclusion, to inform equitable and inclusive policy formation and assess equity and justice in blue economy and growth."
"Rethinking the Blue Economy: Integrating Social Science for Equitable and Sustainable Outcomes","https://scispace.com/paper/rethinking-the-blue-economy-integrating-social-science-for-ooi3ktnf1hcf","2025","Journal Article","","Jerneja Penca
Irmak Ertör
Marta Ballesteros
Birgit Pauksztat
Maciej Kowalewski
Dražen Cepić
Sebastián Villasante
Michael Briguglio
Natașa Văidianu
Cristina Piñeiro‐Corbeira
José J. Pascual-Fernández","10.5194/oos2025-1204","","In 2024, the innovative, emancipatory and ecosystem-based potential of the original Blue Economy concept remains largely unrealized. The Blue Economy’s implementation measures, outputs and outcomes have often produced negative impacts on natural resources and social equity. While the Blue Economy discourse offers a platform for bridging the persistent science-policy divide, effective decision-making requires an enhanced approach to producing and communicating scientific knowledge. This paper outlines the reasons for a stronger integration of social science perspectives in Blue Economy research and policy engagement, showcasing how to do so, using the example of COST-funded network RethinkBlue. We argue that social sciences are essential for (a) holistically and critically comprehending the existing Blue Economy; (b) designing integrative decisions in a dynamic social, economic, political, technological and environmental context, through both advance planning and response measures, and (c) generating artefacts and boundary objects to support knowledge production and the science-policy interface. Achieving these goals demands: a) interdisciplinarity collaboration across diverse scientific fields, particularly among social scientists, organized around thematic issues rather than sectors; b) co-creation through cross-sector partnerships on topical and emerging issues; c) active knowledge translation and boundary-spanning efforts, d) knowledge sharing and capacity building to enhance collaboration between social scientists and policymakers; and e) a commitment to transparency to ensure ethical, equitable, and accountable operation of the network. In the mid-term, we expect such efforts to gradually transform how we conceptualize and implement marine and coastal activities, specifically through a redefinition of priorities beyond profit maximization to emphasize well-being, equity, resilience, ecological sustainability, and the development of new governance models that are more inclusive, participatory, and adaptive, and a science-policy interface that informs policy in ways that are more nuanced and sensitive to social context. A greater integration among social sciences is a pre-requisite to a truly interdisciplinary framework, drawing on social and natural sciences, and a development of the economic agenda of Blue Economy into a hybrid field that fosters trust in marine and maritime policies and enhances their legitimacy. The findings are relevant to the broader debate on ocean governance, supporting reflective thinking on how to effectively contribute to the Ocean Decade vision 2030. ","This paper advocates for integrating social science perspectives into Blue Economy research and policy to achieve equitable and sustainable outcomes, requiring interdisciplinarity, co-creation, knowledge translation, and transparency to redefine priorities and governance models for marine and coastal activities."
"A framework for assessing the blue equity of social-ocean systems in marine governance transformation","https://scispace.com/paper/a-framework-for-assessing-the-blue-equity-of-social-ocean-156cbxjfuf","2024","Journal Article","Frontiers in Marine Science","NULL AUTHOR_ID
NULL AUTHOR_ID
NULL AUTHOR_ID","10.3389/fmars.2024.1403194","","The equitable utilization of marine resources and the maintenance of healthy and sustainable marine ecosystems are essential to advancing the United Nations Sustainable Development Goals (SDGs) and promoting the well-being of all humanity. In this paper, we propose a Blue Equity Assessment Framework, which is based on a systematic literature review approach and takes into account the characteristics of Social-Ocean Systems (SOSs). The framework consists of Distributional Equity, Procedural Equity, Recognitional Equity, and Contextual Equity. The aim of this framework is to conduct equity analyses of policies or behaviors within SOSs in order to assess whether blue equity is explicitly implemented and practiced in these societal norms and policy mechanisms. The assessment framework reveals that blue equity has a positive synergy for the majority of the SDGs. This synergy is analyzed in terms of its influence on the assessment dimensions of distributional justice, procedural justice, recognitional justice, and contextual justice. The findings aim to enhance societal understanding of blue equity issues, thereby guiding policymakers in the prioritization of blue equity in the development and utilization of marine resources and in the transformation of global ocean governance. ","This paper proposes a Blue Equity Assessment Framework to evaluate the equitable utilization of marine resources and promote sustainable marine ecosystems, revealing a positive synergy with 8 out of 17 UN SDGs, particularly in distributional, procedural, recognitional, and contextual justice dimensions."
