"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Marine Economics, Employment and Employability: Profiles, Professional Figures and Skills in the Reform of the Italian Code of Recreational Shipping (Code of Yachting)","https://scispace.com/paper/marine-economics-employment-and-employability-profiles-4k1jrcbl9k","2019","Journal Article","","Roberta Caragnano
Giuseppe Danese","10.30958/AJL.5-2-7","https://scispace.com/pdf/marine-economics-employment-and-employability-profiles-4k1jrcbl9k.pdf","","or blue growth illustrate that the marine economy is regarded as a driver in the well-being and prosperity of Europe and the decree falls in line with the integrated European maritime policy dedicated to the realisation of coordinated efforts working towards the idea of an international governance. The Position of the Problem: The Extent of the Code and the European Economic and Legal Framework of Reference:
 In 2010 the Commission had already anticipated a strategy for sustainable maritime and coastal tourism, highlighting on the one hand the need for a concerted effort in favour of a coordinated approach to initiatives on the theme of tourism, and on the other hand, the need for a definition of a new framework for action to reinforce competition and the capacity for sustainable growth in the sector. This strategy was subsequently promoted in the 2012 communication, 1 This also includes the alignment between blue growth and green growth as also indicated, in the seventh program of environmental action. European Parliament and Council of the Eureopean Union . The Position of the Problem: The Extent of the Code and the European Economic and Legal Framework of Reference:
 Crescita blu opportunità per una crescita sostenibile dei settori marino e marittimo. (Blue Growth opportunities for marine and maritime sustainable growth)  . According to this communication, the sea and the coast represent engines for economic growth where coastal communities, due to their geographic conformation open to the outside and their tradition become hotbeds for new ideas and sources of inspiration for innovation encompassed in an ample vision of the direction of the so-called Blue Growth. Within the European Strategy 2020 this growth can increase international competitiveness within the EU, not only developing new sources of growth respecting and protecting biodiversity and the marine environment, but also creating new jobs whilst maintaining marine ecosystems and healthy coastal areas. The Position of the Problem: The Extent of the Code and the European Economic and Legal Framework of Reference:
 In the Commission Communication, A European Strategy for more Growth and Jobs in Coastal and Maritime Tourism, COM(2014) 86 final in the wake of the Parliament""s report on blue growth of 2013 a series of actions were outlined in order to breathe life into the sector and help the development of a sustainable tourism in coastal destinations focusing on the involvement of the Commission, member states, local and regional authorities, private operators and other stakeholders, taking into account the presupposition and the knowledge that the demand for tourism is exposed to great fluctuations determined by changing economic, financial and political circumstances which affect the whole chain including the nautical sector. The Position of the Problem: The Extent of the Code and the European Economic and Legal Framework of Reference:
 Similarly, the Report on the Blue Growth Strategy: Towards more sustainable growth and jobs in the blue economy SWD (2017)128 final of 31 March 2017 outlines a new European strategic approach that includes eco-sustainability and the profitability of the production processes as a possibility for the development of a whole series of activities connected to the sea, including tourism by means of cruises, pleasure boats and maritime traffic."
"Unión Europea y la economía azul","https://scispace.com/paper/union-europea-y-la-economia-azul-f9q6zxermo","2024","Journal Article","Boletín ICE económico","Fernando González Laxe
Federico Martín Palmero
Federico Martín Bermúdez","10.32796/bice.2024.3166.7717","https://scispace.compdf/union-europea-y-la-economia-azul-f9q6zxermo.pdf","La preocupación por compatibilizar el crecimiento económico con la preservación de los activos ambientales ha pasado por varias etapas. La más conocida y extendida no es otra que el desarrollo sostenible. Este amplio concepto ha evolucionado y han surgido nuevas derivaciones, como es el caso del crecimiento verde y, posteriormente, economía azul y crecimiento azul, estas últimas con especial énfasis en la economía de los océanos cuya importancia se deriva de su carácter multifuncional e insustituible: son fuentes de biodiversidad y proveedores de alimentación humana; suministran recursos energéticos, proporcionan sistemas de transporte especialmente sostenibles y son elementos esenciales en la lucha contra el cambio climático merced a su capacidad para emitir oxígeno y absorber dióxido de carbono. El propósito de la presente aportación se centra en un acercamiento teórico a los principios de la economía azul, así como su activación por parte de la Unión Europea y a la cuantificación de su importancia en este entorno económico. Finalmente, se desarrollan una serie de reflexiones sobre la estrategia futura en esta materia. ","europea para las cuestiones marítimas. Está introducido en la agenda de Europa y de sus Estados miembros. Busca reconocer la importancia que posee Europa de cara a generar fuentes de crecimiento y empleo. La Unión Europea y el crecimiento azul:
 Los sectores marítimos-marinos son trascendentales para tal misión y la necesidad de un enfoque integrado resulta básico para «mejorar las capacidades de Europa en el uso sostenible de los océanos, mares y costas» (Comisión Europea, 2012). La Unión Europea y el crecimiento azul:
 La estrategia Blue Growth se instrumentaliza por medio de tres pilares: La Unión Europea y el crecimiento azul:
 -Medidas relativas a la política marítima integrada, que abarca el conocimiento del medio marino, la ordenación del espacio marítimo y la vigilancia marítima integrada. -La estrategia de las cuencas marítimas, adaptándolas a sus singularidades. -Los sectores y actividades específicas. La Unión Europea y el crecimiento azul:
 Por su particular relación con el objeto de esta aportación, se profundiza exclusivamente en la posición de la UE al respecto de dichos pilares. La base de la estrategia de Crecimiento Azul de la UE:
 La estrategia europea de Crecimiento Azul se fundamenta en la Política Marítima Integrada de la Unión Europea (PMI), en donde el mencionado crecimiento azul es uno de los ámbitos políticos convergentes de la misma. La base de la estrategia de Crecimiento Azul de la UE:
 La PMI constituye un planteamiento holístico e integral de todas las políticas europeas relacionadas con el mar. Está incluida dentro de los objetivos estratégicos de la UE para el periodo 2005-2009, los cuales podrían resumirse, siguiendo a Breuer (2023) en: La base de la estrategia de Crecimiento Azul de la UE:
 -Maximizar el uso sostenible de los mares y océanos con el fin de propiciar el crecimiento de las regiones marítimas y las regiones costeras en lo relativo a navegación, puertos, construcción naval, empleos marítimos, medioambiente y gestión de la pesca. La base de la estrategia de Crecimiento Azul de la UE:
 -Crear una base de conocimientos e innovación para la política marítima a través de una estrategia europea global. -Mejorar la calidad de vida de las regiones costeras a través del fomento del turismo costero y marítimo, elaborando una estrategia comunitaria de prevención de"
"Putting coastal communities at the center of a sustainable blue economy: A review of risks, opportunities, and strategies","https://scispace.com/paper/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db","2023","Journal Article","Frontiers in political science","Louisa Evans
P.M. Buchan
Matt Fortnam
M B Honig
Louise Heaps","10.3389/fpos.2022.1032204","https://scispace.com/pdf/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db.pdf","New approaches to ocean governance for coastal communities are needed. With few exceptions, the status quo does not meet the diverse development aspirations of coastal communities or ensure healthy oceans for current and future generations. The blue economy is expected to grow to USD2.5–3 trillion by 2030, and there is particular interest in its potential to alleviate poverty in Least Developed Countries and Small Island Developing States, and to support a blue recovery from the COVID-19 pandemic. This paper presents a selective, thematic review of the blue economy literature to examine: (i) the opportunities and risks for coastal communities, (ii) the barriers and enablers that shape community engagement, and (iii) the strategies employed by communities and supporting organizations, which can be strengthened to deliver a ‘sustainable' blue economy and improve social justice for coastal communities. Our review finds that under business-as-usual and blue growth, industrial fisheries, large-scale aquaculture, land reclamation, mining, and oil and gas raise red flags for communities and marine ecosystems. Whereas, if managed sustainably, small-scale fisheries, coastal aquaculture, seaweed farming and eco-tourism are the most likely to deliver benefits to communities. Yet, these are also the sectors most vulnerable to negative and cumulative impacts from other sectors. Based on our evaluation of enablers, barriers and strategies, the paper argues that putting coastal communities at the center of a clear vision for an inclusive Sustainable Blue Economy and co-developing a shared and accessible language for communities, practitioners and policy-makers is essential for a more equitable ocean economy, alongside mainstreaming social justice principles and integrated governance that can bridge different scales of action and opportunity.","ecosystems and the communities dependent upon them and how the voice and actions of communities might be better included into sustainable blue economy strategies, planning approaches, and decisionmaking, in order to deliver a more equitable and sustainable development trajectory within the blue economy. . Conclusion:
 of their affiliated organizations, or those of the publisher, the editors and the reviewers. Any product that may be evaluated in this article, or claim that may be made by its manufacturer, is not guaranteed or endorsed by the publisher."
"Critical Review of Blue Justice and China-Pakistan Economic Corridor (CPEC)","https://scispace.com/paper/critical-review-of-blue-justice-and-china-pakistan-economic-2grawctw","2023","Journal Article","","Urooj Aijaz","10.58800/bujhss.v6i1.164","https://scispace.com/pdf/critical-review-of-blue-justice-and-china-pakistan-economic-2grawctw.pdf","The research intends to critically review the newly emerged phenomenon of blue justice and the China-Pakistan Economic Corridor (CPEC). The study may be helpful to policymakers in Pakistan and China since it can shed light on how blue justice can be incorporated into the design and execution of CPEC projects to promote sustainable development. To achieve blue Justice in Pakistan, several challenges need to be addressed such as overfishing, habitat destruction, climate change, and the marginalization of small-scale fishers. The China-Pakistan Economic Corridor (CPEC) is a major infrastructure development project that includes a range of blue initiatives to promote economic growth and blue justice and development in Pakistan. Governments and policymakers must prioritize sustainable ocean development to preserve marine ecosystems' long-term well-being and productivity. This may be accomplished by adopting laws that encourage the creation of renewable energy sources, decreasing ocean plastic waste, and using sustainable fishing methods.","plastic waste, and using sustainable fishing methods. Policy Implications: Governments must create policies that guarantee coastal areas receive the necessary infrastructure and services to promote social development and reduce poverty. This includes having access to sanitary conditions, medical treatment, and water. Policy Implications:
 Establishing policies supporting blue growth while assuring its sustainability and environmental friendliness is a task for economists and policymakers. This could be done by encouraging the growth of maritime infrastructure, renewable energy sources, and environmentally responsible fishing and tourism. All stakeholders, including coastal communities, smallscale fishermen, and indigenous peoples, must benefit from Blue Growth and sustainable ocean development; policymakers must achieve this. This may be accomplished by ensuring that these stakeholders' rights are upheld and that they participate in decision-making processes. Policy Implications:
 According to governments, the funding of blue growth and long-term ocean development must be sustainable. Promoting private sector investment, public-private partnerships and long-term debt financing are ways to do this. For the ocean to flourish sustainably, governments must encourage international collaboration. Along with other nations, this entails promoting sustainable fishing methods, lessening marine pollution, and creating new renewable energy sources. 6.2:
 Practical Implications Small-scale fisheries are crucial for achieving sustainable ocean development and promoting blue growth. Practical implications must be promoted to enhance their socio-economic status while ensuring the sustainable use of marine resources. Developing sustainable fishing practices is the top priority in maintaining marine ecosystems' long-term health and productivity. To avoid overfishing, small-scale fishers should avoid using harmful fishing gear and set size and catch limits. Encouraging community-based management can enable small-scale fishers to participate in decision-making processes and ensure their perspectives are considered. This can create a sense of ownership and responsibility, leading to effective marine resource management. Capacitybuilding programs, including training on sustainable fishing practices and adopting new technologies, can improve technical and entrepreneurial skills, resulting in better market opportunities and improved livelihoods. Additionally, providing infrastructure such as fishing harbors, markets, and storage facilities can enable small-scale fishers to access broader markets and reduce post-harvest losses, leading to increased income and improved socioeconomic conditions. Social Implications:
 Sustainable ocean development, blue justice and growth are essential for society and not for profit organizations. These concepts encourage individuals and organizations to take responsibility for protecting the marine ecosystem and promoting environmental awareness. Developing sustainable practices in marine activities can ensure the livelihoods of local communities and provide economic opportunities for society. Additionally, involving local communities and not-for-profit organizations in decision-making can enhance their role in promoting sustainable marine activities. This can lead to social development, cultural diversity and opportunities for marginalized groups. Therefore, it is crucial for society and not-for-profit organizations to recognize their responsibility in promoting sustainable ocean development and blue growth and collaborate to ensure the long-term health of marine ecosystems. Academic Implications:
 In order to advance blue justice, growth, and sustainable ocean development, academia, and research are essential. By performing research and analysis on the condition of the marine environment and the effects of human activity on marine ecosystems, they may help design policies and practices supported by the best available scientific evidence. Academics and researchers may offer insights into the best strategies and solutions for advancing sustainable marine operations by researching the environmental, economic, and social elements driving ocean development. Sustainable ocean development and blue growth issues may be solved with creative ideas from academic and scientific collaboration."
"Aportaciones y lagunas de la política marítima integrada para atajar la vulnerabilidad de los mares y océanos frente al avance del crecimiento azul.","https://scispace.com/paper/aportaciones-y-lagunas-de-la-politica-maritima-integrada-10kzn0bd59","2021","Journal Article","","Ana María Aldaz Casanova","10.6018/BIODERECHO.468111","https://scispace.com/pdf/aportaciones-y-lagunas-de-la-politica-maritima-integrada-10kzn0bd59.pdf","This paper addresses the integrated maritime policy designed by the European Union to compare it against the criteria of sustainability that the Union has self-imposed. The aim is to test its effectiveness and usefulness in achieving the imperative environmental quality objectives of the seas and oceans.","fabricación de medicinas y alimentos y acoge a los arrecifes de coral y a los manglares, claves para la protección a las costas y para la conservación de ciertos tipos de especies y vegetales . II. INICIATIVAS DE CRECIMIENTO AZUL Y POLÍTICA MARÍTIMA INTEGRADA EN LA UE:
 En este contexto en el que el medio marino constituye promesa de prosperidad económica y a la vez condición para la existencia en la tierra, la realidad es que nuestra forma de producir y de consumir y la manera en que nos hemos estado beneficiando de los recursos marinos ha terminado socavando su propia resiliencia, llevando a la naturaleza a su límite y poniendo en riesgo los mismos servicios y recursos que constituyen un eje básico de nuestro sustento. Existen evidencias de graves y en ocasiones irreparables pérdidas en el capital natural oceánico como consecuencia de un desarrollo económico exacerbado y no sostenible, que está erosionando las reservas de las que este mismo crecimiento depende  . Este estrés oceánico ha cristalizado en un efecto degenerativo en cascada que ha desembocado en el rápido declive de la biodiversidad marina, la degradación de hábitats, el incremento de la acidificación de los mares y océanos, la acumulación de basura y plásticos y el aumento de la temperatura del mar  ."
"Adding People to the Sea : Conceptualizing Social Sustainability in Maritime Spatial Planning","https://scispace.com/paper/adding-people-to-the-sea-conceptualizing-social-2xmal190sw","2019","Book Chapter","","Fred Saunders
Michael Gilek
Ralph Voma Tafon","10.1007/978-3-319-98696-8_8","https://scispace.com/pdf/adding-people-to-the-sea-conceptualizing-social-2xmal190sw.pdf","While there is growing critique emerging to address social sustainability in marine/maritime spatial planning (MSP), overwhelmingly attention has been on governance, economic and environmental aspects. This chapter redresses this by proposing a conceptual framework to elucidate key features of social sustainability in MSP. The ambition is to both note the existing critique of MSP and go beyond it by more clearly and comprehensively articulating how social sustainability could be conceived in MSP, as well as how this framework could be applied to analyse MSP practice. Key features of social sustainability elaborated are: deepening democratic decision-making, inclusion of socio-cultural values and knowledge, equitable distribution and social cohesion. Finally, the chapter concludes by nominating strategies to give greater visibility to social sustainability as a key MSP concern.","""economic"" interest . Referring to economic priorities purely as Blue Growth or even 'sustainable growth' (with environmental protection in mind) as an MSP goal fails to consider other economic-related factors, such as uneven distribution of wealth and access to resources. Introduction:
 sustainability have been implicated in creating a 'post-political' MSP . Post-political processes are those run by government, with a priori or fixed goals (sometimes not explicitly stated), that give the illusion of creating authentic spaces of public engagement, while limiting possibilities for meaningful debate and consequential action. This critique reflects growing concerns (most vocally among critical planning and social science scholars) that the stated ambitions of MSP are not being realized in practice. Among serious criticisms pointed at MSP are that it is largely devoid of social context , eschews meaningful inclusion of dissenting stakeholders , draws on limited (mostly) technical knowledge input , does little to address uneven power relations among stakeholders , is mostly concerned to give effect to a state agenda that privileges elite or powerful groups , and lacks meaningful consideration of the distribution of the cost and benefits of marine use . This omission of the social pillar across a range of issue areas has come under increasing scrutiny recently as commentators from different fields have urged for public governance to pay more attention (and give increasing priority) to redressing growing forms of inequality, rather than solely focusing on economic growth as the de facto socio-economic goal and measure of progress. 3  While MSP is often boosted as a promising means of pluralistic marine governance able to mediate tensions between competing values and interests to reach a 'common public interest' on how we are to use the sea, this recent burst of critical evaluation of MSP practice indicates that it is far from living up to these expectations. While the critical literature mentioned above provides us with insights into the shortfalls of MSP, little effort has been invested in how to meaningfully elaborate and incorporate social sustainable dimensions into MSP. Integral to understanding what social sustainability could/ should mean in MSP are questions over: what should the goals of MSP be, who should decide over access to marine resources, how should these decisions be made and who should benefit from them. This underlines a need to reconsider MSP in terms of social sustainability constitutively (what is the purpose 3 See  and  on general problems of growing inequality (between and within countries);  on degrowth and  and  for accounts of problems of exclusive pursuit of economic growth in MSP. Introduction:
 of MSP), procedurally (how should it be done) and substantively (what should be distributive outcomes of MSP). These insights suggest that recasting MSP to take greater account of social sustainability would necessitate greater social inclusion, redressing power inequalities and making trade-offs with substantive consideration to the equity of outcomes. This reflects a need to develop joined-up thinking on sustainability to consider the possibilities of addressing environmental concerns, while centring prospects for justice and equity through economic development . Introduction:
 The chapter is structured in the following way. First, we identify and discuss different features of social sustainability in MSP. Then we synthesize the social sustainability features discussed in the previous section into a conceptual approach that we propose to examine social sustainability in MSP. The chapter finishes by conjecturing on how the framework could be utilized to further lift the importance of engaging in social sustainability in MSP."
"Blue Economy, Blue Growth, Social Equity and Small-scale Fisheries: A Global and National Level Review","https://scispace.com/paper/blue-economy-blue-growth-social-equity-and-small-scale-f1omx1he","2023","Journal Article","Studies in social science research","Jewel Das","10.22158/sssr.v4n1p38","https://scispace.com/pdf/blue-economy-blue-growth-social-equity-and-small-scale-f1omx1he.pdf","One of the most promising economic arenas in the coming decades is the ocean and there are currently numerous initiatives to the ‘blue economy’ discourse that revolves around the argument that small-scale fishers’ livelihoods require greater attention. To synthesize current scientific knowledge and address prevailing research gaps surrounding this discourse, I conduct a scoping review of global literature on the blue economy, blue growth, social equity, and Small-Scale Fisheries (SSF) analyse different international policy papers and national-level blue economy plans. To explore the need for further research, this review focuses on how different aspects of the blue economy risks lead to inequity in the pursuit of ocean sustainability. Based on the initial content analysis, I identify evidence for undermining social equity and justice related to the ocean and find that social equity is often overlooked in national-level blue economy and blue growth initiatives. This overlooking leads to or accelerates processes of coastal and ocean grabbing, displacement, dispossession, and exclusion which strongly impact the livelihoods of marginalized coastal communities, particularly, small-scale fishers in various parts of the world. The collected evidence suggests that there is a missing link between international policy deliberations and national-level implementation plans in the blue economy context. Numerous studies claim that critical re-thinking of policies is required to ensure the sustainability of blue economy trajectories. Unchecked economic growth in the ocean as in other realms can reinforce inequities and unjust and inequitable resource distribution patterns. To pre-empt, mitigate, and resolve likely conflicts, deeper insights are needed to address the impacts of the blue economy and blue growth on coastal livelihoods. I suggest investigating the causes of conflict and further research on how governance responds to sustain small-scale fisheries while embracing the blue economy and blue growth agendas.","Title: Blue Economy, Blue Growth, Social Equity and Small-scale Fisheries: A Global and National Level Review Authors: Jewel Das Keywords: blue economy, blue growth, equity, small-scale fisheries, conflicts"
"Opportunities to Use the Local Community’s Potential to Ensure Sustainable Regional Development in Latvia","https://scispace.com/paper/opportunities-to-use-the-local-communitys-potential-to-2ye3s0mya3","2023","Dissertation","","Edgars Pudzis","10.7250/9789934229824","https://scispace.compdf/opportunities-to-use-the-local-communitys-potential-to-2ye3s0mya3.pdf","The Doctoral Thesis is a set of scientific articles providing a summary of the author’s research. With the set of scientific articles, the author has substantiated the course of the research, the interconnection of separate articles, as well as the thematic unity and sequence of the research. Description of concepts such as village, community and smart village, have been analysed. The process of involving a local community is analysed, with examples of successful involvement of the community, as well as the village development assessment indicators are developed. Also, a proposal for the local territory/community development planning model has been created in this paper. ","for 2014-2020"", which envisages stimulating structural changes in the economy in favour of the production of goods and services with higher profitability, including increasing the role of industry, modernising industry and services, and diversifying the export basket. Research of Economic Development Resources of Coastal Areas:
 In Latvia, the report on the ""Development of a Smart Specialization Strategy"" has been developed in which it is defined that RIS3 envisages a purposeful focus of research and innovation resources on innovation priorities in the areas of knowledge specialisation where the country has comparative advantages or assets exist on the basis of which such advantages can be created. Research of Economic Development Resources of Coastal Areas:
 Latvia's smart specialisation strategy for promoting the balanced development of territories has set a priority which foresees the identification and specialisation of the existing resources of the territories, putting forward the prospective economic development opportunities and directions, including leading and prospective business directions in the municipal territories. Research of Economic Development Resources of Coastal Areas:
 The following areas of smart specialisation are identified in Latvia: Research of Economic Development Resources of Coastal Areas:
 • biomedicine, medical technology, biopharmacy and biotechnology; Research of Economic Development Resources of Coastal Areas:
 • smart materials and engineering technologies; Research of Economic Development Resources of Coastal Areas:
 • information and communication technologies . Blue Growth policy overview:
 Blue Growth is an integrated approach to stimulate the maritime economy, which, similar to the concept of smart specialisation, pays significant attention to innovation, the creation of new companies, a bottom-up approach and the development of value chains. Creating the so-called blue value networks requires: Blue Growth policy overview:
 • development of networking between suppliers and promoters; Blue Growth policy overview:
 • promotion of blue clusters and networks. Blue Growth policy overview:
 In 2014, the European Commission developed the Sustainable Blue Growth Agenda for the Baltic Sea Region, which provides a strategic approach to the use of existing marine and coastal resources based on the following pillars: Blue Growth policy overview:
 • consistent approach to innovation to increase sustainability; Blue Growth policy overview:
 • knowledge and skills, the development of clusters; Blue Growth policy overview:
 • financial access to maritime sectors. Blue Growth policy overview:
 Stimulation of the abovementioned activities can be initiated by the private sector. The following activities are expected from the public sector: Blue Growth policy overview:
 • competence development and knowledge sharing; Blue Growth policy overview:
 • the use of marine clusters for the promotion of smart specialisation; Blue Growth policy overview:
 • promotion of cross-border cooperation; Blue Growth policy overview:
 • promotion of cooperation ""Laboratories"". Blue Growth policy overview:
 The concept of blue growth has been developed by the European Commission (DG Mare) with the aim to exploit Europe's oceans and coastal areas for job creation and economic growth. Blue Growth policy overview:
 It is a way to innovate the development of marine activities that are often dependent on each other, which in turn relies on shared knowledge and infrastructure sharing. Blue Growth policy overview:
 The introduction of the concept is an essential innovation in the context of all sectors and cannot be implemented in the context of individual sectors. Blue Growth policy overview:
 In total, six blue growth functions are identified: Blue Growth policy overview:
 • maritime transport and shipbuilding; Blue Growth policy overview:
 • food, nutrition, health and ecosystem services; Blue Growth policy overview:
 • energy and raw materials; Blue Growth policy overview:
 • recreation, work and living;"
"Towards sustainable blue growth: Outline of the joint Baltic Sea and the North Sea research and innovation programme 2018-2023","https://scispace.com/paper/towards-sustainable-blue-growth-outline-of-the-joint-baltic-4m028hyiu5","2016","","","Andris Andrusaitis
David Cox
Antoine Dosdat
Kay Emeis
Joachim Harms
Maurice Heral
Peter Herrmann
Floor ten Hoopen
Simon Jennings
Kerstin Johannesson
Kaisa Kononen
Fritz Köster
Maria Laamanen
Tonny Niilonen
Markku Ollikainen
Laura Raaska
Bo Riemann
Maija Sirola
Josef Stuefer
Mats Svensson
Ulrich Wolf","","https://scispace.com/pdf/towards-sustainable-blue-growth-outline-of-the-joint-baltic-4m028hyiu5.pdf","General information State: Published Organisations: National Institute of Aquatic Resources, Institute Management, Aarhus University Contributors: Andrusaitis, A., Cox, D., Dosdat, A., Emeis, K., Harms, J., Heral, M., Herrmann, P., ten Hoopen, F., Jennings, S., Johannesson, K., Kononen, K., Köster, F., Laamanen, M., Niilonen, T., Ollikainen, M., Raaska, L., Riemann, B., Sirola, M., Stuefer, J., Svensson, M., Wolf, U. Number of pages: 59 Publication date: 2016","extend these over to various descriptors of the ecosystem state. Conceptual framework of linking the seas and societies: e impacts from measures may also be antagonistic, implying that there are trade-o s between di erent desired states depending on the measures chosen. Conceptual framework of linking the seas and societies:
 7 See e.g. www.stockholmresilience.org/21/research/researchprogrammes/planetary-boundaries.html e dra ing of the Marine Strategy Framework Directive's programme of measures, that are due in 2015, include gap analyses of existing measures as well as impact analyses of proposed new measures. ose analyses require thinking of DPSIR type of systems. So far the work has revealed that for many features of the marine environment and ecosystem services there is still a lack of quantitative understanding on the linkages between the factors of the DPSIR chain, i.e. systematic application of the DPSIR framework can potentially serve as a vigorous tool for identifying the critical knowledge needs. In the Baltic Sea region this quality of the DPSIR approach has already been very successfully used in formulating content of the BONUS strategic research agenda. Nevertheless, our capacity is still underdeveloped to address cumulative, synergistic or antagonistic impacts on marine ecosystems created by human pressures. Level of integration of socioeconomic valuations in such analyses and models is still insu cient. Future driving forces, pressures and societal responses:
 Neither Europe nor the countries in the Baltic Sea and North Sea are isolated from key global trends and challenges. Climate change is probably the greatest challenge that humankind has faced and there is an urgent need to reduce global carbon emissions. Secondly, the growth of world population still continues and will reach 9 billion by 2050. irdly, both increasing population and climate change challenge our ability to produce food for the increasing population. Finally, the need to eradicate poverty continues to be urgent requiring both political reforms and economic growth in less developed countries. It has been estimated that providing the western standard of living to the entire world population would increase resource use and pollution to entirely unsustainable levels. is stresses the need for fundamental changes in production and consumption patterns and technologies. Future driving forces, pressures and societal responses:
 e European Union strives currently to expedite the current slow economic growth and at the same time adjust to the needs for stringent climate mitigation policies. e economic strategy, as advocated by the United Nations, is to rely on green growth that sharply reduces carbon emissions, increases the use of renewable energy and other renewable resources together with a determinate stress on research and development and innovations to reduce costs and expand sustainable product space. e blue economy can have important role in this transformation. Future driving forces, pressures and societal responses:
 e European Union is a forerunner in developing climate mitigation policies and striving at the international agreement to curb greenhouse gas emissions. e EU has decided to reduce its CO 2 emissions by 80-90% relative to the 1990 level by 2050. e climate and energy policies of the EU have many implications to maritime industries and the marine environment."
"‘Re-grabbing’ marine resources: a blue degrowth agenda for the resurgence of small-scale fisheries in Malta","https://scispace.com/paper/re-grabbing-marine-resources-a-blue-degrowth-agenda-for-the-oakefw4wwv","2020","Journal Article","Sustainability Science","Alicia Said
Alicia Said
Douglas C. MacMillan","10.1007/S11625-019-00769-7","https://scispace.com/pdf/re-grabbing-marine-resources-a-blue-degrowth-agenda-for-the-oakefw4wwv.pdf","The era of blue growth, underpinned by neoliberal policy discourses, has been pervasive in the promulgation of European marine governance and policies in the past decade, with little or no regard for the sustainability of small-scale fisheries. In this paper, we engage with theoretical and empirical observations to reflect on how the promise of sustainable economic growth arising from the convergence of international conservation policies and the blue growth paradigm, has failed to materialise and caused huge social and economic inequities among local fishing communities and the catastrophic disruption of the socio-ecological system of fisheries. Drawing on various interventions in Malta, we illustrate how neoliberal policies, lauded and promoted as part of a national blue growth strategy, are suffocating and marginalising small-scale fishing

communities by concentrating fishing opportunities into fewer, larger corporate hands, and by a hegemonic anti-small scale fishing narrative that seeks to replace traditional fishing with the ‘darlings of the new blue economy’, aquaculture and coastal tourism. With artisanal-commercial fishing in Malta on the verge of extinction, we call for reversal of neo-liberal policy measures to re-create a more resilient and stable fisheries economy through specific blue degrowth measures including improved access to fisheries resources and markets, and the establishment of marine protected areas that recognize the value of small-scale fisheries to conservation. This could be achieved through equity-based governance systems, including improved profit distribution systems within community economies, that grant small-scale fisheries the possibility of re-institutionalizing their sector and promoting their existence and viability into the future. Ultimately, we demonstrate that through a blue economy roadmap for small-scale fisheries, small-islands states like Malta, can rescue an important component of their maritime traditions, and be better placed to reach the obligations set out within the United Nations sustainable development goals.","of globalisation are a threat to social sustainability . With a focus on capital efficiency and conservation ecology that does not recognise human dignity, culture and community wellbeing as policy objectives, fisheries and marine governance are crippling communities' ability to sustain themselves through resource starvation. The Blue Degrowth movement:
 Critiques of 'growth' have argued for a reconsideration of this growth model and a significant redirection of global development trajectories , such as the 'Degrowth' movement, an equity-driven downscaling of production and consumption, which gives more space for the role of collaborative or social economies that are not focused on mass capitalistic growth, with the aim of increasing human wellbeing, and improving ecological conditions . This concept has been recently extended to the marine realm with a proposition of a 'blue degrowth' agenda as an anti-thesis to the blue growth one . What this could mean in terms of fishing communities is not a downscaling of the activities of small-scale fisheries, but more of a system of diverse economies  where the small-scale sector can remain viable by having better access to fishing rights, and be protected by a system that ensures their survival, away from the current monopolistic system that channels profits to big industries. This could be achieved through fisheries governance which has the communities needs at the heart of the fishery management, such as the implementation of non-tradeable community-based quotas instead of ITQs , the implementation of marine protected areas with the needs of fishing communities in mind  and the creation of niche markets that give a breathing space to communities to flourish in the midst of capitalistic growth . The Blue Degrowth movement:
 In this article we argue that small-scale fisheries within a blue degrowth system could offer a ready-made solution to the problems fuelled by capitalistic growth including depletion of fish stocks, accumulation of wealth, wiping out of fishing communities, social breakdown and associated socio-ecological difficulties. In other words, degrowth offers a landscape where access to the commons is defined on equity, and where the economy 'rhymes' along the lines of prosperity that is not only calculated on growth through GDP and job creation (Martínez-Alier, 2012). It does not envisage a future with 'no growth for all', or a return to the past, 'but a mobilization of elements of the past into the present and future'  where the economies are more democratic and inclusive, support ecological thresholds and the wellbeing of society. So instead of focusing on efficiency and resilience through monetary returns and economic capital production, degrowth puts the social, ecological and economic dimensions on an equal platform with the aim of truly achieving what we mean by sustainable development . The Blue Degrowth movement:
 Despite being around for a number of decades, degrowth as a concept has not yet materialized in policy or practice  mostly due to the epistemological differences that create ambiguities of what it ought to achieve and how it should be implemented  and the lack of political will to halt the 'neoliberal efficiency' trend which seem to have taken over the fisheries and marine governance agenda ."
