"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Preliminary Material","https://scispace.com/paper/preliminary-material-2p4gmlb8","2022","Book Chapter","","","10.1163/9789004503410_001","https://scispace.com/pdf/preliminary-material-2p4gmlb8.pdf","","from a perspective of environmental aspects and human-nature relations. In recent times, the focus was widened by incorporating issues of off-shore extraction, aquaculture, and marine tourism (Hannigan 2017, p. 12pp.). Introduction to This Volume:
 Maritime spaces are socially constructed by humans and refer to seas and islands, coasts, port cities and villages, as well as ships, and submarines, to mention only some of them. Social interaction with the maritime environment as well as other living beings, e.g. in a symbolic, cultural or economic manner, has led to the emergence of spatial structures which have an impact on the knowledge, beliefs, meanings and interpretation and obstinately patterns, which shape the mutual expectation of human beings, and which form the perception, imagination, or memory of inhabitants of maritime spaces. These spatial structures of the maritime enable or restrict human action, construct people's everyday life, their norms and values, and are changeable through (in relation to dominant maritime discourses deviant) behaviour. As Lefèbvre points out, ""(social) space is a (social) product"" (1991, p. 30). According to him, one can differentiate between physical, material, or natural space and social space. Whereas the physical space concerns nature or cosmos in the sense of a background image, the social space makes reference to the sensually perceptible, imaginations and memories as a product of society producing an own specific space. Löw develops an understanding of space as relational arrangements of social goods and living beings at places . She uses the term 'social goods' to emphasise the material and symbolic na-ture of goods. Her main focus is on the production and reproduction of spatial structures as enabling and restricting arrangements and the processual modifiability of arrangements."
"Maritime Sociology in the Making","https://scispace.com/paper/maritime-sociology-in-the-making-2b3fq6zl","2022","Book Chapter","","","10.1163/9789004503410_002","https://scispace.com/pdf/maritime-sociology-in-the-making-2b3fq6zl.pdf","","1896-1897 Hamburg dockworkers' strike. A prominent scholar in this field, Norbert Elias, prepared fundamental work on the origins of marine professions (reconstructed by others on the basis of his scattered writings, it was published after his death) . 4:
 In an article from as early as 1981, Michael Poole wrote that the interest in social phenomena in the maritime milieu had been observed for over one hundred years. Furthermore, he argued that the analytical premises in this field of research are not sufficiently integrated with central sociological issues. He divided the main problems that maritime sociology addresses into seven categories: the concept of a social system; community and association; social action and culture; structure, differentiation and stratification; processes (including the patterns of recruitment and socialisation); change with an emphasis on the impact of technology; conflict and deviance ). Poole recalls that, according to , maritime sociology revolves around the use and exploitation of sea resources. In the final part of his article, Poole indicates directions for the development of maritime sociology, namely, including expanding interest in occupations with weaker connections to the sea (sea drilling platform workers or sea rescuers); widening the research on the background, education, professional careers, occupational mobility or work satisfaction of ship officers; enriching explanatory concepts with issues related to economic conditions, legal and governmental interference or technological changes; with regard to methodologies, he proposed to reach beyond limitations of approaches connected with the established theory . 4:
 A literature review conducted forty years later shows that, in light of empirical research, the category of people in the maritime professions should be recognised as the principal subject of maritime sociology. What should be particularly distinguished from this large-scale social and occupational category is studies on seafarers and fishers, their work and the social consequences of their work at sea. The category of people in the maritime professions seems to be fundamental to the development of maritime sociology. It, therefore, merits some attention. 4:
 Although studies on maritime professions did appear (in their beginnings, they were often concerned with the navy ), through the mid-1950s, the sociology of professions showed little interest in maritime occupations. Horobin explains that such a meagre interest in fishers was caused by a marginal share which fishery had in the national economy. This low economic importance of fishers was supposed to translate into a smaller number of sociological studies involving this, crucial for maritime sociology as it was, social and occupational category ). In the second half of the 1950s though, a higher level of interest in maritime professions was observed (mainly seafarers and fishers)."
"Socjologia marynistyczna w warunkach zmiany (nadzieje i kontrowersje)","https://scispace.com/paper/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe","2021","","","Robert B. Woźniak","","https://scispace.com/pdf/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe.pdf","","wychowawcze dokonują się także w określonej kulturze i cywilizacji, zlokalizowane są przestrzennie i czasowo w instytucjonalnym systemie wychowania. b) Potrzeby o charakterze badawczym i rozwojowym socjologii marynistycznej:
 • Problemy socjologii marynistycznej kultury. Analiza intensywności oddziaływań kultury w systemie pracy poszczególnych załóg pływających i na lądzie wskazuje na konieczność zdecydowanego zwiększenia morskich funkcji kulturotwórczych zarówno na statkach, jak i w innych instytucjach morskich  . Proces ten jest powolny i bardzo swoisty. Dawni chłopi i robotnicy przekształcili się w ludzi morza, lecz równocześnie kadra oficerska na statkach wyodrębniła się jako warstwa przodująca i tworzy elitę morską, którą charakteryzuje przede wszystkim kult wiedzy, wykształcenia i fachowości. Równocześnie jednak, szczególnie wśród załóg pokładowych, utrzymuje się dawna, tradycyjna kultura. Takie właśnie ukierunkowanie przemian i rozwoju morskiej polityki kulturalnej implikuje szereg założeń teoretycznych. Można je sformułować w kilku tezach wymagających weryfikacji badawczej: a) uznanie nierozerwalnego związku edukacji marynistycznej z polityką i ekonomią morską oraz kulturą ludzi morza; b) uznanie powszechnej edukacji morskiej narodu, niezbędnej do realizacji podstawowych wartości kultury morskiej, a zwłaszcza ochrony naturalnego środowiska życia człowieka; c) uznanie faktu, iż wraz z rozwojem gospodarki morskiej i kształtowaniem się nowej kategorii ludzi morza postępował rozwój kultury morskiej; d) tworząc nową kulturę, ludzie morza równocześnie rozwijali własne potrzeby i zainteresowania oraz tworzyli nowe instytucje kulturalne; e) kultura morska stanowi istotny czynnik integracji ludzi morza i ważną płaszczyznę współpracy międzynarodowej."
"Transforming workplaces in Polish Shipbuilding. A note on maritime sociology considering the Great Transformation of the sea industry","https://scispace.com/paper/transforming-workplaces-in-polish-shipbuilding-a-note-on-2owaffehbf","2016","","","Peter Wegenschimmel","","https://scispace.com/pdf/transforming-workplaces-in-polish-shipbuilding-a-note-on-2owaffehbf.pdf","","Title: Transforming workplaces in Polish Shipbuilding. A note on maritime sociology considering the Great Transformation of the sea industry Authors: Peter Wegenschimmel Keywords: shipyards, sea industry, maritime sociology"
"Współcześni polscy marynarze – kręgi izolacji.","https://scispace.com/paper/wspolczesni-polscy-marynarze-kregi-izolacji-2l788g5702","2014","","","Agnieszka Kołodziej-Durnaś","","https://scispace.com/pdf/wspolczesni-polscy-marynarze-kregi-izolacji-2l788g5702.pdf","","Title: P R Z E G L Ą D Z A C H O D N I O P O M O R S K I ROCZNIK XXIX (LVIII) ROK 2014 ZESZYT 4 Keywords: maritime sociology, seafarers, deep-sea vessels' crews, isolation Załogi statków dalekomorskich jako przedmiot badań socjologii morskiej:
 W socjologii morskiej załogi statków dalekomorskich od początku formowania się tej subdyscypliny stanowiły jedno z głównych zagadnień. Socjolodzy szczecińscy (ale też gdańscy czy poznańscy) badali nie tylko specyfikę pracy tzw. ludzi morza, czyli osób zatrudnionych w zawodach morskich (m.in. rybaków i marynarzy), ale także ich relacje rodzinne i towarzyskie na lądzie, systemy wartości, aspiracje, pragnienia itp. 1 Niejednokrotnie socjolodzy wypływali w rejs i za pomocą obserwacji uczestniczącej ukrytej poznawali wyjątkowy charakter środowiska pracy przedstawicieli tych kategorii zawodowych. Załogi statków dalekomorskich jako przedmiot badań socjologii morskiej:
 W okresie PRL-u szczególnym zainteresowaniem badaczy cieszyły się załogi statków rybackich -liczne i często obszerne opracowania tej tematyki znajdziemy w dorobku Ludwika Janiszewskiego, Jana Nikołajewa czy Bolesława Klepajczuka 2 . W okresie transformacji ustrojowej liczba polskich przedsiębiorstw 1 Por. np. W. Bryniewicz, Geneza i dzieje socjologii morskiej, Szczecin 2004, s. 47."
"Maritime Culture Degradation of Indonesian Society in Social Practice of Seafaring","https://scispace.com/paper/maritime-culture-degradation-of-indonesian-society-in-social-23hjxeul","2023","Journal Article","AURELIA: Jurnal Penelitian dan Pengabdian Masyarakat Indonesia","Aini Nahdlia Puspita
Widodo Widodo
Abdul Rivai Ras
Pujo Widodo
Herlina Juni Risma Saragih","10.57235/aurelia.v2i1.286","https://scispace.com/pdf/maritime-culture-degradation-of-indonesian-society-in-social-23hjxeul.pdf","Indonesia since a long time ago has been known as a nation whose maritime is very strong, such as the activities or practices of seafaring which were carried out by the ancestors of the Indonesian nation. However, the current problem is the degradation of maritime culture in the social practices of seafaring. The purpose of this research is to find out the factors that cause Indonesian people not to go to sea and the degradation of maritime culture that occurs in Indonesian society in the social practices of seafaring. The method used in this study is a qualitative descriptive method with data sources derived from relevant books or journals. The results of this study, namely (1) the factors that cause people not to go to sea are due to unstable social economy for fisherman, climate change and erratic weather, fuel oil (BBM) which is difficult to obtain for ships, the use of technology that is still old technology, and the quota-based fisheries policy; and (2) the current degradation of maritime culture in Indonesian society is the transition from fisherman to other professions, such as farmers, foreign ship crews, and Indonesian migrant workers.","Title: Maritime Culture Degradation of Indonesian Society in Social Practice of Seafaring Authors: Jurnal Penelitian,Dan Pengabdian,Masyarakat Indonesia,Aini Nahdlia Puspita (Corresponding Author),Abdul Rivai Ras,Pujo Widodo,Herlina Juni,Risma Saragih Keywords: Cultural Degradation, Maritime Society, Marine Social Practices"
"Determinanty więzi społecznej na statku – badania jakościowe wśród marynarzy","https://scispace.com/paper/determinanty-wiezi-spolecznej-na-statku-badania-jakosciowe-2st4m8b2an","2012","","","Arkadiusz Kołodziej
Agnieszka Kołodziej-Durnaś","","https://scispace.com/pdf/determinanty-wiezi-spolecznej-na-statku-badania-jakosciowe-2st4m8b2an.pdf","","staje si# zwyk!ym pracownikiem najemnym, a statek zwyk!ym i coraz mniej atrakcyjnym (tak'e w kontek""cie materialnym) miejscem pracy. Wnioski:
 Interesuj%ce by!oby odnie""5 wyniki szerszych bada& w""ród marynarzy do przemian wspó!czesnej pracy, organizacji i zarz%dzania w odniesieniu do ludzi wykonuj%cych swe zawody na l%dzie. Ju' jednak na podstawie tych cz%stkowych bada& mo'na zauwa'y5 ciekawe zjawisko kszta!towania si# ""rodowiska pracy na pok!adzie i to'samo""ci pracownika w""ród marynarzy. Otó' podczas gdy w profesjach ""l%dowych"", stacjonarnych, granice organizacji staj% si# p!ynne i zaj#cia zawodowe cz#sto coraz bardziej przenikaj% si# czy po prostu przeplataj% z zaj#ciami domowymi, rodzinnymi, prywatnymi, o tyle na statkach nast#puje jakby odwrotny proces. Marynarze staraj% si# stworzy5 namiastk# intymnej, prywatnej przestrzeni i atmosfery, do której niech#tnie dopuszczaj% innych. W czasach, gdy pracownik korporacji ma by5 elastyczny, kreatywny, a czasami $ rma wr#cz p!aci of the number of $ shing vessels, so for the purpose of this paper the research was carried out among the crew members of merchant deep-sea vessels. The research material consists mainly in unstructured interviews with a list of topics to be covered. Wnioski:
 One of the hypotheses which proved to be promising and worth exploring in further research is the one about the pervasiveness of modern technologies as carriers of entertainment and sources of communication and about their impact on the erosion of the bonds between the crew members. The research results may be the beginning of developing a theoretical frame of transformation of social bonds on a vessel in the perspective of action-network-theory (ANT)."
"Neke geopolitičke i geostrateške značajke svjetskog mora i Sredozemnog bazena","https://scispace.com/paper/neke-geopoliticke-i-geostrateske-znacajke-svjetskog-mora-i-tz3dkf1rfg","1971","","","Radovan Pavić","","https://scispace.com/pdf/neke-geopoliticke-i-geostrateske-znacajke-svjetskog-mora-i-tz3dkf1rfg.pdf","","nutrašnjosti (mongolski, turski), imali su manje z n a č e n j e od m l e t a č k o g , britanskog i drugih maritimnih gospodarskih i p o l i t i č k i h imperija. Nadalje, z n a č e n j e maritimizacije jasno se manifestira i u č i n j e n i c i da se o globalnim odnosima u svijetu moglo p o č e t i govoriti te k od vremena kada je pomorski promet povezao sve dijelove globusa, i vojno-poli- T ek • s pomorskim prometom i širenjem pre komorskih k ol onijalnih prostora moglo se, od sredine XIX. st., p o č e t i govoriti ne više samo o origi nalnoj nego i globalnoj geostrategiji. Daljnji proces maritimizacije, s p osebnim nag las kom na valorizaciju obalske zone (litorali-zacija}, nastavak je rano z a p o č e t o g trenda, koj>i postaje sve izrazitijimzato o tome sve više vode r a č u n a ne samo primorske zemlje nego i one s kontinentalnom lokacijom. Z n:
 Porast g eostrateškog z n a č e n j a svjetsk og m ora u o p ć e j a č a n j e p r o e e s a m i l i t a r i z a e i j e. Z n:
 Nekoliko navedenih napomena koje slijede imaju prvenstven o dvojaki karakter: pr v o, da pokažu da ć e , u n a t o č novoj eri pregov aranja i ulozi nesvr stanih u svijetu i izuzetnim p ostignutim uspjesima, u n a t o č pregovorima o razoružanju i s l i č n o , p r o e e s m i l i t ar i z a e i j e s v ij e t a b i t i n a s t a v l j e n , koju su izvršile SAD, došlo neposredno poslije najavljenih posjeta predsjednika Niksona NR Kini i SSSR-u, mirotvornog puta predsjednika Tita u SAD, Kanadu i V. Britaniju, i u vrijeme o p ć i h nada u eru pregovaranja; dr u g o, ove ć e napomene ukazai na č i n j e n i c u da ć e upravo svjetsko more biti ono poprište na kojem ć e se militarizacija svijeta i posebno manifestirati."
"Life like a swing: women’s perspectives of everyday life in czechoslovak seafarers’ families under state socialism","https://scispace.com/paper/life-like-a-swing-women-s-perspectives-of-everyday-life-in-56s2tw4h8f","2020","Journal Article","","Lenka Krátká","10.26774/WRHM.246","https://scispace.com/pdf/life-like-a-swing-women-s-perspectives-of-everyday-life-in-56s2tw4h8f.pdf","Denying free travel abroad and back to one’s homeland represented an integral part of the communist regime’s authoritarian control in socialist Czechoslovakia. In this context, people who were allowed to travel abroad were in a privileged position. Paper concentrates on the experiences of people who “stayed at home”: the partners and children of workers who were able to travel and work abroad. The analysis of interviews with seafarers’ wives show a strong reproduction of gender stereotypes in these families. This fact is questioned very little by both men and women, because in the seafarer’s profession provided these families with a specific sort of luxury and uniqueness, bringing them considerable benefits that distinguished these people from the majority of the population.","abroad thanks to his profession. In addition, this frame offers an interesting comparative perspective with countries that do have an extensive maritime tradition. Poland is a good example here, because it was an important partner in the development of the Czechoslovak maritime transport. Introduction: Traveling Men and Women Staying at Home:
 In the context of the main research topic reflected here, I consider a comprehensive sociological study by Ludwik Janiszewski from 1976 to be very helpful and enriching.16 He describes and analyzes in depth the conditions of work and the family life of seafarers and sea fishermen. Finally, the author introduces some measures for improving the seafarers' family lives, such as the installation of telephone lines, the improvement of social services, etc. This research is unique because of its scope: it is based on observation, the study of both official and personal documents, the undertaking of surveys, and, especially, interviews with 448 couples representing 224 seafarers' families plus 376 couples (188 families) of fishermen; eventually, 865 children of seafarers and 412 children of fishermen were included in the project. The book thus provides reliable quantitative data on the issue of seafarers' family lives: loneliness, social isolation, a cyclic model of life, the deformation of fami-ly structures, problems with the upbringing children or the deprivation of sexual needs, and many others. Furthermore, I would like to mention Agnieszka Kołodziej-Durnaś, who follows a rich sociological research tradition in this area in the Polish context. She concentrates on seafarers and their psychical and emotional health, specifically ""the issues of isolation which are the result of several months' long stays on vessels in the ocean.""17"
"Degradasi kebudayaan maritim: sejarah, identitas, dan praktik sosial melaut di banten","https://scispace.com/paper/degradasi-kebudayaan-maritim-sejarah-identitas-dan-praktik-rkpytyce1r","2016","","","Amarulla Octavian
Bayu A Yulianto","10.14203/JMI.V40I2.115","https://scispace.com/pdf/degradasi-kebudayaan-maritim-sejarah-identitas-dan-praktik-rkpytyce1r.pdf","Kolonialisme dianggap sebagai tesis awal yang mengetengahkan meluruhnya kebudayaan maritim nusantara. Kendati demikian, dalam kerangka mengembalikan kebudayaan maritim itu sendiri, pertanyaan terkait representasi peluruhan itu di dalam masyarakat masih perlu dielaborasi lebih jauh. Artikel ini menyajikan proses peluruhan kebudayaan maritim di wilayah Banten, baik dari sisi historis maupun representasi dalam konteks praktik sosial melaut kekinian di masyarakat dalam perspektif sosiologi. Kata Kunci: Kebudayaan, maritim, sejarah, representasi, dan praktik sosial","yang meskipun tidak terdapat industri pembuatannya, semua kebutuhan terkait layanan perbaikan, suku cadang, dan sistem fi nansial dalam proses jual beli relatif lebih maju. PENUTUP:
 Dalam kenyataannya, praktik sosial melaut membutuhkan landasan pengetahuan mengenai laut dan melaut. Hal ini menyebabkan posisi kelompok identitas yang lebih paham mengenai laut, menjadi sangat krusial. Kendati demikian, hal ini berlaku hanya pada saat-saat awal ketika pengetahuan mengenai melaut masih sangat terbatas bagi masyarakat secara umum. Dalam perjalanan waktu, ada mekanisme sosial yang memungkinkan pengetahuan itu berjalan melintasi sekat-sekat identitas yang sebelumnya sudah terbentuk. Mekanisme sosial inilah yang membuat dominasi pengetahuan mengenai laut oleh satu kelompok identitas menjadi tidak relevan lagi. Mekanisme sosial ini pada prosesnya membentuk konteks dari posisi kelompok identitas dalam penyebarluasan praktik sosial melaut. PENUTUP:
 Pascakolonialisme, orientasi daratan men jadi sangat dominan sehingga menggerus kebu dayaan maritim di masyarakat. Kenyataan ini terus berlangsung bahkan sampai hari ini. Repre sentasi dari ketertinggalan kebudayaan maritim dari kebudayaan darat adalah posisi dari berbagai penanda modernisasi yang tidak terlalu menyentuh aspek-aspek kebudayaan masyarakat yang berkaitan dengan laut. Penanda modernisasi yang ditunjukkan oleh perkembangan yang amat pesat dari infrastruktur dan mode transportasi darat dalam kenyataannya tidak terjadi di laut. Hal inilah yang menjadi salah satu musabab keberlanjutan peluruhan kebudayaan maritim selain dari proses historis yang cukup panjang."
