"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Maritime Sociology in the Making","https://scispace.com/paper/maritime-sociology-in-the-making-2b3fq6zl","2022","Book Chapter","","","10.1163/9789004503410_002","https://scispace.com/pdf/maritime-sociology-in-the-making-2b3fq6zl.pdf","","1896-1897 Hamburg dockworkers' strike. A prominent scholar in this field, Norbert Elias, prepared fundamental work on the origins of marine professions (reconstructed by others on the basis of his scattered writings, it was published after his death) . 4:
 In an article from as early as 1981, Michael Poole wrote that the interest in social phenomena in the maritime milieu had been observed for over one hundred years. Furthermore, he argued that the analytical premises in this field of research are not sufficiently integrated with central sociological issues. He divided the main problems that maritime sociology addresses into seven categories: the concept of a social system; community and association; social action and culture; structure, differentiation and stratification; processes (including the patterns of recruitment and socialisation); change with an emphasis on the impact of technology; conflict and deviance ). Poole recalls that, according to , maritime sociology revolves around the use and exploitation of sea resources. In the final part of his article, Poole indicates directions for the development of maritime sociology, namely, including expanding interest in occupations with weaker connections to the sea (sea drilling platform workers or sea rescuers); widening the research on the background, education, professional careers, occupational mobility or work satisfaction of ship officers; enriching explanatory concepts with issues related to economic conditions, legal and governmental interference or technological changes; with regard to methodologies, he proposed to reach beyond limitations of approaches connected with the established theory . 4:
 A literature review conducted forty years later shows that, in light of empirical research, the category of people in the maritime professions should be recognised as the principal subject of maritime sociology. What should be particularly distinguished from this large-scale social and occupational category is studies on seafarers and fishers, their work and the social consequences of their work at sea. The category of people in the maritime professions seems to be fundamental to the development of maritime sociology. It, therefore, merits some attention. 4:
 Although studies on maritime professions did appear (in their beginnings, they were often concerned with the navy ), through the mid-1950s, the sociology of professions showed little interest in maritime occupations. Horobin explains that such a meagre interest in fishers was caused by a marginal share which fishery had in the national economy. This low economic importance of fishers was supposed to translate into a smaller number of sociological studies involving this, crucial for maritime sociology as it was, social and occupational category ). In the second half of the 1950s though, a higher level of interest in maritime professions was observed (mainly seafarers and fishers)."
"Preliminary Material","https://scispace.com/paper/preliminary-material-2p4gmlb8","2022","Book Chapter","","","10.1163/9789004503410_001","https://scispace.com/pdf/preliminary-material-2p4gmlb8.pdf","","governance aspects, sustainability, marine pollution and maritime economy. As a result of nearly 20 years of experience in this area, she is responsible for the Communication Design office of Grupo Lusófona, which includes more than a dozen institutions. Rute:
 Giacomo Orsini is a postdoctoral researcher of Ghent University where he coordinates the European Research Council (ERC) funded ChildMove project analysing the wellbeing of unaccompanied refugee minors transiting/settling in Libya, Italy, Greece, and Belgium. He also teaches courses on migration, race, ethnicity, and diversity politics at the Université Libre de Bruxelles. Since over a decade, he has conducted several studies on the functioning of the EU external border both on land and at sea, to analyse the effects that international migration and the governance of it produce on marginal, vulnerable individuals and communities. Nuno Cintra Torres (MBA) is a former high-level corporate executive and entrepreneur with diversified experience in print media, broadcast radio and TV, and pay-TV. Experienced political communicator, strategist, speechwriter, director of documentaries, and of winning political campaigns. He is an Integrated Researcher at CICANT, Lusófona University Lisbon, managing MuSEAum, the FCT funded project on museum branding, visitor experience, and digital communications xiii for audience development. Torres teaches management at the Film, TV and Sound faculties at Lusófona University Lisbon. He has been a member of EUfunded projects on entrepreneurship for film students and on museum audience development. Columnist and author of several books on TV and communications. His present focus is on museum management. Włodzimierz Karol:
 Günter Warsewa is Senior Researcher at the University of Bremen, Honorary Professor for Urban Sociology at the University of Applied Sciences Bremen and former Director of the Institute Labour and Economy in the University of Bremen, Germany. His research focus lies on urban and industral sociology, sustainability studies, institutional change and governance. Particular research interests are dedicated to the culture and transformation of port cities, conditions for social cohesion and sustainable working conditions. Introduction to the Book Series International Studies in Maritime Sociology:
 This is the first volume of the new book series International Studies in Maritime Sociology. We intend to present research on maritime topics including, but not limited to, the culture of maritime spaces, marine environmental issues and society, the sociology of the use of marine resources (e.g., fisheries and extractive industries), maritime migration routes, maritime policies, and marine and maritime tourism. We want to assemble perspectives from sociology and other social science disciplines on these topics to facilitate an interdisciplinary understanding of the relationship between the sea and society. Maritime sociology focusses on land and sea activities, avoiding the dichotomy between land and sea. For these phenomena,  proposed the sea as a third space. So far, the discipline has had no theoretical framework of its own but has found its identity merely in dealing with sociological subjects connected to the sea. Recently, however, various authors have called for this condition to be overcome through independent conceptualisation ."
"Transforming workplaces in Polish Shipbuilding. A note on maritime sociology considering the Great Transformation of the sea industry","https://scispace.com/paper/transforming-workplaces-in-polish-shipbuilding-a-note-on-2owaffehbf","2016","","","Peter Wegenschimmel","","https://scispace.com/pdf/transforming-workplaces-in-polish-shipbuilding-a-note-on-2owaffehbf.pdf","","Title: Transforming workplaces in Polish Shipbuilding. A note on maritime sociology considering the Great Transformation of the sea industry Authors: Peter Wegenschimmel Keywords: shipyards, sea industry, maritime sociology"
"Socjologia marynistyczna w warunkach zmiany (nadzieje i kontrowersje)","https://scispace.com/paper/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe","2021","","","Robert B. Woźniak","","https://scispace.com/pdf/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe.pdf","","systematycznych i rzetelnych badań naukowych nad tą rzeczywistością, uznania konieczności tworzenia ""całościowej"" wiedzy o ludziach morza. b) Potrzeby o charakterze badawczym i rozwojowym socjologii marynistycznej:
 Mapa współczesnej marynistyki coraz to bardziej powiększa swój obszar. Wielość płaszczyzn tego obszaru stanowi integralny element jej tożsamości i pogranicza, otwarcia na oscylację i transgresję. Wizja pogranicza na morzu przybierając postać uniwersalną, daje szansę nowego spojrzenia na siebie i kontakt z innością, staje się wyzwaniem cywilizacyjnym współczesnego świata, najczęściej dotykanego z innej strony przez ""pograniczników"" -ludzi morza. Specyfika otwarcia idei ""ku morzu"" daje szansę ukazania drogi do uprzedmiotowienia podstawowych kierunków badań socjologii morskiej. W związku z tym przyjmuje się założenie, że badać należy zarówno problemy jednostek, jak i więk-szych zbiorowości, procesów i instytucji, zawsze jednak w ich wzajemnym powiązaniu i rozwoju, w ich układach strukturalnych i wewnętrznych sprzecznościach. b) Potrzeby o charakterze badawczym i rozwojowym socjologii marynistycznej:
 Warto obecnie skrótowo przedstawić niektóre z tych kierunków: b) Potrzeby o charakterze badawczym i rozwojowym socjologii marynistycznej:
 • Badania zbiorowości społecznych zaliczonych do kategorii ""ludzi morza"". b) Potrzeby o charakterze badawczym i rozwojowym socjologii marynistycznej:
 Tworzą je zarówno jednostki i grupy społeczne bezpośrednio pracujące na morzu (np. marynarze i rybacy), jak też te, które zabezpieczają, organizują, kierują pracą na morzu i spełniają wobec niej szeroko rozumiane funkcje społeczne i usługowe 47 ."
"Współcześni polscy marynarze – kręgi izolacji.","https://scispace.com/paper/wspolczesni-polscy-marynarze-kregi-izolacji-2l788g5702","2014","","","Agnieszka Kołodziej-Durnaś","","https://scispace.com/pdf/wspolczesni-polscy-marynarze-kregi-izolacji-2l788g5702.pdf","","polskich przedsiębiorstw 1 Por. np. W. Bryniewicz, Geneza i dzieje socjologii morskiej, Szczecin 2004, s. 47. Załogi statków dalekomorskich jako przedmiot badań socjologii morskiej:
 2 Por. np. L. Janiszewski, Rybacy dalekomorscy. Studium socjologiczne, Poznań 1967; J. Nikołajew, Społeczne problemy zawodu rybaka dalekomorskiego, Szczecin 1986; B. Klepajczuk, Rodzina w systemie wartości rybaków dalekomorskich, ""Roczniki Socjologii  połowowych (oraz jednostek rybackich) i -co jest pośrednio tego konsekwencją -liczba polskich rybaków dalekomorskich znacznie spadła; ograniczone zostały także obszary połowowe 3 . W nieco mniejszej skali skurczyła się liczba przedsiębiorstw transportu morskiego i marynarzy tej floty. Część pracowników sektora floty handlowej i pasażerskiej znalazła zatrudnienie u zagranicznych armatorów, dlatego też obecnie przedmiotem większej liczby badań z zakresu socjologii morskiej są marynarze. Załogi statków dalekomorskich jako przedmiot badań socjologii morskiej:
 W latach 2011-2013 autorka wraz z Arkadiuszem Kołodziejem przeprowadziła badania jakościowe (dwadzieścia pogłębionych wywiadów) oraz badania ilościowe na próbie ponad dwustu marynarzy uczestniczących w szkoleniach w dwóch ośrodkach doskonalenia kadr w Szczecinie. Częściowe wyniki badań zostały już opublikowane 4 . Przedmiotem tego artykułu są te zagadnienia związane z izolacją, które nie były wcześniej analizowane ani publikowane. Wyłoniły się one w trakcie wywiadów pogłębionych."
"Life like a swing: women’s perspectives of everyday life in czechoslovak seafarers’ families under state socialism","https://scispace.com/paper/life-like-a-swing-women-s-perspectives-of-everyday-life-in-56s2tw4h8f","2020","Journal Article","","Lenka Krátká","10.26774/WRHM.246","https://scispace.com/pdf/life-like-a-swing-women-s-perspectives-of-everyday-life-in-56s2tw4h8f.pdf","Denying free travel abroad and back to one’s homeland represented an integral part of the communist regime’s authoritarian control in socialist Czechoslovakia. In this context, people who were allowed to travel abroad were in a privileged position. Paper concentrates on the experiences of people who “stayed at home”: the partners and children of workers who were able to travel and work abroad. The analysis of interviews with seafarers’ wives show a strong reproduction of gender stereotypes in these families. This fact is questioned very little by both men and women, because in the seafarer’s profession provided these families with a specific sort of luxury and uniqueness, bringing them considerable benefits that distinguished these people from the majority of the population.","abroad thanks to his profession. In addition, this frame offers an interesting comparative perspective with countries that do have an extensive maritime tradition. Poland is a good example here, because it was an important partner in the development of the Czechoslovak maritime transport. Introduction: Traveling Men and Women Staying at Home:
 In the context of the main research topic reflected here, I consider a comprehensive sociological study by Ludwik Janiszewski from 1976 to be very helpful and enriching.16 He describes and analyzes in depth the conditions of work and the family life of seafarers and sea fishermen. Finally, the author introduces some measures for improving the seafarers' family lives, such as the installation of telephone lines, the improvement of social services, etc. This research is unique because of its scope: it is based on observation, the study of both official and personal documents, the undertaking of surveys, and, especially, interviews with 448 couples representing 224 seafarers' families plus 376 couples (188 families) of fishermen; eventually, 865 children of seafarers and 412 children of fishermen were included in the project. The book thus provides reliable quantitative data on the issue of seafarers' family lives: loneliness, social isolation, a cyclic model of life, the deformation of fami-ly structures, problems with the upbringing children or the deprivation of sexual needs, and many others. Furthermore, I would like to mention Agnieszka Kołodziej-Durnaś, who follows a rich sociological research tradition in this area in the Polish context. She concentrates on seafarers and their psychical and emotional health, specifically ""the issues of isolation which are the result of several months' long stays on vessels in the ocean.""17"
"Determinanty więzi społecznej na statku – badania jakościowe wśród marynarzy","https://scispace.com/paper/determinanty-wiezi-spolecznej-na-statku-badania-jakosciowe-2st4m8b2an","2012","","","Arkadiusz Kołodziej
Agnieszka Kołodziej-Durnaś","","https://scispace.com/pdf/determinanty-wiezi-spolecznej-na-statku-badania-jakosciowe-2st4m8b2an.pdf","","problemów z jakimi borykaj% si# marynarze na statku dalekomorskim, otwiera tak'e drog# do ich skutecznego rozwi%zywania podczas rejsu. Wprowadzenie:
 Badania z zakresu socjologii morskiej nie s% niczym nowym (por. Bryniewicz, Ko!odziej-Durna"", . Nie oznacza to jednak, 'e dziedzina ta zosta!a badawczo w pe!ni wyeksploatowana. Dzisiejsza praca na morzu jest bowiem zupe!nie inna ni' ta sprzed kilkudziesi#ciu czy nawet dziesi#ciu lat. Fakt ten obrazowo przedstawia znane powiedzenie: ""dawniej ludzie byli z 'elaza a statki z drewna, dzisiaj jest odwrotnie"". Zmianom uleg!a struktura zatrudnienia (liczebno""5 poszczególnych kategorii ludzi morza ), presti' zawodów morskich, ekonomiczny wymiar statusu tych profesji (praca na morzu nie jest ju' tak atrakcyjna materialnie jak w czasach PRL-u), sposób organizacji pracy (zmniejszenie liczebno""ci za!ogi statku, d!ugo""5 rejsu), rola kapitana (dzisiaj w znacznej cz#""ci sprowadzona do wykonywania prac biurowych), sk!ad za!ogi (obecnie cz#sto s% to za!ogi wielonarodowe), dost#p do nowych technologii (a co za tym idzie, mo'liwo""5 utrzymywania kontaktu z bliskimi oraz dost#p do informacji) i wiele innych elementów tworz%cych ""wiat spo!eczny na statku."
"The Idea of Maritime Upbringing in Poland – the Tradition and Contemporary Manifestations","https://scispace.com/paper/the-idea-of-maritime-upbringing-in-poland-the-tradition-and-1ekz4w18lb","2017","Journal Article","","Agnieszka Kołodziej-Durnaś
Arkadiusz Kołodziej","10.18276/PZ.2017.4-08","https://scispace.com/pdf/the-idea-of-maritime-upbringing-in-poland-the-tradition-and-1ekz4w18lb.pdf","Maritime upbringing is the category used by maritime sociologists at least for half a century At first the authors take an attempt to reconstruct the idea of maritime upbringing which emerged after the Second World War Next they refer to the idea of maritime upbringing and education discussed during the transformation and then to the current understanding and ways of implementing it in Poland and abroad The authors conducted an introductory research project among Polish Westpomeranian teachers to find out about the scope, significance and forms of maritime upbringing realized these days in Polish
seaside areas They elaborate on the results concentrating on forms and goals of maritime upbringing as well as the prospects for the seaside region development","society to undertake major economic investments in the maritime sector , so the final goal is to have a strong state and economy based on maritime industry (among the children and youth today educated in maritime organizations there are future members of Polish central and local authorities). Times of Transition:
 The idea of maritime upbringing may be included in the wider notion of 'maritime thought' comprises economic, political, social aspects of semantic field of this notion, but also aspects of education and upbringing (also associated with Christian social thought -e.g. Maritime Thought Centre at the Catholic Association 'Civitas Christiana' in Szczecin, compare XIV Sejmik Morski 1998). Institutions and goals of maritime upbringing:
 Związek Harcerstwa Polskiego (Polish Scouts Association) and its Centre of Maritime Upbringing used to organize voyages by Zawisza Czarny -the biggest scouts' sailing boat in the world. During the cruise young people have opportunity to shape qualities needed to function in contemporary world -extreme emotions, great chance for co-operation, team-work, challenging tasks on board. All this results in great educational goals one may achieve in upbringing young people (mainly teenagers)  . Such camps on board were organized also on other vessels: e.g. 'Dar Pomorza' or 'Kościuszko'. This seems to be the most spectacular way of conducting maritime upbringing (but there were many other ones -see below). Such a voyage was also the most attractive form which supported and facilitated other forms of maritime upbringing constituting the reward for the most engaged young people. Institutions and goals of maritime upbringing:
 In many schools in the region of Pomerania and Western Pomerania an organization called Maritime League used to operate. Various programmes often supported by community authorities were pursued in primary and secondary schools (e.g. in Gryfice). Also the contest called 'Nautological Olympic Games' was conducted in many schools. Institutions and goals of maritime upbringing:
 Eugenia Mańkowska proves that maritime upbringing may be treated as one of the therapeutic forms . Centres of Maritime Leagues (but also National Defence League) not only provided places with maritime decoration for young children to play games and study together to contests, etc., but also took part in preparing programmes of social therapy, resocialization, various workshops. Institutions and goals of maritime upbringing:
 To conclude the understanding of the idea of maritime upbringing one may say that it was to perform at least a few functions: ideological (justification of Polish communist authority over regained seaside territories), educational (knowledge on the seaside region), economic (encouraging young people to plan their career in maritime professions), therapeutic and general upbringing (socialization) one -preparation to live in a society. Some remarks on understanding of the idea of maritime upbringing from foreign authors:
 Butzow 21 worked out a schedule to teach children at primary and secondary school about maritime heritage. The course included information on maritime history, The idea of maritime upbringing in Poland -the tradition... basics of sailing, data on ships and shipping, creating models of boats, singing sea chanties, playing board games, reading prose and poetry. Some remarks on understanding of the idea of maritime upbringing from foreign authors:
 Maritime upbringing and early maritime education may be the means to attract young people to maritime professions and this would be beneficial for economy as in this branch there is very low unemployment rate if any ."
"Maritime Culture Degradation of Indonesian Society in Social Practice of Seafaring","https://scispace.com/paper/maritime-culture-degradation-of-indonesian-society-in-social-23hjxeul","2023","Journal Article","AURELIA: Jurnal Penelitian dan Pengabdian Masyarakat Indonesia","Aini Nahdlia Puspita
Widodo Widodo
Abdul Rivai Ras
Pujo Widodo
Herlina Juni Risma Saragih","10.57235/aurelia.v2i1.286","https://scispace.com/pdf/maritime-culture-degradation-of-indonesian-society-in-social-23hjxeul.pdf","Indonesia since a long time ago has been known as a nation whose maritime is very strong, such as the activities or practices of seafaring which were carried out by the ancestors of the Indonesian nation. However, the current problem is the degradation of maritime culture in the social practices of seafaring. The purpose of this research is to find out the factors that cause Indonesian people not to go to sea and the degradation of maritime culture that occurs in Indonesian society in the social practices of seafaring. The method used in this study is a qualitative descriptive method with data sources derived from relevant books or journals. The results of this study, namely (1) the factors that cause people not to go to sea are due to unstable social economy for fisherman, climate change and erratic weather, fuel oil (BBM) which is difficult to obtain for ships, the use of technology that is still old technology, and the quota-based fisheries policy; and (2) the current degradation of maritime culture in Indonesian society is the transition from fisherman to other professions, such as farmers, foreign ship crews, and Indonesian migrant workers.","Title: Maritime Culture Degradation of Indonesian Society in Social Practice of Seafaring Authors: Jurnal Penelitian,Dan Pengabdian,Masyarakat Indonesia,Aini Nahdlia Puspita (Corresponding Author),Abdul Rivai Ras,Pujo Widodo,Herlina Juni,Risma Saragih Keywords: Cultural Degradation, Maritime Society, Marine Social Practices"
"Degradasi kebudayaan maritim: sejarah, identitas, dan praktik sosial melaut di banten","https://scispace.com/paper/degradasi-kebudayaan-maritim-sejarah-identitas-dan-praktik-rkpytyce1r","2016","","","Amarulla Octavian
Bayu A Yulianto","10.14203/JMI.V40I2.115","https://scispace.com/pdf/degradasi-kebudayaan-maritim-sejarah-identitas-dan-praktik-rkpytyce1r.pdf","Kolonialisme dianggap sebagai tesis awal yang mengetengahkan meluruhnya kebudayaan maritim nusantara. Kendati demikian, dalam kerangka mengembalikan kebudayaan maritim itu sendiri, pertanyaan terkait representasi peluruhan itu di dalam masyarakat masih perlu dielaborasi lebih jauh. Artikel ini menyajikan proses peluruhan kebudayaan maritim di wilayah Banten, baik dari sisi historis maupun representasi dalam konteks praktik sosial melaut kekinian di masyarakat dalam perspektif sosiologi. Kata Kunci: Kebudayaan, maritim, sejarah, representasi, dan praktik sosial","akar masalah dari degradasi kebudayaan maritim Indonesia, kita dapat memiliki basis pengetahuan yang cukup untuk membangun sistem pembangunan masyarakat maritim yang kontekstual dan strategis. Kebudayaan Maritim:
 Dalam perspektif elisionistik yang dimotori oleh Anthony Giddens ataupun Pierre Bourdieu, hubung an timbal balik tak henti antara individu dan strukturlah yang menjadi dasar dari realitas sosial yang muncul di dalam masya rakat. Menu rut mereka, pemisahan secara ketat antara perspektif fakta sosial dan interaksionisme simbolik dianggap kurang mumpuni untuk bisa menjelaskan masalah yang terjadi pada masa modernisasi lanjut seperti sekarang ini. Meminjam perspektif keduanya, kebudayaan bisa dimaknai sebagai satu arena sosial dalam sebuah tatanan sosial yang di dalamnya terjadi proses redefinisi dan restrukturisasi terus-menerus. Masyarakatlah yang melahirkan kebudayaan. Oleh karena itu, untuk memahami kebudayaan maritim, kita mesti memahami apa yang dimaksud dengan masyarakat maritim. Kebudayaan Maritim:
 Merujuk pada Janizewski (1991) dalam , masyarakat maritim merupakan representasi masyarakat lokal yang memiliki tipe sosial yang unik. Menurutnya, masyarakat maritim memiliki makna yang jauh lebih besar daripada masyarakat nelayan. Mereka bukan saja tinggal di tepi pantai dan mencari ikan di laut, tetapi juga memiliki norma serta obligasi sosial yang berangkat dari relasi panjang mereka dengan lautan. Kemudian, identitas mereka sebagai masyarakat maritim diperoleh melalui proses sosial berbagi pemaknaan dan pengalaman bersama dalam berhubungan dengan laut. Sementara itu , mempersoalkan sebuah kenyataan sosiologis tentang keragaman orientasi sosio-kultural masyarakat terhadap laut meskipun mereka memiliki kesempatan fi sik dan kebutuhan ekonomi yang sama. Menurutnya, tidak semua masyarakat yang tinggal dekat laut memiliki keterikatan yang kuat terhadap laut, termasuk dalam menentukan pembagian kerja di antara mereka.  menjelaskan bagaimana kebudayaan maritim bukanlah satu bentuk dominasi antara yang pesisir terhadap yang daratan. Kebudayaan maritim Nusantara diperkuat oleh proses tukar-menukar barang antara wilayah pesisir dan pedalaman. Meskipun dalam hal perdagangan antarpulau, pelaksanaan perhubungan memerlukan kemampuan berlayar, baik kemahiran membuat perahu atau kapal sebagai alat angkutan maupun pengetahuan navigasi untuk mencapai tujuan."
