"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Socjologia marynistyczna w warunkach zmiany (nadzieje i kontrowersje)","https://scispace.com/paper/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe","2021","","","Robert B. Woźniak","","https://scispace.com/pdf/socjologia-marynistyczna-w-warunkach-zmiany-nadzieje-i-1x8tkuspxe.pdf","","poszczególnych ludzi, którzy nawzajem interpretują swoje gesty, wyobrażenia o sobie oraz definiują w specyficzny sposób sytuacje, w których się znajdują. c) Teorie funkcjonalizmu socjologii marynistycznej:
 Nieco inne ujęcie tego problemu znajdujemy w funkcjonalizmie. Zagadnienie interakcji między jednostkami i grupami społecznymi nie jest możliwe bez określonego działania jednostek i grup społecznych. Nie można więc odrzucić funkcjonalizmu w naukowej analizie rzeczywistości morskiej. Funkcjonalizm stanowi orientację teoretyczną i metodologiczną w antropologii i socjologii, rozwiniętą na podłożu socjologicznym przez E. Durkheima  , T. Parsonsa 39 i R.K. Mertona 40 , a w antropologii przez B. Malinowskiego i A.R. Radcliffe'a-Browna. c) Teorie funkcjonalizmu socjologii marynistycznej:
 Twórcą funkcjonalizmu jest Herbert Spencer. W latach pięćdziesiątych kierunek ten dominował w socjologii, a obecnie jest jedną z kilku teorii obowiązujących w marynistyce. Teorie funkcjonalne ujmują rzeczywistość morską jako system wzajemnie ze sobą powiązanych struktur, ich elementów i cech oraz części. Składniki te, tak jak cały system i jego części, podlegają analizie zarówno w aspekcie działań pozytywnych, jak i negatywnych. W systemie bowiem (np. statku) każdy element czy też część uwikłany jest w relacje systemowe, niezależnie od kierunku powiązań wewnętrznych czy też zewnętrznych, przyczyniających się do równowagi systemu bądź zakłócających ten stan. Globalna działalność systemu jest zamierzona, rozpoznawalna i zrozumiała dla członków układu społecznego (np. załogi statku). Działania te mogą przybrać charakter dezorganizacji (zamierzonej lub nie zamierzonej), dającej poczucie bezsensowności wszelkich poczynań i zniechęcenie będące często źródłem agresji i frustracji; prowadzić mogą zarazem do nowych, bardziej skutecznych rozwiązań."
"Preliminary Material","https://scispace.com/paper/preliminary-material-2p4gmlb8","2022","Book Chapter","","","10.1163/9789004503410_001","https://scispace.com/pdf/preliminary-material-2p4gmlb8.pdf","","space. So far, the discipline has had no theoretical framework of its own but has found its identity merely in dealing with sociological subjects connected to the sea. Recently, however, various authors have called for this condition to be overcome through independent conceptualisation . Introduction to the Book Series International Studies in Maritime Sociology:
 John Hannigan (2017) identifies two predominant theoretical currents in maritime sociology, both of which, however, draw on theories from general, land-based sociology and apply them to the maritime domain. One of these is the approach of critical political economy, especially in a Marxist tradition. The questions posed by these research directions focus on how the capitalist mode of production interacts with the ocean, what role the ""maritime factor"" (Campling & Colás, 2021) plays in processes of capitalist societalisation and how capitalism, in turn, shapes the maritime space. The most recent example of this perspective is Liam Campling's and Alejandro Colás' (2021) publication on ""Capitalism and the Sea"". In their book, the authors ""[...] aim to demonstrate how capitalism has transformed the spatial relationship between land and sea in ways that has made them both increasingly interdependent and resolutely differentiated"" (ibid., p. 47). They make an attempt to overcome the dichotomy mentioned above by applying a terraqueous perspective, mediating between the terrestrial and the marine realm . Another strand of critical political economy approaches to maritime sociology deals mainly with envi-ronmental and sustainability issues, using social-ecological theories like e.g. social metabolic analysis . Introduction to the Book Series International Studies in Maritime Sociology:
 The 'aquatic/oceanic turn' , the 'blue economy' , and other captions associated with our global water reservoirs widely used in the process of shaping contemporary policies of major organisational actors in the global scene (UN agendas' resolutions, EU treaties) prove they are resources in the centre of our attention now. This awareness of the oceans is mostly rooted in the fact that they are still full of food and energy we need and not due to our special concern about sustainable development. Nevertheless, some currents of the social sciences and the humanities perceive maritime spaces in more and more divergent ways, considering them as metaphors of a boundary, bridge, way, track, or an actor itself which communicates its meanings and symbols to us, resembling the living, cytoplasmic ocean in Stanislaw  'Solaris' and its film adaptions by . In this sense, postmodernist (or poststructuralist) and posthumanist approaches constitute the other prevailing research direction on maritime sociology. Drawing on approaches like, among others, Actor-Network-Theory and the works of the feminist scholar Sandra Harding, they argue to overcome binary distinction like human/non-human, nature/culture, and sea/land. Accordingly, oceans can be conceptualised as phenomena partly constructed by humans and partly interweaving with social 'tissue' . Seas and oceans become actors co-creating our laws, actions, and thoughts (compare political ecology -Latour, 2004, sociopsychological grounds of cognition and revolutions in science -Fleck, 1939 followed by . Seung Kuk Kim (this volume), in a similar fashion, combining Western posthumanist approaches with East Asian classical thought, proposes an understanding of the ocean as hybrid instead of viewing it separately as a social or natural space."
"Maritime Sociology in the Making","https://scispace.com/paper/maritime-sociology-in-the-making-2b3fq6zl","2022","Book Chapter","","","10.1163/9789004503410_002","https://scispace.com/pdf/maritime-sociology-in-the-making-2b3fq6zl.pdf","","involving this, crucial for maritime sociology as it was, social and occupational category ). In the second half of the 1950s though, a higher level of interest in maritime professions was observed (mainly seafarers and fishers). 4:
 Apart from issues related to maritime professions (working conditions at sea, the status of people working in the maritime sector, recruitment models for these professions, maritime culture), there was a parallel development in reflections on the sea vessel treated as a social platform for nautical interactions . In this historical context, what is noteworthy is the 1958 article by Vilhelm Aubert and Oddvar Arner, ""On the Social Structure of the Ship."" In this work, the authors attempted to present a sociological vision of the ship by comparing it with a land-based workplace (a factory) ). What we have to deal with, here, is a conviction that studies concerning the reality of the sea must be based on ""classical models"" of sociology (relating to land). The comparison with the factory depicted in Aubert and Arner's article was to lead to distinguishing features peculiar to the sea finally. The land-related paradigm was to serve here both as a starting point and basis for distinguishing a new research field, which in this case was a different (nautical) organisation of work. 4:
 The practice of utilising ready-made (""land-related"") theoretical structures became a permanent feature of the maritime sociology research tradition. What became especially important in this context was Erving Goffman's concept of a total institution  including the critique on the application of the concept, e.g.  forthcoming. The ship is a kind of total institution identified (recognised) on land. Research on the sea vessel was also carried out with the use of categories of systems and structures . Thus, studies on seagoing vessels assumed a purely sociological theoretical framework borrowed in a way from the land. In the early period, the sea vessel studies (the 1960s and 1980s) were the ones with clearly theoretical embedding prevailing, and an entirely sociological character of the considerations under discussion. This approach is dissimilar to today's social studies on maritime issues (in the considered scope), in which a practical and interdisciplinary context of reflections is common."
"Transforming workplaces in Polish Shipbuilding. A note on maritime sociology considering the Great Transformation of the sea industry","https://scispace.com/paper/transforming-workplaces-in-polish-shipbuilding-a-note-on-2owaffehbf","2016","","","Peter Wegenschimmel","","https://scispace.com/pdf/transforming-workplaces-in-polish-shipbuilding-a-note-on-2owaffehbf.pdf","","Title: Transforming workplaces in Polish Shipbuilding. A note on maritime sociology considering the Great Transformation of the sea industry Authors: Peter Wegenschimmel Keywords: shipyards, sea industry, maritime sociology Shipyards in Maritime Sociology:
 The history of maritime sociology is closely linked to sociology of work from the beginning and it could be argued that the development of industrial sociology in the twentieth century was a constitutional element for the rise of maritime sociology. So does Wioleta Bryniewicz for the Polish tradition, which has been established in Polish People's Republic, emphasizing the work environment as a major interest of the authors of maritime sociology . Shipyards in Maritime Sociology:
 The broad definition that Poland's most important researcher Ludwik Janiszewski gives on maritime sociology consists of a socio-professional category of 'people of the sea' as somebody directly or indirectly employed at the sea industry, for example, sailors, fishermen, port pilots, shipyard workers or dockers . One can see clearly the employment basis of this definition for the core class of Polish maritime sociology. According to him, the scope of maritime sociology are socio-economic activities at the sea first, secondly interactions of sea conditions and human collectives involved directly or indirectly regarding the exploitation of the sea and thirdly people influencing each other during the work process on the sea. Finally, the influence of the sea on the nature and direction of human activity. Shipyards in Maritime Sociology:
 His successor Robert B. Woźniak sticks to the employment-based, broad understanding of 'people of the sea' that his professor in Szczecin suggested. He argues that the term 'people of the sea' covers the socio-professional categories related to the sea directly, is it as sailors and fishermen, or indirectly, such as shipbuilders or longshoremen. That is why Woźniak was the first to publish an extensive sociological study of shipyard workers in Poland analyzing attributes of the workforce, its work conditions, attitude and cultural models . I would like to argue that even in the broadest sense of the term 'people of the sea' this ideal type, applied as a research category implies a natural limitation for Polish maritime sociology. The limitation consists in the exclusive focus on cultural and existential features. Shipyards in Maritime Sociology:
 Polish maritime sociology is driven by the focus on the agency of workers and professional groups. In contrast, I would like to argue that maritime sociology cannot only investigate the fishermen  or shipyard workers  as it did before, but it could focus on the shop-floor, enterprises, and business level. Especially as Polish maritime sociology is challenged by the political economic transformation to approach the maritime industry from a more material side of organizational changes. Shipyards in Maritime Sociology:
 There is a famous historical example in Polish maritime sociology, namely Janiszewski's research on the state-owned deep-sea fishing enterprise ""Delfin"" in Świnoujście . In this case study, Janiszewski examines the business history of the enterprise, its organizational structure and labour relations. The interest in the organizational aspect of the shipyard is less common for the Polish maritime sociology. It just happened in the last years, forced by the restructuring and liquidation of Polish shipbuilding industry, that singular approaches are being presented ."
"Współcześni polscy marynarze – kręgi izolacji.","https://scispace.com/paper/wspolczesni-polscy-marynarze-kregi-izolacji-2l788g5702","2014","","","Agnieszka Kołodziej-Durnaś","","https://scispace.com/pdf/wspolczesni-polscy-marynarze-kregi-izolacji-2l788g5702.pdf","","polskich przedsiębiorstw 1 Por. np. W. Bryniewicz, Geneza i dzieje socjologii morskiej, Szczecin 2004, s. 47. Załogi statków dalekomorskich jako przedmiot badań socjologii morskiej:
 2 Por. np. L. Janiszewski, Rybacy dalekomorscy. Studium socjologiczne, Poznań 1967; J. Nikołajew, Społeczne problemy zawodu rybaka dalekomorskiego, Szczecin 1986; B. Klepajczuk, Rodzina w systemie wartości rybaków dalekomorskich, ""Roczniki Socjologii  połowowych (oraz jednostek rybackich) i -co jest pośrednio tego konsekwencją -liczba polskich rybaków dalekomorskich znacznie spadła; ograniczone zostały także obszary połowowe 3 . W nieco mniejszej skali skurczyła się liczba przedsiębiorstw transportu morskiego i marynarzy tej floty. Część pracowników sektora floty handlowej i pasażerskiej znalazła zatrudnienie u zagranicznych armatorów, dlatego też obecnie przedmiotem większej liczby badań z zakresu socjologii morskiej są marynarze. Załogi statków dalekomorskich jako przedmiot badań socjologii morskiej:
 W latach 2011-2013 autorka wraz z Arkadiuszem Kołodziejem przeprowadziła badania jakościowe (dwadzieścia pogłębionych wywiadów) oraz badania ilościowe na próbie ponad dwustu marynarzy uczestniczących w szkoleniach w dwóch ośrodkach doskonalenia kadr w Szczecinie. Częściowe wyniki badań zostały już opublikowane 4 . Przedmiotem tego artykułu są te zagadnienia związane z izolacją, które nie były wcześniej analizowane ani publikowane. Wyłoniły się one w trakcie wywiadów pogłębionych."
"Determinanty więzi społecznej na statku – badania jakościowe wśród marynarzy","https://scispace.com/paper/determinanty-wiezi-spolecznej-na-statku-badania-jakosciowe-2st4m8b2an","2012","","","Arkadiusz Kołodziej
Agnieszka Kołodziej-Durnaś","","https://scispace.com/pdf/determinanty-wiezi-spolecznej-na-statku-badania-jakosciowe-2st4m8b2an.pdf","","ich 'ycia na morzu rzucaj% ""wiat!o na funkcjonowanie wspó!czesnego spo!ecze&stwa, na typowe interakcje i problemy spo!eczne. Wprowadzenie:
 Poza uzyskaniem informacji istotnych dla opisu wspó!czesnego spo!ecze&stwa (a je""li nie opisu, to co najmniej zbioru heurystycznych wskazówek), badanie marynarzy wskazuje tak'e (tym razem bezpo""rednio) na wiele bie'%cych problemów tej kategorii zawodowej. Identy$ kacja i próba rozwi%zywania tych problemów nie jest mo'e tak istotna, z teoretycznego punktu widzenia, jak wspominana wcze""niej charakterystyka wspó!czesnego spo!ecze&stwa. Opis problemów z jakimi borykaj% si# marynarze ma jednak wa'ny praktyczny wymiar, który uwzgl#dniono w niniejszym artykule. Realizacja praktycznego celu bada& -identy$ kacja problemów z jakimi borykaj% si# marynarze na statku dalekomorskim, otwiera tak'e drog# do ich skutecznego rozwi%zywania podczas rejsu."
"Life like a swing: women’s perspectives of everyday life in czechoslovak seafarers’ families under state socialism","https://scispace.com/paper/life-like-a-swing-women-s-perspectives-of-everyday-life-in-56s2tw4h8f","2020","Journal Article","","Lenka Krátká","10.26774/WRHM.246","https://scispace.com/pdf/life-like-a-swing-women-s-perspectives-of-everyday-life-in-56s2tw4h8f.pdf","Denying free travel abroad and back to one’s homeland represented an integral part of the communist regime’s authoritarian control in socialist Czechoslovakia. In this context, people who were allowed to travel abroad were in a privileged position. Paper concentrates on the experiences of people who “stayed at home”: the partners and children of workers who were able to travel and work abroad. The analysis of interviews with seafarers’ wives show a strong reproduction of gender stereotypes in these families. This fact is questioned very little by both men and women, because in the seafarer’s profession provided these families with a specific sort of luxury and uniqueness, bringing them considerable benefits that distinguished these people from the majority of the population.","abroad thanks to his profession. In addition, this frame offers an interesting comparative perspective with countries that do have an extensive maritime tradition. Poland is a good example here, because it was an important partner in the development of the Czechoslovak maritime transport. Introduction: Traveling Men and Women Staying at Home:
 In the context of the main research topic reflected here, I consider a comprehensive sociological study by Ludwik Janiszewski from 1976 to be very helpful and enriching.16 He describes and analyzes in depth the conditions of work and the family life of seafarers and sea fishermen. Finally, the author introduces some measures for improving the seafarers' family lives, such as the installation of telephone lines, the improvement of social services, etc. This research is unique because of its scope: it is based on observation, the study of both official and personal documents, the undertaking of surveys, and, especially, interviews with 448 couples representing 224 seafarers' families plus 376 couples (188 families) of fishermen; eventually, 865 children of seafarers and 412 children of fishermen were included in the project. The book thus provides reliable quantitative data on the issue of seafarers' family lives: loneliness, social isolation, a cyclic model of life, the deformation of fami-ly structures, problems with the upbringing children or the deprivation of sexual needs, and many others. Furthermore, I would like to mention Agnieszka Kołodziej-Durnaś, who follows a rich sociological research tradition in this area in the Polish context. She concentrates on seafarers and their psychical and emotional health, specifically ""the issues of isolation which are the result of several months' long stays on vessels in the ocean.""17"
"Maritime Culture Degradation of Indonesian Society in Social Practice of Seafaring","https://scispace.com/paper/maritime-culture-degradation-of-indonesian-society-in-social-23hjxeul","2023","Journal Article","AURELIA: Jurnal Penelitian dan Pengabdian Masyarakat Indonesia","Aini Nahdlia Puspita
Widodo Widodo
Abdul Rivai Ras
Pujo Widodo
Herlina Juni Risma Saragih","10.57235/aurelia.v2i1.286","https://scispace.com/pdf/maritime-culture-degradation-of-indonesian-society-in-social-23hjxeul.pdf","Indonesia since a long time ago has been known as a nation whose maritime is very strong, such as the activities or practices of seafaring which were carried out by the ancestors of the Indonesian nation. However, the current problem is the degradation of maritime culture in the social practices of seafaring. The purpose of this research is to find out the factors that cause Indonesian people not to go to sea and the degradation of maritime culture that occurs in Indonesian society in the social practices of seafaring. The method used in this study is a qualitative descriptive method with data sources derived from relevant books or journals. The results of this study, namely (1) the factors that cause people not to go to sea are due to unstable social economy for fisherman, climate change and erratic weather, fuel oil (BBM) which is difficult to obtain for ships, the use of technology that is still old technology, and the quota-based fisheries policy; and (2) the current degradation of maritime culture in Indonesian society is the transition from fisherman to other professions, such as farmers, foreign ship crews, and Indonesian migrant workers.","RESULTS AND DISCUSSION: Indonesia is an archipelagic country that has very high potential in the maritime sector. As a maritime country, Indonesia has experienced social changes directly or indirectly. In this regard, social change occurs in the degraded maritime culture. Maritime Sociology:
 Sociology is a perspective or way of looking at social reality based on empirical observations in the field. Selo Soemardjan and Soelaiman Soemardi argue that sociology is related to social structures, social processes, and social changes . In relation to maritime sociology,  defines maritime sociology as a science that studies the relationship between maritime communities and the sea. Furthermore, in , Janiswewsky states that the subject of discussion in maritime sociology is the sociology of fishermans, sociology of maritime organizations, sociology of social processes of maritime character, and others. Furthermore, in , the realm of maritime sociology studies includes: (1) Sociology of seaman, seafarer, fisherman, and coastal communities; (2) Marine environmental sociology; (3) Sociology of development and the fishing industry; (4) Sociology of security in coastal areas, such as piracy, smuggling, geopolitical dynamics between countries and other security issues. Maritime Culture:
 Maritime culture is a culture developed in the ocean. According to Retno (2016),Maritime culture is a complex of ideas, ideas, knowledge, values, norms, rules related to the maritime sector and used as a guideline for economic, business, service and political behavior of individuals/groups of fishing and non-fishing communities to achieve their socio-economic interests in order to produce products. Maritime culture is a dynamic culture because it can change according to the situation on the ground. This was stated by Horck in (Dekker, 2018) defining martim culture ""...explains that culture is not a fixed entity, but that it is fluid and open for change"". Furthermore, Dekker (2018) describes the cultural process as follows."
"The Idea of Maritime Upbringing in Poland – the Tradition and Contemporary Manifestations","https://scispace.com/paper/the-idea-of-maritime-upbringing-in-poland-the-tradition-and-1ekz4w18lb","2017","Journal Article","","Agnieszka Kołodziej-Durnaś
Arkadiusz Kołodziej","10.18276/PZ.2017.4-08","https://scispace.com/pdf/the-idea-of-maritime-upbringing-in-poland-the-tradition-and-1ekz4w18lb.pdf","Maritime upbringing is the category used by maritime sociologists at least for half a century At first the authors take an attempt to reconstruct the idea of maritime upbringing which emerged after the Second World War Next they refer to the idea of maritime upbringing and education discussed during the transformation and then to the current understanding and ways of implementing it in Poland and abroad The authors conducted an introductory research project among Polish Westpomeranian teachers to find out about the scope, significance and forms of maritime upbringing realized these days in Polish
seaside areas They elaborate on the results concentrating on forms and goals of maritime upbringing as well as the prospects for the seaside region development","society to undertake major economic investments in the maritime sector , so the final goal is to have a strong state and economy based on maritime industry (among the children and youth today educated in maritime organizations there are future members of Polish central and local authorities). Times of Transition:
 The idea of maritime upbringing may be included in the wider notion of 'maritime thought' comprises economic, political, social aspects of semantic field of this notion, but also aspects of education and upbringing (also associated with Christian social thought -e.g. Maritime Thought Centre at the Catholic Association 'Civitas Christiana' in Szczecin, compare XIV Sejmik Morski 1998). Institutions and goals of maritime upbringing:
 Związek Harcerstwa Polskiego (Polish Scouts Association) and its Centre of Maritime Upbringing used to organize voyages by Zawisza Czarny -the biggest scouts' sailing boat in the world. During the cruise young people have opportunity to shape qualities needed to function in contemporary world -extreme emotions, great chance for co-operation, team-work, challenging tasks on board. All this results in great educational goals one may achieve in upbringing young people (mainly teenagers)  . Such camps on board were organized also on other vessels: e.g. 'Dar Pomorza' or 'Kościuszko'. This seems to be the most spectacular way of conducting maritime upbringing (but there were many other ones -see below). Such a voyage was also the most attractive form which supported and facilitated other forms of maritime upbringing constituting the reward for the most engaged young people. Institutions and goals of maritime upbringing:
 In many schools in the region of Pomerania and Western Pomerania an organization called Maritime League used to operate. Various programmes often supported by community authorities were pursued in primary and secondary schools (e.g. in Gryfice). Also the contest called 'Nautological Olympic Games' was conducted in many schools. Institutions and goals of maritime upbringing:
 Eugenia Mańkowska proves that maritime upbringing may be treated as one of the therapeutic forms . Centres of Maritime Leagues (but also National Defence League) not only provided places with maritime decoration for young children to play games and study together to contests, etc., but also took part in preparing programmes of social therapy, resocialization, various workshops. Institutions and goals of maritime upbringing:
 To conclude the understanding of the idea of maritime upbringing one may say that it was to perform at least a few functions: ideological (justification of Polish communist authority over regained seaside territories), educational (knowledge on the seaside region), economic (encouraging young people to plan their career in maritime professions), therapeutic and general upbringing (socialization) one -preparation to live in a society. Some remarks on understanding of the idea of maritime upbringing from foreign authors:
 Butzow 21 worked out a schedule to teach children at primary and secondary school about maritime heritage. The course included information on maritime history, The idea of maritime upbringing in Poland -the tradition... basics of sailing, data on ships and shipping, creating models of boats, singing sea chanties, playing board games, reading prose and poetry. Some remarks on understanding of the idea of maritime upbringing from foreign authors:
 Maritime upbringing and early maritime education may be the means to attract young people to maritime professions and this would be beneficial for economy as in this branch there is very low unemployment rate if any ."
"Congreso Internacional Marítimo: los factores de resilencia de las regiones marítimas en el mundo post-covid. Libro de actas, A Coruña, 5 y 6 de octubre de 2022","https://scispace.com/paper/congreso-internacional-maritimo-los-factores-de-resilencia-3kb9vkfh","2022","Book Chapter","","","10.17979/spudc.000014","https://scispace.com/pdf/congreso-internacional-maritimo-los-factores-de-resilencia-3kb9vkfh.pdf","","atraviesa actualmente. MARCO CONCEPTUAL. LA MARITIMIDAD, UNA TRAYECTORIA SOCIOTÉCNICA:
 El concepto de maritimización nació de los estudios históricos sobre la evolución de los transportes de la marina mercante.  distingue dos etapas, producto de esas transformaciones: la fase paleotécnica, antes de la I Guerra Mundial, en la cual las grandes potencias eran las que tenían y explotaban en sus países el carbón o el mineral de hierro, o ambos, por lo que tenía muy poco tráfico de personas y la capacidad de las flotas para lidiar con el enrutamiento de graneles era limitado; la fase neotécnica, en la Posguerra Mundial, cuando se diversifican las fuentes de energía y materias primas, se hace necesario tener acceso a los principales mercados mundiales libres de estas materias primas y se produce un giro marcado por el desarrollo y la expansión del libre comercio. MARCO CONCEPTUAL. LA MARITIMIDAD, UNA TRAYECTORIA SOCIOTÉCNICA:
 Se puede agregar en la actualidad una tercera fase. La contenerización y las actividades logísticas asociadas, cómo también todas las perspectivas abiertas por el desarrollo de los recursos marinos, renovables o no, intensifican la dependencia mundial de los espacios marítimos y dan lugar actualmente a una nueva dinámica de apropiación del mar y de los fondos oceánicos . Esta tercera fase, está sin lugar a duda caracterizada por la confrontación de esta industrialización de los espacios marinos con sus impactos ambientales . Maritimidad como grado de participación en la ordenación del territorio.:
 Al inicio, el concepto de maritimidad, traducido libremente del francés maritimité denota específicamente las relaciones de tipo complejo que se dan entre los puertos y sus ciudades. Se puede definir como las manifestaciones de participación (y por consecuencia, de influencia) del hecho portuario en la construcción y la ordenación de un territorio dado en el plano económico, social, político o cultural . Si la maritimidad es una noción relativa, y se aprecia hasta ahí según enfoques principalmente urbanísticos, arquitectónicos, culturales o patrimoniales , se puede buscar variables para medirla, y de ahí, evaluarla en distintos contextos. La maritimidad puede materializarse según varios tipos de descriptores (empleo, representación, gobernanza etc.…). Hemos elegido las variables más sencillas y accesibles: ocupación del suelo, dominio portuario, población (con la urbanización como consecuencia) y empleo. En los estudios geográficos de la relación puerto-ciudad o maritimidad, destaca el modelo propuesto por  y  -citado en )-, el cual distingue seis etapas en la evolución del desarrollo portuario y la ciudad."
