"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Towards a common trajectory of port labour systems in Europe? The case of the port of Antwerp","https://scispace.com/paper/towards-a-common-trajectory-of-port-labour-systems-in-europe-2nndb7hrsm","2020","Journal Article","Case studies on transport policy","A. Bottalico","10.1016/J.CSTP.2019.12.003","https://air.unimi.it/bitstream/2434/716677/2/1-s2.0-S2213624X1830333X-main.pdf","The purpose of this paper is to provide an analysis on the port labour system in Europe. The study aims at investigating the impact of the market players’ strategies along the maritime-logistics chain on port labour dynamics, stressing the role of the institutional constraints. The empirical findings gathered during the fieldwork in the port of Antwerp are presented and discussed. The paper shows how the strategic action of the main players along the maritime-logistics chain is modifying the port labour system analysed. The organizational model of labour in the port selected seems to be undermined by the institutional transition and the cutthroat competition along the entire logistics chain. The structure of the paper is as follows: After a critical appraisal of the literature review on port labour and the methodological approach used, in the second part the empirical findings are presented. The conclusions provide a summary and a reflection aimed at interpreting the ongoing, common changes of the port labour systems in Europe.","Title: Case Studies on Transport Policy Authors: Andrea Bottalico (Corresponding Author) Introduction:
 Scholars have addressed a variety of topics on port issues over the last decades. The maritime-economic literature shows how dynamics such as consolidation processes, increasing size of vessels, vertical integrations and shipping alliances have transformed the landscape, as well as the market structure . Introduction:
 Ports have been strongly influenced by these processes. In particular, scholars have underlined two major forces that affect the port sector: changes in organizational structures as a result of privatization or deregulation, and the efforts of shipping companies to control the whole logistics chain in order to leverage economies of scale . Introduction:
 The strategies of the main players along the maritime-logistics chain have increasingly affected the economic behaviour of the cargo handling companies, posing new challenges for the future of port labour systems and labour relations. On the other hands, gradual changing dynamics occur at the institutional level in the European ports. While the literature produced on the abovementioned processes has been consistent, scholars paid less attention on the extent to which these trends are altering the environment for terminals and port labour systems. Empirical research on port labour systems, on the behaviour of multinational cargo handling companies and the way they handle labour depending on the institutional frameworks within which they operate, is limited. With some exceptions, the existing literature on port labour is dominated by juridical disciplines, whereas the scientific debate on the maritime-port sector, predominantly economic, does not takes labour relations too much into account. Introduction:
 In recent decades, European ports have been integrated into broader supply chains and global production networks . The changes related to the intermodality have been observed by many scholars as resulting from the need to support economic globalisation . Ports have played a key role in this process, alongside the revolution in the logistics chain embodied by the development of the container and of intermodal transport. The variety of labour systems in key European ports is therefore influenced not only by the (institutional and economics) actors involved in the port segment, but also by the global actors operating along the entire logistics transport chain. The competition nowadays is in fact along the whole logistics chain, more and more integrated . Introduction:
 Since ports began to develop as nodes within global supply chains and production networks, this paper argues that the labour relations in European ports are currently under a common shifting process (e.g. gradual erosion of regulative assets via the European port policies, impact of market strategies on organizational aspects at workplace, increasing flexibility, etc.). These common changing dynamics that affect labour relations have to deal with the historical legacies of each port, but what really matter nowadays is the common trajectory that different cases share instead of the superficial differences among them. Introduction:
 The goal of the following paper is therefore to claim this ongoing convergence towards which the European port labour systems are going through the analysis of a single case integrated in global productive networks and embedded in a socio-institutional context. The paper aims at answering the following research questions: Are the labour systems of key European ports diverging or converging at the present time? What are the other key factors shaping these tendencies? Studying the working dynamics in ports can tell us something more general about the relative impact of global productive networks and national institutional constraints on local employment conditions."
"Maritime Sociology in the Making","https://scispace.com/paper/maritime-sociology-in-the-making-2b3fq6zl","2022","Book Chapter","","","10.1163/9789004503410_002","https://scispace.com/pdf/maritime-sociology-in-the-making-2b3fq6zl.pdf","","objective (spatial development of coastal areas) and subjective spheres (searching for a new maritime identity) . What is remarkable is that along with the loss of ""maritime identity,"" the engagement of the social sciences with port towns and cities is growing . The Subject of Maritime Sociology -beyond People Representing Maritime Professions:
 The change in the sea-port town/city relationship occurs in a broad social context. Ports receding from towns and cities means less opportunity for seafarers to rest when their ships call at ports for a stopover. Nevertheless, the necessity to redevelop wharves might be of benefit to residents themselves, who will gain access to new areas of towns and cities. Following these changes, port towns and cities have to redefine their weakened relation (their relationship) with the sea. In significant part, this process takes place in the symbolic sphere. Suitable cultural (including mass events) and educational events are to form a new maritime identity for a region and its inhabitants. Efforts to preserve the maritime character as a factor identifying the distinctiveness (differentiation) of a given region and shaping its specific nature and attractiveness constitute a thought-provoking subject for the social sciences (including sociology). The Subject of Maritime Sociology -beyond People Representing Maritime Professions:
 Another consideration linking the theme of social life with the marine environment is the importance which maritime transport has for the quality of life ashore. Currently, maritime transport constitutes roughly 90% of global transport . Access to cheap goods is possible due to complex processes of the centralisation and decentralisation of production . What is understood by centralisation is the ability to manufacture subassemblies on a large scale in one location. Decentralisation means the ability to assemble a final product from subassemblies obtained from various sources. Of key importance to both these processes is the low cost of transport. The potential of maritime transport, therefore, exceeds the simple ability to ship manufactured goods to customers cheaply. The Subject of Maritime Sociology -beyond People Representing Maritime Professions:
 The impact of work at sea (utilisation of the sea) therefore leads to extensive social consequences which also manifest themselves clearly in the cultural sphere. This does not mean, however, that land-related culture is becoming ""maritime culture."" Nevertheless, globalisation and the processes it entails cannot be fully comprehended without taking account of the role of the work performed by approximately 1.6 million seafarers and probably hundreds of thousands of people in other maritime professions (dock workers, logistics experts, shipyard workers)."
"Multi-scalar trade unionism: Lessons from maritime unions","https://scispace.com/paper/multi-scalar-trade-unionism-lessons-from-maritime-unions-18dmac39ne","2017","Journal Article","Relations Industrielles-industrial Relations","Peter Fairbrother
Victor Gekara","10.7202/1038524AR","https://scispace.com/pdf/multi-scalar-trade-unionism-lessons-from-maritime-unions-18dmac39ne.pdf","Union approaches in relation to the global recalibration of work and employment relations and practices over the last three decades are being worked out in practice. The question for unions is by which means they either have leverage or the potential to exercise power in relation to state and corporate decisions and strategies. Unions thus face challenging questions about the ways they organize, exercise their capacities and attempt to meet their purposes. With reference to the Australian maritime sector, the study examines the ways the main union, the Maritime Union of Australia, developed multi-scalar approaches to localized events. The problem unions face is to defend and advance workers’ interests. The task is to organize, to realize their capacities to defend and advance maritime workers’ interests, increasingly in multi-scalar ways.
 The argument is that leaderships and activity that ‘bridge’ scalar relationships are an important condition in this process. There appears to be a complex set of cross-connections between the local, the national and the international. While transnational connectivity increasingly defines contemporary forms of trade unionism, these scalar relations are defined in relation to the workplace, the everyday world, and by the ways that transport is a defining characteristic of the global world. These relations constitute contemporary class struggle where work and employment relations are always in a process of change and development. Trade unionism, thus, remains a collective expression of power relations, in an increasingly internationalized world of work and employment.
 Thus, this research presents important lessons for multi-scalar organization and campaigning by unions to realize their capacities and purpose. Nonetheless, this study is only a beginning. While it indicates the processes of bridging, the next step is to investigate the variety of ways that bridging may take place and with what outcomes for the development of multi-scalar activity.","distanced and often disconnected management or suffer parochial irrelevance . Increasingly, it is likely that unions will construct their approaches and focus, at the local, national and international levels, an approach that is termed ""complicated scalar practices"" . Debates:
 Nonetheless, the institutional and relational dimensions of transnational trade unionism play out in complex and contingent ways. Such analysis highlights the importance of continuing to re-examine the different dimensions involved in union renewal as an integrated process involving a dialectic whereby unions frequently reassess their organisation, their capacities and their purpose as collective actors . This observation draws attention to the role and place of leaders and activists in the process of addressing multi-scalar relations. The social network literature provides a clue as to how these matters may be addressed, especially in relation to the idea of 'bridging' theories . While the focus in such theories is on the ways that the intensity of relationships decrease as the movement is from the inner set of network relationships to outer ones, the value of the idea of 'bridging' networks is that it provides a view of linking relationships between union leaders / activists and others, within the same union, across levels and between unions. These propositions will be explored in relation to the ways in which unions organize, develop their capacities and frame their concerns to achieve set objectives. The questions are: What enables unions to address the complexity of multi-scalar practices and how might they do so? These questions are explored via an examination of the maritime industry in Australia, a prototypical case. context and methodology:
 To address these themes, the focus is on the unions that organize and operate in relation to ports, as the nodal hubs in global production and distribution, and as the sites of long-standing, often militant trade unionism, at local and transnational levels. It also examines the ways unions may follow workers (and union members) irrespective of the mobility of work and how both fixed and mobile workers may intersect. The research is predicated on the assumption that the local is both part of global relations as well as a distinct aspect of the global ; the task is to study globalization and the associated global relations via an examination of globally significant and interconnected yet local contexts, such as ports (see also . context and methodology:
 The maritime transport sector has been selected as emblematic of the processes of globalization. This industry is marked by a progressive integration of ports into the global trade routes. To explore these relations, the focus is on Australian ports because they sit at the edge of the main routes, are expanding, and are the site of long-standing active trade unionism, with strong and robust international associations. Thus, in effect, Australia may provide a litmus test about the ways unions may begin to address the industry changes that are in process in multi-scalar settings."
"Service-sector Guilds and the Challenge of Liberalization: The organization of maritime-cargo handling in Barcelona, c.1760-1840","https://scispace.com/paper/service-sector-guilds-and-the-challenge-of-liberalization-4vh2l43awq","2017","Dissertation","","Brendan J. von Briesen","","https://scispace.com/pdf/service-sector-guilds-and-the-challenge-of-liberalization-4vh2l43awq.pdf","Esta tesis tiene como objetivo elucidar el sub-sector del manejo de la carga maritima en Barcelona (1760-1840) para mejor entender la funcion de los gremios de servicios. En especial analiza como reaccionaron estos gremios al desarrollo progresivo del liberalismo, que represento un reto considerable al sistema gremial. De esta manera, la tesis contribuye a la historiografia de los estudios de gremios europeos y de la historia de trabajo en el ambito maritimo. Es notable que el objeto de estudio se encuentre como un outlier (o, caso atipico) en varios campos, ya que en los estudios de gremios hay poca atencion puesta en el sector de servicios, y en los estudios de trabajo maritimo hay muy pocas investigaciones sobre la epoca artesanal. A nivel de historia local, existen unas pocas publicaciones sobre los gremios tratados aqui, pero en su mayoria se enfocan en un solo gremio, desconectado del resto de componentes del universo del trabajo portuario. Entre los temas tratados se encuentran: el analisis del sistema gremial europeo en general y la diferenciacion de estos gremios de servicios; un acercamiento al entendimiento socio-espacial del puerto (con casos comparativos); la definicion socio-juridica y economica de los gremios tratados; el avance progresivo del liberalismo en Espana y particularmente en Barcelona; y las estrategias de los diferentes gremios del sub-sector del manejo de la carga maritima frente las reformas y aboliciones liberales del sistema gremial. Basado en literatura secundaria principalmente en castellano, catalan e ingles, y en fuentes primarias mayoritariamente en castellano, el tesis se presenta en ingles, con un resumen exhaustivo en castellano.","By the same measure, economic development was a highly localized affair as well. It seems quite evident that the maritime guilds followed similar trends of increasing specificity based on the economic development of their markets (as was common with secondary-sector guilds throughout Europe). Chapter Conclusions:
 The comparison between European ports suggests that the reasons for the composition of the guild universe were not specifically dependent on the cargo in question, but on traditions that developed over time. In some ports, the maritime porters were responsible for unloading vessels, in others, there were specific lightermen. Some port studies specifically note the presence of cartmen and common porters. The existence of maritime porters was universaland division of this trade into different guilds was not uncommon. The considerations included the specific goods in question, where they were unloaded or handled, whether or not they were imported or not, what their destination was, or what productive trade was involved. That is, it is impossible at this stage to create a predictive system or reach conclusions on the reasoning for the maritimecargo subsector throughout Europe. Chapter Conclusions:
 The existence of employment relationships within some of the porterage guilds was an important consideration. The fact that in some ports these relationships could be either formal (as in the case of London) or informal (in the case of Marseille), in Barcelona, these relationships did not develop in the maritime porters. The reasoning for this is impossible to state positively; however, it would seem as though cultural considerations beyond those created in the work sphere or guild life were responsible. Chapter Conclusions:
 Unfortunately, the port-studies encountered in this investigation focused mainly on maritime portersreferences to other trades were perfunctory at best. This underscores the academic need for more sector-based investigations in other European ports. Chapter Conclusions:
 While the question of national origin does not seem to have been a consideration in Barcelona,   the other ports studied demonstrated very different models. In some ports, imported workers were used to create competitive scenarios. In Genoa and Florence, workers were from another communitya specific one at thatand the ongoing relationship with their place of birth was important. In Cádiz, the workers were from another part of Spain (a mountainous region, as in Livorno)but I do not have enough information to determine whether they were solely from that area, or if they merely contributed to a larger pool of workers. In London, the use of foreigners (that is, men or women who were not free of the city) was a point of prohibition and conflict. In Barcelona, workers had to be residents of the areathere is no indication of foreign or alien workers. Chapter Conclusions:
 The labor panorama in the port area of Barcelona was complex, with three guilds dividing the privilege of unloading the vessels in the harbor, three guilds privileged with moving goods from the beach to the Customs House, and another guild that was responsible for moving goods from Barcelona to other points beyond the city. Additionally, there were common porters and common laborers who, without any privileges over maritime-cargo handling still competed with the responsible guilds from time to time."
"Governance of Arctic Shipping","https://scispace.com/paper/governance-of-arctic-shipping-2trdgjmoq0","2017","Book","","Robert Beckman
Tore Henriksen
Christine Dalaker Kraabel
Erik J. Molenaar
J. Ashley Roach","10.1163/9789004339385","https://scispace.com/pdf/governance-of-arctic-shipping-2trdgjmoq0.pdf","Governance of Arctic Shipping: Balancing Rights and Interests of Arctic States and User States examines potential cooperative mechanisms for balancing rights and interests of Arctic States and user States in light of experiences with Southeast Asian cooperative mechanisms.","seasonal baseline for ambient noise in Barrow Strait is calculated and compared against historical measurements. The chapter observes that there is a role for underwater acoustic modelling in marine spatial planning to enable quanti cation of the impact of seasonal noise from industrial activity. Structure:
 Shifting from maritime risk, the theme of Part B moves the discussion to 'The Human Dimension' through ve chapters with a focus on Indigenous peoples and maritime workers in Canadian Arctic waters. The rst two chapters consider Inuit conceptualizations and knowledge of Arctic spaces, which differ fundamentally from conceptualization for ocean policy, management and legal purposes and are key to decision-support systems in the region. In Chap. 7, Leah Beveridge discusses from seafarers, Part B concludes with Chap. 11, which looks at 'Insights from the History of Fishing Safety: Preparing for Increased Fisheries and Shipping in the Canadian Arctic', co-authored by  Fishing has always been one of the most hazardous industries, and in the harsh operating conditions of the Arctic, the dangers are exacerbated. The authors make a strong case to study the history of occupational health safety aspects of shing in subpolar and low-Arctic seas to anticipate and respond to the issues that can be expected to arise as shing activity moves deeper into Arctic waters. Structure:
 While various regulatory concerns are addressed in Parts A and B, Part C provides a more focused discussion on international standards for marine safety and vessel-source pollution in Arctic waters. Titled 'Regulating Shipping and Ocean Use', Part C consists of ve chapters focusing on the governance of shipping through the IMO, ship emissions, the Polar Code and heavy fuel oil and includes a discussion on marine spatial planning. Setting the stage for subsequent chapters, Chap. 12 is on 'The IMO Regulatory Framework for Arctic Shipping: Risk Perspectives and Goal-based Pathways' and is co-authored by Anish Hebbar, Jens-Uwe Schröder-Hinrichs, Maximo Q. Mejia Jr., Heike Deggim and Sascha Pristrom. As the competent international organization with respect to international shipping, the IMO adopts global standards for safety, security and environmental performance of shipping. The chapter discusses the organization's goal-based approach to regulation and the instruments relevant to Arctic shipping, including the Polar Code, and approaches to implementation by ag and coastal states as well as regional cooperation. The next two chapters concern un nished business in the regulation of the environmental aspects of polar shipping. Authored by Aldo Chircop, Chap. 13 is on 'The Regulation of Ship Emissions in Canadian Northwest Atlantic and Arctic Waters: Is there a Need for Consistency and Equity?' The author argues that while the Polar Code has raised standards for the prevention of vessel-source pollution, it stopped short of addressing the environmental impacts and public health concerns of ship emissions, including PM, SOx and NOx. The author argues for the designation of an emission control area in Canadian Arctic waters consistent with the standards applicable in the North American Emission Control Area. Chapter 14 concerns discussion to the national implementation of integrated ocean management pursuant to the regional policies and directives adopted by the European Union, focusing on the French approach and the challenges it faces in domesticating regional standards."
"The impact of changing market requirements on dock labour employment systems in northwest European seaports","https://scispace.com/paper/the-impact-of-changing-market-requirements-on-dock-labour-qcd3ssjv2v","2018","Journal Article","International Journal of Shipping and Transport Logistics","Theo Notteboom","10.1504/IJSTL.2018.10014642","https://scispace.com/pdf/the-impact-of-changing-market-requirements-on-dock-labour-qcd3ssjv2v.pdf","This paper contributes to existing dock labour literature by presenting a market-driven perspective on the organisation of dock work in light of changing market requirements. We conceptualise how changing market requirements affect the characteristics and the design of dock labour employment systems in seaports. The demand for a high dock labour performance is decomposed into three underlying dimensions: labour productivity, cost efficiency and more qualitative factors such as labour flexibility and service delivery. The internal organisation of dock labour takes place within a wider setting of legal and social conditions and the state of technology. Using the conceptual framework, we analyse how terminal operators try to meet changing market requirements through the deployment of new technology and advances in dock labour organisation. We provide empirical evidence by zooming in on the evolution of dock labour arrangements and employment systems in a number of northwest European ports.","technology and specific advances in dock labour organisation. The obtained insights on the relationships between market requirements, dock labour performance and dock labour arrangements and employment systems provide a labour-oriented contribution to extant literature on the changing role of ports and terminals in supply chains. Conclusions:
 The changing market requirements affect the characteristics and the design of dock labour employment systems in multiple ways. While the pace of change differs among northwest European ports, current market dynamics have opened discussions on and have led to changes in the legal status of the dock worker, the spatial and functional reach of the definition of dock work and the functioning of labour pools. There is a push towards more open and autonomous pool systems with back-up of temporary employment agencies. We observed a general tendency or push from the employers' side towards continuous working, flexible start times and variable shift lengths. Container terminal operators are opting more and more for permanent workers. In quite a few ports with a labour pool, the 'continuity rule' via the principle of 'repeat hiring' is gaining in importance. Such arrangements created quasi-permanent or semi-regular dockers. Northwest European ports continue to show a rather large variety in the way the respective labour systems deal with the composition of and flexibility within gangs or teams of dockers. An increasing number of labour pools are based on job qualifications, allowing a (casual) docker to be deployed for any dock work for which the right qualification(s) have been granted. Seaports with labour systems based on job categories are pushed towards higher degrees of labour mobility between categories or a system of job qualifications. Increasing labour performance is not only a matter of having dockers work harder but also to work smarter . Working smarter in a port context can be achieved by eliminating unnecessary tasks, developing a strong sense of teamwork, providing continuous training or giving workers more say about how to do their jobs and in problem solving. Psychosocial factors are a major source of performance improvements in the port sector. Conclusions:
 Our research supports the idea that terminal operators cannot only focus on hard economic issues when trying to improve labour performance. They also need to consider somewhat softer social aspects. The attention in this research for social dimensions such as motivation, commitment and the need for social dialogue does not contradict with the market-driven perspective developed in the paper. Market players need to consider these more social dimensions when aiming for a higher labour performance, as intrinsic motivators complement more extrinsic motivators (such as wages and bonuses)."
"World Port Institutions and Productivity: Roles of Ownership, Corporate Structure, and Inter-port Competition","https://scispace.com/paper/world-port-institutions-and-productivity-roles-of-ownership-14qvxsbecm","2007","","","SangHyun Cheon","","https://scispace.com/pdf/world-port-institutions-and-productivity-roles-of-ownership-14qvxsbecm.pdf","This dissertation conducts comprehensive analyses on global seaport institutions and port infrastructure productivity. It also examines the determinants of port output and the roles port institutions play in driving port infrastructure productivity. Specifically, the dissertation analyzes the roles of macro-, meso-, and micro-levels of institutional features of ports (inter-port competition, corporate structure, and port asset ownership practice). They are evaluated to understand why ports have become productive over the last decade and how those factors yield better opportunities for ports to prosper. While influences from external environments are still one of the important factors in shaping port efficiency, the roles of institutions play an increasingly important role, especially in the management of ports over the medium-long term. Furthermore, port efficiency has been shaped not only by macro-level market institutions (i.e. inter-port competition) but also by the capacity of port authorities to implement innovative institutional practices for port ownership and capital asset management. While port managing institutions maintain a close relationship with their own historical trajectories, global container ports in the contemporary era search for a strategic flexibility with institutional bindings to respond to external challenges and to overcome their limitations. This strategic flexibility can be partly achieved by “vertical unbundling” of container terminal operation functions from the government’s hand and by private sector participation for investment in port assets, i.e. concessions or leases – institutional bindings based on neoclassical contracts. From the view of regulators and policy makers, they should focus they policy making on environmental, safety, and customs regulations. They also need to create a competitive market to reduce oligopoly in the port sector by adopting diverse policy mechanisms. Given the competitive market structure, the business aspects of port operation can be better secured through diverse institutional mechanisms of private sector participation. From the view of planners in port authorities facing global competition, the capacity of strategic planning to increase strategic flexibility of ports based on medium- or long-term scenarios is essential to achieve this institutional flexibility, thereby contributing to a higher productivity level of leading ports. This is a critical time for port authorities, managers, and policy makers to understand that they have a choice in what roles to play with what kinds of policy tools under the global pressure and rapidly transforming environments.","Dissertation: While the ports in the peak of the mass production era might function for only one thing, the contemporary ports are viewed as integration of complex activities including manufacturing and logistics in order to buttress transcontinental cargo flows in the globalizing world. Organization of Dissertation:
 However, their perspective still does capture the critical role of ports that should not be undervalued, especially if the centricity of container handling activities among multiple port functions is fully respected in designing and evaluating productive ports. On the one hand, significant interest and task of ports are still directed toward efficient ""picking up"" and ""putting down."" On the other hand, the necessary functional conditions for the contemporary ports have become more and more complex and While internal port functions have become complex than ever, the roles of ports can be differently viewed based on the larger socioeconomic contexts and ideologies faced by ports.  reviews how previous studies have defined ports in terms of their roles and functions that are related to broader social contexts and economic impacts. It is useful to review his comprehensive typology in order to understand how ports face multiple, but sometimes, conflicting identities and roles in relation to various environments. 2 Hall categorizes previous port-related studies into three distinctive approaches that utilize the assumption about the concepts of ports and their functions: Organization of Dissertation:
 (a) ""cargo-based description of ports,"" (b) ""infrastructure-based description of ports,"" and (c) ""network-based description of ports."" Organization of Dissertation:
 In the perspective of ""ports as cargoes,"" ports are major economic enterprises that deal with cargoes traded, and hence creating substantial economic impacts on regional economy. The key roles of ports are thus to generate revenues, jobs, incomes, taxes, and multiplier effects over hinterland areas. The studies adopting this view implicitly and explicitly attempt to measure the economic impacts of port cargo handling activities on hinterland areas (e.g. ; The . Therefore, ports are conceptualized based mainly on such characteristics as: Organization of Dissertation:
 (a) cargo volumes; (b) cargo forms (e.g. liquid bulk; dry bulk; breakbulk; containers; roro); (c) modes of ocean carriage (e.g. tanker; tramp; liner); (d) direction and origin and destination of cargo movement; (e) end use of cargoes (e.g. production; consumption); and (f) degree of substitutability for shipping modes (e.g. ocean carriage; rail; airlines). Organization of Dissertation:
 In the studies that see ""ports as infrastructure,"" ports are a type of firms in search of optimizing their inputs and outputs for providing quality services to consumers and maximizing their returns. The efficient utilization of resources like physical capital, land, and labor are normative values under this view. The focus of this approach is placed upon examining how port services are influenced by qualities or quantities of port infrastructure (e.g. berths depth, terminals, cargo handling and managerial technology). It also examines port conditions created by the interface between terminal areas and other shipping systems. Organization of Dissertation:
 World Port Institutions and Productivity by S.  23"
"Determinantes industriais da solidariedade transnacional: política intersindical global em três setores","https://scispace.com/paper/determinantes-industriais-da-solidariedade-transnacional-3jbdzaf9xz","2014","Journal Article","","Mark Anner
Ian Greer
Marco Hauptmeier
Nathan Lillie
Nik Winchester","10.1590/S0103-40142014000200016","https://scispace.com/pdf/determinantes-industriais-da-solidariedade-transnacional-3jbdzaf9xz.pdf","This article compares forms of labour transnationalism in three industrial sectors: motor manufacturing, maritime shipping, and clothing and textile manufacturing. In each case, unions engage in very different transnational activities to reassert control over labour markets and competition. As institutions of transnational cooperation deepen, unions continue to struggle with competitive tensions (worker to worker and union to union) which vary from one industry to another.","resposta aos impactos negativos de um regime que permite armadores a exteriorizar sistematicamente muitos custos, por exemplo, transformando navios individuais em verdadeiras empresas offshore em países que oferecem bandeiras de conveniência . Transporte marítimo:
 Oportunidades políticas no nível setorial global são complementadas por oportunidades para que os sindicatos exerçam pressão direta sobre os empregadores, devido à interdependência das ligações de transporte. Apesar da complexidade da propriedade e registro de navios, os sindicatos ainda podem exercer pressão sobre os empregadores interrompendo o fluxo de carga. A ITF confia em ações industriais solidárias da parte de sindicatos de trabalhadores portuários, que podem parar a descarga de navios; isso une trabalhadores portuários à estratégia global da organização por meio de uma rede transnacional de sindicalistas, que monitoram os acordos coletivos e mobilizam ações contra os empregadores que não cumprem as regras do jogo. Transporte marítimo:
 Os marítimos, assim, desenvolveram padrões salariais globais por causa das oportunidades políticas oferecidas pela regulamentação pública e semipública mundial, e das grandes oportunidades para disputa industrial. Esse padrão é adequado para a criação de salários mínimos uniformes. Ao contrário do setor de vestuário, as campanhas transnacionais envolvidas uniram-se em uma estrutura global. Ao contrário da fabricação automotiva, a estrutura é definida por setores, não por empresas."
"Social dialogue in the process of structural adjustment and private sector participation in ports. A practical guidance manual","https://scispace.com/paper/social-dialogue-in-the-process-of-structural-adjustment-and-1ubxzy1xzy","2006","Book","","Peter Turnbull","","https://scispace.com/pdf/social-dialogue-in-the-process-of-structural-adjustment-and-1ubxzy1xzy.pdf","This accessible manual provides instruments to manage and facilitate processes of social dialogue in the world’s ports, targeting particularly those who are involved in, or are currently planning, major programmes of structural adjustment and private sector participation","Title: Social dialogue in the process of structural adjustment and private sector participation in ports: A practical guidance manual Authors: Peter Turnbull (Corresponding Author) List of tables Table 1:
 Public-private roles in port management Table 2:
 Systems of board-level employee representation in Europe Table  Company restructuring and employee participation rights in Europe Table 4:
 Examples of private sector participation Table 5:
 Forcing and fostering strategies for social dialogue List of figures:
 Social partners and other stakeholders in the port industry Figure 2:
 Organization of the private sector in the port of Antwerp Figure 3:
 The phases of social dialogue in ports Figure 4:
 Activities for planning social dialogue Figure 5:
 Activities for initiating social dialogue Figure 6:
 Initiating the Australian waterfront strategy Figure 7:
 Activities for implementing social dialogue Figure 8:
 Activities for monitoring and evaluating social dialogue Figure 9:
 Phases and activities of social dialogue in ports List of boxes Box 1 Forms of social dialogue xiii:
 Preface T he importance of the port industry for the economic development of countries cannot be overstated. During the last two decades the world has witnessed many developments in the organization of work in this industry, most of which are manifestations of the globalization of the transport sector. Worldwide terminal operators, increased private sector participation in all aspects of ports as well as the introduction of capital-intensive cargo handling techniques to obtain sustainable improvements in port operations have caused continuing and far-reaching changes in the port industry. List of boxes Box 1 Forms of social dialogue xiii:
 There is now a wide recognition that social dialogue between governments, employers and workers' representatives in the port industry is a prerequisite for effectively managing these and foreseeing future changes, and the corresponding structural reforms. List of boxes Box 1 Forms of social dialogue xiii:
 Port reform is a continual process that takes place at different rates and from different starting points according to circumstances. There is, therefore, no universal standard formula for port restructuring. Consequently, in order to ensure that the issues concerning structural adjustment in ports are effectively addressed in a transparent manner, the institutions and capacity for social dialogue between the parties concerned need to be in place and might need to be strengthened. List of boxes Box 1 Forms of social dialogue xiii:
 It is against this background that a Tripartite Meeting on Social and Labour Problems caused by Structural Adjustment in the Port Industry, which was held in Geneva from 20 to 24 May 1996, unanimously adopted a set of conclusions that, inter alia, called on the ILO to provide technical advisory services to ports that are undergoing structural adjustment. List of boxes Box 1 Forms of social dialogue xiii:
 The Sectoral Activities Department, therefore, commissioned this practical guidance manual. During its development, constructive consultations were held with employers' organizations (represented by the International Organization of Employers and the International Association of Ports and Harbours) and workers' organizations (represented by the International Confederation of Free Trade Unions and the International Transport Workers' Federation). List of boxes Box 1 Forms of social dialogue xiii:
 It is hoped that this publication will strengthen the capacity and institutions for social dialogue in the process of structural adjustment and private sector participation in ports in many countries and, in turn, assist in improving the efficiency and effectiveness of port operations, and the working conditions of port workers, thereby enhancing economic and social development."
"Union Networks and Global Unionism in Maritime Shipping","https://scispace.com/paper/union-networks-and-global-unionism-in-maritime-shipping-43bnkm7dtf","2005","Journal Article","Relations Industrielles-industrial Relations","Nathan Lillie","10.7202/011540AR","https://scispace.com/pdf/union-networks-and-global-unionism-in-maritime-shipping-43bnkm7dtf.pdf","Under the auspices of the International Transport Workers’ Federation’s (ITF) Flag of Convenience campaign, maritime unions have developed transnational global structures exploiting interdependencies in transportation production chains. The ITF, a London-based association of transport unions, connects the struggles of seafarers and port workers through a global strategy of union networking and coordinated industrial action. Seafaring unions draw on the industrial leverage of port workers to negotiate minimum standard pay agreements, while dock unions leverage the growing influence of the ITF in fighting union busting in ports. A global transnational ship inspector network provides the power basis for imposing collective agreements on shipowners. Although conceived as a resource for organizing seafarers, the inspectorate also provides port unions with leverage.","Title: Union Networks and Global Unionism in Maritime Shipping Réseaux syndicaux et syndicalisme international dans le transport maritime Redes sindicales y sindicalismo mundial en la navegación marítima Authors: Nathan Lillie"
