"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Love of Wide Open Waters. The Polish Maritime Programme according to the Baltic and Western Institutes in the Aftermath of the Second World War (1945–ca. 1950)","https://scispace.com/paper/love-of-wide-open-waters-the-polish-maritime-programme-1uhvydysd8","2018","Journal Article","Acta Poloniae Historica","Marta Grzechnik","10.12775/APH.2018.117.07","https://scispace.com/pdf/love-of-wide-open-waters-the-polish-maritime-programme-1uhvydysd8.pdf","This article analyses the Polish maritime programme after the Second World War, as expressed in scholarship of two main Polish research institutions: the Baltic Institute and the Western Institute. Given the considerable border changes at the end of the war, which incorporated a long coastline and three major ports on the Baltic Sea (Danzig/Gdansk, Stettin/Szczecin and Gdynia) into post-war Poland, the maritime programmes gained a new basis for operations in comparison to the interwar period, and thus had to be adapted accordingly. They contained both continuities and modifications: in ideological terms they were based on the prewar premises of Poland’s origins as a Baltic Sea country, and had a strong anti-German dimension. On the other hand, they were more pragmatic and concentrated on the organization of the maritime economy and education. Similarly as in the interwar period, they were also seen as a modernizing project: the maritime economy and education were supposed to connect the Polish nation with the whole world, and thus assure its equal status as part of the Western world.","The Polish maritime program after the Second World War, as expressed in scholarship of two main Polish research institutions: the Baltic Institute and the Western Institute as discussed by the authors, contained continuities and modifications: in ideological terms they were based on the prewar premises of Poland's origins as a Baltic Sea country, and had a strong anti-German dimension."
"Reorientacja Polski z „Kresów Wschodnich” na Bałtyk i morski kod nowoczesności w dyskursie polskim dwudziestolecia międzywojennego (ze szczególnym uwzględnieniem reportażu)","https://scispace.com/paper/reorientacja-polski-z-kresow-wschodnich-na-baltyk-i-morski-16z5e3ll5v","2024","Journal Article","","Jagoda Jagoda Wierzejska","10.31338/2657-599x.ph.2023-3.2","","The article provides an analysis of the Polish discourse concerning the phenomenon of Poland’s reorientation towards the Baltic Sea and an innovative ideological project of the “Maritime Poland” in the interwar period. Poland’s traditional geopolitical orientation used to be directed towards the East and South-East, primarily towards the lands of today’s Dnieper Ukraine, called in Polish the “Eastern Borderlands”. Such orientation had a colonial character, was ideologically rooted in Sarmatism and strongly stimulated by the Union of Lublin (1569). At the turn of the 20th century, an increasing number of Polish discourse’s manifestations started call- ing for revision of Poland’s traditional ties with that macro-region and its entanglement in conflicts that had led to the collapse of the Polish-Lithuanian Commonwealth. These voices pointed to the need to orient future Poland towards the Baltic Sea as a condition for Poland’s geopolitical and even national existence. The regaining of independence, together with access to the sea and the construction of the city and port of Gdynia gave a definite shape to Poland’s once hypothetical maritime orientation. This achievement was associated not only with the development of modern architecture, urban planning and the geopolitical configuration of the “New Europe”, but also with the development of the “Maritime Poland”, an ideological project which constituted a kind of “text” accompanying and stimulating the development of Gdynia. The text spoke, on the one hand, about the importance of the Baltic Sea for the Polish state and its economy, and on the other, about building a new cultural identity for Poland, a modern identity for its citizens and modernist values in individual and collective life. This article deals with the latter – cultural – aspect of the “Maritime Poland” project. The analysis is conduct- ed based on emanations of Polish discourse primarily in the period between 1918 and 1939, with a particular focus on discourse in the reportage genre.","Reorientacja Polski z „Kresów Wschodnich” na Bałtyk w dyskursie polskim dwudziestolecia międzywojennego była związana z odnową niezależności Polski i jej nowych możliwościami na Morzu."
"Morski wymiar polsko-radzieckiej współpracy wojskowej w latach 1945-1989","https://scispace.com/paper/morski-wymiar-polsko-radzieckiej-wspolpracy-wojskowej-w-3pous1aj","2023","Journal Article","Przegląd Wschodnioeuropejski","A. Drzewiecki","10.31648/pw.8461","","The term cooperation in reference to its Polish-Soviet dimension has few adherents today. The dominant terminology emphasizes our across-the-board dependence on the eastern ""partner""; many of those people write and speak of ""Soviet occupation"". I think it is a consequence of a certain historical policy, which, on the one hand, aims at obliterating the real image of the People's Republic of Poland in the memory of contemporary generations, and, on the other hand, takes recourse to a quite common opinion about the hostility of the USSR (also of the Russian Federation) in order to shape anti-Soviet and anti-Russian attitudes of Poles. The political and military reality of the years 1945-1989 was more complex, also in the area of the Polish-Soviet naval cooperation, and hence I intend to reflect on it in order to deepen its understanding beyond the known and oft-repeated political clichés.","The term cooperation in reference to its Polish-Soviet dimension has few adherents today as mentioned in this paper , which is a consequence of a certain historical policy, which, on the one hand, aims at obliterating the real image of the People's Republic of Poland in the memory of contemporary generations, and on the other hand, takes recourse to a quite common opinion about the hostility of the USSR (also of the Russian Federation) to shape anti-Soviet and anti-Russian attitudes of Poles."
"Prawo Morskie. Zarys Systemu.","https://scispace.com/paper/prawo-morskie-zarys-systemu-9uondg6frh","1975","Journal Article","American Journal of International Law","K. Grzybowski
Stanislaw Matysik","10.2307/2200664","","Prawo Morskie. Zarys Systemu (The Law of the Sea—An Outline of the System.) By Stanislaw Matysik. (Wroclaw, Warsaw, Crakow, Gdansk: Zaklad Narodowy Imienia Ossolinskich Wydawnictwo. Vol. 1. 1971. Pp. 367; Vol. II. 1973. Pp. 319.) In the interwar period Polish law of the sea consisted of Part Four of the German Code of Commerce which constituted the civil law of the sea, supplemented by various regulations dealing with the administration of maritime affairs and aiming at the protection and promotion of the Polish merchant marine. At that time, introducing new legislation in this field was far from pressing, due to the narrowness of the Polish coast and to the fact that Danzig, the main Polish port, was a Free City. After World War II, Poland's expansion to the West, its acquisition of a number of new seaports, and the significant expansion of the merchant marine and shipbuilding changed the perspective of the problem dramatically. Toward the end of 1961, a new Code of Maritime Commerce was adopted, creating a need for a new amended edition of Professor Matysik s earlier systematic treatment of the Polish law of the sea.","Morskie as discussed by the authors presented a systematic treatment of the Polish law of the sea, based on Part Four of the German Code of Commerce, supplemented by various regulations dealing with the administration of maritime affairs and aiming at the protection and promotion of Polish merchant marine."
"Zagrożenia i wyzwania składowymi bezpieczeństwa morskiego w ujęciu securitologicznym","https://scispace.com/paper/zagrozenia-i-wyzwania-skladowymi-bezpieczenstwa-morskiego-w-f7jla5izxnkt","","","","Janusz Świniarski","10.34813/24coll2022","","Inspiracją niniejszego tekstu jest próba zastosowania podejścia eksponowanego przez securitologię do krytycznej analizy stanu badań nad bezpieczeństwem morskim, z zamiarem wskazania „twardego rdzenia” programu tych badań. Jest to podejście osadzone na przeświadczeniu pitagorejczyków, że korzeniami i źródłem pełnej wiedzy jest czwórdzielność, wyrażana w „arcyczwórce” zwanej też tetraktys. Ta czwórdzielność przewija się z różną wyrazistością w dziejach myśli ludzkiej, która poszukuje wyjaśnienia i zrozumienia poznawanych rzeczy. Czwórpodział przejawia się w badaniach securitologicznych i prakseologicznych roz-różnieniem czterech metod sprawiania (czynienia) bezpieczeństwa oraz badaniach bezpieczeństwa jako fraktalnego systemu, w tym głównie czteroelementowego systemu społecznego. O ile system ten w argumentacji securitologii obejmuje socjomasę, socjoenergię i socjostrukturę oraz socjokulturę, to bezpieczeństwo morskie (przez analogię) można analizować jako takie, które złożone jest z takich podstawowych elementów, jak: hydromasa, hydroenergia i hydrostruktura oraz hydrokultura. Pierwszy wyrażany jest przez ilość i jakość ludzi związanych swą aktywnością życiową z morzem, drugi z osiąganymi przez nich efektami ekonomicznymi, trzeci z zorganizowaniem tych ludzi wyrażanym w regulacjach prawnych i czwarty – w preferowanych przez tych ludzi wartościach i motywacjach. Taka analiza zdaje się być atrakcyjną i bardziej zbliżoną do prawdy o bezpieczeństwie morskim jako instrumencie (przedmiocie) bezpieczeństwa morza (podmiotu).","This research applies securitology to critically analyze maritime security, identifying its core components through a fourfold approach, analogous to the tetraktys, comprising hydromasa, hydroenergia, hydrostruktura, and hydrokultura, to provide a more accurate understanding of maritime security."
"The Lifestyle of Merchant Seamen: a Sociological Analysis of Occupationally Induced Marginality.","https://scispace.com/paper/the-lifestyle-of-merchant-seamen-a-sociological-analysis-of-2ioyx4gf","2022","Dissertation","","","10.31390/gradschool_disstheses.3848","","Marginality is a theme which pervades the social existence of merchant seamen. Work takes place in a setting without long term personal commitments to job, to place, or to co-workers. On the beach, social relations tend toward the transitory, and where long term relations are established, the seaman is forced to partial participation. This research explores the influence of this occupation on social marginality and social integration of its members. Data were collected using a survey instrument from a sample of 251 seamen, both officers and crew. Factors determining variance in levels of alienation are examined, as well as the effects of life as a merchant seaman on family organization and community participation. Supplementary qualitative data from participant observation and depth interview are also used. A typology of the lifestyle adaptations and social identities of merchant seamen are developed. Implications of industry changes for the occupational lifestyle are discussed. ","This paper explored the influence of this occupation on social marginality and social integration of its members, and found that marginality is a theme which pervades the social existence of merchant seamen, and the effects of life as a merchant seaman on family organization and community participation."
"Rybacy dalekomorscy. Studium socjologiczne","https://scispace.com/paper/rybacy-dalekomorscy-studium-socjologiczne-1vt010ufoz","1967","","","Ludwik Janiszewski
urodzony w Otorowie
polski profesor zwyczajny
twórca Instytutu Socjologii na Uniwersytecie Szczecińskim i subdyscypliny socjologia morska
wiki","","","""Tematem niniejszej pracy jest problematyka rybakow dalekomorskich Pomorza Zachodniego. Przedmiotem bardziej szczegolowej analizy socjologicznej są rybacy trawlerowi i lugrotrawlerowi oraz ich postawy wobec wykonywanego zawodu."" (str. 11). ""Autorowi chodzilo o uzyskanie mozliwe wszechstronnej wiedzy o pierwszej generacji rybakow dalekomorskich na Pomorzu Zachodnim, o jej genezie i strukturze socjalnej."" (str. 13) Najpierw ukazano geneze spoleczno-historyczną zbiorowości rybakow dalekomorskich, nastepnie zaś opisano rozne czynniki ksztaltujące zachowanie rybakow, opisując nastepujące zagadnienia: struktura spoleczna rybakow, ich zycie rodzinne, polityka kadrowa floty rybackiej, motywy wyboru zawodu rybaka, warunki pracy i zarobki, identyfikacja z zawodem oraz struktura relacji i rol na statku rybackim.","In this article, a geneze spoleczno-historyczną zbiorowości rybakow dalekomorskich na Pomorzu Zachodnim, o jej genezie i strukturze socjalnej."
"Morskie i zamorskie podróże idei antropologii","https://scispace.com/paper/morskie-i-zamorskie-podroze-idei-antropologii-1shfnp3l7b","2014","Journal Article","","Danuta Ulicka","10.11649/SM.2014.001","https://scispace.com/pdf/morskie-i-zamorskie-podroze-idei-antropologii-1shfnp3l7b.pdf","The maritime and overseas journeys of the idea of anthropology This article discusses the very concept of anthropology, which was born at the end of 19th century, termed the “history of ideas”, and still exists in contemporary literary theory, especially as part of what is referred to as “spatial turn”. As with the similar concept proposed earlier by Ernst Curtius, it is focused on topics treated as the autonomous component of an anonymous, unpersonal, and in fact unhistorical discourse. On the contrary, the article tends to prove that travelling theories were always strongly connected with travelling theorists. In contrast, the author attempts to consider the interrelations between the two conceptions of anthropology: the philosophical and the linguistic, taking into account the material left in texts connected with the journey from Goteborg to New York by Roman Jakobson and Ernst Cassirer. The reconstruction of their possible discussions on board proves that the boundary between their projects, usually drawn in the history of culture, is weaker than could be supposed. Morskie i zamorskie podroze idei antropologii Artykul podejmuje dyskusje z koncepcją antropologii kulturowej wylonioną po tzw. zwrocie spacjalnym i skupioną na wedrowkach pojec. Ze wzgledu na depersonalizacje rozwazanego materialu wciąz mieści sie ona w modelu XIX-wiecznej jeszcze proweniencji, bliska historii idei i topice. Dyskusja zostala przeprowadzona na materiale nielicznych świadectw wiązących sie z podrozą morską z Europy do USA, a w istocie ucieczką przed kolejną falą nazizmu, podczas ktorej doszlo do przypadkowego spotkania Romana Jakobsona i Ernsta Cassirera. Rekonstrukcja ich mozliwych dialogow podczas pietnastu dni rejsu, wsparta na metodologicznej propozycji historii domyślnej wyprowadzonej z praktyki filologicznej Tadeusza Zielinskiego, pozwala odkryc silne związki miedzy ich projektami, a tym samym miedzy koncepcjami antropologii filozoficznej i antropologii lingwistycznej. Wylaniające sie ze świadectw tekstowych konwergencje podwazają rozgraniczanie obu tych modernistycznych projektow, zwykle dokonywane w historii dyscypliny. Pozwalają takze na reinterpretacje rozpowszechnionych ujec postawy profesjonalizmu uznawanej za typową dla uczonego nowoczesnego i utozsamianej z politycznym i spolecznym niezaangazowaniem.","In this paper, the authors consider the interrelations between the two conceptions of anthropology: the philosophical and the linguistic, taking into account the material left in texts connected with the journey from Goteborg to New York by Roman Jakobson and Ernst Cassirer."
"Infrastruktura żeglarska na europejskich wodach morskich: geneza, funkcje, struktura, topografia","https://scispace.com/paper/infrastruktura-zeglarska-na-europejskich-wodach-morskich-1xekj5i7b0","2017","Journal Article","","Leszek Butowski","10.18276/EPT.2017.2.38-02","https://scispace.com/pdf/infrastruktura-zeglarska-na-europejskich-wodach-morskich-1xekj5i7b0.pdf","Celem artykulu jest charakterystyka infrastruktury zeglarskiej funkcjonującej na europejskich wodach morskich. Zostala ona wykonana za pomocą metody typologicznej, ktora umozliwila wyroznienie glownych typow infrastruktury zeglarskiej ze wzgledu na geneze jej powstania, strukture rodzajową (i związany z nią zakres świadczonych uslug), pelnione funkcje (w obrebie uslug dla turystyki zeglarskiej), a takze uwarunkowania lokalizacyjne i topograficzne. Material analityczny zostal zebrany przez autora podczas ponad 20-letnich wedrowek zeglarskich po wielu morskich akwenach europejskich. Zostal on dodatkowo uzupelniony o informacje zawarte w literaturze przedmiotu, w tym w roznych wydawnictwach nautycznych przeznaczonych dla zeglarzy (glownie mapy, locje i specjalistyczne przewodniki zeglarskie). Dokonana w ten sposob systematyczna charakterystyka morskiej infrastruktury zeglarskiej stanowi uporządkowane kompendium wiedzy na temat sposobu zagospodarowania obszarow nadmorskich na potrzeby turystyki zeglarskiej w Europie. Moze ona ponadto byc punktem wyjścia do dalszych, bardziej szczegolowych analiz.","In this article, analityczny zostal zebrany przez autora podczas ponad 20-letnich wedrowek zeglarskich po wielu morskich akwenach europejskich."
"Morska Przestrzeń Turystyczna","https://scispace.com/paper/morska-przestrzen-turystyczna-yzkt88lxrcbo","","","","Leszek Butowski","10.18778/0867-5856.24.1.06","","Celem artykułu jest charakterystyka i wyjaśnienie procesów zmian zachodzących w obrębie akwenów morskich (wraz z bezpośrednio przylegającymi do nich strefami wybrzeży) jako obszarów spełniających kryteria współczesnej przestrzeni turystycznej. Przedstawiono ewolucję przestrzeni morskiej w kierunku wykształcenia się morskiej przestrzeni turystycznej, wyróżniono i scharakteryzowano typy morskiej przestrzeni turystycznej (w skali globalnej) ze względu na rodzaje turystyki żeglarskiej. Omówiono jej główne uwarunkowania geograficzno-strukturalne oraz formy zagospodarowania (ze szczególnym uwzględnieniem stref przybrzeżnych). W sensie przestrzennym analiza objęła także obszary nadmorskie, ale tylko jako tereny związane funkcjonalnie z akwenami morskimi. Całość analizy została przeprowadzona z perspektywy morskiej turystyki żeglarskiej.","This study characterizes and explains the evolution of marine spaces into tourist areas, identifying and describing global types of marine tourist spaces based on sailing tourism, and analyzing their geographical, structural, and spatial conditions."
