"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Maritime labour : contributions to the history of work at sea, 1500-2000","https://scispace.com/paper/maritime-labour-contributions-to-the-history-of-work-at-sea-2m1ybbhb99","2007","","","Richard Gorski","","","Maritime Labour - 2[-]Table of contents - 6[-]Introduction - 8[-]Six cross-sections of the Dutch maritime labour market: A preliminary reconstruction and its implications(1610-1850) - 14[-]On maritime labour and maritime labour markets in Germany, 1700-1900 - 44[-]Swedish naval personnel in the merchant marine and in foreign naval service in the eighteenth century - 62[-]Quantifying British seafarers, 1789-1828 - 84[-]'But for the loves of the fishes': Maritime labour and ecological culture in nineteenth-century Newfoundland - 106[-]The Shipping Federation and the free labour movement: A comparative study of waterfront and maritime industrial relations, c.1889-1891 - 130[-]Health and safety aboard British merchant ships: The case of first aid instruction, 1881-1908 - 156[-]British merchant marine engineer licensing, 1865-1925 - 186[-]Transatlantic fishers: New England and British trawlermen, 1960-1972 - 220[-]Masters and chiefs: Enabling globalization, 1975-1995 - 236[-]About the contributors - 259","In this article, a preliminary reconstruction of the Dutch maritime labour market and its implications is presented, along with a comparative study of waterfront and maritime industrial relations, c.1889-1891."
"Maritime Labour","https://scispace.com/paper/maritime-labour-8j1llwcsrmx3","","","","Frank Broeze","10.5949/liverpool/9780973007336.003.0008","","This chapter examines the social impact that containerisation - and the drastic topographical and economic changes to the shipping industry - had upon the livliehoods of maritime labourers. It explores the challenges and consequences of new technologies faced by labourers and maritime communities within the shipping industrythe drastic shifts in skillsets necessary for maritime labourers in order to keep up with technological development; and the reduction of labour force within the shipping industry. The chapter is divided into sections as follows: Seafarers; Flags of Convenience; Training; Down-sizing and Multi-skilling; Safety and Accidents at Sea; Port Workers; Decimation of the Work Force; Social Consequences of Containerism; Industrial Conflicts and Port Workers’ Unions; The International Transport Workers’ Federation; and Resugent Militancy and Political Protest. It concludes by suggesting the only way forward is to approach modernisation, globalisation, and privatisation with a humane outlook.","This chapter examines the social impact of containerisation on maritime labourers, exploring challenges, consequences, and drastic shifts in skillsets, labour force reduction, and social consequences, concluding with a need for a humane approach to modernisation and globalisation."
"The global seafarer: living and working conditions in a globalized industry","https://scispace.com/paper/the-global-seafarer-living-and-working-conditions-in-a-35s8fw3sld","2004","Book","","Tony Alderton
Michael Bloor
Erol Kahveci
Tony Lane
Helen Sampson
Michelle Thomas
Nik Winchester
Bin Wu
Minghua Zhao","","","This volume offers a systematic account of the effects of globalization on the shipping industry and seafarers' lives. The seafarers' labour market is changing rapidly and this study discusses the challenges encountered in recruitment practices, trade unions and collective bargaining, as well as training, certification and fraudulent certification. Wages, contracts, and tours of duty are also investigated, and the book includes in-depth treatment of seafarer safety and hazard exposure.

Innovations such as automated engine rooms and the global maritime distress and safety system, the internationalization of ship registrations, multinational crewing and reductions in crewing levels, and the rise in ship management companies have had a profound effect on seafarers' living and working conditions. This perceptive book examines these and future issues for regulation and enforcement.","In this article, a systematic account of the effects of globalization on the shipping industry and seafarers' lives is presented, including the challenges encountered in recruitment practices, trade unions and collective bargaining, as well as training, certification and fraudulent certification."
"The Other Car Workers: Work, Organisation and Technology in the Maritime Car Carrier Industry","https://scispace.com/paper/the-other-car-workers-work-organisation-and-technology-in-1bwl3reifl","2006","Book","","Erol Kahveci
Theo Nichols","","","About 60 million vehicles are produced each year, of which eight million are shipped by deep-sea and millions more by short-sea routes. This makes the maritime car carrier sector an integral part of car manufacturing's supply chain. Yet the sector has been entirely neglected by social scientists. Switching attention from the frequently researched car assembly-line worker, this book documents the dramatic new developments that have taken place in the industry both in production systems, technology, organisational infrastructure and not least, in terms of working life. It examines the maritime car carrier sector with respect to changes in cost structure and dynamics; in ownership, freight, labour and other markets; in technological innovation and ship design; and in relation to car manufacturers, ship management companies and crewing agents. Alongside a political economy of the industry, chapter and verse is provided on the work and lives of the seafarers who make up its global labour force, many of them from low-wage countries. It is seen that in terms of their work-life balance and in other respects they endure conditions that have no land-based equivalents.","In this article, the authors examine the maritime car carrier sector with respect to changes in cost structure and dynamics; in ownership, freight, labour and other markets; in technological innovation and ship design; and in relation to car manufacturers, ship management companies and crewing agents."
"The Other Car Workers: Work, Organisation and Technology in the Maritime Car Carrier Industry","https://scispace.com/paper/the-other-car-workers-work-organisation-and-technology-in-djhlcfu0ypnk","","","","E. Kahveci
T. Nichols","10.1177/030981680909800115","","About 60 million vehicles are produced each year, of which eight million are shipped by deep-sea and millions more by short-sea routes. This makes the maritime car carrier sector an integral part of car manufacturing's supply chain. Yet the sector has been entirely neglected by social scientists. Switching attention from the frequently researched car assembly-line worker, this book documents the dramatic new developments that have taken place in the industry both in production systems, technology, organisational infrastructure and not least, in terms of working life. It examines the maritime car carrier sector with respect to changes in cost structure and dynamics; in ownership, freight, labour and other markets; in technological innovation and ship design; and in relation to car manufacturers, ship management companies and crewing agents. Alongside a political economy of the industry, chapter and verse is provided on the work and lives of the seafarers who make up its global labour force, many of them from low-wage countries. It is seen that in terms of their work-life balance and in other respects they endure conditions that have no land-based equivalents.","This book examines the neglected maritime car carrier industry, documenting changes in production, technology, and working life, and highlighting the challenging conditions faced by seafarers, who endure unique work-life balance issues and low-wage conditions."
"The Lifestyle of Merchant Seamen: a Sociological Analysis of Occupationally Induced Marginality.","https://scispace.com/paper/the-lifestyle-of-merchant-seamen-a-sociological-analysis-of-2ioyx4gf","2022","Dissertation","","","10.31390/gradschool_disstheses.3848","","Marginality is a theme which pervades the social existence of merchant seamen. Work takes place in a setting without long term personal commitments to job, to place, or to co-workers. On the beach, social relations tend toward the transitory, and where long term relations are established, the seaman is forced to partial participation. This research explores the influence of this occupation on social marginality and social integration of its members. Data were collected using a survey instrument from a sample of 251 seamen, both officers and crew. Factors determining variance in levels of alienation are examined, as well as the effects of life as a merchant seaman on family organization and community participation. Supplementary qualitative data from participant observation and depth interview are also used. A typology of the lifestyle adaptations and social identities of merchant seamen are developed. Implications of industry changes for the occupational lifestyle are discussed. ","This paper explored the influence of this occupation on social marginality and social integration of its members, and found that marginality is a theme which pervades the social existence of merchant seamen, and the effects of life as a merchant seaman on family organization and community participation."
"The Seafarers' Urban World: A Critical Review:","https://scispace.com/paper/the-seafarers-urban-world-a-critical-review-3woeygji43","2013","Journal Article","The International Journal of Maritime History","Robert Lee","10.1177/084387141302500103","","This paper addresses some of the outstanding issues relating to our perception
of the seafarer’s urban world. It reassesses the stereotypical image of Jack
ashore, particularly in relation to drink and crime, as well as the perception
and experience of the urban environment; locates seafarers within their family,
kin and communal networks; explores the linkages between maritime and
shore-based employment; and analyzes the extent and significance of welfare
support in mediating the experience of the urban world. It also places the
analysis of the seafarer’s shore-based experiences within a wider conceptual
and methodological framework rather than accepting at face value the normative
accounts found in the work of some maritime historians and which continue
to mould and structure popular opinion.","In this paper, the authors address some of the outstanding issues relating to our perception of seafarers' urban world and place the seafarer's shore-based experiences within a wider conceptual and methodological framework rather than accepting at face value the normative account of some maritime historians."
"Occupational Behaviour and Commitment of Seamen","https://scispace.com/paper/occupational-behaviour-and-commitment-of-seamen-38msp3suzi","1975","Journal Article","Maritime Policy & Management","Bilha F. Mannheim
Eliezer Rosenstein","10.1080/03088837500000007","","(1975). Occupational Behaviour and Commitment of Seamen. Maritime Studies and Management: Vol. 3, No. 1, pp. 41-51.","In this paper, the authors discuss the Occupational Behaviour and Commitment of Seamen in the Maritime Studies and Management: Vol. 3, No. 1, pp. 41-51."
"Sociological Aspects of Seafarers? Life and Work and Management Styles in Shipping","https://scispace.com/paper/sociological-aspects-of-seafarers-life-and-work-and-2wploiyqtc","2015","Journal Article","International Journal of Economics and Management Sciences","Andrija NenadiÄ
Dra en JašiÄ
Aleks
ra KrajnoviÄ","10.4172/2162-6359.1000237","","This scientific paper provides a systematic analysis of sociological relationships in the area of seafaring as well as management styles in maritime shipping industry, with particular emphasis on the specific features involved in the vocation of a seafarer. The research was carried out on a sample of seafarers attending training courses at Faculty of Maritime Studies in Split. Separation from family, friends and familiar environment represents one of the essential features of the seafarers’ life that are discussed in the paper. Another important sociological factor of the seafarers’ specific profession is their workplace, i.e. the ship.","In this article, a systematic analysis of sociological relationships in the area of seafaring as well as management styles in maritime shipping industry, with particular emphasis on the specific features involved in the vocation of a seafarer is presented."
"Maritime Skills and the (Not So) Changing Qualification Landscape in Global Shipping","https://scispace.com/paper/maritime-skills-and-the-not-so-changing-qualification-n84vuwl7zjpc","2024","Journal Article","Public anthropologist","Camilla Mevik","10.1163/25891715-bja10065","","Abstract This article examines transformations of labour through an exploration of the shipping sector and the emerging responses and adaptations of seafarers to processes aimed at standardising skills in an increasingly automated workplace. Focusing on on-board occupational relations, I investigate how maritime industries use labour and highlight the underlying dynamics behind how the popular image of the global transport system – which gives the impression of it being equivalent to a factory assembly line – is enabled and reinforced. The article argues that this image is not only connected to how the industry and its regulations are formally and institutionally produced – through logics of efficiency, large-scale infrastructure, and automation – but also enacted by the types of everyday labour seafarers undertake, whose skills, experiences, personalities, and social competencies, which shape their extractive practices in many ways, are deeply racialised and culturally biased. ","This article examines the transformation of seafarers' skills in the shipping sector, highlighting how maritime industries standardize skills, reinforce a factory-like image, and enact racialized and culturally biased labor practices through everyday on-board occupational relations."
