"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Human Resource Management in Shipping: Issues, Challenges, and Solutions","https://scispace.com/paper/human-resource-management-in-shipping-issues-challenges-and-460jphacgv","2021","Monograph","","Lijun Tang
Pengfei Zhang","10.4324/9781003010401","","This book sheds light on the nature and causes of the issues and challenges in human resources in shipping and proposes fresh recommendations to manage them. It explains the multiple forces at play, including the global regulatory regime, national institutional frameworks, industrial practices, trade union responses, and pressures from customers and non-governmental organisations. 
Human Resource Management in Shipping integrates seafarer employment data released by national maritime authorities and a large body of literature that discusses discrete human resources issues in shipping into a single volume, providing readers with a comprehensive understanding of the issues and challenges within human resources in shipping. Beyond this, the book also offers a fresh perspective on some of the long lasting HRM challenges in the industry, such as skills shortage and seafarer recruitment and retention. 
This book aims to provide readers with systematic and in-depth knowledge of human resource management in shipping, and offers researchers a valuable source of reference and a solid foundation on which further development can be built.","Human Resource Management in Shipping as discussed by the authors integrates seafarer employment data released by national maritime authorities and a large body of literature that discusses discrete human resources issues in shipping into a single volume, providing readers with a comprehensive understanding of the issues and challenges within human resources in shipping."
"Navigating HRM Challenges in Port and Shipping Management: Insights from Maritime Institute Graduates","https://scispace.com/paper/navigating-hrm-challenges-in-port-and-shipping-management-2swiq7psz3w2","2024","Journal Article","Dinasti International Journal of Education Management and Social Science (DIJEMSS)","Retno Sawitri Wulandari","10.38035/dijemss.v5i6.2704","","This research delves into Human Resource Management (HRM) strategies within the Port and Shipping Management sector, focusing on the perspectives of graduates from the Maritime Institute (Sekolah Tinggi Ilmu Pelayaran Jakarta). Through qualitative analysis, the study identifies key HRM indicators, including training and development, safety and compliance, talent acquisition and retention, performance management, and leadership development. Additionally, it examines the alignment of HRM practices with international standards, emphasizing the importance of integrating global education benchmarks into organizational strategies. The findings underscore the critical role of HRM in driving professional development and organizational effectiveness within maritime environments. By aligning HRM practices with international standards, organizations can enhance professionalism, promote diversity and inclusion, and foster ethical leadership. This research offers valuable insights for HRM practitioners, policymakers, educators, and industry stakeholders seeking to navigate the complexities of the global Port and Shipping Management sector. ","This study explores HRM strategies in Port and Shipping Management through the perspectives of Maritime Institute graduates, identifying key indicators and international standards alignment, highlighting the critical role of HRM in driving professional development and organizational effectiveness."
"Present Situation ,problems and Countermeasures of Maritime Labour Relations","https://scispace.com/paper/present-situation-problems-and-countermeasures-of-maritime-kkn2mjgd2ept","","","","LIU Yan-jun
QU Qun-zhen","10.3969/j.issn.1674-4993.2013.05.063","","With the continuous development of shipping industry,the crew of the demand constantly increasing,he government and enterprise are paid more and more attention to the maritime labor relations from all aspects.In this paper,through the analysis of maritime labor relations status,summarizes its existing deficiencies,and then from the views of government,enterprises,trade unions and individual to put forward countermeasures and suggestions to perfect harmonious maritime labor relations,to provide practical reference for the theory and practice of building harmonious maritime labor relation.","This paper analyzes the current state of maritime labor relations, identifies existing deficiencies, and proposes countermeasures from government, enterprise, trade union, and individual perspectives to promote harmonious labor relations in the shipping industry."
"Labour force management in maritime ports: A comprehensive systematic literature review","https://scispace.com/paper/labour-force-management-in-maritime-ports-a-comprehensive-3wcaym8p7k","2024","Journal Article","Heliyon","Adriana Moros-Daza
Maria Jubiz-Diaz","10.1016/j.heliyon.2024.e31401","","The COVID-19 pandemic led to a labour shortage crisis at maritime ports. Therefore, stakeholders of this industry must have robust tools to maintain good performance indicators of productivity and competitiveness. One of the most critical issues is the labour force related to allocation, performance evaluation, and foreseeing/adapting to new requirements. Many authors have studied the characteristics, elements, trends, and factors crucial in its management. However, there needs to be a comprehensive understanding of this concern. Therefore, this paper aims to develop a systematic literature review on labour force management in the maritime ports to (1) understand the elements and factors that strongly relate to human management and (2) identify future research directions to address the impact of labour shortages. Research questions and keywords were used to search academic databases for peer-reviewed papers, articles, or books. The search, selection and quality assessment processes were performed using the PRISMA methodology. This resulted in 32 documents for review and categorised based on their contributions to the research questions and content. The main findings include factors in labour force management, challenges in optimisation, technology and automation use, methods for evaluating performance, and the impact of the regulatory framework. In addition, potential future research streams were proposed to guide further studies into the needs of this industry. ","This systematic literature review examines labour force management in maritime ports, identifying key elements, factors, and challenges, and proposes future research directions to address labour shortages and improve productivity and competitiveness."
"Perjanjian Kerja Laut (PKL) bagi Crew Kapal Harbour Tug PT. Waruna Nusa Sentana Jakarta","https://scispace.com/paper/perjanjian-kerja-laut-pkl-bagi-crew-kapal-harbour-tug-pt-1kw8rkw3w29g","2023","Journal Article","Syntax Idea","Hotben Marchiano Lumban Gaol
Hulman Panjaitan
Wiwik Sri Widiarty","10.46799/syntax-idea.v5i12.2654","","The Maritime Employment Agreement is the legal basis and framework that influences the professional lives and welfare of ship crew in the maritime industry. This thesis explores the form of a Maritime Work Agreement along with the legal remedies that can be taken regarding problems that occur in the Maritime Work Agreement for Harbor Tug crew members at PT. Waruna Nusa Sentana Jakarta is a leading shipping company in Jakarta, based on the laws and regulations in force in Indonesia. This research includes an in-depth analysis of the Sea Work Agreement implemented by PT. Waruna Nusa Sentana Jakarta, with a focus on the validity of the Sea Work Agreement, the implementation of the Sea Work Agreement, obstacles in implementing the Sea Work Agreement, as well as resolving problems if disputes occur in the Sea Work Agreement in Harbor Tug ship crew PT. Waruna Nusa Sentana Jakarta. Through a mixed approach involving surveys, and document reviews, this thesis uncovers a variety of individual perspectives and experiences in maritime employment relations. The research results highlight variations in Maritime Labor Agreements implemented in these companies and their implications for crew welfare and motivation. In a broader context, this thesis also discusses the challenges and opportunities faced by shipping companies and the government in ensuring the protection of maritime workers' rights and maintaining the sustainability of the maritime industry. The findings of this research provide important insights for Harbor Tug Crew members who will join to work on board ships, for shipping companies in improving their Maritime Labor Agreements, promoting healthy working relationships, and ensuring better welfare standards for crew members and for governments. as a legal regulator in Indonesia. Thus, this thesis contributes to a better understanding of the role and impact of Maritime Work Agreements in the vital harbor tug vessel sector at PT. Waruna Nusa Sentana Jakarta and the maritime sector as a whole. ","This thesis examines the Maritime Employment Agreement (PKL) for Harbor Tug crew members at PT. Waruna Nusa Sentana Jakarta, analyzing its validity, implementation, and implications for crew welfare and motivation, with insights for shipping companies and governments in Indonesia."
"Managing Human Resources in the Shipping Industry","https://scispace.com/paper/managing-human-resources-in-the-shipping-industry-47at3bfn88","2018","Book","","Jiangang Fei","10.4324/9781315740027","","This book explores key aspects of human resource management in the shipping industry including the dynamics of the shipping workforce and the global labour market. With case studies in each chapter, the book also discusses the practices and issues associated with
recruitment, training and development, and retention of personnel and knowledge in the shipping industry. In addition, the book addresses the human resource management challenges faced by the industry including achieving work-life balance, maintaining employee health and wellbeing, managing risk and crisis, and applying knowledge management principles.","In this paper, the authors explore key aspects of human resource management in the shipping industry including the dynamics of the shipping workforce and the global labour market, and discuss the practices and issues associated with recruitment, training and development, and retention of personnel and knowledge."
"Maritime Labour","https://scispace.com/paper/maritime-labour-8j1llwcsrmx3","","","","Frank Broeze","10.5949/liverpool/9780973007336.003.0008","","This chapter examines the social impact that containerisation - and the drastic topographical and economic changes to the shipping industry - had upon the livliehoods of maritime labourers. It explores the challenges and consequences of new technologies faced by labourers and maritime communities within the shipping industrythe drastic shifts in skillsets necessary for maritime labourers in order to keep up with technological development; and the reduction of labour force within the shipping industry. The chapter is divided into sections as follows: Seafarers; Flags of Convenience; Training; Down-sizing and Multi-skilling; Safety and Accidents at Sea; Port Workers; Decimation of the Work Force; Social Consequences of Containerism; Industrial Conflicts and Port Workers’ Unions; The International Transport Workers’ Federation; and Resugent Militancy and Political Protest. It concludes by suggesting the only way forward is to approach modernisation, globalisation, and privatisation with a humane outlook.","This chapter examines the social impact of containerisation on maritime labourers, exploring challenges, consequences, and drastic shifts in skillsets, labour force reduction, and social consequences, concluding with a need for a humane approach to modernisation and globalisation."
"Special Status of the Seafarer in the System of Labor Relations","https://scispace.com/paper/special-status-of-the-seafarer-in-the-system-of-labor-3e6dx1tfsdnw","","","","Iryna Pidpala","10.5281/zenodo.4608786","","The article is devoted to the study of the special status of the seafarer in the system of labor relations. The objective features of labor relations with the participation of seafarers are consecrated, which give rise to the need to establish special norms that regulate the work of crew members of sea-going ships and determine the special status of a seafarer. Today, a significant number of seafarers' labor acts are in force at the international level and inUkraine. The content of many of them is inconsistent either with each other or with the general norms of labor legislation, and often gives rise to all sorts of collisions. A number of problems arise due to the fact that the work of seafarers is regulated not only by labor legislation, but also by laws that are complex in nature (one example is the Merchant Shipping Code). The large regulatory framework creates certain difficulties in law enforcement practice, contributes to the commission of violations of the law. And the activities of seafarers are still governed by the norms of the general labor legislation, which requires changes taking into account modern realities and changes in the country and in the world. Relevant is it is necessary to regulate the activities of seafarers by special legislation.","This article examines the special status of seafarers in labor relations, highlighting inconsistencies in international and Ukrainian laws, and advocating for special legislation to regulate seafarers' work, addressing complexities and violations in law enforcement practice."
"Major trends in work at sea: outline of a political economy of maritime labour","https://scispace.com/paper/major-trends-in-work-at-sea-outline-of-a-political-economy-2abxejk60h","2023","Book Chapter","","Jörn Boewe","10.4337/9781839106583.00063","","Work conditions and economic trends in the maritime sector often only refer to seafarers on board merchant ships and dockworkers. This conventional view is no longer appropriate in the face of recent and long-term trends in the maritime economy. To understand what the political economy of maritime labour is, we must first take an integrated, overall view to define the field, including industries like fishery, off-shore-wind-energy or ship-building and ship wrecking, just to mention some. The article discusses what a meaningful description of the maritime-industrial-logistic complex could be and outlines some of its key structural features and trends. How many employees work ""around shipping,"" in which fields of activity and under which working conditions? How does the recruitment of maritime personnel work today? It provides an overview of the major global players among shipping companies, crewing agencies, port operators and shipyards. The long-term trends in the global labour market for seafarers, the global downward spiral in wages and working conditions triggered by the system of ""flags of convenience"" are portrayed, but also the partially successful efforts of the International Transport Workers' Federation and national trade unions to stop and maybe reverse the ""race to the bottom"". ","Major trends in work at sea encompass a wide range of maritime industries and activities beyond seafarers on board merchant ships and dockworkers. To understand the political economy of maritime labour, a comprehensive overview of the maritime-industrial-logistic complex is required, including industries like fishery, off-shore-wind-energy, and ship-building and ship wrecking."
"Shipping's New Industrial Relations: The International Context and the Australian Experience:","https://scispace.com/paper/shipping-s-new-industrial-relations-the-international-4x30qzrkjn","1990","Journal Article","Journal of Industrial Relations","Richard Morris","10.1177/002218569003200301","","In the 1980s, shipping provided a salient industry-specific example of several aspects of work practice reform and industrial relations restructuring. The international technological and market conditions coupled with the main institutions and directions of change are analyzed in this article. The essential findings support the view that a new industrial relations has to a considerable extent grown up in shipping and developed new functions which were not highly profiled in the framework of organizations and processes that existed at the beginning of the decade.","In this paper, the authors analyzed the international technological and market conditions coupled with the main institutions and directions of change in shipping and found that a new industrial relations has to a considerable extent grown up in shipping."
