Title,Author/Organisation,URL,Publication Year,Description,Type,Region,Language
Circumpolar Inuit Protocols for Equitable and Ethical Engagement,Inuit Circumpolar Council,https://www.inuitcircumpolar.com/project/circumpolar-inuit-protocols-for-equitable-and-ethical-engagement/,2022.0,"Intended to help others understand the distinct status, role, and rights of Indigenous Peoples of Inuit Nunaat, these guidelines offer a respectful way forwards in genuine collective effort to enhance understanding of the Arctic.",Protocols,Arctic,English
A framework for co-production of knowledge in the context of Arctic research,"Ellam Yua, Julie Raymond-Yakoubian, Raychelle Aluaq Daniel, Carolina Behe",https://ecologyandsociety.org/vol27/iss1/art34/,2022.0,"This paper proposes a systematic change in how research-related activities are conducted in the Arctic. It supports bringing together Indigenous Knowledge systems and science for equitable, inclusive, and useful outcomes. ",Co-Production,Arctic,English
Mobilizing Indigenous and Local Knowledge Solutions: Addressing Climate Impacts and Vulnerabilities,UNESCO,https://unesdoc.unesco.org/ark:/48223/pf0000375025,2020.0,This is a report from a workshop which aimed to compile and share case studies on ILK from the Caribbean region and recommend how to strengthen ILK alongside science in policy and decision making. ,Knowledge Exchange,Caribbean ,English
Promover soluciones basadas en los conocimientos indígenas y locales: para responder a los impactos y a las vulnerabilidades relacionadas con el cambio climático,UNESCO,https://unesdoc.unesco.org/ark:/48223/pf0000375025_spa,2020.0,This is a report from a workshop which aimed to compile and share case studies on ILK from the Caribbean region and recommend how to strengthen ILK alongside science in policy and decision making. ,Knowledge Exchange,Caribbean ,Spanish
Local and Indigenous Knowledge Systems,UNESCO,https://www.unesco.org/en/links?hub=408,,"""UNESCO's Local and Indigenous Knowledge Systems (LINKS) programme focuses on helping Indigenous Peoples and local communities study and articulate the importance of their knowledge systems, within a holistic framework of livelihoods, languages, cultural and spiritual systems, social organization, values, as well as the daily management and governance of landscapes and seascapes.""",Indigenous and Local Knowledge,Global,English
Respectful Research,Cana Uluak Itchuaqiyaq & Corina Qaaġraq Kramer,https://respectfulresearch.com/,,"Respectful Research aims to bridge the gao between academia and Indigenous communities through fostering collaboration, training, and support. ",Guidance; Research Practices,Arctic,English
Indigenous Protected and Conserved Areas (IPCA) Knowledge Basket,"IISAAK OLAM Foundation, the Indigenous Leadership Initiative, and members of the Conservation through Reconciliation Partnership (CRP)",https://ipcaknowledgebasket.ca/,,"For Indigenous Nations, governments, and their communities, the IPCA Knowledge Basket is a digital space for Indigenous-led conservation pathways. ",Toolkit; Guidance; Conservation & Protection,Canada,English
UN Declaration on the Rights of Indigenous Peoples,UN ,https://www.un.org/development/desa/indigenouspeoples/wp-content/uploads/sites/19/2018/11/UNDRIP_E_web.pdf,2007.0,"The UN Declaration on the Rights of Indigenous Peoples is a global framework adopted by the UN to affirm and protect the individual and collective rights of Indigenous peoples, including cultural, land, and self-determination rights.",Resolution,Global,English
Indigenous and local knowledge engagement in the Ocean Decade: a practical guide,UNESCO,https://unesdoc.unesco.org/ark:/48223/pf0000396956,2026.0,"A practical guide for indigenous Peoples, local communities, scientists and institutions on how to engage ethically and meaningfully in the UN Ocean Decade",Guidance,Global,English
Co-producing ocean plans with Indigenous and traditional knowledge holders,"Claudia Baron-Aguilar, Rosabelle Boswell, Andrés Cisneros-Montemayor, Athena E. Copenhaver, Yara Costa, Alejandro Frid, Lisa Hiwasaki, Maui Hudson, Nang Jingwas Russ Jones, Brendan P. Kelly, Micheline Khan, Jacky Kosgei, Kelsey Leonard, Vera K. Metcalf, Aphiwe Moshani, Georgina Yaa Oduro, Kenneth Paul, Vatosoa Rakotondrazafy, Gunn-Britt Retter, Cinda P. Scott, Jacqueline Uku & Mia Strand",https://www.nature.com/articles/s44183-025-00158-x,2025.0,"The article presents eight rights-based recommendations for co-producing ocean plans with Indigenous and traditional knowledge holders. It highlights how equitable partnerships, knowledge pluralism and shared decision-making can strengthen ocean governance and sustainability.",Co-Production; Sustainable Ocean Planning,Global,English
