column,dtype,non_null,null
actionCode,object,208,0
firstName,object,208,0
lastName,object,208,0
email,object,208,0
homepages,object,172,36
orcid,object,141,67
affiliation,object,208,0
country,object,208,0
secondaryProposer,object,208,0
status,object,208,0
WG1. PACT Framework,object,208,0
WG2. Knowledge discovery in data,object,208,0
WG3. Theoretical knowledge,object,208,0
WG4. Pilots,object,208,0
WG5. Transmitting,object,208,0
applicationDate,object,208,0
decisionDate,object,192,16
mcMembershipStatus,object,208,0
costMember,object,208,0
itc,object,208,0
nnc,object,208,0
gender,object,208,0
youngResearcher,object,208,0
scientificExpertise,object,203,5
scientificBackground,object,208,0
motivation,object,207,1
contribution,object,207,1
runningCOSTActionsWGsCount,float64,95,113
runningCOSTActionsWGs,object,95,113
endedCOSTActionsWGsCount,float64,42,166
endedCOSTActionsWGs,object,42,166
otherWGApplicationsCount,float64,37,171
otherWGApplications,object,37,171
