column,dtype,non_null,null
actionCode,str,208,0
firstName,str,208,0
lastName,str,208,0
email,str,208,0
homepages,str,172,36
orcid,str,141,67
affiliation,str,208,0
country,str,208,0
secondaryProposer,str,208,0
status,str,208,0
WG1. PACT Framework,str,208,0
WG2. Knowledge discovery in data,str,208,0
WG3. Theoretical knowledge,str,208,0
WG4. Pilots,str,208,0
WG5. Transmitting,str,208,0
applicationDate,str,208,0
decisionDate,str,192,16
mcMembershipStatus,str,208,0
costMember,str,208,0
itc,str,208,0
nnc,str,208,0
gender,str,208,0
youngResearcher,str,208,0
scientificExpertise,str,203,5
scientificBackground,str,208,0
motivation,str,207,1
contribution,str,207,1
runningCOSTActionsWGsCount,float64,95,113
runningCOSTActionsWGs,str,95,113
endedCOSTActionsWGsCount,float64,42,166
endedCOSTActionsWGs,str,42,166
otherWGApplicationsCount,float64,37,171
otherWGApplications,str,37,171
