imension (Aspect),ID,Competence Name,Key Simplified Focus (Applied to all 12 Sectors),Blue Biotech,Coastal Tourism,Desalination,Infra & Robotics,Living Res.,Non-living Res.,Renewable Energy,Maritime Defence,Maritime Transport,Port Activities,R&I,Ship Repair
A. Understanding the Blue Economy (Skills),—,Technical/practical abilities,"Policy use & marine science basics,",X,X,X,X,X,X,X,X,X,X,X,X
A. Understanding the Blue Economy (Competences),A.1,Ocean literacy,Communicating ocean value and agency,X,X,X,X,X,X,X,X,X,X,X,X
,A.2,Blue systems thinking,Mapping planetery system connections,X,X,X,X,X,X,X,X,X,X,X,X
,A.3,Blue economy regulations,"Following blue values laws, inclusivity, justice and fairness",X,X,X,X,X,X,X,X,X,X,X,X
B. Digital & Data Skills (Skills),—,Technical/practical abilities,"Software use & cyber defense,",X,X,X,X,X,X,X,X,X,X,X,X
B. Digital & Data Skills (Competences),B.1,Data & digital proficiency,Using digital tools (GIS) & data in-research,X,X,X,X,X,X,X,X,X,X,X,X
,B.2,Digital communication,"Online collaboration & outreach, counter-maping vs. GIS",X,X,X,X,X,X,X,X,X,X,X,X
,B.3,Cybersecurity & maritime safety,"Protecting digital systems,",X,X,X,X,X,X,X,X,X,X,X,X
,B.4,Open science & data sharing,"Transparent data access, civic repositories, indigenous people knowledge and tradition",X,X,X,X,X,X,X,X,X,X,X,X
C. Sustainability & Resilience (Skills),—,Technical/practical abilities,"Green design & resource planning,",X,X,X,X,X,X,X,X,X,X,X,X
C. Sustainability & Resilience (Competences),C.1,Sustainable resource management,"Responsible resource use, zerocarbon, zeroplastic, reduce toxic disposal",X,X,X,X,X,X,X,X,X,X,X,X
,C.2,Circular economy principles,"Reducing waste & recycling, water retention",X,X,X,X,X,X,X,X,X,X,X,X
,C.3,Climate adaptation & coastal resilience,"Building coastal buffers, off-shore and deep sea habitats",X,X,X,X,X,X,X,X,X,X,X,X
,C.4,Ecosystem-based management (EBM),"Holistic nature-based care, blue governance",X,X,X,X,X,X,X,X,X,X,X,X
D. Business Innovation & Governance (Skills),—,Technical/practical abilities,"Value mapping & financial tracking,",X,X,X,X,X,X,X,X,X,X,X,X
D. Business Innovation & Governance (Competences),D.1,Value chain thinking,"Optimizing production flows, non-human and more-than-human agentism",X,X,X,X,X,X,X,X,X,X,X,X
,D.2,Leadership & blue innovation,"Leading sustainable change, blue growth, blue justice",X,X,X,X,X,X,X,X,X,X,X,X
,D.3,Blue finance & investment,"Finding sustainable funding, blue finance, blue economy",X,X,X,X,X,X,X,X,X,X,X,X
,D.4,Ethical & participatory governance,"Inclusive decision-making, blue governance, blue values",X,X,X,X,X,X,X,X,X,X,X,X
