"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Blue economy, blue growth, social equity and small-scale fisheries: a global and national level review","https://scispace.com/paper/blue-economy-blue-growth-social-equity-and-small-scale-f1omx1he","2023","Journal Article","Studies in social science research","Jewel Das","10.22158/sssr.v4n1p38","http://cris.leibniz-zmt.de/id/eprint/5119/1/Das2023.pdf","… I find through selected keyword (ie blue economy and blue growth) searches, social equity is clearly absent. In fact, not a single term appears that deals with social equity. This stands in …","One of the most promising economic arenas in the coming decades is the ocean and there are currently numerous initiatives to the ‘blue economy’ discourse that revolves around the argument that small-scale fishers’ livelihoods require greater attention. To synthesize current scientific knowledge and address prevailing research gaps surrounding this discourse, I conduct a scoping review of global literature on the blue economy, blue growth, social equity, and Small-Scale Fisheries (SSF) analyse different international policy papers and national-level blue economy plans. To explore the need for further research, this review focuses on how different aspects of the blue economy risks lead to inequity in the pursuit of ocean sustainability. Based on the initial content analysis, I identify evidence for undermining social equity and justice related to the ocean and find that social equity is often overlooked in national-level blue economy and blue growth initiatives. This overlooking leads to or accelerates processes of coastal and ocean grabbing, displacement, dispossession, and exclusion which strongly impact the livelihoods of marginalized coastal communities, particularly, small-scale fishers in various parts of the world. The collected evidence suggests that there is a missing link between international policy deliberations and national-level implementation plans in the blue economy context. Numerous studies claim that critical re-thinking of policies is required to ensure the sustainability of blue economy trajectories. Unchecked economic growth in the ocean as in other realms can reinforce inequities and unjust and inequitable resource distribution patterns. To pre-empt, mitigate, and resolve likely conflicts, deeper insights are needed to address the impacts of the blue economy and blue growth on coastal livelihoods. I suggest investigating the causes of conflict and further research on how governance responds to sustain small-scale fisheries while embracing the blue economy and blue growth agendas."
"The blue economy in Ghana: Industrialisation, contestation and impacts on small-scale fisheries","https://scispace.com/paper/MfEqCP8N2CcJ","","","","RK Ayilu","","https://search.proquest.com/openview/34a677613fdd5fd2a31e54c63bac6deb/1.pdf?pq-origsite=gscholar&cbl=2026366&diss=y","… in sustaining their traditional coastal fishing livelihoods. In … blue economy, organised according to three key findings: i) dominant blue economy narratives downplay small-scale fisheries…",""
"Blue Growth and its discontents in the Faroe Islands: An island perspective on Blue (De) Growth, sustainability, and environmental justice","https://scispace.com/paper/Q4UxScDZbMgJ","","","","R Bogadóttir","","https://www.academia.edu/download/104964038/s11625-019-00763-z20230813-1-9y42uu.pdf","… problems experienced locally as threats to local livelihoods, and are not necessarily linked to … The EU policy program for Blue Growth also involves other sectors for instance coastal …",""
"Towards ocean equity","https://scispace.com/paper/towards-ocean-equity-48h8crsqd8","2020","","","H. Osterblum
Colette C. C. Wabnitz
Dire Tladi
Edward H. Allison
Sophie Arnaud-Haond
Jan Bebbington
Nathan J. Bennett
Robert Blasiak
Wiebren J. Boonstra
A. Choudhury
Andrés M. Cisneros-Montemayor
Tim M. Daw
Michael Fabinyi
Nicole Franz
Harriet Harden-Davies
Danika Kleiber
Priscila F. M. Lopes
Cynthia McDougall
B.P. Resosudarmo
Samiya Ahmed Selim","","https://archimer.ifremer.fr/doc/00839/95140/102831.pdf","… The blue economy is being promoted as capable of achiev… health, loss of livelihoods, limited financial opportunities for … for Small-Scale Fisheries is expected to increase social equity …",""
"Mapping coastal and marine research in South Africa: A bibliometric analysis highlighting trends and future directions","https://scispace.com/paper/mapping-coastal-and-marine-research-in-south-africa-a-1f3ajpd6rp6w","2024","Journal Article","Marine Policy","Olubunmi A. Afinowi
Godwell Nhamo","10.1016/j.marpol.2024.106566","","… The key findings are that common areas of coastal and marine … of coastal and marine research in South Africa and contribute towards the attainment of the Ocean Phakisa, blue economy…",""
"Blue paradigms: understanding the intellectual revolution in global ocean politics","https://scispace.com/paper/blue-paradigms-understanding-the-intellectual-revolution-in-5ji2d9cf","2023","Journal Article","International Affairs","Christian Bueger
Felix Mallin","10.1093/ia/iiad124","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4014064","… of nutritional security, resource management, coastal livelihoods and other forms of human/ocean … For instance, where blue economy and maritime security concerns call for accelerated …","
 The oceans have received extraordinary international attention in global policy and research. New insecurities and uncertainties, ranging from intensifying interstate disputes to persistent piracy and overfishing as well as to pollution, deoxygenation and climate change imply that the oceans are increasingly seen as being in crisis. This revolution in thinking about and addressing the oceans is driven by new ideas of why the oceans need political attention and care. In this article we demonstrate how four key new ‘blue paradigms’—maritime security, blue economy, ocean health and blue justice—have evolved and turned the oceans into a new area of priority. Each of these paradigms drives global ocean politics in different directions, which implies risks of fragmentation and conflicts. We work out the key differences between paradigms, investigating their underlying problematization, priorities and communities of practices involved. This provides a new map for navigating the complexity of global ocean politics useful for policy-makers and scholars. Thinking through paradigms also establishes a new analytical framework that allows for identifying conflicting priorities, tensions between ocean communities of practice, and ideas of how these can be managed. We conclude with a call for creative thinking of how synergies between the blue paradigms can be achieved in strategy, planning and research."
"Analyzing Of Articles On Blue Economy Studies In Tourism","https://scispace.com/paper/EKm0QyVEmDAJ","","","","E Yılmaz
NÇ İlal","","https://dergipark.org.tr/en/download/article-file/4725184","… coastal tourism sector in the blue economy, there are relatively few studies on coastal tourism in the blue economy … ), the effects of sea and coastal tourism and whether it is compatible …",""
"Strategic Marketing of Blue Financing for Advancing Blue Economy Activities: A Comprehensive Review","https://scispace.com/paper/strategic-marketing-of-blue-financing-for-advancing-blue-34ru1gpa2u2g","2024","Journal Article","","Mazlinawati Abdul Majid
Intan Sazrina Saimy","10.1007/978-3-031-67431-0_21","","… blue economy, this study sheds light on the innovative financial mechanisms that fund critical marine and coastal … for economic growth, improved livelihoods, and jobs while preserving …",""
"Strategies for addressing conflicts arising from blue growth initiatives: insights from three case studies in South Africa","https://scispace.com/paper/strategies-for-addressing-conflicts-arising-from-blue-growth-328dtdxrjy","2023","Journal Article","Maritime studies","Merle Sowman
Philile Mbatha
Johanna von Holdt","10.1007/s40152-023-00341-1","https://link.springer.com/content/pdf/10.1007/s40152-023-00341-1.pdf","… Over the past decade, the livelihoods and way of life of coastal communities in the Richards … on rich coastal and estuarine resources in the Richards Bay area for food and livelihoods for …","Abstract South Africa has vigorously embraced the concept of the ‘blue economy’ and is aggressively pursuing a blue growth strategy to expand the ocean economy, create jobs, and alleviate poverty. However, many of these ‘blue initiatives’ are leading to conflicts amongst various stakeholders with different histories, relationships with resources and areas, worldviews, and values. Investment in the ocean economy is being prioritized by government and planning, environmental assessment, and decision-making processes are being fast-tracked. Consequently, historical inequities as well as environmental and social justice considerations are not being given due consideration. Communities are not being effectively consulted. This has resulted in tensions and conflicts amongst proponents of these projects and local communities living in areas affected by these initiatives. We examine the drivers of conflict and then explore the strategies that local communities and their social partners have employed in these case studies to challenge contentious developments, defend coastal and marine areas, and make their voices heard. The cases involve conflicts over air quality in an expanding marine industrial zone at Saldanha Bay, prospecting and mining applications in the vicinity of the Olifants Estuary in the Western Cape, and the expansion of the Richard’s Bay Port, mining activities, and conservation initiatives in KwaZulu-Natal. The barriers and potential opportunities to opening up deliberative spaces, shifting values and views, and co-producing knowledge, in contexts that are characterised by structural inequality, poverty, and power asymmetries, are discussed. "
"A Proposed Framework for Integrating Blue Infrastructure and Sustainable Blue Economy for Sustainable Coastal Development: Applied to Rasheed Canter, Egypt","https://scispace.com/paper/a-proposed-framework-for-integrating-blue-infrastructure-and-76pwtoibp1mm","2024","Journal Article","Al-Mağallah Al-ʿarabiyyaẗ Li Siyāsāt Al-’ulūm wa Al-Tiknūlūǧyā (Online)","شيماء سمير عبد القادر","10.21608/arabsti.2024.386073","https://journals.ekb.eg/article_392206_4affddeaec74d4e2419928172e9cd7c9.pdf","… Blue Economy has a social dimension that includes community involvement, social justice, and theSource: By Authorl-being of coastal … which guarantee that Blue Economy initiatives sit …",""
