"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Who is in and who is out in ocean economies development?","https://scispace.com/paper/who-is-in-and-who-is-out-in-ocean-economies-development-17t94k9w","2023","Journal Article","Sustainability","Marianna Cavallo
Alicia Bugeja Said
José A. Pérez Agúndez","10.3390/su15043253","https://scispace.com/pdf/who-is-in-and-who-is-out-in-ocean-economies-development-17t94k9w.pdf","… This review engages with the ongoing blue economy debate … terms of innovation, employment creation and economic growth, … -inclusive ocean economy goes beyond the fisheries pillar …","This review engages with the ongoing blue economy debate to decipher old and emerging forms of economic, institutional, physical and social exclusions of local communities and vulnerable societies that may result from the development of ocean projects and policies across the globe. The results of this scientific and policy review show that, whereas for some traditional maritime activities such as fisheries, the drivers of exclusion are well studied and somehow addressed in policies, for other emerging sectors, such as ocean energies or deep-sea mining, there is a lack of understanding on how to recognise and prevent the different forms of exclusion. Exclusion is likely to occur when decisions are taken at the highest level of governance to achieve national or international targets of economic growth, food safety, clean energy or leisure, with little consideration of the effects on local economic, social and environmental contexts. On the other hand, when the principles of inclusiveness are given due consideration, they prove to be beneficial for the societies’ well-being, increasing the chance of long-term social acceptability. We conclude that, to embrace inclusiveness, both governments and industries have to (a) go beyond the capitalist commodification of nature and recognise benefits other than the economic ones, namely, emotional, cultural and spiritual; (b) promote initiatives that fulfil local needs in the first place and are adapted to local contexts; (c) cooperate with local institutions and stakeholders to promote the co-management of resources and adaptive development. Likewise, research institutions, funding organisations and governmental agencies have to engage in new ways to assess the effects of ocean development that go beyond the quantitative approach and seek to integrate qualitative information, traditional knowledge and local perceptions."
"Ocean and Society, 2025, Volume 2 Into the (Gendered) Blue: New Perspectives on Gender Equality and Participation in Blue Growth","https://scispace.com/paper/iYYpcZ3hl7AJ","","","","D by Typografia
K Svels
M Schreiber
K Ounanian","","https://www.cogitatiopress.com/oceanandsociety/issue/download/401/406","… However, blue economy statistics on employment broken … a holistic picture of gender inequality in the blue economy. … women in the blue economy, encompassing fisheries, aquaculture, …",""
"Blue Economy Struggles—Capital and Power in the Global Ocean: Introduction","https://scispace.com/paper/blue-economy-struggles-capital-and-power-in-the-global-ocean-caowd34ayogg","2025","Journal Article","Journal of Agrarian Change","Felix Mallin","10.1111/joac.70014","https://onlinelibrary.wiley.com/doi/pdf/10.1111/joac.70014","… labour to those dependent on wage labour. By means of a case study from Southern Myanmar, he illustrates how the intrusion of capital-intensive fisheries … promise order and equity, but …","ABSTRACT If we heed the calls of fisher movements, coastal communities and environmentalists worldwide a striking picture emerges: the ocean is being claimed, carved up and commodified at an unprecedented scale. This symposium, comprising four contributions and an introductory essay, debates this ongoing capitalist capture of the oceans in the Blue Economy era, tracing historical legacies, legal architectures, geopolitical motives and underlying class dynamics that animate the broader phenomenon of ocean grabbing. While the ‘blue hype’ of the past decade has framed ocean grabbing as a novel phenomenon, the introduction sets the stage by challenging such anachronisms, situating contemporary enclosures within a long history of maritime territorialisation and resource appropriation. Drawing on agrarian political economy, it foregrounds how the United Nations Convention on the Law of the Sea (UNCLOS) has not only enabled but institutionalised ocean grabs, folding vast marine spaces into global circuits of capital accumulation. The four contributions that follow unpack these and related dynamics across different geographies and themes, including distant‐water fishing, militarised law enforcement and the entwinement of conservation and extraction. They reveal how capitalist expansion at sea advances not only through brute dispossession. More often it occurs via subtle legal innovation, ecological narratives, piecemeal technocratic reconfigurations of territorial control and class differentiation across geographical scales. By re‐examining the evolution and distinctiveness of oceanic relations of property and production, the symposium offers fresh insight into the shifting balances of capital and power in the governance of the global ocean and arising opportunities for resistance. "
"Defining the blue economy","https://scispace.com/paper/defining-the-blue-economy-1e8j1luw35","2016","Journal Article","Maritime Affairs: Journal of The National Maritime Foundation of India","S. Smith-Godfrey","10.1080/09733159.2016.1175131","https://www.researchgate.net/profile/Simone-Smith-Godfrey/publication/301673373_Defining_the_Blue_Economy/links/5aa8e4430f7e9b0ea308395e/Defining-the-Blue-Economy.pdf","… human wellbeing and social equity, while significantly … this activity are shipping and ports, cabotage or domestic shipping, with … This includes integration via the health sector and labour …","Oceans are increasingly gaining in importance in terms of enabling international trade via linking sellers and buyers. The behaviour patterns of such linking enablers on the oceans are receiving mo..."
"Blind spots in visions of a “blue economy” could undermine the ocean's contribution to eliminating hunger and malnutrition","https://scispace.com/paper/blind-spots-in-visions-of-a-blue-economy-could-undermine-the-279j3htlq6","2021","Journal Article","","Anna K Farmery
Edward H. Allison
Neil L. Andrew
Max Troell
Max Troell
Michelle Voyer
Brooke M Campbell
Hampus Eriksson
Hampus Eriksson
Michael Fabinyi
Andrew M. Song
Dirk J. Steenbergen","10.1016/J.ONEEAR.2020.12.002","https://www.cell.com/one-earth/pdfExtended/S2590-3322(20)30611-4","… fish workers are engaged through small-scale fisheries in developing countries, accounting for 88% of all fish workers … for distributional equity. Addressing the current blind spots in the …","Summary Increasing the production of food from the ocean is seen as a pathway toward more sustainable and healthier human diets. Yet this potential is being overshadowed by competing uses of ocean resources in an accelerating “blue economy.” The current emphasis on production growth, rather than equitable distribution of benefits, has created three unexamined or flawed assumptions that growth in the blue economy will lead to growth in “blue food” production, increased production will inevitably lead to improved food and nutrition security, and mariculture production will replace marine capture fisheries. In this perspective, we argue that if research and policies are pursued without addressing these “blind spots,” blue food contributions to reducing hunger and malnutrition, and to meeting the Sustainable Development Goals, will be limited. Taking a broader food-system approach beyond production to also considering food access, affordability, and consumption will refocus the blue food agenda on making production and consumption more equitable and sustainable while increasing access for those who need it most."
"Deep aspirations: towards a sustainable offshore blue economy","https://scispace.com/paper/deep-aspirations-towards-a-sustainable-offshore-blue-economy-531nkeferr","2021","Journal Article","Reviews in Fish Biology and Fisheries","Camilla Novaglio
Camilla Novaglio
Narissa Bax
Narissa Bax
Fabio Boschetti
Gholam Reza Emad
Stewart Frusher
Stewart Frusher
Liam Fullbrook
Liam Fullbrook
Mark Hemer
Sarah Jennings
Ingrid van Putten
Lucy M. Robinson
Lucy M. Robinson
Erica Spain
Joanna Vince
Joanna Vince
Michelle Voyer
Graham Wood
Graham Wood
Elizabeth A. Fulton","10.1007/S11160-020-09628-6","https://pmc.ncbi.nlm.nih.gov/articles/PMC7819630/pdf/11160_2020_Article_9628.pdf","… associated with Blue Economy developments within the offshore zone. While quantitative projections for economic and employment growth for the overall Blue Economy abound, at the …","The ocean economy is experiencing rapid growth that will provide benefits but will also pose environmental and social risks. With limited space and degraded resources in coastal areas, offshore waters will be a particular focus of Blue Economy expansion over the next decade. When emerging and established economic sectors expand in offshore waters (within national Exclusive Economic Zones), different potential Blue Economy opportunities and challenges will arise. Following a series of interdisciplinary workshops, we imagine two technically possible futures for the offshore Blue Economy and we identify the actions required to achieve the more sustainable outcome. Under a business as usual scenario the focus will remain on economic growth, the commodification of nature, the dominance of private over public and cultural interests, and prioritisation of the interests of current over future generations. A more sustainable scenario would meet multiple UN Sustainable Development Goals and ensure inclusive economic developments, environmental sustainability, and fair and equitable access to resources and technologies across users, nations, and generations. Challenges to this more sustainable future are a lack of infrastructure and technology to support emerging offshore sectors, limited understanding of environmental impacts, inequitable outcomes, and a lack of planning and governmental oversight. Addressing these challenges will require a shift in societal values, a more balanced allocation of funding to offshore activities, transparency in information sharing between industries and across nations, and adjustment of international legal and institutional mechanisms. The sustainable and equitable offshore Blue Economy we envisage is achievable and provides a unique opportunity to build global capacity and partnership."
"THE BLUE ECONOMY IN EU COASTAL REGIONS: SECTORAL COMPOSITION AND STRUCTURAL CHALLENGES.","https://scispace.com/paper/the-blue-economy-in-eu-coastal-regions-sectoral-composition-0lyi5tws6ny0","2025","Journal Article","Journal of Management (Oluvil)","O Ovchynnykova
V Navickas","10.38104/vadyba.2025.1.06","https://ltvk.lt/wp-content/uploads/2025/07/Vadyba_2025_1_2025-05-22.pdf#page=63","… employment dynamics in the Blue Economy do not follow GVA trends uniformly across sectors. In labour-intensive service sectors—particularly coastal tourism… of regional inequality and …",""
"Role of women in the Blue economy in Kenya: Study on Maritime Industry in Mombasa County","https://scispace.com/paper/0A5HAfs9krYJ","","","","QA Atieno","","https://ir-library.ku.ac.ke/bitstream/123456789/24526/1/Role%20of%20Women%20in%20Blue%20Economy%20in%20Kenya....pdf","… country's ""Blue Economy"" (which includes tourism, shipments, … ‘Blue Economy has increased employment’ opportunities as … how the Blue Economy is closing the gender inequality issue …",""
"The blue economy and the theory of paradigm shifts","https://scispace.com/paper/the-blue-economy-and-the-theory-of-paradigm-shifts-3zqdctr18n","2018","Book Chapter","","Vishva Nath Attri","10.2307/J.CTVGC60F0.8","","… leads to improved human wellbeing and social equity as well as … of employment generated by the Blue Economy in 2013 was 8.9 per cent worldwide. Jobs created in the tourism sector …",""
"Oceans economy, blue economy, and security: notes on the South African potential and developments","https://scispace.com/paper/oceans-economy-blue-economy-and-security-notes-on-the-south-3djw36c97w","2018","Journal Article","Journal of The Indian Ocean Region","Thean Potgieter","10.1080/19480881.2018.1410962","","… has considerable potential, yet the continent’s role in shipping, … a new Aquaculture Bill to promote equity in aquaculture was under … Though these ships provide training and employment …","The oceans economy is a crucial factor in global economic growth and development, offering not only great opportunities but also challenges and risks. Most activities related to our economic exploitation of the maritime environment, however, do not conform with the notions of a ‘blue economy’, as the economic use of maritime resources and the sea often precludes a focus on a sustainable maritime environment. South Africa has a large sea area, abundant marine resources, considerable maritime infrastructure, and the oceans economy is an important contributor to GDP. The South African government’s intention to ensure growth and development in the maritime sector is part of Operation Phakisa, an inherent element of the Nine-Point Plan aimed at stimulating economic growth and development. The focus of this paper is on the South African oceans economy and its potential contribution to socioeconomic growth, development, and transformation. Emphasis will fall on the current state of the oceans economy, ne..."
