"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Blue economy, blue growth, social equity and small-scale fisheries: a global and national level review","https://scispace.com/paper/blue-economy-blue-growth-social-equity-and-small-scale-f1omx1he","2023","Journal Article","Studies in social science research","Jewel Das","10.22158/sssr.v4n1p38","http://cris.leibniz-zmt.de/id/eprint/5119/1/Das2023.pdf","… research gaps surrounding this discourse, I conduct a scoping review of global literature on the blue economy, blue growth, social equity, and Small-Scale Fisheries (… or ocean economy …","One of the most promising economic arenas in the coming decades is the ocean and there are currently numerous initiatives to the ‘blue economy’ discourse that revolves around the argument that small-scale fishers’ livelihoods require greater attention. To synthesize current scientific knowledge and address prevailing research gaps surrounding this discourse, I conduct a scoping review of global literature on the blue economy, blue growth, social equity, and Small-Scale Fisheries (SSF) analyse different international policy papers and national-level blue economy plans. To explore the need for further research, this review focuses on how different aspects of the blue economy risks lead to inequity in the pursuit of ocean sustainability. Based on the initial content analysis, I identify evidence for undermining social equity and justice related to the ocean and find that social equity is often overlooked in national-level blue economy and blue growth initiatives. This overlooking leads to or accelerates processes of coastal and ocean grabbing, displacement, dispossession, and exclusion which strongly impact the livelihoods of marginalized coastal communities, particularly, small-scale fishers in various parts of the world. The collected evidence suggests that there is a missing link between international policy deliberations and national-level implementation plans in the blue economy context. Numerous studies claim that critical re-thinking of policies is required to ensure the sustainability of blue economy trajectories. Unchecked economic growth in the ocean as in other realms can reinforce inequities and unjust and inequitable resource distribution patterns. To pre-empt, mitigate, and resolve likely conflicts, deeper insights are needed to address the impacts of the blue economy and blue growth on coastal livelihoods. I suggest investigating the causes of conflict and further research on how governance responds to sustain small-scale fisheries while embracing the blue economy and blue growth agendas."
"The transformation of the oceans and the future of marine social science","https://scispace.com/paper/the-transformation-of-the-oceans-and-the-future-of-marine-tjj5e431yh","2018","Journal Article","Maritime Studies","Peter Arbo
Maaike Knol
Sebastian Linke
Kevin St. Martin","10.1007/S40152-018-0117-5","https://www.researchgate.net/profile/Sebastian_Linke/publication/328770826_The_transformation_of_the_oceans_and_the_future_of_marine_social_science/links/5be9523492851c6b27b89506/The-transformation-of-the-oceans-and-the-future-of-marine-social-science.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D","… well qualified to address contemporary challenges raised by the … The new ocean economy and its related governance … with fisheries concerns, the marine social sciences have built a …","The oceans have become a juncture of great visions of blue growth as well as strong environmental concern. This paper discusses the essential role of the social sciences as the oceans increasingly emerge as a contested social arena. The marine social sciences have generated a vast knowledge about the development of fisheries and the implications of fisheries policies on coastal communities. We review this heritage and show that it makes the marine social sciences well qualified to address contemporary challenges raised by the increasing ambitions of exploiting and conserving the world’s oceans. However, with the current transformation of the oceans as sites of comprehensive industrialization, captured in the concept of blue growth, we argue that marine social scientists need to rethink their research objectives. This requires a reflection on the lessons learned from decades of engagement with fisheries and fisheries policy to understand and intervene in processes and practices of modernization, science-based management, and privatization of resources. We suggest how the marine social sciences can provide new knowledge and actively engage in current developments by studying emergent processes in the marine environment, and the institutions, practices, and discourses that shape them. The social sciences have a responsibility to contribute to growth and conservation issues, and are in the capacity to do so, through formulating governance alternatives, anticipating future trends, imagining desirable futures, and facilitating socially just processes and outcomes."
"Diversity, equity, and inclusion in the Blue Economy: Why they matter and how do we achieve them?","https://scispace.com/paper/diversity-equity-and-inclusion-in-the-blue-economy-why-they-2wy4z00w","2023","Journal Article","Frontiers in political science","Ibrahim Issifu
Ilyass Dahmouni
Eric Worlanyo Deffor
U. Rashid Sumaila","10.3389/fpos.2022.1067481","https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2022.1067481/pdf","… utilize the term interchangeably with ocean economy, which refers to … This paper seeks to address these challenges by providing … We are grateful to members of the Fisheries Economic …","The Blue Economy (BE) has captured the attention of diverse interests to the ocean and there is rising concern about making it more equitable and inclusive. As it currently stands, diversity, social equity, and inclusion considerations have not been foregrounded in the discourse surrounding the BE and are continuously overlooked and undervalued. This paper reviews the ongoing social inequalities in the BE and distribution of benefits and costs across different groups in society. It also explores why equity matters, and how it can be achieved. Mirroring the call for under-represented or marginalized social groups to receive a fair share of the returns, which may be more than they have received to date. Our analysis shows that between 1988 and 2017, a Germany–based company has registered about 39% of all known marine genetic resources, while three companies in Asia control 30% of the market share of seafood sector in 2018. These findings show high consolidation of the ocean space by top corporations. Therefore, this paper argues that the exclusion of equity considerations within the BE investments can undermine ocean-based activities such as marine wildlife conservation initiatives that may disrupt the ocean sustainability agenda."
"Challenging the blue economy: voices from artisanal fishing communities in Latin America and the Caribbean","https://scispace.com/paper/challenging-the-blue-economy-voices-from-artisanal-fishing-3enkppmx0l","2023","Journal Article","Development","Leopoldo Cavaleri Gerhardinger
Elyse Mills
Beatriz Mesquita
Vivienne Solis Rivera
Henrique Calori Kefalás
André Carlo Colonese","10.1057/s41301-023-00366-3","","… to the challenges and opportunities facing artisanal fisheries, … inequities in the ocean economy from the perspectives of … artisanal fisheries resonates with contemporary social sciences …",""
"Charting the waters: a bibliometric analysis of blue economy research","https://scispace.com/paper/charting-the-waters-a-bibliometric-analysis-of-blue-economy-tndnv0ejhms3","2025","Journal Article","Review of Accounting and Finance","Alexandra Horobet
Cosmin-Alin Botoroga
Birjees Rahat
Aura Gîrlovan","10.1108/raf-01-2025-0014","https://www.researchgate.net/profile/Cosmin-Alin-Botoroga/publication/390622636_Charting_the_waters_a_bibliometric_analysis_of_blue_economy_research/links/67f8efa8df0e3f544f40a005/Charting-the-waters-a-bibliometric-analysis-of-blue-economy-research.pdf","… or ocean economy has remained largely confined to environmental perspectives, lacking needed insights from social sciences, … economic sectors, including fisheries, aquaculture and …",""
"A framework for assessing the blue equity of social-ocean systems in marine governance transformation","https://scispace.com/paper/a-framework-for-assessing-the-blue-equity-of-social-ocean-156cbxjfuf","2024","Journal Article","Frontiers in Marine Science","NULL AUTHOR_ID
NULL AUTHOR_ID
NULL AUTHOR_ID","10.3389/fmars.2024.1403194","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2024.1403194/pdf","… to a sustainable blue economy through the transformation of ocean governance to fulfill the … (2023) and integrating insights from the ecological, environmental, and social sciences, we …","The equitable utilization of marine resources and the maintenance of healthy and sustainable marine ecosystems are essential to advancing the United Nations Sustainable Development Goals (SDGs) and promoting the well-being of all humanity. In this paper, we propose a Blue Equity Assessment Framework, which is based on a systematic literature review approach and takes into account the characteristics of Social-Ocean Systems (SOSs). The framework consists of Distributional Equity, Procedural Equity, Recognitional Equity, and Contextual Equity. The aim of this framework is to conduct equity analyses of policies or behaviors within SOSs in order to assess whether blue equity is explicitly implemented and practiced in these societal norms and policy mechanisms. The assessment framework reveals that blue equity has a positive synergy for the majority of the SDGs. This synergy is analyzed in terms of its influence on the assessment dimensions of distributional justice, procedural justice, recognitional justice, and contextual justice. The findings aim to enhance societal understanding of blue equity issues, thereby guiding policymakers in the prioritization of blue equity in the development and utilization of marine resources and in the transformation of global ocean governance. "
"Developing marine ecotourism for a sustainable blue economy: a literature review","https://scispace.com/paper/developing-marine-ecotourism-for-a-sustainable-blue-economy-2ar9lzj9h7","2021","","","E Thorburn
S Milne
C Deuchar","","https://www.sustainableseaschallenge.co.nz/assets/dms/Reports/Developing-marine-ecotourism-for-a-sustainable-blue-economy-a-literature-review-/Marine-ecotourism-literature-review_May-2021_For-Upload-to-WEB.pdf","… Blue Ventures is an award-winning social enterprise that works with coastal communities to rebuild fisheries through the creation of Locally Managed Marine Areas (LMMA). The locally …",""
"Equity of our future oceans: practices and outcomes in marine science research","https://scispace.com/paper/equity-of-our-future-oceans-practices-and-outcomes-in-marine-1qkxnbu4yo","2021","Journal Article","Reviews in Fish Biology and Fisheries","Karen A. Alexander
Aysha Fleming
Aysha Fleming
Narissa Bax
Carolina García
Jan Jansen
Kimberley H. Maxwell
Jessica Melbourne-Thomas
Tero Mustonen
Gretta T. Pecl
Justine D. Shaw
G Syme
G Syme
Emily Ogier","10.1007/S11160-021-09661-Z","https://www.researchgate.net/profile/Narissa-Bax-2/publication/351923645_Equity_of_our_future_oceans_practices_and_outcomes_in_marine_science_research/links/611d103d169a1a01030b8b61/Equity-of-our-future-oceans-practices-and-outcomes-in-marine-science-research.pdf","… characteristic of the current ocean economy. Major changes … issues of equity (eg social sciences), which make equity more … We observed the challenges to inclusivity of multiple voices …","The United Nations Sustainable Development Goals (SDGs) aspire to a society where ways to improve inclusivity and diversity of equity are actively explored. Here, we examine how equity is considered in a suite of papers that explored possible sustainable futures for the oceans, and mapped out pathways to achieve these futures. Our analysis revealed that a large range of equity issues were recognised and considered, in outcome-based (i.e. distributive), process-based (i.e. procedural) and concept (i.e. contextual) dimensions. However, often, the equity problem was not explicitly stated. Rather it was implied through the action pathway identified to move towards a more sustainable future, highlighting that reducing inequity is interlinked with improving sustainability. Based on these findings, we reflect on the way equity is conceptualised and considered within this work as well as futures science for the oceans more broadly. A key lesson learnt is that science and knowledge production are immediate areas where we can work to improve equity. We can build capacity to understand and include equity issues. We can develop mechanisms to be more inclusive and diverse. We can also critically reflect on our own practices to fundamentally challenge how we work and think in the space of marine science research."
"A bibliometric analysis of blue growth: Trends, challenges, and opportunities","https://scispace.com/paper/g-ZMpwtYnjIJ","","","","V Başhan
A Çetinkaya","","https://dergipark.org.tr/en/download/article-file/3904288","… and prosperous future for coastal communities and marine … publications on sustainable blue economy development from … in the social sciences, including fields such as economics, …",""
"Blue economy dynamics: does women's participation in seaweed aquaculture influence their income levels? Empirical evidence from Zanzibar","https://scispace.com/paper/blue-economy-dynamics-does-womens-participation-in-seaweed-3s1rmowzzko1","2024","Journal Article","Aquaculture International","Finias Dogeje
Flower E. Msuya
Deus Ngaruko","10.1007/s10499-024-01731-w","","… not realized due to market challenges, limited empowerment, … a more equitable and sustainable blue economy in Zanzibar. … improved the livelihoods of coastal communities in Africa, …",""
