"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Small-scale fisheries within maritime spatial planning: knowledge integration and power","https://scispace.com/paper/small-scale-fisheries-within-maritime-spatial-planning-578dncgz5q","2017","Journal Article","Journal of Environmental Policy & Planning","Svein Jentoft","10.1080/1523908X.2017.1304210","https://www.academia.edu/download/88595751/1523908X.2017.130421020220714-1-qj6an9.pdf","… 38) argues that ‘local participation may change power relations among actors only temporarily and for specific purposes, but it does not change the structural power relations that exist …","The coasts hold great potential for ‘Blue Growth’, and major industrial and infrastructural developments are already happening there. Such growth, however, comes with risks to marine ecosystems and coastal communities. Competition for space and resources intensifies, turning the coast into an area of social and political conflict, including contestation about knowledge. I argue that there is a need for institutional innovation that allows knowledge integration and conflict resolution to be more interactive and synergistic. The paper critically analyses discourses and practices of interactive governance and co-management while visiting Foucault’s power/knowledge concept for investigating the normativity and effects of participation discourses and practices. This is followed by a discussion of multiple governance paths and their different combinations of resources and forms of expert and local social and ecological knowledge so as to see how they can help resolve conflicts, and enhance governability..."
"In the power of power: the understated aspect of fisheries and coastal management","https://scispace.com/paper/in-the-power-of-power-the-understated-aspect-of-fisheries-yd99g4b5z8","2007","Journal Article","Human Organization","Svein Jentoft","10.17730/HUMO.66.4.A836621H2K5X46M2","","… and influence if effective fisheries and coastal management is to be achieved. Institutional arrangements might need to change to accommodate the participation of stakeholders in their …","As with other forms of governance, fisheries, and coastal management rests ultimately on power; power to decide, enforce, and implement management decisions. Power is in this sense a productive force. Without it, managers could not do their job. But power can also be disruptive, corruptive, and, hence, negative. It can be used to block management initiatives and/or to make management serve special interests, creating thus inequity and injustice. Therefore, power in fisheries and coastal management involves potentials as well as risks, making it one of the key challenges in institutional design. Yet, although power is perhaps the most central issue in social science, a literature search on power in fisheries and coastal management research yields very little. We may wonder why this is so. But what is power in the first place? Where does power sit? And what does power actually do? How can fisheries and coastal management benefit from the way social scientists have debated these questions? This paper attempt..."
"Politics and power in marine spatial planning","https://scispace.com/paper/politics-and-power-in-marine-spatial-planning-2u40ov0vox","2019","Book Chapter","","Wesley Flannery
Jane Clarke
Benedict McAteer","10.1007/978-3-319-98696-8_9","https://library.oapen.org/bitstream/handle/20.500.12657/22921/1/1007240.pdf#page=227","… average size of European offshore wind farms has increased … are constructed within existing power relations. The chapter … (eg environmental justice and coastal poverty alleviation). …","Marine spatial planning (MSP) has been lauded as a remedy to unsuitable marine management. There is, however, growing MSP research illustrating that it is failing to foster paradigm shifts towards sustainable governance. The gap between MSP theory and practice is due to its asocial and apolitical implementation. This narrow version of MSP has been advanced through post-political planning and uncritical rationalities. The result is a choreographed form of MSP, with clearly defined outcomes that serve the needs of elite actors rather than the public interest. This chapter argues that to recapture its democratising potential, MSP requires explicit engagement with politics and power. We highlight the use of the boundary object lens and citizen science as two potential avenues to facilitate this engagement."
"Enhancing community empowerment through participatory fisheries research","https://scispace.com/paper/enhancing-community-empowerment-through-participatory-2jvbsqwtgz","2009","Journal Article","Marine Policy","Melanie G. Wiber
Anthony Charles
John Kearney
Fikret Berkes","10.1016/J.MARPOL.2008.05.009","https://www.academia.edu/download/5021213/Wiberetal2009.pdf","… fisheries are to develop effectively [6], [7]. To move toward more effective fisher participation in … In this approach, the important aspect of how power relations affect collective action has …",""
"Theorizing social sustainability and justice in marine spatial planning: Democracy, diversity, and equity","https://scispace.com/paper/theorizing-social-sustainability-and-justice-in-marine-45huxfaypc","2020","Journal Article","Sustainability","Fred Saunders
Michael Gilek
Anda Ikauniece
Ralph Voma Tafon
Kira Gee
Jacek Zaucha","10.3390/SU12062560","https://www.mdpi.com/2071-1050/12/6/2560/pdf","… While these three social sustainability/justice features clearly overlap and are interdependent in … , implementing, and achieving social justice within a broader sustainability framework. …","This article elaborates a conceptual framework to examine social sustainability in marine spatial planning (MSP). Based on a critical literature review of key texts on social sustainability in MSP and the broader sustainable development literature we show the need to elaborate a cogent and comprehensive approach for the analysis and pursuit of social sustainability linked to the sea. We then theorize social sustainability by developing a conceptual framework through integrating three dimensions: Recognition, Representation and Distribution. While these three social sustainability/justice features clearly overlap and are interdependent in practice, the conceptual thinking underpinning each of them is distinctive and when taken together they contribute towards conceiving social sustainability as a pillar of sustainability. Our approach can support an analysis/evaluation of MSP in that, first, its broad scope and adaptability makes it suitable to examine the wide range of claims, demands, and concerns that are likely to be encountered across different practical MSP settings. Second, it acknowledges the opportunities and challenges of assessing, implementing, and achieving social justice within a broader sustainability framework."
"Ideals, realities and paradoxes of stakeholder participation in EU fisheries governance","https://scispace.com/paper/ideals-realities-and-paradoxes-of-stakeholder-participation-50zwcafk9h","2016","Journal Article","Environmental Sociology","Sebastian Linke
Svein Jentoft","10.1080/23251042.2016.1155792","https://www.researchgate.net/profile/Sebastian_Linke/publication/299997474_Ideals_realities_and_paradoxes_of_stakeholder_participation_in_EU_fisheries_governance/links/570aaa8a08aed09e91714528/Ideals-realities-and-paradoxes-of-stakeholder-participation-in-EU-fisheries-governance.pdf","… Because of existing power relations, voting outcomes become predictable and the … In doing so, new power relations and biases are instituted in the AC system as this study and other …","A participatory turn towards more democratic policy-making and decision-making that involves stakeholders has occurred in EU environmental governance since roughly 2000. Despite ubiquitous emphases in favour of ‘good governance principles’, we still know little about their effects in concrete settings where stakeholders are involved in policy and management. Two recent reforms of the EU’s Common Fisheries Policy introduced stakeholder participation via so-called Advisory Councils (ACs). This involved establishing a system for stakeholder representation in these organisations. This paper shows how democratic ideals that emphasise including stakeholders in environmental governance such as fisheries become constrained – or even reversed – by the realities of stakeholder representation procedures. Our theoretical discussion refers to tensions between democratic ideals and the effective organisation of stakeholder participation through representation, emphasising constraints on participation and what may be lo..."
"Participatory practices in fisheries across Europe: making stakeholders more responsible","https://scispace.com/paper/participatory-practices-in-fisheries-across-europe-making-4x4hp73on5","2008","Journal Article","Marine Policy","Knut H. Mikalsen
Svein Jentoft","10.1016/J.MARPOL.2007.09.003","","… by our research, transparency and participation have been at the core of recent reforms of … involvement in fisheries management. While the specifics of institutional arrangements differ, …",""
"Exploring the winners and losers of marine environmental governance/Marine spatial planning: Cui bono?/“More than fishy business”: epistemology, integration and conflict in …","https://scispace.com/paper/-Zype3KBODwJ","","","","W Flannery
G Ellis
G Ellis
W Flannery","","https://www.tandfonline.com/doi/pdf/10.1080/14649357.2015.1131482","… and neoliberal logic towards more equity-based, democratic … current jurisdictional and institutional arrangements, but they … of socioeconomic justice and to keep fisheries management …",""
"Taking institutions seriously: using the IAD framework to analyze fisheries policy","https://scispace.com/paper/taking-institutions-seriously-using-the-iad-framework-to-1b8oykctx1","2005","Journal Article","Society & Natural Resources","Mark T. Imperial
Tracy Yandle","10.1080/08941920590947922","https://www.academia.edu/download/39346597/S_NR-July2005.pdf","… of institutional arrangements used to manage fisheries in … to when analyzing institutional arrangements. We conclude by … administrative costs, and improves equity, since the rules often …","We argue that the fisheries management literature often does a poor job of analyzing issues related to institutional design and performance. The article begins by examining four competing institutional arrangements used to manage fisheries: bureaucracy, markets, community, and comanagement. The differences are used to highlight the importance of understanding critical issues related to institutional analysis. The article then examines some of the common problems or pitfalls that analysts fall victim to when examining institutional design and performance. We conclude by summarizing the Institutional Analysis and Development (IAD) framework, one approach to institutional analysis that avoids these common pitfalls."
"Equity in environmental governance: perceived fairness of distributional justice principles in marine co-management","https://scispace.com/paper/equity-in-environmental-governance-perceived-fairness-of-3epl9xnjb1","2021","Journal Article","Environmental Science & Policy","Georgina G. Gurney
Sangeeta Mangubhai
Margaret Fox
Milena Kiatkoski Kim
Arun Agrawal","10.1016/J.ENVSCI.2021.05.022","https://researchonline.jcu.edu.au/70097/7/JCU_70097%28AAM%29.pdf","… justice principles: equality, need, and three forms of proportionality based on customary rights, fisheries … Our findings challenge prevailing understandings of distributional justice in …",""
"Power, knowledge, and conflict in the shaping of commons governance. The case of EU Baltic fisheries","https://scispace.com/paper/power-knowledge-and-conflict-in-the-shaping-of-commons-51k6gvy57e","2011","Journal Article","The International Journal of the Commons","Tom R. Burns
Christian Stöhr","10.18352/IJC.260","https://dspace.library.uu.nl/bitstream/handle/1874/214246/260-2061-1-PB.pdf?sequence=2","… Fisheries and Chemicals are governed through specialized Commission directorates within the established EU institutional arrangements… multi-stakeholder participation in deliberations …","This article aims at contributing to governance conceptualization and its application to case study analyses. Two of the challenges which the theoretical and empirical work in the article addresses concern the facilitation of comparability of diverse governance cases and a specification of several key mechanisms of governance formation and reform. A proposed model of the architecture of governance systems – their major components and inter-linkages – contributes, as argued and illustrated here, to greater comparability among cases and with the possibility of improved accumulation of knowledge about governance systems. These tools are applied to empirical cases of governance structure and their functioning and reformation. Baltic fisheries, a complex, multi-level case of commons governance, is considered in some detail in order to illustrate and elaborate the key factors of power, knowledge, and conflict in the functioning and transformation of governance systems. In addition to the Baltic fisheries case, we consider briefly for comparative purposes chemicals and gender relations as additional areas of EU governance. The paper is divided into four sections. Section I introduces the basic conceptualization and tools of analysis. Section II presents the case of Baltic fisheries. Section III elaborates the key concepts and tools presented in Section I, in particular considering additional cases of the functioning of governance systems. Section IV is a brief conclusion."
"Women fish traders on the Kenyan coast: livelihoods, bargaining power, and participation in management","https://scispace.com/paper/women-fish-traders-on-the-kenyan-coast-livelihoods-3ydimjf44l","2014","Journal Article","Coastal Management","Naomi Matsue
Tim M. Daw
Lucy Garrett","10.1080/08920753.2014.964819","https://www.researchgate.net/profile/Tim-Daw-2/publication/273402625_Women_Fish_Traders_on_the_Kenyan_Coast_Livelihoods_Bargaining_Power_and_Participation_in_Management/links/573a468e08ae9f741b2ca75c/Women-Fish-Traders-on-the-Kenyan-Coast-Livelihoods-Bargaining-Power-and-Participation-in-Management.pdf","… of fisheries management issues, their active participation is limited due to lack of assets and highly imbalanced gender power relations… as mama karanga, fisheries governance needs to …","Although gender plays a key role in mediating social relations and livelihood dynamics in fisheries, women's roles have received little attention in many fisheries. Mama karanga are women on the Kenyan coast who buy and process fish for local markets from small-scale fishermen. Mama karanga provide a link between the fishery and poor fish consumers, but are also vulnerable to changes in the fishery due to a lack of education, alternative livelihoods, and capital. Despite their dependence on the fishery and potential importance for food security, mama karanga have been little studied, and this article presents a description of their livelihood and a contribution to the growing literature on gender, fisheries and natural resource management. The livelihoods framework is used to organize information on mama karanga's bargaining power and participation in fisheries management. Bargaining power and access to fish is determined mostly by financial capital, the level of fish catches, and social capital, including complex relations with each other, and fishermen. While mama karanga are aware of fisheries management issues, their active participation is limited due to lack of assets and highly imbalanced gender power relations. In order to integrate important actors such as mama karanga, fisheries governance needs to expand in scope and address gender-based barriers to participation."
"Transforming the governance of small-scale fisheries","https://scispace.com/paper/transforming-the-governance-of-small-scale-fisheries-5933qxqw3s","2018","Journal Article","Maritime Studies","Ratana Chuenpagdee
Svein Jentoft","10.1007/S40152-018-0087-7","https://www.academia.edu/download/112401798/article.pdf","… How would such reforms come about when “unequal power relations” and “limited participation in decision-making” constitute existing governance structures to begin with? If …","Despite their contribution to employment, food security, poverty eradication, and community well-being, small-scale fisheries often find themselves in a disadvantageous position globally relative to large-scale fisheries and other industries competing for marine space, resources, and government attention. By and large, small-scale fisheries are marginalized in every sense of the word: culturally, socially, economically, geographically, legally, and politically. Their unfavorable status is frequently perceived to be both a cause and effect of overfishing, unsustainable fishing practices, and governance failure; thus, their potential to modernize while participating in and delivering on sustainable development goals is less than optimal. Given that the majority of the world’s fisheries are small-scale, it is imperative that major changes take place in the conditions that determine the predicament of small-scale fisheries. For these reasons, in 2014, FAO member states endorsed the Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries in the Context of Food Security and Poverty Eradication (SSF Guidelines), with the aim of encouraging states and civil society organizations to take steps to bring about the changes needed to improve the sustainability and viability of small-scale fisheries. The SSF Guidelines call for broad and complex governance interventions; however, as much as they can help create transformation within small-scale fisheries, governance systems themselves must also be transformed before real change can take place. Based on the analysis of 34 case studies of small-scale fisheries’ governance around the world, our synthesis reveals that small-scale fisheries’ governance is indeed undergoing different types of transformation and can take place in all governing modes. Further, these transformations occur at the operational, institutional, and the meta-levels of governance, which, from the perspective of the SSF Guidelines, is encouraging."
"Remaking oceans governance: Critical perspectives on marine spatial planning","https://scispace.com/paper/MO2X-5KRXQ8J","","","","L Fairbanks
N Boucquey","","https://www.researchgate.net/profile/Luke-Fairbanks/publication/335219044_Remaking_Oceans_Governance_Critical_Perspectives_on_Marine_Spatial_Planning/links/5d84f68892851ceb791f697a/Remaking-Oceans-Governance-Critical-Perspectives-on-Marine-Spatial-Planning.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","… Rather than focus on managing individual sectors such as fishing, shipping, or marine … to the role of stakeholder participation. In the common narrative, broad participation in MSP is the …",""
