"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The future of ocean governance","https://scispace.com/paper/the-future-of-ocean-governance-2yiu0vrzj7","2018","","","Pradeep Singh
Aline Jaeckel
Aline Jaeckel","","https://pmc.ncbi.nlm.nih.gov/articles/PMC7802408/pdf/11160_2020_Article_9631.pdf","… ocean governance for a more sustainable future by 2030, which is the end of the United Nations Decade of Ocean Science for Sustainable Development… Despite growing efforts, gaps in …",""
"Equity of our future oceans: outcomes and practice in marine science research","https://scispace.com/paper/equity-of-our-future-oceans-outcomes-and-practice-in-marine-clrqiiv804","2020","Posted Content","","Korn Alexander
Aysha Fleming
Narissa Bax
Carmen García
Jan Jansen
K E Maxwell
J Melbourne Thomas
Tero Mustonen
Gretta T. Pecl
J.E.H. Shaw
G Syme
Emily Ogier","10.22541/AU.160761569.97952359/V1","https://www.authorea.com/doi/pdf/10.22541/au.160761569.97952359","… The lead author of this paper (KA) filled gaps in the analysis as … ‘Ocean governance’ suggested a pathway action of … -scale coastal and fishing communities experiencing food insecurity …","The Sustainable Development Goals (SDGs) envisage a desirable society where equity is a normative goal that is given attention, and ways to improve inclusivity and diversity of equity beyond concept, process and outcome are being actively explored. Here, we examine how equity is considered in a suite of papers that explored possible sustainable futures for the oceans by 2030, and mapped out pathways to achieve these, collectively aiming to move as far towards achieving the Sustainable Development Goals as technically feasible. Our analysis revealed that a large range of equity issues were recognised and considered, in outcome-based (i.e. distributive), process-based (i.e. procedural) and concept (i.e. contextual) dimensions. However, often, the equity problem was not explicitly stated, but rather implied through the action pathway identified to move towards a more sustainable 2030, highlighting that reducing inequity is interlinked with improving sustainability. Based on these findings, we reflect on the way equity is conceptualised and considered within this work as well as futures science for the oceans more broadly. These reflections are distilled into lessons learnt, a key one of which is that science and knowledge production are immediate areas where we can work to improve equity in terms of building capacity to understand and include equity issues, develop mechanisms to be more inclusive and diverse and continually, and in particular, critically reflect on our own practices to fundamentally challenge how we work and think in the space of marine science research."
"Human-ocean relationships: Exploring alignment and collaboration between ocean literacy research and marine conservation","https://scispace.com/paper/human-ocean-relationships-exploring-alignment-and-3px20dh5jwby","2024","Journal Article","Marine Policy","Jen McRuer
Emma McKinley
Diz Glithero
Ronaldo Adriano Christofoletti
Diana Payne","10.1016/j.marpol.2024.106418","","… and sustainability has surged. Understanding the relationship between society and the ocean is crucial for achieving conservation targets, ocean sustainability… and coastal communities, …",""
"Assessing knowledge gaps and management needs to cope with barriers for environmental, economic, and social sustainability of marine recreational fisheries: the …","https://scispace.com/paper/pQA6rTe0HzUJ","","","","P Pita
J Alós
M Antelo
I Artetxe","","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.00023/pdf","… environmental and socioeconomic sustainability of the sector. … was performed to identify research gaps, while governance … to cover knowledge gaps on socioeconomic relevance, on …",""
"and Coastal Research","https://scispace.com/paper/U1JuAJ-yJvcJ","","","","A Acosta
F Ali
Y DieiOuadi
R Mahon
W Michaels","","https://www.academia.edu/download/106526732/scielo.pdf","… gaps relevant to the sustainability of marine ecosystems and fisheries in the WTA. … mic benefits to its coastal communities. The priorities and knowledge gaps for managing these living …",""
"Marine spatial planning and ocean governance in Small Island Developing States","https://scispace.com/paper/marine-spatial-planning-and-ocean-governance-in-small-island-ff1i5navif2x","2025","Journal Article","Regional Environmental Change","Priyatma Singh
Björn-Ola Linnér
Ashneel Ajay Singh","10.1007/s10113-025-02412-x","https://link.springer.com/content/pdf/10.1007/s10113-025-02412-x.pdf","… , which is struggling with issues of fragmented ocean governance, insufficient funding, data limitations, … Peoples and local stakeholders in a collaborative ocean governance framework. …",""
"Fiscal reforms for sustainable marine fisheries governance: Delivering the SDGs and ensuring no one is left behind","https://scispace.com/paper/fiscal-reforms-for-sustainable-marine-fisheries-governance-2wqamm4lyv","2017","Journal Article","Marine Policy","Essam Yassin Mohammed
Dave Steinbach
Paul Steele","10.1016/J.MARPOL.2017.05.017","https://www.academia.edu/download/93733733/j.marpol.2017.05.01720221106-1-1ckx504.pdf","… pursuit of sustainable development, including achieving the … that there are both institutional gaps to implementing fiscal … is crucial to empowering coastal communities and local fishers to …",""
"Status, trends and challenges in the sustainability of small-scale fisheries in the Philippines: Insights from FISHDA (Fishing Industries' Support in Handling Decisions …","https://scispace.com/paper/vd-I1mZju44J","","","","RN Muallil
SS Mamauag
RB Cabral","","https://www.academia.edu/download/48483971/Status_trends_and_challenges_in_the_sust20160901-6362-1rqd8dq.pdf","… such as marine protected area (MPA) establishment will likely result in further marginalization of the poor fishers which could pose more serious problems in coastal communities. In this …",""
"Blue economy, blue growth, social equity and small-scale fisheries: a global and national level review","https://scispace.com/paper/blue-economy-blue-growth-social-equity-and-small-scale-f1omx1he","2023","Journal Article","Studies in social science research","Jewel Das","10.22158/sssr.v4n1p38","http://cris.leibniz-zmt.de/id/eprint/5119/1/Das2023.pdf","… the livelihoods of marginalized coastal communities, particularly, small… The final section of this article summarizes key gaps and … was to reform ocean governance towards inclusiveness, …","One of the most promising economic arenas in the coming decades is the ocean and there are currently numerous initiatives to the ‘blue economy’ discourse that revolves around the argument that small-scale fishers’ livelihoods require greater attention. To synthesize current scientific knowledge and address prevailing research gaps surrounding this discourse, I conduct a scoping review of global literature on the blue economy, blue growth, social equity, and Small-Scale Fisheries (SSF) analyse different international policy papers and national-level blue economy plans. To explore the need for further research, this review focuses on how different aspects of the blue economy risks lead to inequity in the pursuit of ocean sustainability. Based on the initial content analysis, I identify evidence for undermining social equity and justice related to the ocean and find that social equity is often overlooked in national-level blue economy and blue growth initiatives. This overlooking leads to or accelerates processes of coastal and ocean grabbing, displacement, dispossession, and exclusion which strongly impact the livelihoods of marginalized coastal communities, particularly, small-scale fishers in various parts of the world. The collected evidence suggests that there is a missing link between international policy deliberations and national-level implementation plans in the blue economy context. Numerous studies claim that critical re-thinking of policies is required to ensure the sustainability of blue economy trajectories. Unchecked economic growth in the ocean as in other realms can reinforce inequities and unjust and inequitable resource distribution patterns. To pre-empt, mitigate, and resolve likely conflicts, deeper insights are needed to address the impacts of the blue economy and blue growth on coastal livelihoods. I suggest investigating the causes of conflict and further research on how governance responds to sustain small-scale fisheries while embracing the blue economy and blue growth agendas."
"Community responses to flood risk management–An empirical Investigation of the Marine Protected Areas (MPAs) in Malaysia","https://scispace.com/paper/B8eb2UwtAEEJ","","","","MM Masud
AS Sackor
ASAF Alam
AQ Al-Amin","","https://core.ac.uk/download/pdf/356673206.pdf","… therein, but also the coastal communities that are adjacent to … As such, the perception of the coastal communities about … into the perceptions of the coastal communities about the build-…",""
