"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Maritime sociology: towards a delimation of themes and analytical frameworks","https://scispace.com/paper/maritime-sociology-towards-a-delimation-of-themes-and-l32v0le997","1981","Journal Article","Maritime Policy & Management","Michael Poole","10.1080/03088838100000046","","… labour recruitment in shipping to be characterized by a '… seafarers and groups could be analysed in terms of sociotechnical systems. Similarly, in his view, systems thinking in shipping …","This paper sets out to evaluate the main areas of focus within maritime sociology and to link more closely than hitherto the various substantive discussions with general theoretical and conceptual approaches. More specifically, it suggests directions in which maritime sociology may be advanced at both empirical and conceptual levels in the future."
"Industrial relations: origins and patterns of national diversity","https://scispace.com/paper/industrial-relations-origins-and-patterns-of-national-2evyodm7bf","1986","Book","","Michael Poole","","","… of industrial relations systems in various countries in a systematic, theory-oriented way. Like other new academic fields, comparative industrial relations … this book, Michael Poole has set …","Part 1: The comparative approach1. Introduction2. Comparative frameworksPart 2: The 'actors' in the industrial relations system3. Managers and employers' associations4. Labour and trades unions5. Governments, political parties and the role of the statePart 3: Key themes in comparative industrial relations6. Industrial conflict7. Industrial democracy8. The distribution of economic rewardsPart 4: Conclusions9. Conclusions"
"Towards a new industrial democracy: Workers' participation in industry","https://scispace.com/paper/towards-a-new-industrial-democracy-workers-participation-in-gb4oh8jcbi","1986","Book","","Michael Poole","","","… And the upshot should be a vital contribution to our understanding of the workings of industrial relations, and a pointer to those changes which are fundamental if political, economic and …","This updated textbook version of Workers' Participation in Industry takes account of the radically different political and economic conditions of the 1980s, and reflects the worldwide interest in industrial democracy."
"Industrial relations in the future","https://scispace.com/paper/industrial-relations-in-the-future-4dxtm1x4us","1985","Journal Article","The Journal of General Management","Ray Richardson
Michael Poole
W. Brown
J. Rubery
K. Sisson
R. Tarling
F. Wilkinson","10.1177/030630708501100104","","… any given national system of industrial relations are many and … principal explanatory dimensions of industrial relations in Figure 1. … of a given system of industrial relations (structural …","The objective of this paper is to examine, with special reference to management, some likely developments in British industrial relations in the forthcoming decade [1]. During the past fifteen or so years, this aspect of our national life has of course had momentous economic, political and social repercussions for all members of the population and, as a consequence, it has been the focal point for a considerable measure of popular and scholarly disputation. Moreover, in view particularly of fundamental technical changes in manufacturing industry in the future, issues of labour-management relations are almost certain to feature no less prominently in these respects during the period under review."
"Maritime sociology in the making","https://scispace.com/paper/maritime-sociology-in-the-making-2b3fq6zl","2022","Book Chapter","","A Kołodziej
A Kołodziej-Durnaś","10.1163/9789004503410_002","https://www.researchgate.net/profile/Agnieszka-Kolodziej-Durnas/publication/361276774_Maritime_Sociology_in_the_Making/links/62a858bba3fe3e3df8776c09/Maritime-Sociology-in-the-Making.pdf","… In an article from as early as 1981, Michael Poole wrote that the interest in social … He divided the main problems that maritime sociology addresses into seven categories: the …",""
"The origins of economic democracy: Profit sharing and employee shareholding schemes","https://scispace.com/paper/7dnLTFVFQk8J","","","","M Poole","","","… The first involves an account of the origins and development of schemes, while the second entails an assessment of their consequences for the economic and industrial relations …",""
"The impact of economic democracy: Profit-sharing and employee-shareholding schemes","https://scispace.com/paper/the-impact-of-economic-democracy-profit-sharing-and-employee-2va8kj9nss","1989","Book","","Michael Poole","","","… Do they improve industrial relations? … on their impact on the economic, industrial relations, and organizational … However, the relationship is a complex one: industrial relations may be …","This work, originally published in 1989, examines a highly important phenomenon: the growth of profit-sharing and share-ownership schemes for employees within the company. The Origins of Economic Democracy traces the origins and developments of such schemes internationally, and presents an explanatory framework for understanding their emergence. Both legislation and economic conditions play key roles in determining the popularity of such schemes for companies and their employees. The subject of profit-sharing is of vital importance to companies endeavouring to improve their financial performance while increasing the degree of job satisfaction and organizational loyalty of staff members."
"Organizing employment for high performance: theories, evidence and policy","https://scispace.com/paper/organizing-employment-for-high-performance-theories-evidence-3aoijqe7n0","1997","Journal Article","Organization Studies","Keith Leslie Whitfield
Michael John Findlay Poole","10.1177/017084069701800502","","There has been increased interest in recent years about the way in which employment is organized. Some commentators have suggested that there has been a qualitative …","There has been increased interest in recent years about the way in which employment is organized. Some commentators have suggested that there has been a qualitative transformation such that new forms of work organization have developed which offer the prospect of improved performance. Among the key propositions are: (1) labour is being deployed in a more flexible manner; (2) productivity increasingly depends on the commitment offered by workers; (3) performance-oriented work practices only work if introduced in an internally consistent manner; and (4), it is crucial that such practices are congruent with the overall strategy of the organization in which they are sited. Empirical evidence has indicated that there is much support for these propositions, but that the link between them and high organizational performance is both complex and variable. In particular, the context in which they are situated is a crucial determinant of their success."
"Theories and evidence on the growth and distribution of profit sharing and employee shareholding schemes","https://scispace.com/paper/theories-and-evidence-on-the-growth-and-distribution-of-1ayorfs31q","1994","Journal Article","Human systems management","Michael Poole
Keith Leslie Whitfield","10.3233/HSM-1994-13306","","… The materials reported in this paper are in part based on the Workplace Industrial Relations Survey (WIRS 3) data that are lodged in the ESRC Data Archive. The authors wish to …","In this paper, theories and evidence on profit-sharing and employee share-ownership schemes are presented. Various theories and explanations are first assessed. The analysis of general patterns of historical movement are based on three main theoretical approaches (evolutionary, cyclical and favourable conjunctures). In cross-sectional analysis, the range of specific explanatory variables in­ clude: industry characteristics, management ""styles"" , la­ bour force characteristics, and various industrial relations patterns. These theories are examined in relation to recent time­ series evidence from the UK and data from the third British Workplace Industrial Relations Survey (WIRS 3). It is found that the explanatory variables typically used in employment research predict the incidence of most types of employee shareholding scheme (but not the relative incidence of profit-related payments or bonuses). Moreover, it is shown that the financial performance of firms and the absence of industrial action are linked with the presence of schemes in the firm . This also suggests a theory of the application of employee financial participation that would help organisa­ tions survive and be successful in the very competitive world we are facing ."
"Participation and industrial democracy revisited: A theoretical perspective","https://scispace.com/paper/participation-and-industrial-democracy-revisited-a-16l22elkq0","2018","Book Chapter","","Michael Poole
Russell D. Lansbury
Nick Wailes","10.4324/9781315189284-2","","… a growing role for the state and legislature in industrial relations, advances in technology, the rise … support and by its endorsement by all the main actors in the industrial relations system. …",""
"New Technology and Industrial Relations: Theoretical and Empirical Issues","https://scispace.com/paper/new-technology-and-industrial-relations-theoretical-and-2cnelu00mu","2018","Book Chapter","","Michael Poole","10.4324/9781351141246-8","","… called `microelectronics' revolution is likely to have on industrial relations in the years ahead. … of the effects of microelectronics and other advanced technologies on industrial relations. …",""
"Profit Sharing and Share Ownership Schemes in Britain","https://scispace.com/paper/profit-sharing-and-share-ownership-schemes-in-britain-fhrcv7986d","1988","Journal Article","Management Research News","Michael Poole","10.1108/EB027950","","… Michael Poole There has undoubtedly been a significant expansion in profit sharing and employee shareholding schemes in contemporary Britain. The background to these developments …",""
"BRITAIN'S MANAGERS'VIEWS ON THE ROLE OF GOVERNMENT IN THE ECONOMY AND IN INDUSTRIAL ACTIVITY: A LONGITUDINAL ANALYSIS.","https://scispace.com/paper/6CWlu2f8Q7QJ","","","","M Poole
R Mansfield
B Turner","","","This article focuses on the role of the British government in the country's economy and industry. It is argued that the success of any initiatives will depend on the degree of legitimacy …",""
