"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Major trends in work at sea: outline of a political economy of maritime labour","https://scispace.com/paper/major-trends-in-work-at-sea-outline-of-a-political-economy-2abxejk60h","2023","Book Chapter","","Jörn Boewe","10.4337/9781839106583.00063","","Work conditions and economic trends in the maritime sector often only refer to seafarers on board merchant ships and dockworkers. This conventional view is no longer appropriate in the face of recent and long-term trends in the maritime economy. To understand what the political economy of maritime labour is, we must first take an integrated, overall view to define the field, including industries like fishery, off-shore-wind-energy or ship-building and ship wrecking, just to mention some. The article discusses what a meaningful description of the maritime-industrial-logistic complex could be and outlines some of its key structural features and trends. How many employees work ""around shipping,"" in which fields of activity and under which working conditions? How does the recruitment of maritime personnel work today? It provides an overview of the major global players among shipping companies, crewing agencies, port operators and shipyards. The long-term trends in the global labour market for seafarers, the global downward spiral in wages and working conditions triggered by the system of ""flags of convenience"" are portrayed, but also the partially successful efforts of the International Transport Workers' Federation and national trade unions to stop and maybe reverse the ""race to the bottom"". ","Major trends in work at sea encompass a wide range of maritime industries and activities beyond seafarers on board merchant ships and dockworkers. To understand the political economy of maritime labour, a comprehensive overview of the maritime-industrial-logistic complex is required, including industries like fishery, off-shore-wind-energy, and ship-building and ship wrecking."
"Racial capitalism and the sea: Development and change in Black maritime labour, and what it means for fisheries and a blue economy","https://scispace.com/paper/racial-capitalism-and-the-sea-development-and-change-in-1z2efq9o","2022","Journal Article","Fish and Fisheries","Timothy Clark","10.1111/faf.12639","","The ‘Blue Economy’ is often framed as a revolutionary and transformative approach to marine and fishery development. However, scholars increasingly critique the Blue Economy in hopes that equity-related concerns can become more prevalent. While these efforts are important, historical materialist perspectives can more deeply challenge the assumptions and limits of economistic thinking. In that vein, Racial Capitalism posits that capitalist markets promote, solidify and rely on racial hierarchy to secure differential value accumulation. This study applies a Racial Capitalist analysis to illustrate how the expansion of capitalist social relations corresponded the re-solidification of white supremacy to (re)produce systemic inequality in Black maritime labour, and specifically fisheries labour, on the U.S. eastern seaboard. In this case, which occurred across several states and in a critically important marine-fishery system, the expansion of market relations corresponded with labour exploitation, naturalization of hierarchy and inequitable distribution of socioeconomic harm for Black workers. I identify three lessons from this case that Blue Economy and fisheries scholars should heed; specifically, be wary of market utopianism, technological innovation is not inherently progressive, and systemic exploitation still matters. ","In this paper , the authors apply a Racial Capitalist analysis to illustrate how the expansion of capitalist social relations corresponded the resolidification of white supremacy to (re)produce systemic inequality in Black maritime labour, and specifically fisheries labour, on the U.S. eastern seaboard."
"Who Is in and Who Is out in Ocean Economies Development?","https://scispace.com/paper/who-is-in-and-who-is-out-in-ocean-economies-development-17t94k9w","2023","Journal Article","Sustainability","Marianna Cavallo
Alicia Bugeja Said
José A. Pérez Agúndez","10.3390/su15043253","https://scispace.com/pdf/who-is-in-and-who-is-out-in-ocean-economies-development-17t94k9w.pdf","This review engages with the ongoing blue economy debate to decipher old and emerging forms of economic, institutional, physical and social exclusions of local communities and vulnerable societies that may result from the development of ocean projects and policies across the globe. The results of this scientific and policy review show that, whereas for some traditional maritime activities such as fisheries, the drivers of exclusion are well studied and somehow addressed in policies, for other emerging sectors, such as ocean energies or deep-sea mining, there is a lack of understanding on how to recognise and prevent the different forms of exclusion. Exclusion is likely to occur when decisions are taken at the highest level of governance to achieve national or international targets of economic growth, food safety, clean energy or leisure, with little consideration of the effects on local economic, social and environmental contexts. On the other hand, when the principles of inclusiveness are given due consideration, they prove to be beneficial for the societies’ well-being, increasing the chance of long-term social acceptability. We conclude that, to embrace inclusiveness, both governments and industries have to (a) go beyond the capitalist commodification of nature and recognise benefits other than the economic ones, namely, emotional, cultural and spiritual; (b) promote initiatives that fulfil local needs in the first place and are adapted to local contexts; (c) cooperate with local institutions and stakeholders to promote the co-management of resources and adaptive development. Likewise, research institutions, funding organisations and governmental agencies have to engage in new ways to assess the effects of ocean development that go beyond the quantitative approach and seek to integrate qualitative information, traditional knowledge and local perceptions.","In this paper , a review of economic, institutional, physical and social exclusions of local communities and vulnerable societies that may result from the development of ocean projects and policies across the globe is presented."
"Sharing the seas: a review and analysis of ocean sector interactions","https://scispace.com/paper/sharing-the-seas-a-review-and-analysis-of-ocean-sector-4ctm1nqobm","2021","Journal Article","Environmental Research Letters","Beatrice Crona
Beatrice Crona
Emmy Wassénius
Emmy Wassénius
Kate Lillepold
Reg Watson
Elizabeth R. Selig
Christina C. Hicks
Henrik Österblom
Carl Folke
Carl Folke
Carl Folke
Jean-Baptiste Jouffray
Robert Blasiak","10.1088/1748-9326/AC02ED","","Ocean activities are rapidly expanding as Blue Economy discussions gain traction, creating new potential synergies and conflicts between sectors. To better manage ocean sectors and their development, we need to understand how they interact and the respective outcomes of these interactions. To provide a first comprehensive picture of the situation, we review 3187 articles to map and analyze interactions between economically important ocean sectors and find 93 unique direct and 61 indirect interactions, often mediated via the ocean ecosystem. Analysis of interaction outcomes reveals that some sectors coexist synergistically (e.g. renewable energy, tourism), but many interactions are antagonistic, and negative effects on other sectors are often incurred via degradation of marine ecosystems. The analysis also shows that ocean ecosystems are fundamental for supporting many ocean sectors, yet 13 out of 14 ocean sectors have interactions resulting in unidirectional negative ecosystem impact. Fishing, drilling, and shipping are hubs in the network of ocean sector interactions, and are involved in many of the antagonistic interactions. Antagonistic interactions signal trade-offs between sectors. Qualitative analysis of the literature shows that these tradeoffs relate to the cumulative nature of many ecosystem impacts incurred by some sectors, and the differential power of ocean sectors to exert their rights or demands in the development of the ocean domain. There are also often time lags in how impacts manifest. The ocean governance landscape is not currently well-equipped to deal with the full range of trade-offs, and opportunities, likely to arise in the pursuit of a Blue Economy in a rapidly changing ocean context. Based on our analysis, we therefore propose a set principles that can begin to guide strategic decision-making, by identifying both tradeoffs and opportunities for sustainable and equitable development of ocean sectors. © 2021 The Author(s). Published by IOP Publishing Ltd","In this article, the authors review 3187 articles to map and analyze interactions between economically important ocean sectors and find 93 unique direct and 61 indirect interactions, often mediated via the ocean ecosystem."
"Towards Ocean Equity","https://scispace.com/paper/towards-ocean-equity-3rcpksyu","2023","Book Chapter","","Kochin, Aloexander V.","10.1007/978-3-031-16277-0_13","https://scispace.com/pdf/towards-ocean-equity-3rcpksyu.pdf","Abstract The blue economy is being promoted as capable of achieving sustainability and prosperity, fair use of the ocean and the UN Sustainable Development Goals (SDGs). Ensuring a more equitable distribution of goods and services provided by the ocean represents a major challenge. There is overwhelming evidence that current access to ocean benefits and resources, as well as exposure to harms, is distributed inequitably. This results in negative effects on the environment and human health, loss of livelihoods, limited financial opportunities for vulnerable groups and challenges to nutritional and food security. Powerful interests (including states, communities and economic entities) benefit from existing arrangements. Challenging inequality represents a direct threat to such interests. Inequality is increasingly influencing economic development and political stability. Current and recent examples of social unrest are closely associated with concerns about inequality, climate change, corruption and related societal problems perceived as having an unfair impact. Increased scientific attention to inequality is starting to shape debates associated with the ocean. We argue that there is a general policy blindness to instruments and practices that maintain the unfair status quo, but that there are remedies to such blindness. The purpose of this Blue Paper is to explore ocean inequities and suggest approaches for the just inclusion of diverse actors in the blue economy agenda and the equitable distribution of ocean benefits. First, we define inequity terms and their drivers, as well as how they affect sustainability. Second, we explore policies and practices that have (or have not) worked in favour of equity, while also promoting ecological sustainability. Finally, we provide opportunities for action for policymakers, funding and research institutions, international and non-governmental organisations, business leadership as well as civil society to address systemic aspects of inequities along a spectrum of ambitions, from basic to transformative. These opportunities for action are not intended as alternatives. They constitute complementary and reinforcing action to support and inform pathways to a sustainable and just ocean economy. ","In this article , the authors explore ocean inequities and suggest approaches for the just inclusion of diverse actors in the blue economy agenda and the equitable distribution of ocean benefits, and provide opportunities for action for policymakers, funding and research institutions, international and non-governmental organisations, business leadership as well as civil society to address systemic aspects of inequities along a spectrum of ambitions."
"Co-creating a just and inclusive blue economy: an analysis of ocean justice in academic literature, policy and legislation.","https://scispace.com/paper/co-creating-a-just-and-inclusive-blue-economy-an-analysis-of-bf5azmusq2ho","2025","Journal Article","","Celine Germond‐Duret
Senia Febrica","10.5194/oos2025-348","","The blue economy concept that gained popularity after the 2012 UN Conference on Sustainable Development (Rio+20) has since been advocated by public and private actors as well as environmental non-governmental organisations. Defined as “the sustainable pursuit of economic activities resulting from the exploitation of coastal and marine resources” (Germond-Duret and Germond, 2022) the blue economy concept has raised both hope and concerns: hope that environmental protection will be at the heart of (economic) activities at sea; and concerns that it will facilitate further unsustainable exploitation of coastal and marine resources. It can be seen as being part of a wider “blue acceleration” process, “a race among diverse and often competing interests for ocean food, material, and space” (Jouffray et al., 2020).The academic literature as well as policy and legal documents on the blue economy, almost non-existent a few years ago, is now burgeoning. However, it remains an ambiguous and contested concept, and further work is needed to address the place of environmental protection within the blue economy, the role of communities in this process, and the potential human and social costs of additional economic activities at sea. As research on the blue economy expands and as stakeholders further exploit coastal and marine resources, it is critical to deepen our understanding of how the blue economy can be just and fair.Deploying corpus linguistic analysis this paper will examine the existing academic literature as well as policy and legal documents on the blue economy published by governments, civil society, regional and international organisations to investigate:(1) to what extent traditionally overlooked stakeholders, such as coastal communities, are represented in the academic literature, policy and legal documents related to blue economy?(2) are the economic, social and cultural justice implications of blue economy activities addressed?(3) what checks and balances mechanisms are put in place to support inclusive participation of Indigenous Peoples, local communities, small-scale fishers, women, children and young people at the heart of the process?UN databases such as the Food and Agriculture Organization of the UN’s SSF-LEX, the UN Division for Ocean Affairs and the Law of the Sea’s Maritime Zones and Maritime Delimitation database, and the International Seabed Authority’s national legislation database will be used to collate various governments’ documents related to the blue economy.The findings from the paper will identify trade-offs and inequities that surface as blue economies rapidly develop and provide pathways to integrate transdisciplinary action research approaches, processes, and innovation that are needed to unlock the potential of science to develop sustainable blue economies (Heidkamp et al., 2021). Transdisciplinary research implies working with ocean experts from varied disciplines, different knowledge holders and stakeholders in the co-design of solutions (Febrica, 2021). ","This study examines the representation of traditionally overlooked stakeholders in blue economy literature, policy, and legislation, and identifies trade-offs and inequities in blue economy development, aiming to co-create a just and inclusive blue economy through transdisciplinary action research."
"Rethinking blue economy governance – A blue economy equity model as an approach to operationalise equity","https://scispace.com/paper/rethinking-blue-economy-governance-a-blue-economy-equity-5frmorg8x1","2024","Journal Article","","Freya Croft
Hugh Breakey
Michelle Voyer
Andrés Cisneros-Montemayor
Ibrahim Issifu
Makrita Solitei
Catherine Moyle
Brooke Campbell
Kate Barclay
Dominque Benzaken
Hekia Bodwitch
Leah Fusco
Alejandro Garcia Lozano
Yoshitaka Ota
Annet Pauwelussen
Marleen S. Schutter
Gerald Singh
Angelique Pouponneau","10.1016/j.envsci.2024.103710","","The blue economy was originally conceptualised as having a strong focus on social equity; however, in practice, these equity considerations have been overshadowed by neo-liberal capitalist agendas, which have become dominant in blue economy discourse. A continued expansion of ocean industry developments and activities has resulted in an inequitable share of the burdens and benefits of utilising ocean spaces and has exacerbated wealth disparities and power asymmetries. Therefore, finding mechanisms to reinstate equity as fundamental to blue economy governance and practice is increasingly important. However, there remain few practical examples that outline how to embed equity within blue economy governance and current frameworks for understanding equity are complex, often divergent and less focused on implementation. This paper outlines a new model for conceptualising equity that is clear and easily understood, captures equity's key components and dimensions, and covers key ethical concerns that arise in blue economy development. Furthermore, this model can be practically applied and embedded into governance structures. To demonstrate the model's application, the paper outlines one participatory approach to implementing the model in blue economy governance. ","This paper proposes a new blue economy equity model to operationalize equity in governance, addressing inequitable burdens and benefits of ocean space utilization, and provides a practical approach to embedding equity in blue economy governance and development."
"Putting coastal communities at the center of a sustainable blue economy: A review of risks, opportunities, and strategies","https://scispace.com/paper/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db","2023","Journal Article","Frontiers in political science","Louisa Evans
P.M. Buchan
Matt Fortnam
M B Honig
Louise Heaps","10.3389/fpos.2022.1032204","https://scispace.com/pdf/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db.pdf","New approaches to ocean governance for coastal communities are needed. With few exceptions, the status quo does not meet the diverse development aspirations of coastal communities or ensure healthy oceans for current and future generations. The blue economy is expected to grow to USD2.5–3 trillion by 2030, and there is particular interest in its potential to alleviate poverty in Least Developed Countries and Small Island Developing States, and to support a blue recovery from the COVID-19 pandemic. This paper presents a selective, thematic review of the blue economy literature to examine: (i) the opportunities and risks for coastal communities, (ii) the barriers and enablers that shape community engagement, and (iii) the strategies employed by communities and supporting organizations, which can be strengthened to deliver a ‘sustainable' blue economy and improve social justice for coastal communities. Our review finds that under business-as-usual and blue growth, industrial fisheries, large-scale aquaculture, land reclamation, mining, and oil and gas raise red flags for communities and marine ecosystems. Whereas, if managed sustainably, small-scale fisheries, coastal aquaculture, seaweed farming and eco-tourism are the most likely to deliver benefits to communities. Yet, these are also the sectors most vulnerable to negative and cumulative impacts from other sectors. Based on our evaluation of enablers, barriers and strategies, the paper argues that putting coastal communities at the center of a clear vision for an inclusive Sustainable Blue Economy and co-developing a shared and accessible language for communities, practitioners and policy-makers is essential for a more equitable ocean economy, alongside mainstreaming social justice principles and integrated governance that can bridge different scales of action and opportunity.","In this paper , the authors present a selective, thematic review of the blue economy literature to examine: (i) the opportunities and risks for coastal communities, (ii) the barriers and enablers that shape community engagement, and (iii) the strategies employed by communities and supporting organizations."
"« Artisan, ça veut tout et rien dire » - Quelle lutte des classes dans la pêche bretonne ?","https://scispace.com/paper/artisan-ca-veut-tout-et-rien-dire-quelle-lutte-des-classes-3zi75oiz53","2021","Journal Article","","Fabien Clouette","10.4000/VERTIGO.29804","","La filiere peche bretonne est souvent consideree comme homogene alors qu’elle recele de rapports de force, reflets d’une diversite de tailles d’entreprises, d’interets economiques ou politiques et de sensibilites ecologiques. Nous avancons dans cet article l’hypothese d’une lutte de classe originale au secteur, opposant non seulement les gros armements, concentrant actuellement les capitaux et les droits de peche, a leurs ouvriers matelots exploites sur les ponts hauturiers, mais aussi aux petits artisans qu’ils concurrencent sur zone de peche. Matelots et artisans ont en commun la subalternite vis-a-vis de ces armements industriels, ainsi que la recherche d’une capacite d’action qui s’exprime souvent de maniere infra-politique. L’article montre comment s’organisent ces rapports de force : une naturalisation des rapports de pouvoir s’opere et il convient d’en analyser les effets.","In this article, a hypothese d'une lutte de classe originale au secteur, opposant non seulement les gros armements, concentrant actuellement les capitaux et les droits de peche, a leurs ouvriers matelots exploites sur les ponts hauturiers, mais aussi aux petits artisans concurrencent sur zone of peche."
"A framework for assessing the blue equity of social-ocean systems in marine governance transformation","https://scispace.com/paper/a-framework-for-assessing-the-blue-equity-of-social-ocean-156cbxjfuf","2024","Journal Article","Frontiers in Marine Science","NULL AUTHOR_ID
NULL AUTHOR_ID
NULL AUTHOR_ID","10.3389/fmars.2024.1403194","","The equitable utilization of marine resources and the maintenance of healthy and sustainable marine ecosystems are essential to advancing the United Nations Sustainable Development Goals (SDGs) and promoting the well-being of all humanity. In this paper, we propose a Blue Equity Assessment Framework, which is based on a systematic literature review approach and takes into account the characteristics of Social-Ocean Systems (SOSs). The framework consists of Distributional Equity, Procedural Equity, Recognitional Equity, and Contextual Equity. The aim of this framework is to conduct equity analyses of policies or behaviors within SOSs in order to assess whether blue equity is explicitly implemented and practiced in these societal norms and policy mechanisms. The assessment framework reveals that blue equity has a positive synergy for the majority of the SDGs. This synergy is analyzed in terms of its influence on the assessment dimensions of distributional justice, procedural justice, recognitional justice, and contextual justice. The findings aim to enhance societal understanding of blue equity issues, thereby guiding policymakers in the prioritization of blue equity in the development and utilization of marine resources and in the transformation of global ocean governance. ","This paper proposes a Blue Equity Assessment Framework to evaluate the equitable utilization of marine resources and promote sustainable marine ecosystems, revealing a positive synergy with 8 out of 17 UN SDGs, particularly in distributional, procedural, recognitional, and contextual justice dimensions."
