"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Labour Regimes at Sea","https://scispace.com/paper/labour-regimes-at-sea-148yiey1","","","","John Sergeant","","","A Centre on Labour and Global Production workshop ‘Labour Regimes at Sea’ was held at Queen Mary University of London on 26 May 2022. This working paper compiles the original concept note and session design, the list of participants and a report on the discussion. The workshop was organised by Hyunjung Kim and Siddharth Chakravarty, and the workshop report drafted by Jack Sergeant. Background There is a growing academic and activist interest in ‘labour regimes’ – ‘the combination of social relations and institutions that bind capital and labour in a form of antagonistic relative stability in particular times and places’ (Baglioni et al. 2022: 1). In parallel, since the 2010s there has been a rapid rise of interest in critical maritime studies, maritime political ecology, and ‘thinking with the ocean’ (Bennett 2019; Havice and Zalick 2019; Campling and Colás 2021). This workshop brought together people interested in the intersection of labour and the sea and sets out with a discussion based on a series of questions comparing the diverse experiences and geographies to interrogate the puzzle: what are labour regimes at sea? Since the mid-2010s, a wide incidence of extreme forms of labour relations at sea have been reported, wherein the term ‘slavery at sea’ is often used to describe working and living conditions. Workers in industrial fishing are considered most prone to abuse and extreme exploitation, as highlighted in the public domain after a series of media exposures (Associated Press 2015). While working conditions in maritime transport are generally believed to be relatively better off than in the fishing sector, recent stories of seafarers stuck on merchant ships (Williams, A. and Hammond Esq., D. 2021) as a result of the global Covid pandemic highlight their peculiar positions and conditions of work at sea. Despite the importance of maritime workers to the global economy, their labour remains marginal to discussions of ‘oceans issues’ in a plethora of global policy dialogues. One reason could be closely related to the distinctive challenges that the ‘sea’ poses on workers – as well as the study of workers: their remote conditions of work at sea make them invisible, while often complex labour relations on board constrain the possibility of more active engagement, both in advocacy and academic approaches. Where breakthroughs do take place, they often deploy the politics of rescue, in turn limiting the examination of the conditions under which workers live and work. To synthesise these approaches, this workshop was envisaged as an invitation to engage with the subject of workers at sea by exploring the particularities of contexts and relations within which at-sea workers are located.","A Centre on Labour and Global Production workshop ""Labour Regimes at Sea"" was held at Queen Mary University of London on 26 May 2022 as discussed by the authors , which brought together people interested in the intersection of labour and the sea and sets out with a discussion based on a series of questions comparing the diverse experiences and geographies to interrogate the puzzle."
"Major trends in work at sea: outline of a political economy of maritime labour","https://scispace.com/paper/major-trends-in-work-at-sea-outline-of-a-political-economy-2abxejk60h","2023","Book Chapter","","Jörn Boewe","10.4337/9781839106583.00063","","Work conditions and economic trends in the maritime sector often only refer to seafarers on board merchant ships and dockworkers. This conventional view is no longer appropriate in the face of recent and long-term trends in the maritime economy. To understand what the political economy of maritime labour is, we must first take an integrated, overall view to define the field, including industries like fishery, off-shore-wind-energy or ship-building and ship wrecking, just to mention some. The article discusses what a meaningful description of the maritime-industrial-logistic complex could be and outlines some of its key structural features and trends. How many employees work ""around shipping,"" in which fields of activity and under which working conditions? How does the recruitment of maritime personnel work today? It provides an overview of the major global players among shipping companies, crewing agencies, port operators and shipyards. The long-term trends in the global labour market for seafarers, the global downward spiral in wages and working conditions triggered by the system of ""flags of convenience"" are portrayed, but also the partially successful efforts of the International Transport Workers' Federation and national trade unions to stop and maybe reverse the ""race to the bottom"". ","Major trends in work at sea encompass a wide range of maritime industries and activities beyond seafarers on board merchant ships and dockworkers. To understand the political economy of maritime labour, a comprehensive overview of the maritime-industrial-logistic complex is required, including industries like fishery, off-shore-wind-energy, and ship-building and ship wrecking."
"International regulations on labour health and safety applied to fishing and maritime transport sectors. Are maritime workers under-protected.","https://scispace.com/paper/international-regulations-on-labour-health-and-safety-59r2rwhdfb","2012","Journal Article","International Maritime Health","Julio Louro Rodríguez
Rosa Mary de la Campa Portela
Guadalupe Martín Pardo","","https://scispace.com/pdf/international-regulations-on-labour-health-and-safety-59r2rwhdfb.pdf","The work activity developed on board is of great importance in our nearby environment, and it has a series of peculiarities that determine the service rendering of sea workers. On the other hand, work at sea is developed on an international basis. Nowadays such work becomes a completely globalised industrial sector in relation to the elements that make up the ship's operation, including manpower. For that reason several relevant international organisations have paid attention to this industrial sector and have adopted a broad regulation on this matter. In the case of the European Union, the Community procedure emphasises enormous interest in providing specific and comprehensive training to seafarers, as well as in regulating working time on board with the aim of minimising the safety problems caused by fatigue. In the present article a schematic presentation of regulations on workers' health and occupational safety protection derived from the European Union, the International Maritime Organisation, and the International Labour Organisation has been done. Also it shows what parts of these regulations are not applicable to the work on board, and it reveals how the workers of fishing and maritime transport sectors are under-protected with regard to the guarantee of their health and occupational safety compared to workers in other sectors.","In the present article a schematic presentation of regulations on workers' health and occupational safety protection derived from the European Union, the International Maritime Organisation, and the International Labour Organisation is done, and it reveals how the workers of fishing and maritime transport sectors are under-protected with regard to the guarantee of their health and Occupational safety compared to workers in other sectors."
"The Social Dimensions of the Common Fisheries Policy: A Review Of Current Measures","https://scispace.com/paper/the-social-dimensions-of-the-common-fisheries-policy-a-1vwjx4iijj","2014","Book Chapter","","Giorgio Gallizioli","10.1007/978-94-007-7911-2_4","","The Common Fisheries Policy has existed for 30 years. A thorough analysis of the outcomes of the policy is carried out at least every decade, when the framework legislation is reviewed. While studies on the condition of the biological resources of the sea, and economic aspects of the fishing industry are both widely available, less attention seems to be paid to the situation of those coastal communities where commercial fishing activity is still important. However, the European Community (now European Union) has always given due consideration to the situation of those communities ‘dependent on fisheries’, by adopting an array of measures aimed at developing or modernizing production structures. Actions to promote the sustainable development of coastal areas with significant employment in the fisheries sector have also been financially supported by the European Union (EU). Furthermore, specific legislation has been conceived with a view to enhancing working conditions and making work at sea a safer occupation. This review will take stock of these initiatives and try to draw conclusions on the impact they have had on such communities, notably by drawing from existing evaluations carried out by the European Commission. At a time when the European workforce should undergo a significant change in order to reach the ambitious employment rate target, as set out in the Europe 2020 strategy, it is even more pertinent to study the outcomes of previously adopted measures. The value of these measures shall indeed be measured against goals that are now somewhat different to those of the past.","In this paper, a review of the Common Fisheries Policy has been carried out at least every decade, when the framework legislation is reviewed, and the value of these measures shall indeed be measured against goals that are now somewhat different to those of the past."
"Gens de mer : un marché international du travail","https://scispace.com/paper/gens-de-mer-un-marche-international-du-travail-2ytsc5dd7u","2016","Book","","Patrick Chaumette","","https://halshs.archives-ouvertes.fr/halshs-01469625/document","L’ouvrage envisage les mutations du travail a bord des navires marchands. Il s’agit du premier secteur internationalise, du fait de la liberte d’immatriculation du navire, de la recherche d’une main d’œuvre qualifiee, mais competitive. La Convention du travail maritime, adoptee en 2006 par l’OIT, a pris une dimension universelle, et renove l’encadrement de ce secteur, notamment par une certification sociale. Le controle des navires par l’Etat du port participe a l’effectivite des normes internationales, ainsi qu’a leur regionalisation. Le droit social europeen s’efforce d’integrer la dimension internationale de ce secteur, de construire un marche regional harmonise, de traiter les armements maritimes comme toute autre entreprise. Le controle des societes de manning et le rattachement des gens de mer a un systeme de protection sociale constituent deux chantiers particulierement complexes, susceptibles d’engendrer des concurrences deloyales.

Human Sea – « Il faut rendre la mer humaine. Le developpement des activites humaines en mer – Quelles evolutions juridiques ? ». Ce programme europeen de recherche, ERC Advanced Grant 2013 n° 340770, anime par le professeur Patrick CHAUMETTE, de l’universite de Nantes, s’interesse aux repercussions des evolutions technologiques sur les activites maritimes, sur leurs impacts sur le droit de la mer et le droit maritime.","In this article, the authors discuss the repercussions of evolutions technologiques on les activites humaines en mer, sur leurs impacts on le droit de la mer and the droit maritime."
"Sustainable Maritime Labour Governance: The Role of Transformative Partnership in Seafarers' Welfare","https://scispace.com/paper/sustainable-maritime-labour-governance-the-role-of-zyp03gfndw","2021","Book Chapter","","Desai Shan
Pengfei Zhang","10.1007/978-3-030-69325-1_13","https://scispace.com/pdf/sustainable-maritime-labour-governance-the-role-of-zyp03gfndw.pdf","In the 2030 agenda for sustainable development, decent work and economic growth are the eighth sustainable development goal (SDG). Maritime transportation supports over 80% of the international trade, and more than 1.6 million seafarers work at sea to ensure marine transportation is safe, efficient and environmentally friendly. Seafarers make a critical contribution to sustainable maritime transportation. To ensure decent work conditions at sea and protect seafarers’ rights is an important sustainable development goal. Drawing upon the case of port-based welfare facilities, this chapter aims to examine the current partnership of maritime labour governance, different roles of governmental and non-governmental organisations and how they work together to ensure and promote well-being and welfare of seafarers. This chapter also discusses the current challenges faced by the public–private partnership in sustaining and developing seafarer welfare. We argue that a transformative partnership, involving both public and private actors, is required in the maritime labour governance and that sovereign states should recognise seafarers’ key workers’ status and assign more resources to international seafarers’ welfare facilities.","In this paper, the authors examine the current partnership of maritime labour governance, different roles of governmental and non-governmental organisations and how they work together to ensure and promote well-being and welfare of seafarers."
"“Decent Work” in der Seeschifffahrt?","https://scispace.com/paper/decent-work-in-der-seeschifffahrt-1eciikuvsf","2010","Book Chapter","","Heide Gerstenberger","10.1007/978-3-531-92572-1_4","","Im Zentrum dieses Beitrags steht die These, dass die Globalisierung des maritimen Arbeitsmarktes die positive Wirkung von internationalen Regulierungen maritimer Arbeitsverhaltnisse begrenzt. Um dies zu erlautern, wird zunachst skizziert, unter welchen Bedingungen sich in den 1960er Jahren eine tatsachliche Verbesserung maritimer Arbeitsverhaltnisse durchsetzen lies (1), und dann erklart, warum diese Bedingungen inzwischen nicht mehr bestehen. (2) Die negativen Wirkungen weitreichender De-Regulierung der Seeschifffahrt provozierten Versuche der Re-Regulierung. (3) Dass deren Wirkung im Hinblick auf die Arbeitsverhaltnisse von Seeleuten Grenzen gesetzt sind, wird am Beispiel der Consolidated Maritime Labour Convention entwickelt. (4) Abschliesend werden mogliche Perspektiven fur decent work in der Seeschifffahrt diskutiert. (5)","In this article, the authors discuss the positive Wirkung von internationalen Regulierungen maritimer Arbeitsverhaltnisse begrenzt."
"The global seafarer: living and working conditions in a globalized industry","https://scispace.com/paper/the-global-seafarer-living-and-working-conditions-in-a-35s8fw3sld","2004","Book","","Tony Alderton
Michael Bloor
Erol Kahveci
Tony Lane
Helen Sampson
Michelle Thomas
Nik Winchester
Bin Wu
Minghua Zhao","","","This volume offers a systematic account of the effects of globalization on the shipping industry and seafarers' lives. The seafarers' labour market is changing rapidly and this study discusses the challenges encountered in recruitment practices, trade unions and collective bargaining, as well as training, certification and fraudulent certification. Wages, contracts, and tours of duty are also investigated, and the book includes in-depth treatment of seafarer safety and hazard exposure.

Innovations such as automated engine rooms and the global maritime distress and safety system, the internationalization of ship registrations, multinational crewing and reductions in crewing levels, and the rise in ship management companies have had a profound effect on seafarers' living and working conditions. This perceptive book examines these and future issues for regulation and enforcement.","In this article, a systematic account of the effects of globalization on the shipping industry and seafarers' lives is presented, including the challenges encountered in recruitment practices, trade unions and collective bargaining, as well as training, certification and fraudulent certification."
"Répartition du travail et identités salariales : Marins pêcheurs, saisonniers, intérimaires, intermittents","https://scispace.com/paper/repartition-du-travail-et-identites-salariales-marins-1d2oltzdgh","1998","","","M. Del Sol
A. Gouzien
N. Souchard
Pascale Turquet","","","En choisissant d'appliquer la notion de repartition du travail, non pas a des pratiques d'entreprises mais a des groupes socio-statutaires en situation particuliere d'emploi, cette recherche en elargit le sens pour y introduire l'environnement social. Elle entend egalement ainsi prendre quelque distance avec le debat contemporain qui fait de la reduction du temps de travail le noeud de resolution exclusif de la question sociale. Marins pecheurs, saisonniers, interimaires, intermittents connaissent en effet des rythmes d'activite avec lesquels leurs revenus (salariaux et sociaux) ne sont que partiellement correles. La fragilite de leurs liens salariaux est compensee, certes de facon tres relative, par des regulations territoriales. L'esquisse d'un droit du travail integrant le territoire comme espace de la relation contractuelle indique combien les groupes etudies peuvent faire montre de modernite. En suggerant l'etroite imbrication des trois dimensions organisatrices du rapport salarial, le temps mais aussi l'espace et le lien de subordination, les repartitions du travail etudiees modelisent en quelque sorte differents scenari qui ne permettent plus d'enfermer les groupes socio statutaires etudies dans leur particularisme. Les AA. de l'article s'attachent en effet a montrer qu'en filigrane s'y dessine un pan d'une nouvelle ere salariale productrice d'identites multiples et non reductibles au marquage statutaire : les « journaliers des temps modernes », les « professionnels » et les « faux independants » en constituent assurement des figures archetypiques","In this article, the notion of repartition du travail, not only a des pratiques d'entreprises mais a des groupes socio-statutaires en situation particuliere d'emploi, en elargit le sens for y introduire l'environnement social."
"Fisheries","https://scispace.com/paper/fisheries-1vt1io0w","2022","Book Chapter","","Claudia A. Bernard","10.1201/9781003337430-9","","The catching of wild fish is one of the two oldest maritime industries, the other being shipping. Its roots are lost in pre-history and it remains preeminent today in its spatial and social impacts. For centuries fishing has been a cornerstone of the Blue Economy. In recent times it has been of less significance in monetary value when compared to other maritime industries such as offshore oil and tourism. However, catch fisheries remain enormously important in terms of employment and subsistence to coastal communities everywhere. They are the largest maritime employer by an order of magnitude, over five times their nearest rival [OECD 2016]. Arguably, of all maritime human activity, they have the greatest impact on the environment. The ancient rights of individuals to navigate and fish the oceans and seas are under pressure from overfishing, illegal fishing, market competition from farmed fish and spatial exclusion due to new industries and conservation areas. ","The catching of wild fish is one of the two oldest maritime industries, the other being shipping as discussed by the authors , and catch fisheries remain enormously important in terms of employment and subsistence to coastal communities everywhere."
