"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Maritime Sociology in the Making","https://scispace.com/paper/maritime-sociology-in-the-making-2b3fq6zl","2022","Book Chapter","","","10.1163/9789004503410_002","https://scispace.com/pdf/maritime-sociology-in-the-making-2b3fq6zl.pdf","","fishery exploitation policies . Hence, what prevails here again is the second paradigm of studies about sea-related issues, which sees a main problem in the impact people have on the marine environment and not in the impact the sea reality has on social life. Conclusion:
 In order to gain the status of a fully recognised scientific discipline, maritime sociology certainly lacks important journals discussing this topic sensu stricto. In Poland, Roczniki Socjologii Morskiej [Annals of Maritime Sociology] was published for three decades between 1986-2016 (25 volumes were issued). Although they were becoming more and more valued and grew from being a local journal into an international one recognised abroad (the last issues contained articles written by non-Polish authors in English), they ceased to be subsidised due to changes brought by the reform of higher education. Nonetheless, there are many other significant journals which publish works related to maritime sociology.  . It still seems, however, that the emergence of, or simply starting a journal which would publish articles strictly about maritime sociology, would strengthen its position among modern sociological notions and promote the integration of the community of maritime sociologists. This is particularly important in the context of the growing interest of researchers and the simultaneous increase in the amount of diverse social research on sea-related issues."
"Seafarers' social life and its effect on maritime safety with respect to Egyptian seafarers","https://scispace.com/paper/seafarers-social-life-and-its-effect-on-maritime-safety-with-3hvr8oog8x","1999","","","Ahmed Abd El Naiem Hafez","","https://scispace.com/pdf/seafarers-social-life-and-its-effect-on-maritime-safety-with-3hvr8oog8x.pdf","","Keywords: Seafarers' social life, stress, fatigue, job dissatisfaction, ILO, ITF"
"Global transformation of the contemporary labour market for merchant navy seafarers : case studies of Filipino, South African and British seafaring labour markets.","https://scispace.com/paper/global-transformation-of-the-contemporary-labour-market-for-4d2zm98k0n","2008","Dissertation","","Shaun Ruggunan","","https://scispace.com/pdf/global-transformation-of-the-contemporary-labour-market-for-4d2zm98k0n.pdf","The central aim of this thesis is to investigate how and why labour markets are formed in specific ways under contemporary global capitalism. This thesis achieves this through a sociological analysis and explanatory account of the contemporary transformation of merchant navy seafaring labour markets for Filipino, South African and British seafarers. The study is centrally concerned with four questions relating to the restructuring of these labour markets. These questions are: 1. How has the labour market for seafarers been reshaped? 2. How has the restructuring of shipping capital facilitated this process process? 3. What has the role of labour been in this restructuring process? 4. What other labour market institutions contribute to this restructuring? Answering these four questions allows me to achieve the central aim of my thesis which is to investigate how and why labour markets are formed in specific ways under contemporary global capitalism. In answering these questions this thesis makes three theoretical interventions in industrial sociology. Firstly, this work offers a substantially different account of labour markets that advances a more fully social explanation of labour market formation that does not consider the social as a 'factor' or an 'add on' as does classical and neo classical economics (and some strands of economic sociology) but a significant shaper of global labour markets. Secondly, it fills a gap in theorising the agency of organised labour under global capitalism. The thesis demonstrated how the agency of organised labour and the importance of locality or place should also be accorded primacy in arguing how labour markets are produced. Thirdly in making my own assertions about the creation and decimation of working classes under capitalism, I draw on three detailed case studies of seafaring trade unions, capitalist and state strategies in the shaping and transformation of contemporary labour markets for seafarers and therefore demonstrate the fallibility of the 'race to the bottom' thesis using contemporary research and data.","upgrade to officer levels. In conjunction with this locally based strategy is a campaign by the Rail and Maritime Union within the International Transport Workers Federation to secure and protect United Kingdom ratings' jobs. These trade union strategies will be discussed in detail in chapter six. The Implication of Flexible Labour Markets for Seafarers:
 To reiterate the purpose of this chapter is to answer the question ""how has the labour market for seafarers been reshaped?"" I have shown how this reshaping is taking place in very specific ways in Filipino, South African and British labour markets for seafarers. This section argues that in addition to the specific changes occurring in these three labour markets, there are more generic trends that can be observed across global seafaring labour markets. These trends, following the discussion in chapter two, can broadly be discussed as ways in which merchant seafarers are similar and dissimilar from other types of workers in a post Fordist labour market. This is important because it situates seafarers and seafarer labour markets into the broader context and discussion of changes in the nature of global labour markets as referred to in chapter two. This section argues that there are five similarities and four differences between seafarers and other flexible workers in the global labour market. The Implication of Flexible Labour Markets for Seafarers:
 The first way in which seafarers are similar to other flexible workers is their reliance on agencies or labour brokers for employment. Of the three case studies presented in this thesis, Filipino seafarers rely on agencies for their employment (See Chapters six and seven) of the thesis, though this is certainly the case for all seafarers in the new global seafaring supply countries around the world. This was not the case for South African seafarers though there are some attempts to move in this direction (see chapter six) or British ratings, who are almost non-existent in their employment in global labour market (see chapters four and six and seven). The Implication of Flexible Labour Markets for Seafarers:
 Interview, RMT Information Officer, London, United Kingdom: February 2005. The Implication of Flexible Labour Markets for Seafarers:
 However given that seafarers from the dominant seafaring supply countries such as the Philippines, rely on labour broking for their employment (see chapter six), labour broking is an important process in the formation of seafaring labour markets. Labour broking in the commercial shipping sector is mainly a result of the shift to flexible accumulation strategies of shipping companies, which involve radical changes to the nature of the bureaucracy of shipping companies. The details of the organisational restructuring of shipping companies are more fully explored in chapter five."
"Inside container economies","https://scispace.com/paper/inside-container-economies-1i6vzgdzl2","2021","Journal Article","Focaal","Hege Høyer Leivestad
Johanna Markkula","10.3167/FCL.2021.890101","https://scispace.com/pdf/inside-container-economies-1i6vzgdzl2.pdf","This introduction proposes an anthropology of global cargo circulation by placing the maritime shipping industry at the center of global capitalism. With “container economies” we refer to the maritime global circulation of cargo that is sustained by an undervalued labor force, dependent upon unstable logistics infrastructures and driven by speculative capital. Container economies, we argue, are produced by adding, moving, and destroying value through the maritime supply chain. In this introduction, we reflect upon the implications of containerization and its wider consequences for logistics labor. We argue that maritime logistics and labor is best understood by taking into account their wider networks of dependency expressed through kinship relations, ethnicity and coexisting regimes of value.","the Atlantic port of Lobito deal with state-led customs regimes (see also in times of commodity-crisis, Schubert disentangles ""the fantasy of frictionless"" trade through the ""intensive work"" it takes to produce it. Maritime logistics and containerization:
 By focusing on how labor politics has been transformed under supply chain capitalism, critical logistics scholars have interrogated both the vulnerabilities of the logistics workforce and the revolutionary potential of logistics labor . What distinguishes our approach within this debate is our assertion that logistics is only productive-and destructive-in as far as it is also operating within wider networks of dependency. In this issue, we show that an anthropology of maritime logistics and labor pays attention not only to spatial and organizational power and vio-lence but also to the social and cultural issues that continue to underpin the ways in which global trade works in practice. While the critical logistics literature has focused on the inherent systemic friction and violence embedded in the ""chain, "" our assertion is that maritime logistics can only be produced, sustained, and interrupted by engaging with diverse life worlds and moralities, kinship relations, and local exchange practices (see . Life and labor under seaborne capitalism:
 Th e maritime industry has been referred to as ""invisible"" (George 2013), and the sea as a ""forgotten space, "" ""out of sight, out of mind"" . Marx and Marxist scholars have located capitalism's origins as well as its global expansion through imperialism mainly by focusing on land-based events, such as the original land grab and the creation of industry ). In the meantime, others have pointed to the importance of hidden maritime connections in these same projects (see . Fernand Braudel's view of capitalism, for instance, diff ered in important ways from that of Marx  when he put long-distance networks at the center of his analysis. He distinguished ""capitalism"" from economic life and ""the market"" and viewed the former as only concerning ""the unusual, the very special, or the very long-distance connection"" ."
"The Filipino seafarer : a life between sacrifice and shopping","https://scispace.com/paper/the-filipino-seafarer-a-life-between-sacrifice-and-shopping-1j3tf2smwo","2012","Journal Article","Anthropology In Action","Gunnar M. Lamvik","10.3167/AIA.2012.190104","https://scispace.com/pdf/the-filipino-seafarer-a-life-between-sacrifice-and-shopping-1j3tf2smwo.pdf","This thesis is about the seaman and his family. A returning theme in every part of this work, is how the Filipino overseas seafarer is interwoven with his family. Both in the sense that the family ...","a social universe which contains a limited number of people, personnel possessing positions within a rigid and formal hierarchy. I would also like to add that since the whole ""place"" is constantly moving, a ship constitutes an odd locale for human societies to develop. Life at sea:
 This part is divided into two main sections. First, the aim is to point at some selected factors which appear as constitutional in the creation of the working community on board. This includes a brief outline of the formal social organization on board and a description of certain other elements which also are presuppositions for or cornerstones in a maritime world. The idea is that the totality of these rather tangible factors constitutes a framework for a social universe in which certain very interesting and genuine experiences are generated. In other words, the first section will contain an overview over the arena or context in which the seafarers live the professional part of their lives. Life at sea:
 In the second section, however, the spotlight will be directed towards some very significant though less evident layers of the framework outlined in former section. While the first section will be rather cartographic in its character, the second one will contain a dissection of some of the many facets of the experiences a life at sea can bring about. The aim is to strive for a deeper understanding of what it means to be a seaman; a comprehension which goes beyond such things as division of labor, rank and perhaps even nationality. Implicit in this discussion I therefore argue that at a certain level, or in terms of certain experiences, a seaman will always be a seaman. Whether a man belongs to the senior officers, or he performs his duties as a rating; when it comes to what I will name a particular attitude or ethos, ""they are all in the same boat"". In other words, I will maintain that since they literally share the same horizon during their time on board, they will also in a metaphorically sense share the same horizon. In this section, I will argue that this social milieu has qualities which are similar to those of a prison, and that this is an approach or experience which periodically or permanently is shared by many, if not by all, crew members on board a ship in the Merchant Marine. Life at sea:
 The following sections are partly based on my own experiences from life on board -of special importance here is the NIS-registered vessel with a mixed crew I joined in the fall of 1994 on a voyage from Europe to Asia -and partly on how other writers have conceptualized these issues. However, also the seafarers' reports of their periods on board in the interviews will play an intrinsic role in my outline and discussion of these matters."
"Sociological aspects of seafarers' life and work and management styles in shipping","https://scispace.com/paper/sociological-aspects-of-seafarers-life-and-work-and-jsffk1oose","2016","","","Andrija Nenadić
Dražen Jašić
Aleksandra Krajnović","","https://scispace.com/pdf/sociological-aspects-of-seafarers-life-and-work-and-jsffk1oose.pdf","As this paper’s authors have learned from experience, contacts with seafarers and their participation in the internet forums, it appears that seafarers reluctantly take comments on the specific ways of their life and work which are made by people who do not come from their walk of life. Their attitude gave an impulse to this research. The results have been produced through surveying the seafarers and analysing their statements posted on online discussion sites where they share their experience. The research sample consists of the seafarers attending additional training programs at the Faculty of Maritime Studies in Split, the so-called Special education and training programme for seafarers [1].","corporate policies, international standards and conventions. The sacrifice arising from being separated from their families and friends is huge and a simple calculation shows that a seafarer never makes a fortune -in most cases he or she works hard for an average pay. SEAMAN'S PROFESSION AND MARITIME SHIPPING TODAY -PSYCHO-SOCIOLOGICAL IMPLICATIONS:
 Each person experiences and deal with challenge in a different way. Fortunately, seafarers are predominantly strong and independent individuals, otherwise they could not survive in their severe professional environment. However, it means a lot to the seafarers to have someone to talk to and reduce the feeling of isolation, particularly with regard to modern multinational and multicultural crews. Linguistic, cultural and religious constraints are huge and hard to overcome; hence, seafarers tend to form small circles of relationships and have few people to communicate with on a regular basis. Today, it is hard to find a crew consisting of people having only one nationality. Most of the crews are multinational, with seafarers coming from all over the world. These multi-linguistic and cross-cultural gaps are hard to bridge even though the seafarers are considered as citizens of the world. SEAMAN'S PROFESSION AND MARITIME SHIPPING TODAY -PSYCHO-SOCIOLOGICAL IMPLICATIONS:
 Communication technologies have greatly contributed to the feeling of being better connected with home, family and friends. Permanent contacts with home via the internet, mobile or satellite phones have important positive effects and help seafarers to cope with risks and challenges more efficiently. However, personal and human touch is irreplaceable. Hence the role of the Apostleship of the Sea is essential. Seaman's clubs, organised by the Catholic Church across the world, are meeting places where seafarers are able to satisfy their natural need of talking and socialising with people who can understand them. Hard situations and dreadful scenes that a seafarer experiences throughout his working life would be enough to fill a number of average lifetimes. This is very hard to endure and to cope with from the psychological standpoint. The shore-based community does not have enough understanding as most of other people do not have such experience, so that both the seafarer and his family take the consequences. SEAMAN'S PROFESSION AND MARITIME SHIPPING TODAY -PSYCHO-SOCIOLOGICAL IMPLICATIONS:
 At the annual meeting of the Apostleship of the Sea, Captain Mladen Russo discussed the issue of Somali pirates, presenting arguments and interesting details. It is clear that the media address the issue from the Western point of view but, again, there is another side of the coin. It is tragic that the seafarers are victims of the unbearable situation as they are neither its cause nor the solution. It is probably not necessary to describe the feelings of an innocent man spending months in prison under inhuman conditions, fearing for his life constantly and looking at a machine gun in the attacker's hands as the only sign of civilisation. Arming a merchant vessel with weapons and escort is not a solution to this situation as the vessel thus becomes a military target and, besides, arms and escort are not there to protect seafarers but to protect cargo and corporate assets."
"Framing social justice: the ties that bind a multinational occupational community","https://scispace.com/paper/framing-social-justice-the-ties-that-bind-a-multinational-ilv9stgyd0","2018","Journal Article","Sociology","Nicholas J. Bailey
Nik Winchester","10.1177/0038038516670111","https://scispace.com/pdf/framing-social-justice-the-ties-that-bind-a-multinational-ilv9stgyd0.pdf","The notion of a frame is central to the conceptualisation of social justice and the grounding of social justice claims. Influential theories of social justice are typically grounded in national or cosmopolitan framings. Those entitled to raise claims of injustice are identified as citizens of states or the globe, respectively. The re-visioning of understandings of space and belonging, incumbent in the processes of globalisation, problematises static geographical framings. We offer an alternative lens and argue for the inclusion of sociological data in accounts of social justice to identify the relevant framing of the community of entitlement. Drawing on secondary analysis of a qualitative dataset, we explore the case of multinational seafarers caught at the intersection of competing appeals to nationality and commonality as an exemplar of transnational workers. And, argue that there are compelling grounds to treat this group of multinational seafarers as a community of entitlement.","but also by enunciating seafarer perceptions and feeling of inequity. In this we seek to go beyond claims that sociology should leave ethical theory to philosophy and contend that the sociological and the ethical should be seen as mutually constitutive. Conclusion:
 In a globalised world claims of social injustice often transcend national boundaries. In such cases a key area of contestation is the determination of the appropriate and legitimate frame, i.e. who is entitled to raise claims and on what basis. We have examined the case of seafarers in the global maritime industry, where claims for equitable treatment are based on perceived commonality but rebutted on the grounds of national belonging. We have presented data from seafarers demonstrating that they self-identify as a community of entitlement; where belonging is based in perceptions of competence and willingness to contribute to the joint endeavour in a way consistent with established sector-wide maritime tradition and practice and, importantly, shaped by the sector-wide organisational structures and arrangements. Having argued that seafarers, as a community, warrant the status of legitimate claimants to social justice, a fuller theory of social justice requires the elucidation of the mechanisms by which claims could be addressed. Whilst beyond the scope of this paper, we point to several elements necessary to developing a fuller account that are present in the sector. First, the maritime sector is subject primarily to international regulation as developed by the International Maritime Organisation (IMO) and International Labour Organisation (ILO), with labour organised globally by the International Transport Workers' Federation (ITF); Second, the ILO has developed an internationally accepted minimum wage for seafarers, while the ITF has leveraged commonality to set minima in respect of terms and conditions and secured some basic rights; Third, the recent development and ratification of the ILO's Maritime Labour Convention, which attempts to delineate an extensive 'bill of rights' for seafarers. Conclusion:
 In developing our argument we have focused on seafarers, however, the need to identify who can legitimately raise claims to social justice applies equally to other groups -we could for instance, have examined the case of other transnational workers, e.g. air crew, construction workers in the Middle East, or migrant domestic workers in Singapore or Hong Kong. Indeed, we have argued that any account of social justice would benefit from a detailed examination of the of the community that underpins it. The thesis advanced is that social justice relates to a community whatever its basis; be it in terms of geographical boundaries underpinned by legal and constitutional arrangements and notions of citizenship or through some more amorphous but socially grounded set of social relations. And, in giving an account of social justice appeal needs to be made to the empirical elucidation of those relations that define the community. Hence our contention is, that in the matter of social justice, theorists should not declaim principles without detailed understanding of the social world and a recognition of the relations that bind those for whom they speak. To this end sociological methods and data are an essential element."
"Seamen's organisations and social protest in Europe, c.1300-1825","https://scispace.com/paper/seamen-s-organisations-and-social-protest-in-europe-c-1300-1ohl73iypt","1994","Journal Article","International Review of Social History","Karel Davids","10.1017/S0020859000112969","https://scispace.com/pdf/seamen-s-organisations-and-social-protest-in-europe-c-1300-1ohl73iypt.pdf","The friend of Havelock Wilson, the founder of the National Union of Seamen, who once told him that true unity among seamen would never be achieved because seamen were like ""a rope of sand"", washed away with every tide, would no longer be considered a sage. It was not only Wilson who, during his career as trade unionist, proved beyond any doubt that the ""rope of sand"" could indeed hold together. The seamen, too, had shown long before the rise of the new unions at the end of the nineteenth century that they possessed more cohesive power than Havelock's friend was prepared to credit them with at least, if British employers are to be believed. One of the first occasions on which British employers appealed to the Combination Act of 1799 was during a labour dispute in December 1799, when coal merchants (through the intermediary of the Mayor of London) urged the Home Secretary to take action against an alleged combination of seamen in Shields. The Coal Trade Committee of 1800 blamed combinations of seamen for the high wages, which had reached an unprecedented level. Looking from the bottom up rather than from the top down, Marcus Rediker recently highlighted the growth of a ""collectivism of necessity"" among seamen in the first half of the eighteenth century. ""A specifically maritime occupational consciousness gradually moved toward class consciousness as seamen began to develop wider patterns of association, sympathy and identification"", he claims. In fact, Rediker argues that seamen, as ""the most numerous of the mobile workers in early modern England and America"" were in a most favourable position for transmitting information, experiences and ideas between different groups of the labouring poor. Far from being merely ""a rope of sand"", seamen pro-","Efforts to sustain collective action in these floating sectors of the labour market by building durable, formal organizations of common seamen were doomed as long as employers could draw on a vast pool of casual labour that could freely or forcibly be recruited for work at sea. SEAMEN'S ORGANIZATIONS AND SOCIAL PROTEST IN ENGLAND AROUND 1800:
 When the coalescence between permanent, formal organizations and social protest finally occurred, the organizations arranged social protest, rather than vice versa. Nevertheless, this combination did not come about until two major shifts took place in the pattern of seamen's organizations: first, the rise of seamen's organization that no longer had a religious dimension (insurance boxes in north-west Europe) and secondly, the rift in Britain between organizations for shipmasters and organizations for common seamen. The first shift was a result of the Reformation. The second one was probably to some extent the outcome of earlier changes in the role of shipmasters. The level of education required for masters in the British mercantile marine increased considerably over the course of the eighteenth century. Literacy and numeric competency became a sine qua non for shipmasters. They were not only expected to be well-versed in seamanship and to have a solid grasp of the art of navigation, but also to possess business acumen and an expert knowledge of commercial practice at home and overseas. In fact, the responsibilities of shipmasters extended to include the former tasks of supercargos. The rise in educational requirements in turn entailed a differentiation in social background: shipmasters in the eighteenth century in Britain usually came ""from a higher social class than the common seaman"".  This change in the skills and origins of shipmasters must have increased the distance between them and common seamen, thereby loosening the bonds that held together existing organizations of seamen. The additional influence of the experiences of other groups of workers both inside and outside the maritime industry on common seamen in seafaring communities, as occurred in north-east England in the late eighteenth and early nineteenth centuries, set the stage for the rise of the first trade union of seamen.  Ville, English Ship owning, pp. 68-86, esp. p. 71; Davis, The Rise, pp. 159-174; Craig, ""Printed Guides""."
"“It’s okay even if you are a spy”: issues in researcher positioning within a precarious workplace","https://scispace.com/paper/it-s-okay-even-if-you-are-a-spy-issues-in-researcher-ut9xklmmyq","2019","Journal Article","Journal of Organizational Ethnography","Polina Baum-Talmor","10.1108/JOE-12-2018-0047","https://scispace.com/pdf/it-s-okay-even-if-you-are-a-spy-issues-in-researcher-ut9xklmmyq.pdf","The purpose of this paper is to examine some of the complexities associated with the trust-building process between participants and researcher in the context of a precarious work environment. Specifically, the paper seeks to discuss issues arising from the power dynamics, mistrust and tensions between different stakeholders in the research (i.e. employers, employees and the researcher), and the implications of such relationships for establishing rapport and trust with research participants.,This paper uses the case of the shipping industry and is based upon findings from two research projects. One project examined similarities and differences between the merchant vessel and Goffman’s theoretical conceptualisation of “total institutions” (Goffman, 1961); the other focused on the increasing flexibility of labour in the global labour market, using the case of shipping. Both projects incorporated ethnographic research methods which included three voyages on board merchant vessels, as well as interviews and informal conversations with over 100 participants.,The researcher encountered several obstacles throughout the projects, many of which related to the access to the restricted workplace setting of a cargo ship. However, this paper is based on her positioning in the field after permission to access the ship had been granted by the shipping company. It was often challenging to overcome participants’ suspicions of the researcher as being sent by the company to spy on them. The researcher generally managed to overcome such suspicions in the course of her fieldwork by building relationships with participants over time. Nevertheless, these relationships were influenced by the complex power dynamics amongst the different stakeholders in the field. The challenges encountered in the field sites suggest that researchers should be open and fluid in the ways they present themselves in the field. The findings potentially offer useful insights for novice researchers whose research focuses on workplace settings characterised by precariousness of employment and for those conducting shipboard research.,The main contribution of this paper lies within its ability to shed light on the often-delicate relationships between different stakeholders in a research project, and the influence of these relationships on a researcher’s continuous access to the field. The experiences described in this paper are based on the global shipping industry, but they are also relevant to other closed, isolated and/or restricted research settings. Specifically, experiences described in this paper are similar to those of researchers studying “closed” research environments that are not accessible to the general public; this is particularly the case where a hierarchical work structure controls to some extent the roles played by different stakeholders within the precarious work environment, potentially influencing the way someone from outside the workplace approaches it. These include, for example, government owned establishments such as prisons, mental hospitals as well as privately owned closed business organisations.","participants in the shipping industry. This paper contributes to the field of organisational ethnography by presenting an example of the often-delicate relationships between different stakeholders in an organisation, and the influence of these relationships on a researcher's continuous access to the field. The global shipping industry:
 The global shipping industry, perhaps more than any other, has been greatly influenced by growing cost-saving strategies over the years. The drive to reduce labour costs and additional processes relating to globalisation have created a strongly precarious work environment for seafarers with minimal regulations of work conditions . Seafarers' employment generally involves short-term voyage-based contracts, and subsequent employment may not necessarily be with the same company and/or on board the same ship. At the end of any contract, they generally become unemployed , and they lack many social benefits such as pension schemes, medical insurance or life insurance . Often seafarers are forced to wait long periods of time between contracts ; even when they have a contract, they may experience a constant fear of job loss, as the renewal of their contract is not guaranteed. The nature of employment in the global shipping industry reflects the growing use of precarious working arrangements among contemporary business organisations . The global shipping industry:
 Ships have been compared to and have been found to bear similarity to 'total institutions' (TIs) in some respects, even though they clearly differ from TIs in others . On the one hand, the ship is a place of residence and work, where seafarers as 'like-situated individuals' ) are physically isolated from the shore and other people for extended periods of time . On the other hand, the ship cannot be The global shipping industry:
 h y considered a TI in its entirety, and as some critiques of the concept claim that TIs are never entirely cut off from the outside world . In this respect, the cargo ship can be considered a 'moving world' or as Michel Foucault calls it, a 'heterotopia par excellence'  which is strongly linked to the surrounding world. Taking into account the precariousness of employment in shipping as noted above, it is possible to look on the research field from a similar perspective taken by  who studied the retail industry, and applied the concept of TIs to the analysis of employment practices 'which have been labelled as 'precarious' or 'abusive' in the context of a 'normal' business organisation' ."
"The Maritime Labour Convention 2006: A Frozen Revolution in the Realisation of Social Justice for Seafarers","https://scispace.com/paper/the-maritime-labour-convention-2006-a-frozen-revolution-in-40ry82kcg7","2013","","","Lloyd Cameron","","https://scispace.com/pdf/the-maritime-labour-convention-2006-a-frozen-revolution-in-40ry82kcg7.pdf","Realising social justice has been one of the central goals of the International Labour Organisation since its inception. Yet today the unique environment and dangers associated with working at sea make the world’s 1.2 million seafarers a particularly vulnerable group, both in terms of their physical safety and mental wellbeing, and concerning the realisation of social justice.

Social justice is a somewhat abstract term, taken to refer to the “fair” balance of power and benefits between different groups in society. Central to this notion of “fairness” is the respect for liberties and human dignity. However, international maritime law has traditionally focused on political and economic considerations rather than the social needs of the seafarer. This problem has been exacerbated by the advent of globalisation and an increasing tendency within the industry for shipowners to seek out flags of convenience, allowing them to legitimately subvert the international labour standards developed by the ILO with the intention of cutting operational costs. Seafarers have become commodified, seen as objects of the industry rather than subjects of the law who are entitled to rights and protections.

This thesis examines how the innovations contained in the 2006 Maritime Labour Convention are likely to combat these problems and influence the realisation of social justice for seafarers when they come into effect in August 2013.

While not revolutionising the content of the rights and protections afforded to seafarers during the course of their employment, this thesis identifies several innovations concerning implementation and enforcement where the MLC has broken new ground and looks set to revolutionise the realisation of social justice for seafarers.

Consolidation of the previous plethora of maritime labour conventions into a single instrument seems set to increase the accessibility and understanding of rights for seafarers while also providing a focal point through which to incorporate maritime labour considerations into international maritime law – achieving so-called “Fourth Pillar” status for the MLC. In addition, a global legal space for maritime labour rights looks set to be created, working within the jurisdictional framework already established by maritime labour law to strive towards the universalization of seafarers’ rights and foster the ability to human rights forum shop to gain access to justice. Finally, the MLC has provided, for the first time, a legal foundation backed by an enforcement mechanism embedded in competition norms for corporate social responsibility, turning the flag of convenience system on its head and seeking to hand the competitive advantages to those shipping companies who respect and adhere to international labour standards.

The thesis concludes by reflecting recognising that the MLC has therefore made considerable strides towards the substantive realisation of social justice but tempers this by acknowledging the need to monitor and evaluate how these provisions are interpreted and applied in practice when the Convention comes into effect.","of the seafarer and adding a much needed ""human element"" to the maritime industry. In doing so, it should make labour standards more visible 20 while simultaneously seeking to ensure favourable outcomes for all stakeholders in the international maritime industry. 21 Purpose of Thesis:
 The ILO has stated that the MLC aspires to be ""globally applicable, easily understandable, readily updatable and uniformly enforced.""  It is thus the premise of this thesis to examine the workability of such a proposal and how this ambition is to be translated into reality. The critique of this goal shall be conducted against the backdrop of the standards needed to effectively realise social justice, both formatively and substantively, for seafarers. The analysis of the theory and practice behind a socially just society will enable us to develop criteria and minimum standards which must be met for the maritime industry to be considered ""socially just"" and to gauge whether the MLC has been successful in working towards these standards or whether it has merely codified the existing problems for the foreseeable future. Purpose of Thesis:
 The research has led to the conclusion that while the MLC has not revolutionised the legal landscape in either the labour or maritime law regimes, it has served to innovatively introduce and adapt several measures and approaches from across these two legal fields in a manner which specifically acts towards the realisation of social justice for seafarers. These have centred primarily, although not exclusively, on the translation of labour rights from theory to practice through effective enforcement. This thesis contends that such measures may yet come to be considered as revolutionary steps in this respect. Outline of Structure:
 The current introductory chapter will detail the focus and limitations of the thesis while also providing an overview of the MLC through an examination, in particular of the travaux préparatoires, which will provide a detailed backdrop to the development and aims of the Convention. Outline of Structure:
 Chapter 2 will provide a brief analysis of the jurisprudence behind the theory of social justice and descriptively build a perspective of this centred on maritime labour considerations. To do so, this chapter takes the work of John Rawls as the departure point and uses critiques of his Theory of Justice to build an internationally applicable set of criteria. These are then adapted to the labour field and, specifically, the maritime labour field using a variety  Ibid. p4  Grey, Michael; The Maritime Labour Convention -Shipping's ""Fourth Pillar"" available at: http://www.seafarersrights.org/seafarers-subjects/maritime-labour-convention-mlc/ (accessed 22/5/13) 22 http://www.ilo.org/global/standards/maritime-labour-convention/lang--en/index.htm (accessed 22/5/13) of primary materials from the ILO and scholarly articles and texts from leading academics and professionals."
