"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"L'évolution des sociétés portuaires et la démaritimisation des villes ports en Europe continentale du nord-ouest","https://scispace.com/paper/l-evolution-des-societes-portuaires-et-la-demaritimisation-uf8is6kcpz","1997","","","A. C. Vigarie","","","La notion de maritimisation n'est pas recente ; elle recouvre toutes formes de penetration et de modelage d'une societe ou d'un groupe par les influences de la mer, des navires, des activites portuaires : organisation economique, sociale, mentalites, comportements, vision du monde exterieur, etc. Or, depuis le milieu du XIX e siecle, l'evolution de la vie oceanique a modifie les aspects de cette maritimisation des villes-ports. Ce fut d'abord la phase patricienne dominee par les bourgeoisies du negoce lointain et de l'armement, avec les repercussions qui s'en suivent sur la main d'oeuvre des quais et des flottes, sur le peuplement urbain par consequent. Puis cette structure se desorganise, avec la progressive perte du pouvoir de gestion des bourgeoisies de la mer, qui se produit avec quelques nuances selon les ports francais ou hanseates. La montee de nouvelles formes d'autorite, l'effondrement moderne des effectifs de marins et d'ouvriers des quais, la penetration vigoureuse d'influences continentales dans le commandement du commerce maritime, conduisent a l'affaiblissement de l'ancien pouvoir de decision des vieilles cites de la mer sur leur port, et provoquent une demaritimisation de ces villes portuaires, dont il faudrait mesurer les repercussions sur les echanges oceaniques","The notion of maritimisation n'est pas recente ; elle recouvre toutes formes de penetration and de modelage d'une societe ou d'un groupe par les influences of la mer, des navires, des activites portuaires as mentioned in this paper."
"The people of the seas and the seas of the people","https://scispace.com/paper/the-people-of-the-seas-and-the-seas-of-the-people-4yjtorjwbf","2023","Book Chapter","","Carya Maharja
Radisti A. Praptiwi
Isabel Richter
Aoife Crummy
Dympna Devine
Lea Janine A. Gajardo
Nguyễn Thu Hà
Sofia Johari
Eva Vivian Justine
Anne Trine Kjørholt
John Roderick V. Madarcos
Le Ngoc Thao
Prawesti Wulandari","10.1016/b978-0-323-95227-9.00007-5","","Coastal communities are intertwined with the seas from which they derive, not only their sustenance but also various meanings, norms, and values. For these communities, these environments are conceived not as inert spaces, but as places. These places shape their culture and way of living, and anchor their attachment to the physical environment. This chapter aims to move beyond the realm of abstraction in illustrating the entanglement of people and places through several case studies, from South East Asia to the Arctic; collectively describing how communities deal with various threats and challenges in relation to places in coastal and marine contexts. Adopting a place-based approach to understanding the relation of people to their surrounding environments, comprising not only the natural world but also the social-cultural realms, are integral, not only to ensure that individual and collective well-being can be attained, but also to achieve this through sustainable means. ","Coastal communities are deeply intertwined with the seas, deriving sustenance, norms, and values from these environments. Places shaped by the interaction between people and the natural world anchor their attachment to the physical environment."
"An Ocean of Troubles: Advancing Marine Sociology","https://scispace.com/paper/an-ocean-of-troubles-advancing-marine-sociology-4kt5d85ljn","2016","Journal Article","Social Problems","Stefano B. Longo
Brett Clark","10.1093/SOCPRO/SPW023","","We advance marine sociology to analyze the human dimensions of ocean systems. Human societies are fundamentally linked to marine systems and are transforming oceanic conditions in dramatic ways, resulting in socio-ecological problems. Despite the great and important possibilities in this realm, these relationships are seldom studied within sociology. This article highlights the ecological foundations of human societies, emphasizing interactions with marine systems, and presents marine sociology as a valuable expansion of environmental sociological studies. This approach seeks to better integrate sociological and ecological sciences. We propose that social metabolic analysis serves as one useful theoretical framework for examining the socio-ecological interrelationships. The analysis focuses on the dynamics of ocean systems, social processes that are changing marine ecosystems, and the perennial interactions within and between these systems. We provide brief analyses of climate change, ocean acidification, and pollution, revealing how the modern socioeconomic order has created ecological rifts in marine ecosystems, and how these concerns reciprocally affect social life.","In this article, the authors propose that social metabolic analysis serves as one useful theoretical framework for examining the socio-ecological interrelationships of ocean systems, and provide brief analyses of climate change, ocean acidification, and pollution."
"A Field Map for Untangling the Entangled Sea","https://scispace.com/paper/a-field-map-for-untangling-the-entangled-sea-ayum7vpr0z","2020","Journal Article","Journal of Eastern Mediterranean Archaeology and Heritage Studies","Harris Cline","10.5325/JEASMEDARCHERSTU.8.3-4.0226","","abstract:This article is situated at the intersection of ships, the sea, humans, and the nonhuman things on board and ashore. It explores the role of objects in maintaining social relations, inspired by materiality studies, entanglement, and Actor-Network Theory. The seafarer-thing relationship is the primary focus of this study through which I argue that archaeologists must not only catalog and classify the artifacts they find but also consider their object biographies, use-lives, and the stories, which can be told in the space between human-thing and thing-thing codependencies. The visualizations model the entanglement inside the complex systems of a merchant ship, the things carried on board, the humans, and activities on the ship, using the Polyaigos shipwreck as the protagonist in our thought experiment. I introduce “field maps,” which combine network sociograms with an interpretive layer of fields (economic, social, technological, infrastructure, religious) to analyze the ways humans and things are entangled.","The role of objects in maintaining social relations, inspired by materiality studies, entanglement, and Actor-Network Theory, has been explored in this article, where the authors argue that archaeologists must not only catalog and classify the artifacts they find but also consider their object biographies, use-lives, and the stories, which can be told in the space between human-thing and thing-thing codependencies."
"Nature/Culture/Seawater","https://scispace.com/paper/nature-culture-seawater-2saq9av455","2011","Journal Article","American Anthropologist","Stefan Helmreich","10.1111/J.1548-1433.2010.01311.X","https://scispace.com/pdf/nature-culture-seawater-2saq9av455.pdf","Seawater has occupied an ambiguous place in anthropological categories of ""nature"" and ""culture."" Seawater as nature appears as potentiality of form and uncontainable flux; it moves faster than culture - with culture frequently figured through land-based metaphors - even as culture seeks to channel water's (nature's) flow. Seawater as culture manifests as a medium of pleasure, sustenance, travel, disaster. I argue that, although seawater's qualities in early anthropology were portrayed impressionistically, today technical, scientific descriptions of water's form prevail. For example, processes of globalization - which may also be called ""oceanization"" - are often described as ""currents,"" ""flows,"" and ""circulations."" Examining sea-set ethnography, maritime anthropologies, and contemporary social theory, I propose that seawater has operated as a “theory machine” for generating insights about human cultural organization. I develop this argument with ethnography from the Sargasso Sea and in the Sea Islands. I conclude with a critique of appeals to water's form in social theory.","Examining sea-set ethnography, maritime anthropologies, and contemporary social theory, it is proposed that seawater has operated as a “theory machine” for generating insights about human cultural organization."
"World History as Oceanic History: Beyond Braudel","https://scispace.com/paper/world-history-as-oceanic-history-beyond-braudel-3efl7t92d7","2019","Journal Article","Historical Review-la Revue Historique","David Armitage","10.12681/HR.20462","https://scispace.com/pdf/world-history-as-oceanic-history-beyond-braudel-3efl7t92d7.pdf","Until recently, most historians shared a prejudice in favour of the history of land, territory and their human inhabitants. Yet two-thirds of the world’s surface is water and much of human history has been conducted on its shores, around its seas and across its oceans. This article proposes reimagining the history of the world through its oceans and seas and examines the multiple genealogies of oceanic history, Mediterranean, Pacific and Atlantic among them. It argues that these models do not exhaust the potential for an oceanic history of the world. It takes the example of the Atlantic and its history to show how models from other oceanic arenas can help us to open up new histories, of regions within larger oceans, of the transnational connections between oceans and of the world beneath the waves.","In this article, the history of the world through its oceans and seas and examines the multiple genealogies of oceanic history, Mediterranean, Pacific and Atlantic among them are examined."
"Toward a Sociology of Oceans.","https://scispace.com/paper/toward-a-sociology-of-oceans-1gxzcbw65w","2017","Journal Article","Canadian Review of Sociology-revue Canadienne De Sociologie","John A. Hannigan","10.1111/CARS.12136","","Despite covering around 70 percent of the earth's surface, the ocean has long been ignored by sociology or treated as merely an extension of land-based systems. Increasingly, however, oceans are assuming a higher profile, emerging both as a new resource frontier, a medium for geopolitical rivalry and conflict, and a unique and threatened ecological hot spot. In this article, I propose a new sociological specialty area, the ""sociology of oceans"" to be situated at the interface between environmental sociology and traditional maritime studies. After reviewing existing sociological research on maritime topics and the consideration of (or lack of consideration) the sea by classic sociological theorists, I briefly discuss several contemporary sociological approaches to the ocean that have attracted some notice. In the final section of the paper, I make the case for a distinct sociology of oceans and briefly sketch what this might look like. One possible trajectory for creating a shared vision or common paradigm, I argue, is to draw on Deleuze and Guattari's dialectical theory of the smooth and the striated. Meme s'il couvre 70% de la surface de la Terre, l'ocean a ete longtemps ignore en sociologie ou traite comme une extension des systemes terrestres. De plus en plus, toutefois, l'ocean retient l'attention, en etant vu comme une nouvelle frontiere en termes de ressources, un medium pour les rivalites et les conflits geopolitiques, et un lieu ecologique nevralgique et unique. Dans cet article, je propose une nouvelle specialisation sociologique, la 'sociologie des oceans', se situant dans l'interface entre la sociologie environnementale et les etudes maritimes traditionnelles. Apres une recension de la recherche sociologique existante sur les sujets maritimes et la prise en compte (ou l'absence de prise en compte) de l'ocean par les theoriciens de la sociologie classique, je discute brievement quelques approches sociologiques contemporaines de l'ocean ayant attire l'attention. Dans la derniere partie de l'article, j'insiste sur le besoin d'une sociologie distincte de l'ocean et je presente brievement a quoi cela pourrait ressembler. Une voie possible pour creer une vision commune ou un paradigme, selon moi, est de s'inspirer de la theorie dialectique du lisse et du strie de Deleuze et Guattari.","A new sociological specialty area is proposed, the ""sociology of oceans"" to be situated at the interface between environmental sociology and traditional maritime studies, and one possible trajectory for creating a shared vision or common paradigm is to draw on Deleuze and Guattari's dialectical theory of the smooth and the striated."
"Social Construction of the Ocean, Sea Power, and Maritime Transformation","https://scispace.com/paper/social-construction-of-the-ocean-sea-power-and-maritime-nun3tuqv8p","2023","Journal Article","Journal of Political & Military Sociology","Kuang‐hao Hou","10.5744/jpms.2023.1002","","This review article elucidates concepts related to sea power, the social construction of the ocean, and maritime transformation. It begins with Mahan’s and Mackinder’s classic understanding of sea power, arguably the source of all traditional perspectives on the subject. Although this article accepts Till’s definition of sea power, it maintains that conventional wisdom does not offer a clear distinction between sea power as “a means of social power” and sea power as “states with powerful navies.” Furthermore, this article discusses Lambert’s conception of seapower identity, contending that his perspectives on seapower-state establishment are not based on relationships between the state, military, and the oceans. Lambert’s analysis of seapower states focuses on the activities that people engage in on land for seapower identity. His account suggests that maritime transformation could only occur in cases in which sea states transform into seapower states. However, this article claims that Steinberg’s concepts and theory of the social construction of the ocean provide a useful approach to examining the maritime transformation required for a transition from tellurocracy to thalassocracy. ","This review article reexamines sea power, social construction of the ocean, and maritime transformation, critiquing conventional wisdom and Lambert's seapower identity concept, instead advocating for Steinberg's social construction approach to understanding maritime transformation and thalassocracy."
"Introduction: Maritime Im/Mobilities","https://scispace.com/paper/introduction-maritime-im-mobilities-3om93wj5","2023","Book Chapter","","Hilary Dugan","10.1007/978-3-030-91275-8_1","https://scispace.com/pdf/introduction-maritime-im-mobilities-3om93wj5.pdf","Abstract In a time of refugee boats and rising seas, maritime mobilities and immobilities have regained critical status for the development of viable futures—social, economic, environmental, political, as well as imaginative. This introduction describes advances in maritime studies, alongside “blue cultural studies” or “oceanic humanities,” and covers a selection of recent critical perspectives in the maritime humanities that have extended, but also criticized, earlier assumptions in the field: Eurocentric, anthropocentric, and class-, race-, and gender-based. The focus is on some of the ways in which maritime studies has been informed by mobility studies, an interdisciplinary field within the humanities. Taking up cultural geography’s revision of the field to acknowledge the centrality of movement in history and society and to move beyond logistics-centered transportation studies, mobility studies investigates the production of mobilities and immobilities historically, socially, politically, and culturally. The present volume sets out to explore how oceanic im/mobilities have been framed and articulated in the literary and cultural imagination. ","In a time of refugee boats and rising seas, maritime mobilities and immobilities have regained critical status for the development of viable future, social, economic, environmental, political, as well as imaginative as discussed by the authors ."
"Ocean flows and chains: sea power and maritime empires within IR theory","https://scispace.com/paper/ocean-flows-and-chains-sea-power-and-maritime-empires-within-16q8obrw","2022","Journal Article","Cambridge Review of International Affairs","Wolf W. Lasko","10.1080/09557571.2022.2137466","","IR theory rests on territorial assumptions which shape our understanding of the nature of the state, the rise of the state system and the very concept of the international. The following paper asks, what if we moved away from a fixation on bounded territory to consider the influence of oceans and the maritime sphere? Humanity’s interaction with the sea has shaped history from the earliest known polities and early modern history, in particular, saw the rise of several great maritime powers. It was these movements across oceans which essentially shaped the modern world we know today, yet, the maritime sphere is virtually absent from IR theory. Security scholars may discuss piracy or projecting naval power, but this article aims to provide a more comprehensive treatment of incorporating a view of the oceans into IR theory. An examination of early modern maritime empires shows how the British empire developed by seeking to control ocean flows and circulations. ","In this article , a more comprehensive treatment of incorporating a view of the oceans into IR theory is provided, showing how the British empire developed by seeking to control ocean flows and circulations."
